step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.023689031600952, 8.68790798187256]",[0.         0.         0.         0.         0.00012687],[6.2003972e-05 9.0415915e-04 0.0000000e+00 0.0000000e+00 1.2709710e-04],[6.200397e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.011914934031665325, 0.005255562718957663, 0.00104522705078125, 0.00026920862728729844, 0.0003880092117469758]","[0.013364518992602825, 0.006705147679895163, 0.00249481201171875, 0.0017187936464324594, 0.0018375942017883062]","[0.026787301525473595, 0.02338571473956108, 0.02445555478334427, 0.019356349483132362, 0.022197619080543518]",[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1214308e-05],0.0052241734,0.0051333206,"[2.325428104400635, 2.207733488082886, 2.5321587562561034, 2.3801839351654053, 3.17007360458374]","[2.287271785736084, 2.2121091365814207, 2.5328704357147216, 2.384005546569824, 3.277343368530273]",0.8037393946659549,0.0805229681306428,0.2,0.24996828216188785,0.07408683609645354,0.1,0.04937996031746032,0.04978134795951055
2,0,1,-0.46042657,"[8.757723808288574, 10.0]",[0.10597826 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00736236572265625, 0.0145263671875, 0.0145263671875, 0.0145263671875, 0.005859375]","[0.00881195068359375, 0.0159759521484375, 0.0159759521484375, 0.0159759521484375, 0.0073089599609375]","[0.025838889181613922, 0.02451111190021038, 0.02451111190021038, 0.02451111190021038, 0.022422222420573235]",[0.00297568 0.00555335 0.00541199 0.00531762 0.00520635],0.0061579836,0.005739075,"[6.885874366760254, 4.155032539367676, 3.4904274940490723, 3.1319919586181637, 2.915391063690185]","[6.677915763854981, 4.0087495803833, 3.4904480934143063, 3.128497505187988, 2.9969139099121094]",0.798300709905568,0.1274671435985893,0.18908853513638324,0.2235054347826087,0.07482947049512952,0.08341012589285715,0.05,0.05
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.005859375, 0.005859375, 0.00347900390625, 0.00629425048828125, 0.0091094970703125]","[0.0073089599609375, 0.0073089599609375, 0.0049285888671875, 0.00774383544921875, 0.01055908203125]","[0.022422222420573235, 0.022422222420573235, 0.02517777867615223, 0.02424444444477558, 0.023311110213398933]",[0.00509986 0.00505519 0.00501224 0.00497393 0.00494751],0.0062684147,0.0054870932,"[2.6184635162353516, 1.0709864854812623, 1.106892466545105, 1.0681849718093872, 1.016530990600586]","[2.351404047012329, 1.0830949783325194, 1.0946794748306274, 1.0637629747390747, 1.0135249853134156]",0.7370831430379153,0.040259557438017006,0.2,0.25,0.07536037518323158,0.07146321041666667,0.05,0.05
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0080413818359375, 0.0069732666015625, 0.0069732666015625, 0.00079345703125, 0.00079345703125]","[0.009490966796875, 0.0084228515625, 0.0084228515625, 0.0022430419921875, 0.0022430419921875]","[0.02152777835726738, 0.019744444638490677, 0.019744444638490677, 0.02164444513618946, 0.02164444513618946]",[0.00490666 0.00488329 0.00485783 0.00483235 0.0048139 ],0.0062992056,0.005314498,"[0.8724564909934998, 0.7333364963531495, 0.6534570038318634, 0.7360255002975464, 0.8076850056648255]","[0.8750830173492432, 0.741202986240387, 0.6576929986476898, 0.7361320018768311, 0.8080449938774109]",0.7440541731789373,0.01563605858725538,0.2,0.25,0.07841811459168181,0.1,0.05,0.05
5,0,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.00246305 0.         0.        ],[0. 0. 0. 0. 0.],"[0.00079345703125, 0.00091552734375, 0.00103759765625, 0.00103759765625, 0.00103759765625]","[0.0022430419921875, 0.0023651123046875, 0.0024871826171875, 0.0024871826171875, 0.0024871826171875]","[0.019911110401153564, 0.019333332777023315, 0.018755555152893066, 0.018755555152893066, 0.018755555152893066]",[0.00472128 0.00450726 0.00431672 0.00415582 0.00403901],0.0059686336,0.005198531,"[2.5351194858551023, 7.205677223205567, 7.909365272521972, 6.690421295166016, 7.268704986572266]","[2.537492561340332, 7.177474403381348, 7.961490249633789, 6.685091209411621, 7.855563735961914]",0.852335795963786,0.18066916949864836,0.2,0.25,0.0800890873025759,0.04207015000000002,0.05,0.04950738916256158
6,0,1,0.8255112,"[10.0, 9.027950859069824]",[0. 0. 0. 0. 0.],[0.         0.00304878 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.006011962890625, 0.00974273681640625, 0.0134735107421875, 0.0134735107421875, 0.0134735107421875]","[0.0074615478515625, 0.01119232177734375, 0.014923095703125, 0.014923095703125, 0.014923095703125]","[0.026066666468977928, 0.026811111718416214, 0.02755555510520935, 0.02755555510520935, 0.02755555510520935]",[0.00402161 0.00384854 0.00363773 0.00355401 0.00345576],0.0064006606,0.005340134,"[8.677622032165527, 9.302665710449219, 10.0, 10.0, 10.0]","[8.263498687744141, 9.25219955444336, 10.0, 10.0, 10.0]",0.9186323238103241,0.2432604800698319,0.18658732364052222,0.25,0.07350052411419761,0.06589375208333331,0.05,0.04939024390243903
7,0,1,0.21327162,"[9.153885078430175, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00301205 0.        ],[0. 0. 0. 0. 0.],"[0.00048828125, 0.00048828125, 0.0367279052734375, 0.0367279052734375, 0.0367279052734375]","[0.0019378662109375, 0.0019378662109375, 0.038177490234375, 0.038177490234375, 0.038177490234375]","[0.025100000202655792, 0.025100000202655792, 0.03158888965845108, 0.03158888965845108, 0.03158888965845108]",[0.00378773 0.0037005  0.003608   0.00352062 0.00344319],0.00754727,0.008173789,"[10.0, 7.8199560165405275, 6.892949104309082, 8.274256134033203, 9.297747039794922]","[9.798250961303712, 7.761964225769043, 6.8580320358276365, 8.2374942779541, 9.299456214904785]",0.9122963413678953,0.2232146353461341,0.18093580540602772,0.25,0.07061368421262108,0.08813462604166666,0.05,0.04939759036144578
8,0,1,0.45899308,"[10.0, 10.0]",[0.0018797 0.        0.        0.        0.       ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02031707763671875, 0.00390625, 0.00286865234375, 0.0018310546875, 0.0018310546875]","[0.02176666259765625, 0.0053558349609375, 0.0043182373046875, 0.0032806396484375, 0.0032806396484375]","[0.028572222217917442, 0.025555554777383804, 0.024177778512239456, 0.02280000038444996, 0.02280000038444996]",[0.00338227 0.00330576 0.00322407 0.00313944 0.00309693],0.007583618,0.008370128,"[7.171842765808106, 8.085619735717772, 7.728538894653321, 7.860272979736328, 7.6602027893066404]","[7.044171905517579, 8.097007751464844, 7.707538986206055, 7.846326637268066, 7.915641784667969]",0.9312439615203083,0.2089698744613512,0.2,0.24953007518796994,0.07274401187098715,0.1,0.05,0.05
9,0,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.002288818359375, 0.002288818359375, 0.002288818359375, 0.002105712890625, 0.002105712890625]","[0.0037384033203125, 0.0037384033203125, 0.0037384033203125, 0.0035552978515625, 0.0035552978515625]","[0.022822221741080284, 0.022822221741080284, 0.022822221741080284, 0.020088888704776764, 0.020088888704776764]",[0.00300396 0.00295027 0.00289978 0.00285043 0.00281405],0.007334283,0.00815472,"[7.933108901977539, 5.883297538757325, 5.902348518371582, 6.367345428466797, 6.9842729568481445]","[7.729301071166992, 5.880004501342774, 5.897653007507325, 6.326980400085449, 6.979246139526367]",0.9029653226790312,0.18693758968098179,0.2,0.25,0.07735294966471597,0.08867478333333334,0.05,0.05
10,0,1,0.87014484,"[10.0, 10.0]",[0.         0.03759398 0.         0.         0.        ],[0.00205761 0.00616475 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.002105712890625, 0.0018768310546875, 0.0018768310546875, 0.00196075439453125, 0.002044677734375]","[0.0035552978515625, 0.003326416015625, 0.003326416015625, 0.00341033935546875, 0.0034942626953125]","[0.020088888704776764, 0.018111111596226692, 0.018111111596226692, 0.01623888872563839, 0.014366666786372662]",[0.00273902 0.0037307  0.00358963 0.00350896 0.00345134],0.007099101,0.007960944,"[7.893452262878418, 9.98853816986084, 10.0, 9.621987342834473, 9.47899513244629]","[7.938448715209961, 10.0, 10.0, 9.632036399841308, 9.465694236755372]",0.9297480996645165,0.23986434236598775,0.2,0.24060150375939848,0.07991130776890752,0.07101541874999999,0.05,0.048355527020222756
11,0,1,0.54510975,"[10.0, 7.776059913635254]",[0. 0. 0. 0. 0.],[0.        0.        0.0033557 0.        0.       ],[0. 0. 0. 0. 0.],"[0.0115966796875, 0.0135650634765625, 0.0135650634765625, 0.0135650634765625, 0.0135650634765625]","[0.0130462646484375, 0.0150146484375, 0.0150146484375, 0.0150146484375, 0.0150146484375]","[0.011455555446445942, 0.010533333756029606, 0.010533333756029606, 0.010533333756029606, 0.010533333756029606]",[0.00335096 0.00328993 0.00323427 0.00318602 0.0031657 ],0.007474972,0.0079280175,"[9.362161254882812, 9.317837142944336, 8.323027420043944, 8.690680885314942, 10.0]","[9.371016120910644, 9.403875541687011, 8.348599243164061, 8.944208717346191, 9.325018882751465]",0.9623316162040441,0.2354045311764837,0.18522857472866397,0.25,0.09236965123849361,0.1,0.05,0.049328859060402686
