train/actor_loss,train/ent_coef_loss,time/fps,train/ent_coef,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate
-1.5930736064910889,-2.744349956512451,0,0.0951591432094574,189,45.760367,50.0,200,4,448,0.006112510338425636,0.0003
-2.2395877838134766,-3.120791435241699,0,0.08991377800703049,389,46.530493,50.0,400,8,873,0.00216928543522954,0.0003
-2.984593152999878,-3.3281912803649902,0,0.08459506183862686,589,46.79052308333333,50.0,600,12,1298,0.0013255788944661617,0.0003
-3.763364315032959,-2.8520545959472656,0,0.0798434391617775,789,46.9451725625,50.0,800,16,1723,0.001565152546390891,0.0003
-4.595544338226318,-2.771911859512329,0,0.07546281814575195,989,47.0106762,50.0,1000,20,2148,0.0009697431814856827,0.0003
-5.4265642166137695,-3.2274250984191895,0,0.07135426998138428,1189,47.13478625,50.0,1200,24,2573,0.0013797390274703503,0.0003
-6.253542900085449,-3.3508615493774414,0,0.0674927607178688,1389,47.212327,50.0,1400,28,2998,0.0013214393984526396,0.0003
-7.14117431640625,-3.350389242172241,0,0.0638689324259758,1589,47.3511251875,50.0,1600,32,3422,0.001352197490632534,0.0003
-7.954094886779785,-2.7647266387939453,0,0.060463808476924896,1789,47.46341852777778,50.0,1800,36,3847,0.003827827051281929,0.0003
-8.809207916259766,-2.57136607170105,0,0.05736014246940613,1989,47.548498474999995,50.0,2000,40,4273,0.0012957362923771143,0.0003
-9.621874809265137,-2.334576368331909,0,0.05443644896149635,2189,47.62355811363636,50.0,2200,44,4698,0.002065272070467472,0.0003
-10.479318618774414,-3.0701406002044678,0,0.051665131002664566,2389,47.704056875,50.0,2400,48,5123,0.0014093484496697783,0.0003
-11.328747749328613,-2.277224063873291,0,0.049086038023233414,2589,47.76042721153847,50.0,2600,52,5547,0.0010377601720392704,0.0003
-12.137041091918945,-2.4427952766418457,0,0.04663298651576042,2789,47.838628535714285,50.0,2800,56,5972,0.0016703108558431268,0.0003
-12.952738761901855,-2.5648975372314453,0,0.04429515823721886,2989,47.90867043333333,50.0,3000,60,6398,0.0015343251870945096,0.0003
-13.772871971130371,-1.910744547843933,0,0.042143188416957855,3189,47.956052609375,50.0,3200,64,6823,0.001572747714817524,0.0003
-14.543663024902344,-2.3312153816223145,0,0.04016255587339401,3389,48.017006,50.0,3400,68,7248,0.0018876587273553014,0.0003
-15.328911781311035,-2.0735421180725098,0,0.03829880803823471,3589,48.06955108333333,50.0,3600,72,7673,0.001945807714946568,0.0003
-16.150005340576172,-2.38391375541687,0,0.03656424954533577,3789,48.124228631578944,50.0,3800,76,8098,0.0016491651767864823,0.0003
-16.945274353027344,-1.8550240993499756,0,0.034971706569194794,3989,48.18286515,50.0,4000,80,8523,0.0015960390446707606,0.0003
-17.744220733642578,-1.6103370189666748,0,0.03349269554018974,4189,48.23326085714285,50.0,4200,84,8948,0.0014801720390096307,0.0003
-18.503644943237305,-1.9455647468566895,0,0.03207477554678917,4389,48.27431549999999,50.0,4400,88,9373,0.0014514171052724123,0.0003
-19.24959373474121,-1.6698447465896606,0,0.03071541152894497,4589,48.31586553260869,50.0,4600,92,9798,0.0023964112624526024,0.0003
-20.051916122436523,-1.1367794275283813,0,0.02941802702844143,4789,48.35062741666667,50.0,4800,96,10222,0.0019259341061115265,0.0003
