step,weightUpdates,episode,action,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/gradientRtt,state/interarrivalJitter,state/lossRate,state/rttMean,state/rttStd,state/rxRate,state/txRate,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,1,1,-0.643898,0.0,0.0,0.0035714286,0.0,0.03755188,0.0,0.012944444,0.0,0.03755188,0.0,1.665925,1.691301,0.0,0.03493098927109272,0.2,0.2,0.17829490587186708,0.05,0.0,0.075
2,1,1,0.7037401,0.0,0.0,0.0,0.0,0.03627014,-0.0012817383,0.022677777,0.0,0.03691101,0.00064086914,1.854129,1.8403931,0.7934811959575856,0.03851945130173103,0.2,0.2,0.15496174465585458,0.05,0.075,0.075
3,1,1,0.71899366,0.0,0.0,0.0,0.0,0.036209106,-6.1035156e-05,0.024866667,0.0,0.036677044,0.000619105,10.474133,10.497254,0.8801714720692368,0.15767639515769535,0.2,0.2,0.15122842357820832,0.02126665333333333,0.075,0.075
4,1,1,-0.76539147,0.0,0.0,0.0,0.0010528564,0.037261963,0.0010528564,0.02001111,0.0,0.036823273,0.0005929738,1.7960349,1.815518,0.7671241083226368,0.03741863427779029,0.1986546834309896,0.2,0.1599777839471903,0.021073006666666668,0.075,0.075
5,1,1,-0.93204004,0.0,0.0,0.0,0.0020751953,0.0382843,0.0010223389,0.024588889,0.0,0.037115477,0.0007891966,0.128386,0.129131,0.7472944856953758,0.0029199582409130237,0.19824714660644532,0.2,0.1516862108480175,0.04444117,0.075,0.075
6,1,1,-0.96532434,0.0,0.0,0.0,0.0036010742,0.03981018,0.0015258789,0.025533333,0.0,0.037564594,0.0012359436,0.118099995,0.11790799,0.7499612346458367,0.002687582215211922,0.19712677001953127,0.2,0.15014688241109356,0.05,0.075,0.075
7,1,1,-0.031855285,0.0,0.0,0.0,0.0,0.036071777,-0.0037384033,0.023444444,0.0,0.037351336,0.0012578603,5.7493863,5.677847,0.8360442753806565,0.10119530106312612,0.2,0.2,0.15361992765086377,0.031229046666666666,0.075,0.075
8,1,1,0.8379977,0.0,0.0,0.0,0.007598877,0.043670654,0.007598877,0.022133334,0.0,0.03814125,0.002398373,10.075248,10.048192,0.8842397700985831,0.15347841067943888,0.18924146379743303,0.2,0.1559394356217112,0.03558046,0.075,0.075
9,1,1,0.6442957,0.0,0.0,0.0,0.008392334,0.04446411,0.00079345703,0.022744445,0.0,0.038843792,0.0030102427,11.650202,11.653518,0.91520303778766,0.16956428976946633,0.1960451126098633,0.2,0.1548434820749971,0.04475015333333334,0.075,0.075
10,2,1,0.7428796,0.0,0.012635379,0.0,0.0060424805,0.042114258,-0.0023498535,0.025066666,0.0,0.03917084,0.0030196095,13.124909,12.995511,0.9154852463406625,0.18353685530477873,0.2,0.2,0.15090145962794144,0.05,0.075,0.05604693140794224
11,2,1,0.51600766,0.0,0.018709075,0.0,0.0040740967,0.040145874,-0.0019683838,0.024966666,0.0,0.03925948,0.0028926975,10.924936,11.202619,0.877984886906449,0.16231707590038555,0.2,0.2,0.15106466852399314,0.04266675333333334,0.075,0.046936389148737136
12,2,1,-0.88285995,0.0,0.032467533,0.0032467532,0.004043579,0.040115356,-3.0517578e-05,0.025077777,0.0,0.0393308,0.0027796307,0.80666304,0.806534,0.0,0.01767632990355668,0.19968795776367188,0.2,0.1508833587829497,0.01627242333333333,0.0,0.026298701298701297
13,2,1,0.353871,0.0,0.01591512,0.0053050397,0.0038604736,0.03993225,-0.00018310547,0.025922222,0.0,0.039377067,0.0026753875,4.178832,4.236207,0.0,0.07823186298071627,0.2,0.2,0.14952668471800615,0.038759436666666675,0.0,0.051127320954907164
14,2,1,0.019708753,0.0,0.0,0.0,0.00730896,0.043380737,0.0034484863,0.020355556,0.0,0.039663043,0.002776618,5.2221284,5.303317,0.848026111751884,0.09377633041532964,0.1949546813964844,0.2,0.15929509994007002,0.05,0.075,0.075
15,2,1,0.14742386,0.0,0.0,0.0,0.0067749023,0.04284668,-0.0005340576,0.024444444,0.0,0.039875284,0.0027975508,5.01108,5.085918,0.8421639983307839,0.09072782246587671,0.19951019287109376,0.2,0.1519259829938135,0.05,0.075,0.075
16,2,1,-0.16481769,0.0,0.0,0.0,0.002670288,0.038742065,-0.0041046143,0.032177776,0.0,0.03980446,0.002722571,4.9937334,4.994487,0.8309063516636013,0.09047517274010447,0.2,0.2,0.14043117892349688,0.05,0.075,0.075
17,2,1,0.0069252253,0.0,0.0,0.0,0.003616333,0.03968811,0.0009460449,0.02508889,0.0,0.039797615,0.0026414236,6.785303,6.7483892,0.8596932449305916,0.11501579218966146,0.19978408813476564,0.2,0.1508652646061646,0.0440281,0.075,0.075
18,2,1,0.4931295,0.0,0.0,0.0,0.0,0.034973145,-0.004714966,0.028244445,0.0,0.039529588,0.0027947715,8.763449,8.751186,0.8783936107515454,0.13901622965649166,0.2,0.2,0.14597120109505385,0.04340618000000001,0.075,0.075
19,2,1,-0.86644125,0.0,0.0,0.0,0.0022125244,0.03718567,0.0022125244,0.037955556,0.0,0.039406225,0.002770125,0.48124796,0.48006797,0.7157601875284706,0.01073241344190852,0.19951477050781252,0.2,0.13312034024541627,0.022392663333333337,0.075,0.075
20,3,1,0.06909013,0.0,0.0,0.0,0.0028686523,0.037841797,0.00065612793,0.028333334,0.0,0.039328,0.0027214272,6.3236713,6.37474,0.8353396656107315,0.10897466497497127,0.2,0.2,0.14583974396909358,0.030525256666666667,0.075,0.075
