time/fps,train/critic_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate
1,0.11745938658714294,200,99,4,38.0919975,50.0,199,-2.332669973373413,-0.049393750727176666,0.9710426330566406,0.0003
1,0.05755835026502609,400,299,8,38.6857075,50.0,399,-3.381063461303711,-0.14952018857002258,0.9144840240478516,0.0003
0,0.09680056571960449,600,499,12,37.869767833333334,50.0,600,-4.3797783851623535,-0.2513754069805145,0.8612096905708313,0.0003
0,0.07410396635532379,800,699,16,37.561897312499994,50.0,801,-5.497112274169922,-0.3510148823261261,0.8110088109970093,0.0003
0,0.06304514408111572,1000,899,20,37.66097695,50.0,1000,-6.4501142501831055,-0.45047107338905334,0.7637506127357483,0.0003
0,0.06424909830093384,1200,1099,24,37.58502558333333,50.0,1201,-7.5950822830200195,-0.5498244762420654,0.7192503809928894,0.0003
0,0.09041285514831543,1400,1299,28,37.87231875,50.0,1402,-8.603351593017578,-0.6533795595169067,0.6773077249526978,0.0003
0,0.040418803691864014,1600,1499,32,37.6959523125,50.0,1603,-9.680888175964355,-0.7665503025054932,0.6378676295280457,0.0003
0,0.09825896471738815,1800,1699,36,37.72078944444444,50.0,1803,-10.594257354736328,-0.8642841577529907,0.6007029414176941,0.0003
0,0.07874581217765808,2000,1899,40,37.66594005,50.0,2004,-11.543018341064453,-0.9684944748878479,0.5657048225402832,0.0003
0,0.07108471542596817,2200,2099,44,37.65962822727273,50.0,2204,-12.546719551086426,-1.0624361038208008,0.5327763557434082,0.0003
0,0.0951424390077591,2400,2299,48,37.657445312499995,50.0,2405,-13.513751983642578,-1.1605411767959595,0.5017532706260681,0.0003
0,0.05323789268732071,2600,2499,52,37.752383653846145,50.0,2606,-14.336126327514648,-1.2652002573013306,0.4725149869918823,0.0003
0,0.049469321966171265,2800,2699,56,37.82423444642858,50.0,2806,-15.160079956054688,-1.357027292251587,0.44500070810317993,0.0003
0,0.11058768630027771,3000,2899,60,37.814944499999996,50.0,3006,-16.037425994873047,-1.4732513427734375,0.41908612847328186,0.0003
0,0.08855584263801575,3200,3099,64,36.55980378125,50.0,3207,-16.789928436279297,-1.574721336364746,0.394687294960022,0.0003
0,0.0960560142993927,3400,3299,68,35.36541030882353,50.0,3408,-17.53873634338379,-1.6265674829483032,0.37173721194267273,0.0003
0,0.16664716601371765,3600,3499,72,34.556994152777776,50.0,3608,-18.195146560668945,-1.7561858892440796,0.35014182329177856,0.0003
0,0.24968591332435608,3800,3699,76,33.69402753947368,50.0,3808,-18.861858367919922,-1.8795133829116821,0.3297801613807678,0.0003
0,0.23228207230567932,4000,3899,80,33.144182712500005,50.0,4009,-19.398279190063477,-1.9726836681365967,0.31060105562210083,0.0003
0,0.18962010741233826,4200,4099,84,32.47670527380952,50.0,4210,-20.027835845947266,-2.0655059814453125,0.2925339639186859,0.0003
0,0.26020583510398865,4400,4299,88,31.972433602272726,50.0,4410,-20.587059020996094,-2.15147066116333,0.2755416929721832,0.0003
0,0.2793658971786499,4600,4499,92,31.43263186956522,50.0,4611,-20.964496612548828,-2.284698247909546,0.2595272958278656,0.0003
0,0.3167714774608612,4800,4699,96,31.06098859375,50.0,4812,-21.54547882080078,-2.3864595890045166,0.24442437291145325,0.0003
0,0.23054297268390656,5000,4899,100,30.66030091,50.0,5012,-21.857826232910156,-2.4040451049804688,0.23020793497562408,0.0003
0,0.25924667716026306,5200,5099,104,29.95715358,50.0,5212,-22.68012237548828,-2.57503604888916,0.21682365238666534,0.0003
0,0.19534507393836975,5400,5299,108,29.257575389999996,50.0,5414,-23.155956268310547,-2.6705403327941895,0.20422327518463135,0.0003
0,0.28074389696121216,5600,5499,112,28.594127290000003,50.0,5614,-23.404632568359375,-2.7556231021881104,0.19235512614250183,0.0003
0,0.3273527920246124,5800,5699,116,28.00769196,50.0,5814,-23.691505432128906,-2.839634895324707,0.18117980659008026,0.0003
0,0.27496665716171265,6000,5899,120,27.233666900000003,50.0,6015,-24.075687408447266,-2.93459153175354,0.17066237330436707,0.0003
0,0.3603653311729431,6200,6099,124,26.549497369999997,50.0,6216,-24.35053253173828,-3.0652120113372803,0.16077131032943726,0.0003
0,0.2541557550430298,6400,6299,128,25.690010549999997,50.0,6416,-24.811826705932617,-3.187370777130127,0.15149235725402832,0.0003
0,0.6485662460327148,6600,6499,132,25.039736280000003,50.0,6617,-24.875215530395508,-3.208752155303955,0.14272834360599518,0.0003
0,0.21636952459812164,6800,6699,136,24.411871859999998,50.0,6818,-25.644176483154297,-3.3007924556732178,0.1344970315694809,0.0003
0,0.318526953458786,7000,6899,140,23.618260300000003,50.0,7018,-25.722511291503906,-3.3753931522369385,0.12672343850135803,0.0003
0,0.26132386922836304,7200,7099,144,22.953497029999998,50.0,7219,-26.019134521484375,-3.5036330223083496,0.11939945816993713,0.0003
0,0.3955481946468353,7400,7299,148,22.325804260000005,50.0,7419,-26.335662841796875,-3.513296365737915,0.11252465099096298,0.0003
0,0.3469979763031006,7600,7499,152,21.6417198,50.0,7620,-26.75368881225586,-3.7202823162078857,0.10601074993610382,0.0003
0,0.390899121761322,7800,7699,156,20.918265969999997,50.0,7821,-26.736431121826172,-3.716223955154419,0.09991053491830826,0.0003
0,0.5839657187461853,8000,7899,160,20.14499771,50.0,8021,-27.03098487854004,-3.992152690887451,0.0941457450389862,0.0003
0,0.36847448348999023,8200,8099,164,20.23134265,50.0,8222,-27.027267456054688,-3.9194440841674805,0.08873708546161652,0.0003
0,0.4212646484375,8400,8299,168,20.317989609999998,50.0,8423,-27.418615341186523,-4.053382396697998,0.08362674713134766,0.0003
0,0.3127085268497467,8600,8499,172,20.30107555,50.0,8623,-27.808250427246094,-4.151132583618164,0.07886423915624619,0.0003
0,0.40762758255004883,8800,8699,176,20.498868090000002,50.0,8824,-27.945175170898438,-4.224752902984619,0.0743708461523056,0.0003
