time/episodes,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,time/time_elapsed
4,-3.2501752376556396,45.04878775,0,200,0.09496065229177475,189,50.0,0.0003,0.006555455736815929,-1.4716203212738037,446
8,-3.3304076194763184,45.7451965,0,400,0.08964303135871887,389,50.0,0.0003,0.0008418505894951522,-2.076721429824829,891
12,-3.577085256576538,46.11474425,0,600,0.08439188450574875,589,50.0,0.0003,0.00080586172407493,-2.780747175216675,1331
16,-3.301631450653076,46.342088562499995,0,800,0.0795542374253273,789,50.0,0.0003,0.0006554497522301972,-3.5499563217163086,1770
20,-3.3467488288879395,46.39545474999999,0,1000,0.07497923821210861,989,50.0,0.0003,0.0007722243899479508,-4.3346686363220215,2213
24,-3.437497138977051,46.51767745833333,0,1200,0.07076425850391388,1189,50.0,0.0003,0.0009594589937478304,-5.189079761505127,2674
28,-3.465209484100342,46.584160250000004,0,1400,0.0669897198677063,1389,50.0,0.0003,0.0013081352226436138,-5.987194061279297,3115
32,-3.379568099975586,46.722074468749994,0,1600,0.0634453296661377,1589,50.0,0.0003,0.0012005880707874894,-6.8551201820373535,3563
36,-3.0807056427001953,46.819602249999996,0,1800,0.06010441482067108,1789,50.0,0.0003,0.0012283803662285209,-7.7126054763793945,4006
40,-2.6069791316986084,46.907647825,0,2000,0.05705152079463005,1989,50.0,0.0003,0.0020481266546994448,-8.522018432617188,4445
44,-2.2738866806030273,46.9964225909091,0,2200,0.054223719984292984,2189,50.0,0.0003,0.0017393706366419792,-9.347384452819824,4885
48,-3.1168603897094727,47.077831291666676,0,2400,0.05162131041288376,2389,50.0,0.0003,0.0012646899558603764,-10.088399887084961,5352
52,-1.962166428565979,47.160260038461544,0,2600,0.049175623804330826,2589,50.0,0.0003,0.0017486403230577707,-10.527786254882812,5785
56,-2.5405642986297607,47.24471128571429,0,2800,0.046872854232788086,2789,50.0,0.0003,0.0012458948185667396,-10.965463638305664,6217
60,-2.6677663326263428,47.33220403333334,0,3000,0.04464653879404068,2989,50.0,0.0003,0.0010186906438320875,-11.349016189575195,6648
64,-2.5189108848571777,47.397168734375,0,3200,0.04252642020583153,3189,50.0,0.0003,0.0009956550784409046,-11.7648344039917,7080
68,-2.849439859390259,47.46000570588235,0,3400,0.04051951691508293,3389,50.0,0.0003,0.0012492116075009108,-12.153084754943848,7512
72,-2.2817320823669434,47.52044059722222,0,3600,0.03862542659044266,3589,50.0,0.0003,0.0008585323812440038,-12.601373672485352,7946
76,-2.603957176208496,47.58261011842105,0,3800,0.03683876246213913,3789,50.0,0.0003,0.001177160069346428,-12.98842716217041,8378
80,-2.4261670112609863,47.645078125,0,4000,0.035153042525053024,3989,50.0,0.0003,0.0012750162277370691,-13.36237621307373,8811
84,-1.9315502643585205,47.70023719047619,0,4200,0.033586181700229645,4189,50.0,0.0003,0.0026653087697923183,-13.832795143127441,9243
88,-1.9589585065841675,47.74776660227272,0,4400,0.03210325166583061,4389,50.0,0.0003,0.0012148618698120117,-14.152913093566895,9687
92,-1.0125985145568848,47.79050442391304,0,4600,0.030712563544511795,4589,50.0,0.0003,0.0018316376954317093,-14.57277774810791,10123
96,-1.248375654220581,47.83904877083334,0,4800,0.029403092339634895,4789,50.0,0.0003,0.001288213999941945,-14.963590621948242,10555
