step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0542879581451414, 9.089593887329102]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[5.14827e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00],"[0.0028324127197265625, 0.0021162033081054688, 0.0012111663818359375, 0.0005340576171875, 0.007656860165297985]","[0.0045413970947265625, 0.0038251876831054688, 0.0029201507568359375, 0.0022430419921875, 0.009365844540297985]","[0.020341666415333748, 0.02219652757048607, 0.019781945273280144, 0.019895832985639572, 0.020057037472724915]",[0. 0. 0. 0. 0.],0.004518533,0.0042921277,"[2.2078241825103757, 2.12632737159729, 2.384122562408447, 2.4851969242095944, 4.3387837409973145]","[2.204946422576904, 2.1269206047058105, 2.38732590675354, 2.4851943492889403, 4.359187412261963]",0.8138286822109594,0.08646138313540554,0.1999697043020514,0.25,0.07791242179162435,0.1,0.049485172981878094,0.05
2,0,1,-0.46042657,"[9.207171058654785, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.010345458984375, 0.01030731201171875, 0.0102691650390625, 0.011505126953125, 0.011505126953125]","[0.012054443359375, 0.01201629638671875, 0.0119781494140625, 0.013214111328125, 0.013214111328125]","[0.021833334118127823, 0.022288888692855835, 0.022744445130228996, 0.021033333614468575, 0.021033333614468575]",[0. 0. 0. 0. 0.],0.0052355183,0.0046722167,"[4.417348575592041, 3.839429950714111, 3.6356109619140624, 3.712530994415283, 3.603481101989746]","[4.416733455657959, 3.747965049743652, 3.629484939575195, 3.7320440292358397, 3.6088249206542966]",0.8240623568531473,0.11999133781390703,0.18845375017188062,0.25,0.07742174103749855,0.08819552782986112,0.05,0.05
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00946044921875, 0.00946044921875, 0.00946044921875, 0.0008544921875, 0.0008544921875]","[0.01116943359375, 0.01116943359375, 0.01116943359375, 0.0025634765625, 0.0025634765625]","[0.021311111748218536, 0.021311111748218536, 0.021311111748218536, 0.020211111754179, 0.020211111754179]",[0. 0. 0. 0. 0.],0.0055228868,0.0047036507,"[3.150293922424316, 1.093616533279419, 1.1840375185012817, 1.0280320167541503, 1.131028985977173]","[3.152583885192871, 1.0916789770126343, 1.1867544889450072, 1.0286120176315308, 1.130944013595581]",0.7500986565417407,0.04558063242813226,0.2,0.25,0.07872925848860825,0.075788765625,0.05,0.05
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0001983642578125, 0.0001983642578125, 0.0004119873046875, 0.00029754638671875, 0.00018310546875]","[0.0019073486328125, 0.0019073486328125, 0.0021209716796875, 0.00200653076171875, 0.00189208984375]","[0.0214111115783453, 0.0214111115783453, 0.020044444128870964, 0.020233333110809326, 0.02042222209274769]",[0. 0. 0. 0. 0.],0.0052187964,0.0046059997,"[0.9094034910202027, 0.7724290132522583, 0.741436517238617, 0.6686864972114563, 0.6102040052413941]","[0.9094324946403504, 0.7763220071792603, 0.7380120158195496, 0.668906992673874, 0.6107379972934723]",0.7434226451064032,0.014787205585019149,0.2,0.25,0.07863543952138392,0.1,0.05,0.05
5,0,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00018310546875, 0.00032806396484375, 0.0004730224609375, 0.0079345703125, 0.0079345703125]","[0.00189208984375, 0.00203704833984375, 0.0021820068359375, 0.0096435546875, 0.0096435546875]","[0.02042222209274769, 0.021738888695836067, 0.023055555298924446, 0.021255554631352425, 0.021255554631352425]",[0. 0. 0. 0. 0.],0.005167777,0.0045372774,"[3.076773929595947, 7.67745304107666, 7.785278701782227, 7.9193473815917965, 9.820124053955078]","[3.0985649108886717, 7.6890098571777346, 7.809363937377929, 7.918434715270996, 9.290418243408203]",0.8563861260894435,0.2001754077515533,0.19693127013089365,0.25,0.0771478179986632,0.03213163020833333,0.05,0.05
6,0,1,0.8255112,"[10.0, 10.0]",[0.         0.         0.         0.02173913 0.        ],[0.00154321 0.         0.         0.00227273 0.        ],[0. 0. 0. 0. 0.],"[0.004150390625, 0.0003662109375, 0.0003662109375, 0.0046844482421875, 0.0046844482421875]","[0.005859375, 0.0020751953125, 0.0020751953125, 0.0063934326171875, 0.0063934326171875]","[0.022361110895872116, 0.023466667160391808, 0.023466667160391808, 0.020999999716877937, 0.020999999716877937]",[0.         0.         0.         0.00082972 0.00080561],0.005108345,0.0044345562,"[8.545054244995118, 8.651978683471679, 10.0, 8.974738121032715, 9.010412216186523]","[8.555345344543458, 8.709302139282226, 10.0, 9.105874824523926, 9.007558059692382]",0.9356572810294201,0.23361278944034222,0.2,0.24456521739130435,0.0767908064192944,0.08145165520833335,0.05,0.04923681257014591
7,0,1,0.21327162,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00440216064453125, 0.004119873046875, 0.00418853759765625, 0.0042572021484375, 0.0042572021484375]","[0.00611114501953125, 0.005828857421875, 0.00589752197265625, 0.0059661865234375, 0.0059661865234375]","[0.01987222209572792, 0.018744444474577904, 0.018994444981217384, 0.019244443625211716, 0.019244443625211716]",[0.00077507 0.00075609 0.00073974 0.0007208  0.00070922],0.0051659094,0.004286222,"[7.597168731689453, 6.618974113464356, 6.77716407775879, 7.115877723693848, 6.251803016662598]","[7.591421508789063, 6.6348213195800785, 6.895249938964844, 6.983808898925782, 6.256614112854004]",0.8981422050960709,0.19234686118893013,0.19821131157152583,0.25,0.08012818858561482,0.07745584375,0.05,0.05
8,0,1,0.45899308,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00701904296875, 0.00701904296875, 0.0177154541015625, 0.0177154541015625, 0.0177154541015625]","[0.00872802734375, 0.00872802734375, 0.0194244384765625, 0.0194244384765625, 0.0194244384765625]","[0.020955555140972137, 0.020955555140972137, 0.023322222754359245, 0.023322222754359245, 0.023322222754359245]",[0.00068846 0.00066888 0.00064973 0.00063389 0.00062174],0.0057725837,0.004939673,"[7.8670696258544925, 7.834792137145996, 9.011382102966309, 9.10252685546875, 8.82343578338623]","[7.635064125061035, 7.846109771728516, 9.019664192199707, 9.106499099731446, 8.839373970031739]",0.9203004314027905,0.22450964684988717,0.18612146039381094,0.25,0.07691561374242561,0.08275371041666667,0.05,0.05
9,0,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.020477294921875, 0.020477294921875, 0.01953125, 0.018585205078125, 0.018524169921875]","[0.022186279296875, 0.022186279296875, 0.021240234375, 0.020294189453125, 0.020233154296875]","[0.023499999195337296, 0.023499999195337296, 0.023322222754359245, 0.023144444450736046, 0.01975555531680584]",[0.00060527 0.00059461 0.00058378 0.00057327 0.00056593],0.006706543,0.0060544177,"[8.452406883239746, 7.214355850219727, 7.236999130249024, 7.394766235351563, 6.806131935119629]","[8.415461921691895, 7.223951721191407, 7.275744819641114, 7.378936767578125, 6.816900253295898]",0.9053604049278844,0.2034715057212746,0.1866571044921875,0.25,0.07676209992275551,0.08846969479166666,0.05,0.05
10,1,1,0.87014484,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01819610595703125, 0.0178680419921875, 0.0178680419921875, 0.017974853515625, 0.017974853515625]","[0.01990509033203125, 0.0195770263671875, 0.0195770263671875, 0.019683837890625, 0.019683837890625]","[0.019744444638490677, 0.019733333960175514, 0.019733333960175514, 0.02168888971209526, 0.02168888971209526]",[0.00055199 0.00053797 0.00052469 0.00051507 0.00050904],0.0073637175,0.006549807,"[9.03425998687744, 10.0, 10.0, 10.0, 10.0]","[9.036960220336914, 10.0, 10.0, 10.0, 10.0]",0.9457055821626109,0.24680010790983176,0.1953818405730815,0.25,0.07837696701303087,0.07514666666666667,0.05,0.05
11,1,1,0.50479484,"[10.0, 10.0]",[0.        0.        0.        0.0795107 0.       ],[0.         0.00092081 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.007965087890625, 0.008758544921875, 0.0091552734375, 0.008504231460392475, 0.0072021484375]","[0.009674072265625, 0.010467529296875, 0.0108642578125, 0.010213215835392475, 0.0089111328125]","[0.023666666820645332, 0.026725925505161285, 0.028255555778741837, 0.023762963712215424, 0.014777777716517448]",[0.00101976 0.00098107 0.00094724 0.0016738  0.00313196],0.0075869006,0.0063263658,"[8.825140380859375, 10.0, 9.31518268585205, 8.67461109161377, 8.682270622253418]","[8.847577095031738, 10.0, 9.311273384094239, 8.852265167236329, 8.964734840393067]",0.9376332906329398,0.23471775280254847,0.2,0.2301223241590214,0.07297737573398502,0.1,0.05,0.0498158379373849
12,1,1,-0.60531753,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0069427490234375, 0.006683349609375, 0.0178680419921875, 0.029052734375, 0.00677490234375]","[0.0086517333984375, 0.008392333984375, 0.0195770263671875, 0.03076171875, 0.00848388671875]","[0.013077777810394764, 0.01137777790427208, 0.008455555886030197, 0.0055333334021270275, 0.006233333144336939]",[0.00306325 0.00304459 0.00302679 0.00300951 0.0029931 ],0.008003738,0.006821705,"[7.286074256896973, 2.57928352355957, 2.8304478645324704, 2.7409394741058346, 2.358089971542358]","[7.267795753479004, 2.575549030303955, 2.827260398864746, 2.7405725479125973, 2.342785930633545]",0.7844970229123931,0.11203793685149407,0.19126790085118334,0.25,0.08890445534860451,0.04228672986111111,0.05,0.05
13,1,1,0.6492858,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00677490234375, 0.0030975341796875, 0.0030975341796875, 0.0030975341796875, 0.0030975341796875]","[0.00848388671875, 0.0048065185546875, 0.0048065185546875, 0.0048065185546875, 0.0048065185546875]","[0.006233333144336939, 0.008011111058294773, 0.008011111058294773, 0.008011111058294773, 0.008011111058294773]",[0.00296503 0.00292648 0.00288245 0.00283908 0.00280715],0.00789159,0.006686356,"[3.585642623901367, 8.172723007202148, 8.60260829925537, 8.231323623657227, 8.189862823486328]","[3.586694622039795, 8.131242179870606, 8.615966987609863, 8.260190773010253, 8.237106895446777]",0.9126323387909343,0.20218926587426758,0.2,0.25,0.1,0.06044307291666667,0.05,0.05
14,1,1,0.6762886,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00048828125, 0.00048828125, 0.000213623046875, 0.000213623046875, 0.0048675537109375]","[0.002197265625, 0.002197265625, 0.001922607421875, 0.001922607421875, 0.0065765380859375]","[0.004344444256275892, 0.004344444256275892, 0.003966666758060455, 0.003966666758060455, 0.003644444514065981]",[0.00275782 0.00271028 0.00267151 0.00262513 0.00258841],0.0076463996,0.0066177417,"[8.452653503417968, 8.249904823303222, 8.310269546508788, 8.957709884643554, 8.560653686523438]","[8.39965534210205, 8.277704238891602, 8.314541053771972, 8.950801658630372, 8.613438987731934]",0.9621383990543866,0.22411554697105307,0.2,0.25,0.1,0.08802285208333333,0.05,0.05
15,1,1,-0.40652192,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0048675537109375, 0.00501251220703125, 0.005157470703125, 0.005157470703125, 0.00501251220703125]","[0.0065765380859375, 0.00672149658203125, 0.006866455078125, 0.006866455078125, 0.00672149658203125]","[0.003644444514065981, 0.005361110903322697, 0.0070777777582407, 0.0070777777582407, 0.006055555772036314]",[0.002541   0.00252282 0.00250662 0.00249164 0.00247706],0.007603939,0.0064618983,"[7.661366653442383, 3.870500946044922, 3.821394920349121, 3.498280429840088, 3.475734996795654]","[7.6424867630004885, 3.889626598358154, 3.8151075363159177, 3.503149604797363, 3.4829793930053707]",0.8412409222629132,0.13669291475186698,0.19663949396937946,0.25,0.1,0.057908513541666665,0.05,0.05
16,1,1,-0.6956118,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0048675537109375, 0.0048675537109375, 0.0051727294921875, 0.0048828125, 0.0048828125]","[0.0065765380859375, 0.0065765380859375, 0.0068817138671875, 0.006591796875, 0.006591796875]","[0.005033333320170641, 0.005033333320170641, 0.007244444452226162, 0.00566666666418314, 0.00566666666418314]",[0.00245825 0.00244757 0.00243829 0.00242811 0.00242139],0.0075648916,0.0063312165,"[3.049308395385742, 2.509773540496826, 2.050357484817505, 2.1429550647735596, 2.0194560050964356]","[3.035608959197998, 2.5159829616546627, 2.056703519821167, 2.1389575004577637, 2.020600986480713]",0.8030001513550475,0.07499062531338078,0.2,0.25,0.1,0.07800952604166667,0.05,0.05
