step,weightUpdates,episode,action,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/gradientRtt,state/interarrivalJitter,state/lossRate,state/rttMean,state/rttStd,state/rxRate,state/txRate,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,1,1,-0.7686482,0.0,0.0,0.003984064,0.0,0.042419434,0.0,0.011188889,0.0,0.042419434,0.0,0.0,2.020473,0.0,0.0,0.2,0.2,0.18620789275628188,0.05,0.0,0.075
2,1,1,-0.6560789,0.0,0.0,0.0,0.0,0.0,-0.042419434,0.029988889,0.0,0.021209717,0.021209717,0.0,1.8845549,0.0,0.0,0.2,0.2,0.14344717317213737,0.05,0.075,0.075
3,1,1,-0.7266388,0.0,0.0,0.0,0.0,0.0,0.0,0.025433334,0.0,0.0141398115,0.019996712,0.0,1.535297,0.0,0.0,0.2,0.2,0.15030761292377542,0.05,0.075,0.075
4,1,1,-0.6412923,0.0,0.0,0.0,0.0,0.0,0.0,0.0355,0.0,0.010604858,0.018368153,0.0,3.583528,0.0,0.0,0.2,0.2,0.13612512230931478,0.05,0.075,0.075
5,1,1,-0.58682984,0.0,0.0,0.0,0.03843689,0.03843689,0.03843689,0.027866667,0.0,0.016171265,0.019845674,3.132657,3.132947,0.7555087139898744,0.06132811967868099,0.1476470947265625,0.2,0.14653349958463088,0.05,0.075,0.075
6,1,1,0.71311533,0.0,0.0,0.0,0.041870117,0.041870117,0.0034332275,0.026855556,0.0,0.020454407,0.020492328,5e-06,11.693266,0.0,1.1455208907159497e-07,0.18371734619140626,0.2,0.14806842108226548,0.03955782666666667,0.075,0.075
7,1,1,0.42605197,0.0,0.0,0.0,0.03778076,0.03778076,-0.0040893555,0.0293,0.0,0.0229296,0.019917434,0.0,10.9331665,0.0,0.0,0.19542617797851564,0.2,0.1444302240422008,0.05,0.075,0.075
8,1,1,0.0453465,0.0,0.0,0.0,0.03666687,0.03666687,-0.0011138916,0.028277777,0.0,0.024646759,0.019176982,3e-06,8.068929,0.0,6.873126130738356e-08,0.1942452566964286,0.2,0.14592186722487135,0.05,0.075,0.075
9,1,1,0.78604484,0.0,0.0,0.0,0.07357788,0.07357788,0.03691101,0.031688888,0.0,0.03008355,0.023735298,0.0,11.869552,0.0,0.0,0.13862342834472657,0.2,0.1410914079083346,0.05,0.075,0.075
10,2,1,-0.8848816,0.0,0.0,0.0,0.036224365,0.036224365,-0.037353516,0.029922223,0.0,0.030697633,0.022592517,0.868927,0.808209,0.7625194739720469,0.018977914931353965,0.2,0.2,0.143541559040693,0.05,0.075,0.075
11,2,1,-0.6894461,0.0,0.0,0.0,0.039978027,0.039978027,0.003753662,0.03322222,0.0,0.031541303,0.021705706,1.9794519,1.978894,0.7715245318452997,0.040873748778780784,0.19160614013671876,0.2,0.1390446429298002,0.05,0.075,0.075
12,2,1,-0.2012887,0.0,0.0,0.0,0.037002563,0.037002563,-0.0029754639,0.024388889,0.0,0.03199641,0.020836374,2e-06,5.108487,0.0,4.582084351082873e-08,0.199700927734375,0.2,0.15201852209214245,0.043401833333333334,0.075,0.075
13,2,1,0.61904955,0.0,0.0,0.0,0.04045105,0.04045105,0.0034484863,0.033166666,0.0,0.032646768,0.020145312,0.0,8.59388,0.0,0.0,0.19340286254882813,0.2,0.13911759969690204,0.05,0.075,0.075
14,2,1,0.8056395,0.0,0.0,0.0,0.03614807,0.03614807,-0.0043029785,0.027011111,0.0,0.032896858,0.019433439,0.0,10.940066,0.0,0.0,0.2,0.2,0.14782933987596306,0.05,0.075,0.075
15,2,1,0.2654451,0.0,0.010820559,0.0,0.062332153,0.062332153,0.026184082,0.0251,0.0,0.034859214,0.02015919,4e-06,9.923631,0.0,9.164167652391137e-08,0.16355667114257813,0.2,0.150847177090222,0.05,0.075,0.058769161406672675
16,2,1,-0.7488221,0.0,0.03211009,0.0,0.040512085,0.040512085,-0.021820068,0.0242,0.0,0.035212517,0.019566955,1e-06,3.383141,0.0,2.2910423045428472e-08,0.2,0.2,0.15233449884874806,0.05,0.075,0.0268348623853211
