step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.019642972946167, 9.975507926940917]",0.0,0.0,0.00027229407,0.0,0.0053863525,0.007022222,0.0,0.0053863525,0.0,7.9474006,7.9505243,0.8573442362939985,0.17095894017418897,0.2,0.2,0.1,0.1,0.036385296119809396,0.05
2,0,1,-0.46042657,"[10.0, 10.0]",0.0,0.0,0.0,0.0,0.0015869141,0.0059555555,0.0,0.0034866333,0.0018997192,3.0918062,3.1052,0.7280724276103688,0.07865153177703545,0.2,0.2,0.1,0.04942089583333334,0.05,0.05
3,0,1,-0.918053,"[10.0, 10.0]",0.0,0.0,0.0,0.00038146973,0.0019683838,0.005511111,0.0,0.00298055,0.0017082727,1.097204,1.0958221,0.7027423321760063,0.023519436342672985,0.2,0.2,0.1,0.07922289583333333,0.05,0.05
4,0,1,-0.96694475,"[10.0, 10.0]",0.0,0.0,0.0,0.0,0.0014801025,0.004955556,0.0,0.0026054382,0.0016157889,0.610175,0.60867,0.7073856825376709,0.007385682537670775,0.2,0.2,0.1,0.1,0.05,0.05
5,0,1,0.6265404,"[10.0, 10.0]",0.0,0.0,0.0,0.00019836426,0.0016784668,0.008077778,0.0,0.002420044,0.0014920131,8.338189,8.323449,0.7963226159592544,0.17682276179258755,0.2,0.2,0.1,0.019499854166666677,0.05,0.05
6,0,1,0.8255112,"[10.0, 10.0]",0.0,0.0,0.0,0.0,0.0013275146,0.008655556,0.0,0.0022379558,0.0014215718,9.027657,9.00552,0.8867667420523977,0.18676674205239766,0.2,0.2,0.1,0.1,0.05,0.05
7,0,1,0.21327162,"[10.0, 10.0]",0.0,0.0,0.0,0.011993408,0.013320923,0.008344444,0.0,0.0038212368,0.0040954663,8.034217,8.025421,0.8443933464503471,0.17227657154800335,0.1824651082356771,0.2,0.1,0.08965166666666667,0.05,0.05
8,0,1,0.45899308,"[10.0, 10.0]",0.0,0.0,0.0,0.00032043457,0.0016479492,0.008444444,0.0,0.0035495758,0.003897799,7.9781275,7.955323,0.8714262804295514,0.17142628042955127,0.2,0.2,0.1,0.1,0.05,0.05
9,0,1,0.087249994,"[10.0, 10.0]",0.0,0.0,0.0,0.0,0.0013275146,0.007911111,0.0,0.00330268,0.003740642,6.7254395,6.7311306,0.8383797510927814,0.15142858442611462,0.2,0.2,0.1,0.08695116666666668,0.05,0.05
10,1,1,0.87014484,"[10.0, 10.0]",0.0,0.0,0.0,0.00018310547,0.0015106201,0.010722222,0.0,0.003123474,0.0035891775,10.0,10.0,0.8605151510844679,0.2,0.2,0.2,0.09462516150113431,0.06588998958333334,0.05,0.05
