rollout/ep_len_mean,time/total_timesteps,time/fps,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,time/time_elapsed,train/ent_coef,time/episodes,rollout/ep_rew_mean,train/n_updates
50.0,200,0,-3.232313871383667,0.007495651487261057,0.0003,-1.3825006484985352,447,0.09476976096630096,4,44.53199475,189
50.0,400,0,-3.1748645305633545,0.0015863036969676614,0.0003,-2.021556854248047,895,0.0897999107837677,8,45.669291875,389
50.0,600,0,-3.3928322792053223,0.0010948462877422571,0.0003,-2.7256128787994385,1355,0.08482412993907928,12,46.10553975,589
50.0,800,0,-3.4386816024780273,0.0015778818633407354,0.0003,-3.478804588317871,1802,0.08002162724733353,16,46.20294625,789
50.0,1000,0,-3.3507699966430664,0.0012058300198987126,0.0003,-4.316378593444824,2279,0.0754300206899643,20,46.216630599999995,989
50.0,1200,0,-3.5454633235931396,0.0017016429919749498,0.0003,-5.126557350158691,2727,0.07110174745321274,24,46.66378933333334,1189
50.0,1400,0,-4.0366740226745605,0.0036235081497579813,0.0003,-5.964484691619873,3173,0.06699301302433014,28,47.00048971428572,1389
50.0,1600,0,-4.098191261291504,0.0039297654293477535,0.0003,-6.848592758178711,3653,0.06314109265804291,32,47.245584968749995,1589
50.0,1800,0,-3.617614507675171,0.0040892730467021465,0.0003,-7.663365364074707,4112,0.05951906740665436,36,47.448353194444444,1789
50.0,2000,0,-3.545706272125244,0.009129047393798828,0.0003,-8.560935020446777,4569,0.05615377798676491,40,47.63519145,1989
50.0,2200,0,-4.103138446807861,0.005596731789410114,0.0003,-9.40280532836914,5015,0.05291745439171791,44,47.760283659090916,2189
50.0,2400,0,-4.03717565536499,0.009437400847673416,0.0003,-10.099235534667969,5509,0.04987261816859245,48,47.86384641666666,2389
50.0,2600,0,-3.7329068183898926,0.0047524962574243546,0.0003,-10.648099899291992,5949,0.047002971172332764,52,47.95052576923076,2589
50.0,2800,0,-3.6361536979675293,0.004394167568534613,0.0003,-11.0433349609375,6387,0.044299475848674774,56,48.03313108928571,2789
50.0,3000,0,-4.406073093414307,0.00876425951719284,0.0003,-11.658540725708008,6826,0.041739385575056076,60,48.11017963333334,2989
50.0,3200,0,-3.1727681159973145,0.005845002830028534,0.0003,-12.255295753479004,7267,0.0393378809094429,64,48.176679578125004,3189
50.0,3400,0,-4.061574935913086,0.008121039718389511,0.0003,-12.871731758117676,7704,0.03708408772945404,68,48.22941122058824,3389
50.0,3600,0,-3.990569591522217,0.0053534600883722305,0.0003,-13.548298835754395,8142,0.034945908933877945,72,48.27605734722223,3589
50.0,3800,0,-3.6205742359161377,0.0058699483051896095,0.0003,-14.10495662689209,8581,0.03293012082576752,76,48.314868263157905,3789
50.0,4000,0,-4.502520561218262,0.0043456656858325005,0.0003,-14.602885246276855,9022,0.031001243740320206,80,48.35139943750001,3989
50.0,4200,0,-3.7106666564941406,0.004901296459138393,0.0003,-15.154179573059082,9470,0.029188552871346474,84,48.386961142857146,4189
50.0,4400,0,-4.567522048950195,0.007168457377701998,0.0003,-15.675813674926758,9941,0.027518659830093384,88,48.41380439772727,4389
50.0,4600,0,-4.01833438873291,0.004804482217878103,0.0003,-16.383987426757812,10402,0.025949418544769287,92,48.43855713043478,4589
50.0,4800,0,-4.196185111999512,0.006188676692545414,0.0003,-17.018259048461914,10841,0.02447231113910675,96,48.462106375,4789
