step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0434080600738525, 3.533523941040039]",[0. 0. 0. 0. 0.],[0.         0.         0.00132626 0.         0.        ],[8.8723275e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.02961261384189129, 0.013200026005506516, 0.011514516547322273, 0.028879018500447273, 0.011363983154296875]","[0.03791339695453644, 0.021500807255506516, 0.019815297797322273, 0.03717980161309242, 0.019664764404296875]","[0.029371794313192368, 0.024823077023029327, 0.02841453067958355, 0.030743589624762535, 0.0269333329051733]",[0. 0. 0. 0. 0.],0.027332783,0.017580288,"[2.37591814994812, 2.2933197021484375, 2.4243468284606933, 2.3973947048187254, 3.4381497383117674]","[2.168524169921875, 2.2367584228515622, 2.369934892654419, 2.4151055812835693, 3.3309595108032224]",0.8025903707758902,0.08254812565949353,0.2,0.25,0.07119472982692941,0.1,0.049112767278857244,0.049734748010610084
2,0,1,-0.46042657,"[3.569054126739502, 4.598328876495361]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0058746337890625, 0.0058746337890625, 0.0058746337890625, 0.0058746337890625, 0.0084381103515625]","[0.0141754150390625, 0.0141754150390625, 0.0141754150390625, 0.0141754150390625, 0.0167388916015625]","[0.028655555099248886, 0.028655555099248886, 0.028655555099248886, 0.028655555099248886, 0.030077777802944183]",[0.00891862 0.00876552 0.0086445  0.00852777 0.0084507 ],0.026416503,0.017247988,"[7.798738098144531, 7.359738731384278, 4.253922080993652, 3.1124880790710447, 3.652392864227295]","[7.587283897399902, 7.9755859375, 4.325334930419922, 3.0794569969177243, 3.805263042449951]",0.8499410206752376,0.155880549893642,0.2,0.25,0.07166078492422363,0.0723996858573718,0.05,0.05
3,0,1,-0.918053,"[4.647783946990967, 5.3552350997924805]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0084381103515625, 0.01049041748046875, 0.012542724609375, 0.0309600830078125, 0.0309600830078125]","[0.0167388916015625, 0.01879119873046875, 0.020843505859375, 0.0392608642578125, 0.0392608642578125]","[0.030077777802944183, 0.02571111172437668, 0.021344443783164024, 0.02253333292901516, 0.02253333292901516]",[0.0083271  0.00827539 0.00820234 0.00815956 0.00813743],0.026155943,0.016603041,"[1.6681820392608642, 0.7905185103416443, 1.1420640230178833, 1.0514959812164306, 0.9655759930610657]","[1.7800620555877686, 0.7887285113334657, 1.1649869680404663, 1.0455150127410888, 0.9418070077896118]",0.6965719930211774,0.03044589789272098,0.18729748416256597,0.25,0.07166078492422363,0.057167826041666675,0.05,0.05
4,0,1,-0.96694475,"[5.412413787841797, 6.250664901733399]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0309600830078125, 0.03107452392578125, 0.03118896484375, 0.0201568603515625, 0.009124755859375]","[0.0392608642578125, 0.03937530517578125, 0.03948974609375, 0.0284576416015625, 0.017425537109375]","[0.02253333292901516, 0.022833332419395447, 0.023133333772420883, 0.021111110225319862, 0.01908888854086399]",[0.0080695  0.00803214 0.00799557 0.00796197 0.00793476],0.027030235,0.01618892,"[0.8945105075836182, 0.6612069964408875, 0.6529315054416657, 0.7385885119438171, 0.6155260086059571]","[0.8857735157012939, 0.647838008403778, 0.6510630071163177, 0.7227560043334962, 0.5442189991474151]",0.7319798749572198,0.013608571980976153,0.19129145422647167,0.25,0.07707984874977189,0.1,0.05,0.05
5,1,1,0.6265404,"[6.320809173583984, 7.267240142822266]",[0.         0.         0.         0.13636364 0.        ],[0.         0.         0.00252525 0.00480769 0.        ],[0. 0. 0. 0. 0.],"[0.0117340087890625, 0.01434326171875, 0.01434326171875, 0.0167083740234375, 0.0167083740234375]","[0.0200347900390625, 0.02264404296875, 0.02264404296875, 0.0250091552734375, 0.0250091552734375]","[0.02161666750907898, 0.02414444461464882, 0.02414444461464882, 0.024977777153253555, 0.024977777153253555]",[0.00778248 0.00749166 0.00720499 0.01065306 0.01020877],0.026634457,0.015466361,"[2.4636239528656003, 8.384904479980468, 6.809932518005371, 9.362228202819825, 10.0]","[2.5939535617828366, 8.345134544372558, 7.930271911621094, 9.173907661437989, 10.0]",0.8234000186429089,0.20313827449298796,0.2,0.2159090909090909,0.07552325366575224,0.030295988541666666,0.05,0.048533411033411036
6,1,1,0.8255112,"[7.348790740966797, 5.396092224121094]",[0.         0.         0.15327871 0.         0.02846442],[0.         0.01592944 0.00767247 0.0043849  0.        ],[0.         0.         0.00187266 0.         0.        ],"[0.01815287210047245, 0.06704457849264145, 0.02991739846765995, 0.02294921875, 0.03173828125]","[0.02645365335047245, 0.07534535974264145, 0.0382181815803051, 0.03125, 0.0400390625]","[0.02666296251118183, 0.03115370310842991, 0.03646111115813255, 0.03704444319009781, 0.031833332031965256]",[0.00960191 0.00857175 0.03807826 0.04385138 0.04301726],0.030299366,0.01868777,"[8.297687911987305, 6.635188102722168, 7.864251518249512, 9.785787200927734, 10.0]","[8.309141159057617, 8.52234058380127, 8.078044891357422, 9.919850730895996, 10.0]",0.8348922888659812,0.22430434183517434,0.17482604360192772,0.20456421943472064,0.06710960964388264,0.08841202875,0.03127340823970037,0.04440263736057549
7,1,1,0.21327162,"[5.485698890686035, 6.339690780639649]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0.         0.00416667 0.         0.         0.        ],"[0.05963134765625, 0.02789306640625, 0.02789306640625, 0.02789306640625, 0.0281219482421875]","[0.06793212890625, 0.03619384765625, 0.03619384765625, 0.03619384765625, 0.0364227294921875]","[0.0340999998152256, 0.032188888639211655, 0.032188888639211655, 0.032188888639211655, 0.029988888651132584]",[0.04063724 0.03997896 0.03927482 0.03891684 0.03862436],0.031145634,0.018719602,"[9.085149574279786, 5.917473602294922, 7.159270858764649, 5.860412216186524, 6.429066848754883]","[8.988576316833496, 6.145789527893067, 7.20914306640625, 6.149158096313477, 6.326590156555176]",0.8470187575387335,0.19272133883994863,0.1939531476746382,0.25,0.06895165060747996,0.08305928708333335,0.008333333333333337,0.05
8,1,1,0.45899308,"[6.425651931762696, 7.439130973815918]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00153374 0.        ],[0. 0. 0. 0. 0.],"[0.0281219482421875, 0.0281219482421875, 0.0370330810546875, 0.0459442138671875, 0.0459442138671875]","[0.0364227294921875, 0.0364227294921875, 0.0453338623046875, 0.0542449951171875, 0.0542449951171875]","[0.029988888651132584, 0.029988888651132584, 0.029783332720398903, 0.02957777865231037, 0.02957777865231037]",[0.03765091 0.03707414 0.03645953 0.03576962 0.03521707],0.031994086,0.01853149,"[9.304472732543946, 8.043691444396972, 9.171503829956055, 8.384464454650878, 10.0]","[7.921537780761719, 7.829737281799316, 8.90986270904541, 8.99369411468506, 10.0]",0.9228572213169587,0.23263343773932574,0.19058352879115514,0.25,0.07172358658606869,0.07822341666666668,0.05,0.049693251533742336
9,1,1,0.087249994,"[7.498335266113282, 8.73932113647461]",[0.06338028 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0332489013671875, 0.0205535888671875, 0.0205535888671875, 0.0153350830078125, 0.0153350830078125]","[0.0415496826171875, 0.0288543701171875, 0.0288543701171875, 0.0236358642578125, 0.0236358642578125]","[0.03257777914404869, 0.03557777777314186, 0.03557777777314186, 0.032677777111530304, 0.032677777111530304]",[0.03485672 0.03488869 0.03440357 0.03385634 0.0336046 ],0.031869773,0.018102974,"[8.703441619873047, 4.438842868804932, 6.871090888977051, 6.332499885559082, 6.747474098205567]","[8.381715011596679, 4.248151397705078, 7.0982160568237305, 6.37268409729004, 5.94439926147461]",0.8645979405173214,0.18703491799391028,0.2,0.23415492957746478,0.06801389190427957,0.07539420104166666,0.05,0.05
10,2,1,0.87014484,"[8.832632255554199, 10.0]",[0.         0.01646707 0.         0.01719198 0.        ],[0.         0.00154799 0.00467846 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0153350830078125, 0.0101776123046875, 0.0101776123046875, 0.0312957763671875, 0.0312957763671875]","[0.0236358642578125, 0.0184783935546875, 0.0184783935546875, 0.0395965576171875, 0.0395965576171875]","[0.032677777111530304, 0.034122221171855927, 0.034122221171855927, 0.031122222542762756, 0.031122222542762756]",[0.03291601 0.0326144  0.03193798 0.03165645 0.03138083],0.031522132,0.017807046,"[9.199521255493163, 10.0, 9.592702484130859, 10.0, 10.0]","[9.13859577178955, 10.0, 9.313445472717286, 10.0, 10.0]",0.9225629847777368,0.24599168346910227,0.2,0.24158523926359315,0.06893733931407535,0.06729401145833333,0.05,0.04875471127263261
