time/episodes,time/fps,train/n_updates,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/time_elapsed
4,0,189,0.09870786964893341,41.6083165,200,0.0540635846555233,7e-05,50.0,-3.404620885848999,-1.1710708141326904,668
8,0,389,0.09754714369773865,42.540281375,400,0.02771712839603424,7e-05,50.0,-2.8013861179351807,-1.8303431272506714,1332
12,0,589,0.0963706225156784,42.82127966666667,600,0.008555451408028603,7e-05,50.0,-2.9256350994110107,-2.5011727809906006,1996
16,0,789,0.09504599869251251,42.9329615,800,0.013747509568929672,7e-05,50.0,-3.573932409286499,-3.195888042449951,2664
20,0,989,0.0936591625213623,42.94459105,1000,0.00800840649753809,7e-05,50.0,-3.467071056365967,-3.974095582962036,3322
24,0,1189,0.09229128062725067,42.931499333333335,1200,0.0059041487984359264,7e-05,50.0,-3.573434352874756,-4.783993721008301,3985
28,0,1389,0.0909503623843193,42.98210042857143,1400,0.0041562942788004875,7e-05,50.0,-3.3423149585723877,-5.579841613769531,4631
32,0,1589,0.0896415114402771,43.02517728125,1600,0.003832915099337697,7e-05,50.0,-3.686856508255005,-6.346243858337402,5284
36,0,1789,0.08837037533521652,43.05240441666667,1800,0.003598855808377266,7e-05,50.0,-3.9881699085235596,-7.151413440704346,5935
40,0,1989,0.08712512999773026,43.0900516,2000,0.0038144108839333057,7e-05,50.0,-3.526801586151123,-7.932007312774658,6587
44,0,2189,0.08590219169855118,43.12261006818182,2200,0.0033892057836055756,7e-05,50.0,-4.002997398376465,-8.71666145324707,7235
48,0,2389,0.08470020443201065,43.13661195833333,2400,0.0034880698658525944,7e-05,50.0,-3.7842631340026855,-9.500518798828125,7891
52,0,2589,0.08351309597492218,43.16543565384615,2600,0.0037298647221177816,7e-05,50.0,-3.6155900955200195,-10.285801887512207,8544
56,0,2789,0.0823412835597992,43.17635882142857,2800,0.003896133741363883,7e-05,50.0,-3.718811511993408,-11.078804969787598,9198
60,0,2989,0.08119325339794159,43.2021089,3000,0.002357092685997486,7e-05,50.0,-3.560032606124878,-11.843770980834961,9851
64,0,3189,0.08006594330072403,43.227661609375,3200,0.0035086353309452534,7e-05,50.0,-3.604184627532959,-12.603689193725586,10515
68,0,3389,0.0789598897099495,43.25910917647059,3400,0.003900873241946101,7e-05,50.0,-3.703645944595337,-13.346109390258789,11163
72,0,3589,0.07787004858255386,43.28749802777778,3600,0.0026138420216739178,7e-05,50.0,-3.645402669906616,-14.079081535339355,11814
76,0,3789,0.07680266350507736,43.31143573684211,3800,0.0035726644564419985,7e-05,50.0,-3.7485485076904297,-14.806692123413086,12467
80,0,3989,0.07575031369924545,43.354011775000004,4000,0.0030910023488104343,7e-05,50.0,-3.764430046081543,-15.564318656921387,13127
84,0,4189,0.07470809668302536,43.372852940476186,4200,0.002800579648464918,7e-05,50.0,-3.5215282440185547,-16.291696548461914,13786
88,0,4389,0.07368417829275131,43.39850677272727,4400,0.0037311976775527,7e-05,50.0,-3.9068212509155273,-17.005207061767578,14436
