train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/critic_loss,time/fps,rollout/ep_len_mean,train/ent_coef,time/episodes
189,-3.7332606315612793,-1.3593826293945312,0.0006,42.655679750000004,653,200,0.004190409556031227,0,50.0,0.08965890854597092,4
389,-3.9525039196014404,-1.9528601169586182,0.0006,42.965540875,1307,400,0.0023552312050014734,0,50.0,0.07978051155805588,8
589,-3.972750186920166,-2.6223936080932617,0.0006,43.19882666666667,1961,600,0.0017210615333169699,0,50.0,0.07081039994955063,12
789,-3.9342589378356934,-3.3653786182403564,0.0006,43.399910875,2607,800,0.002272883430123329,0,50.0,0.06299151480197906,16
989,-3.9760632514953613,-4.153646945953369,0.0006,43.5594826,3268,1000,0.0019358311546966434,0,50.0,0.05619145184755325,20
1189,-4.075572967529297,-4.934781074523926,0.0006,43.618900833333335,3928,1200,0.0023012736346572638,0,50.0,0.05028492957353592,24
1389,-3.586066722869873,-5.722330570220947,0.0006,43.70195514285715,4581,1400,0.0025768340565264225,0,50.0,0.04510059580206871,28
1589,-3.9888854026794434,-6.524846076965332,0.0006,43.785350125,5251,1600,0.0020343384239822626,0,50.0,0.04051892086863518,32
1789,-3.8073058128356934,-7.366758823394775,0.0006,43.85089191666666,5905,1800,0.0027022594586014748,0,50.0,0.03647475689649582,36
1989,-3.8287506103515625,-8.137670516967773,0.0006,43.918419074999996,6570,2000,0.003742807311937213,0,50.0,0.032858382910490036,40
2189,-3.724964141845703,-8.90173625946045,0.0006,43.969770681818176,7229,2200,0.002147362567484379,0,50.0,0.02961120195686817,44
2389,-3.8567728996276855,-9.690378189086914,0.0006,43.99934516666667,7880,2400,0.002833128906786442,0,50.0,0.026703253388404846,48
2589,-4.41414737701416,-10.3982572555542,0.0006,43.96373405769232,8551,2600,0.004235944710671902,0,50.0,0.02412264794111252,52
2789,-3.7029848098754883,-11.203852653503418,0.0006,43.951496375,9215,2800,0.0026033450849354267,0,50.0,0.021787334233522415,56
2989,-3.5083022117614746,-11.972060203552246,0.0006,43.9628479,9873,3000,0.003092024475336075,0,50.0,0.019677693024277687,60
3189,-4.6763739585876465,-12.655104637145996,0.0006,43.99462571875,10520,3200,0.007323703728616238,0,50.0,0.017788002267479897,64
3389,-3.066715717315674,-13.490540504455566,0.0006,44.04805988235294,11158,3400,0.018495898693799973,0,50.0,0.016096878796815872,68
3589,-3.240997791290283,-14.169540405273438,0.0006,44.07955625,11802,3600,0.003360025119036436,0,50.0,0.014645937830209732,72
3789,-4.056018829345703,-14.924535751342773,0.0006,44.12221040789474,12438,3800,0.015532167628407478,0,50.0,0.013361151330173016,76
3989,-2.82411527633667,-15.650124549865723,0.0006,44.141311775000005,13082,4000,0.0023797142785042524,0,50.0,0.012234548106789589,80
4189,-2.3933310508728027,-16.333574295043945,0.0006,44.14769973809524,13738,4200,0.009867112152278423,0,50.0,0.011265480890870094,84
4389,-1.7956478595733643,-17.1175479888916,0.0006,44.146941045454554,14403,4400,0.0034683067351579666,0,50.0,0.010362977162003517,88
4589,-2.051431655883789,-17.819326400756836,0.0006,44.14853389130435,15050,4600,0.007979141548275948,0,50.0,0.009542357176542282,92
4789,-1.838514804840088,-18.503814697265625,0.0006,44.18017721875,15667,4800,0.004124751314520836,0,50.0,0.00874781608581543,96
