time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,time/fps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,train/learning_rate,train/actor_loss
200,50.0,639,0.08042861521244049,0,0.0028204042464494705,189,43.77775475000001,-3.5990424156188965,4,0.0012,-1.4175639152526855
400,50.0,1225,0.06409656256437302,0,0.0015059539582580328,389,44.726245625000004,-3.8681983947753906,8,0.0012,-2.0338475704193115
600,50.0,1797,0.05150113254785538,0,0.0019153625471517444,589,45.124317,-3.5153942108154297,12,0.0012,-2.7402005195617676
800,50.0,2380,0.04200471565127373,0,0.0017619854770600796,789,45.444371625,-3.456237316131592,16,0.0012,-3.5202083587646484
1000,50.0,2959,0.03493373095989227,0,0.0044625592418015,989,45.7369743,-2.959221124649048,20,0.0012,-4.347685813903809
1200,50.0,3537,0.029613666236400604,0,0.0031236326321959496,1189,45.9885375,-2.1625850200653076,24,0.0012,-5.163508892059326
1400,50.0,4111,0.025566766038537025,0,0.007437789812684059,1389,46.181619999999995,-2.708407163619995,28,0.0012,-5.944579124450684
1600,50.0,4696,0.022452060133218765,0,0.0032590189948678017,1589,46.3606036875,-2.1096253395080566,32,0.0012,-6.8016581535339355
1800,50.0,5269,0.020105987787246704,0,0.004605216905474663,1789,46.48314469444445,-1.5526202917099,36,0.0012,-7.638576507568359
2000,50.0,5849,0.01831633411347866,0,0.00272937910631299,1989,46.58562835,-1.253770112991333,40,0.0012,-8.46143627166748
2200,50.0,6425,0.01692681945860386,0,0.009585080668330193,2189,46.676669545454544,-0.761553943157196,44,0.0012,-9.279892921447754
2400,50.0,7014,0.015981370583176613,0,0.008083323016762733,2389,46.7470708125,-0.44986048340797424,48,0.0012,-10.124302864074707
2600,50.0,7592,0.015323427505791187,0,0.007364947348833084,2589,46.81189375,-0.7083945274353027,52,0.0012,-10.987513542175293
2800,50.0,8166,0.014975064434111118,0,0.014637990854680538,2789,46.882001249999995,0.3199942708015442,56,0.0012,-11.721304893493652
3000,50.0,8741,0.014878947287797928,0,0.00378482136875391,2989,46.93639781666666,-0.3526947796344757,60,0.0012,-12.49221134185791
3200,50.0,9316,0.014770861715078354,0,0.015170225873589516,3189,46.982094812499994,0.6971600651741028,64,0.0012,-13.32470989227295
3400,50.0,9892,0.014782452024519444,0,0.019061915576457977,3389,47.023605897058815,-0.1274302899837494,68,0.0012,-14.087503433227539
3600,50.0,10467,0.015024939551949501,0,0.010573381558060646,3589,47.07246095833333,0.5349516868591309,72,0.0012,-14.905627250671387
3800,50.0,11040,0.015286186710000038,0,0.006846733391284943,3789,47.11390552631579,-0.5778872966766357,76,0.0012,-15.709683418273926
4000,50.0,11609,0.015900736674666405,0,0.011655863374471664,3989,47.1504154625,0.7787513136863708,80,0.0012,-16.43336296081543
4200,50.0,12182,0.01601354591548443,0,0.004107216373085976,4189,47.17924766666667,0.320904403924942,84,0.0012,-17.104734420776367
4400,50.0,12754,0.01620168425142765,0,0.010914341546595097,4389,47.20939176136364,0.26801571249961853,88,0.0012,-17.92068862915039
4600,50.0,13325,0.016627388074994087,0,0.012415090575814247,4589,47.23399323913044,0.016220927238464355,92,0.0012,-18.62584114074707
4800,50.0,13898,0.01750835031270981,0,0.02170606702566147,4789,47.25580941666667,0.2786899209022522,96,0.0012,-19.356250762939453
