step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0268059730529786, 2.962135028839111]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00099833],[8.9445435e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.05119910463690758, 0.025054931640625, 0.007335662841796875, 0.00922393798828125, 0.0036570231895893812]","[0.05734839662909508, 0.0312042236328125, 0.013484954833984375, 0.01537322998046875, 0.009806315414607525]","[0.023175213485956192, 0.021933333948254585, 0.024916667491197586, 0.02884814888238907, 0.028611110523343086]",[0. 0. 0. 0. 0.],0.026050936,0.02303876,"[2.32408971786499, 2.392033290863037, 2.3475372314453122, 2.3338347911834716, 4.307478141784668]","[2.327286911010742, 2.3814400672912597, 2.34339861869812, 2.3503377437591553, 4.319912433624268]",0.808937893169417,0.08748972437721829,0.2,0.25,0.07254228840697162,0.1,0.04910554561717353,0.04980033476805357
2,0,1,-0.46042657,"[2.995606136322021, 3.5426740646362305]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03271484375, 0.03271484375, 0.03271484375, 0.03271484375, 0.02093505859375]","[0.0388641357421875, 0.0388641357421875, 0.0388641357421875, 0.0388641357421875, 0.0270843505859375]","[0.026855556294322014, 0.026855556294322014, 0.026855556294322014, 0.026855556294322014, 0.028699999675154686]",[0.01740263 0.01726974 0.01697264 0.01680768 0.01656151],0.026831329,0.022369226,"[5.434491157531738, 5.292087173461915, 3.471630001068115, 4.717325973510742, 2.8866641044616697]","[5.5412742614746096, 5.345170021057129, 3.404730129241943, 4.738821983337402, 3.0516750335693357]",0.8238360873251948,0.1339580741577996,0.18409682024588223,0.25,0.07265041133764531,0.08313078158386752,0.05,0.05
3,0,1,-0.918053,"[3.57581787109375, 4.122636890411377]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02093505859375, 0.02874755859375, 0.02874755859375, 0.02874755859375, 0.02874755859375]","[0.0270843505859375, 0.0348968505859375, 0.0348968505859375, 0.0348968505859375, 0.0348968505859375]","[0.028699999675154686, 0.028288889676332474, 0.028288889676332474, 0.028288889676332474, 0.028288889676332474]",[0.01632977 0.01621088 0.01610872 0.01606031 0.01602005],0.027483316,0.02125533,"[1.392878532409668, 1.2250494956970215, 0.8712204933166504, 0.7628670096397401, 0.7391860008239746]","[1.3912044763565063, 1.1361294746398927, 0.8723549962043762, 0.7697620034217835, 0.7728139996528626]",0.713058450831617,0.02543094886897164,0.2,0.25,0.07265041133764531,0.064977090625,0.05,0.05
4,0,1,-0.96694475,"[4.155766105651855, 4.821605968475342]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0214385986328125, 0.0214385986328125, 0.0141143798828125, 0.0067901611328125, 0.0067901611328125]","[0.027587890625, 0.027587890625, 0.020263671875, 0.012939453125, 0.012939453125]","[0.020400000736117363, 0.020400000736117363, 0.027161110192537308, 0.0339222215116024, 0.0339222215116024]",[0.01585849 0.01579458 0.01573289 0.01566915 0.01563663],0.026796976,0.020322038,"[1.0243849992752074, 0.6767984986305238, 0.6277125000953674, 0.7113510012626648, 0.5306320011615753]","[1.0244465112686156, 0.6524739921092988, 0.6217235028743744, 0.7108934879302979, 0.5425259977579117]",0.7327437227463048,0.013677343434625249,0.2,0.25,0.06906637931167951,0.1,0.05,0.05
5,1,1,0.6265404,"[4.871961975097657, 5.355066871643067]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.017303466796875, 0.0278167724609375, 0.0278167724609375, 0.0278167724609375, 0.0070343017578125]","[0.0234527587890625, 0.033966064453125, 0.033966064453125, 0.033966064453125, 0.01318359375]","[0.032027777284383774, 0.030133333057165146, 0.030133333057165146, 0.030133333057165146, 0.033622223883867264]",[0.0153394  0.01485501 0.01425474 0.01384833 0.01353093],0.02696593,0.019608634,"[3.5766575813293455, 6.275653648376465, 8.08035945892334, 10.0, 8.142265129089354]","[3.7713310241699216, 6.429014205932617, 8.482263946533203, 10.0, 8.16092185974121]",0.843084583729108,0.19935414046388494,0.1921862726626189,0.25,0.069260954977604,0.032283215624999986,0.05,0.05
6,1,1,0.8255112,"[5.4243368148803714, 6.873230934143066]",[0.         0.         0.00233918 0.         0.0009058 ],[0.         0.00061538 0.         0.         0.00067935],[0. 0. 0. 0. 0.],"[0.0216827392578125, 0.014981078915297985, 0.013641357421875, 0.04248046875, 0.02947998046875]","[0.02783203125, 0.02113037183880806, 0.0197906494140625, 0.0486297607421875, 0.0356292724609375]","[0.03510222211480141, 0.03453333303332329, 0.0327799990773201, 0.03363333269953728, 0.03408333286643028]",[0.01199637 0.01120453 0.01038953 0.00976294 0.00912091],0.027492756,0.018483436,"[7.702368545532226, 7.864613151550293, 9.292836952209473, 9.397016525268555, 10.0]","[7.660171318054199, 7.853670883178711, 9.053316116333008, 9.319747734069825, 10.0]",0.9260850240329439,0.2303385400768642,0.19554966138756794,0.24918875540300026,0.06831263834130573,0.08295437531250004,0.05,0.049741053511705685
7,1,1,0.21327162,"[6.950896263122559, 7.959754180908203]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.025146484375, 0.033905029296875, 0.033905029296875, 0.04529571533203125, 0.0566864013671875]","[0.0312957763671875, 0.0400543212890625, 0.0400543212890625, 0.05144500732421875, 0.062835693359375]","[0.03423333168029785, 0.042411111295223236, 0.042411111295223236, 0.03711666539311409, 0.03182222321629524]",[0.00859628 0.00836856 0.00821828 0.00805875 0.00792058],0.028630657,0.018501064,"[10.0, 10.0, 6.32939510345459, 7.444380378723145, 6.42904224395752]","[9.831650543212891, 10.0, 6.284415817260743, 7.566103744506836, 6.4914960861206055]",0.9066717289113331,0.21546569182780717,0.17721220939390123,0.25,0.06399382768962461,0.1,0.05,0.05
8,1,1,0.45899308,"[8.068303108215332, 8.888176155090331]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.01036269 0.00338983],[0. 0. 0. 0. 0.],"[0.05371856689453125, 0.0385894775390625, 0.02642822265625, 0.02642822265625, 0.02642822265625]","[0.05986785888671875, 0.04473876953125, 0.0325775146484375, 0.0325775146484375, 0.0325775146484375]","[0.03150555491447449, 0.03126666694879532, 0.031344443559646606, 0.031344443559646606, 0.031344443559646606]",[0.00770775 0.00754983 0.00739873 0.00730389 0.00720046],0.029467613,0.018504217,"[8.76396198272705, 9.556215286254883, 9.683699035644532, 7.406459808349609, 10.0]","[8.619649696350098, 9.456918907165527, 9.5062686920166, 7.706950759887695, 10.0]",0.9406535723495998,0.23441354242028406,0.1991690780177261,0.25,0.07067045479005477,0.08915100208333333,0.05,0.04724949503820146
9,1,1,0.087249994,"[8.967880249023438, 10.0]",[0.07754011 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0206298828125, 0.01483154296875, 0.0157318115234375, 0.0157318115234375, 0.0157318115234375]","[0.0267791748046875, 0.0209808349609375, 0.021881103515625, 0.021881103515625, 0.021881103515625]","[0.03044999949634075, 0.029555555433034897, 0.03262222185730934, 0.03262222185730934, 0.03262222185730934]",[0.00770516 0.00827636 0.00817323 0.00804666 0.00793616],0.029040072,0.018000266,"[7.7575634002685545, 6.4434709548950195, 4.557914066314697, 7.742490959167481, 8.265286827087403]","[8.087546348571777, 6.289096450805665, 4.981122589111329, 8.222765159606933, 6.723129081726074]",0.8723829244943874,0.1940235098594978,0.2,0.2306149732620321,0.06991862887285741,0.07782581250000001,0.05,0.05
10,2,1,0.87014484,"[10.0, 7.117137718200683]",[0.         0.         0.         0.         0.31496063],[0.         0.         0.0021645  0.00357143 0.        ],[0.        0.        0.0021645 0.        0.       ],"[0.022430419921875, 0.022430419921875, 0.022430419921875, 0.022430419921875, 0.01898193359375]","[0.0285797119140625, 0.0285797119140625, 0.0285797119140625, 0.0285797119140625, 0.0251312255859375]","[0.03364444524049759, 0.03364444524049759, 0.03364444524049759, 0.03364444524049759, 0.028055556118488312]",[0.00780972 0.00765408 0.00748236 0.00737682 0.01052589],0.028989462,0.017455073,"[6.557344818115235, 9.204541206359863, 9.432645988464355, 10.0, 6.279763221740723]","[6.635048484802247, 8.938690948486329, 9.44160327911377, 10.0, 6.0219621658325195]",0.8193066583002804,0.22022625214557104,0.19534037272135418,0.17125984251968504,0.06924649974754456,0.08602589895833335,0.028354978354978355,0.048852813852813856
