time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/fps,train/ent_coef_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef,train/learning_rate
200,42.24076475,189,0,-3.6835532188415527,4,0.019716273993253708,50.0,599,-1.2553895711898804,0.09729058295488358,0.00015
400,43.031792874999994,389,0,-3.061643123626709,8,0.011532108299434185,50.0,1197,-1.8684942722320557,0.0947902575135231,0.00015
600,43.33679566666666,589,0,-2.996889114379883,12,0.002977969590574503,50.0,1795,-2.5725531578063965,0.09213349223136902,0.00015
800,43.331955875,789,0,-3.460109233856201,16,0.0038818682078272104,50.0,2396,-3.2954437732696533,0.08938172459602356,0.00015
1000,43.3843937,989,0,-3.63358473777771,20,0.0032652299851179123,50.0,2997,-4.098640441894531,0.08672264963388443,0.00015
1200,43.40490574999999,1189,0,-3.5029609203338623,24,0.003687202697619796,50.0,3597,-4.877774238586426,0.08414065092802048,0.00015
1400,43.493889642857134,1389,0,-3.5434725284576416,28,0.0035418272018432617,50.0,4199,-5.672921657562256,0.08165491372346878,0.00015
1600,43.542050062499996,1589,0,-3.631054639816284,32,0.002147413557395339,50.0,4792,-6.500683784484863,0.07926396280527115,0.00015
1800,43.59191316666667,1789,0,-3.479322910308838,36,0.003990215249359608,50.0,5391,-7.26463508605957,0.07694397866725922,0.00015
2000,43.648789475,1989,0,-3.4950947761535645,40,0.0021985010243952274,50.0,5991,-8.113998413085938,0.07471734285354614,0.00015
2200,43.69971345454546,2189,0,-3.323913335800171,44,0.0031814398244023323,50.0,6593,-8.921500205993652,0.072577103972435,0.00015
2400,43.764334625,2389,0,-3.3603854179382324,48,0.0026736417785286903,50.0,7195,-9.663783073425293,0.07049398869276047,0.00015
2600,43.80355486538462,2589,0,-3.642542600631714,52,0.005635003559291363,50.0,7797,-10.416584014892578,0.06847663223743439,0.00015
2800,43.84813907142857,2789,0,-3.4965462684631348,56,0.002395171206444502,50.0,8390,-11.217097282409668,0.06651567667722702,0.00015
3000,43.8846266,2989,0,-3.5058627128601074,60,0.0033312253654003143,50.0,8985,-11.961995124816895,0.06460323929786682,0.00015
3200,43.924548421875,3189,0,-3.632981300354004,64,0.004299209453165531,50.0,9583,-12.72965145111084,0.0627446323633194,0.00015
3400,43.946170014705885,3389,0,-3.627410411834717,68,0.0020940140821039677,50.0,10179,-13.502098083496094,0.060953449457883835,0.00015
3600,43.96946120833334,3589,0,-3.4751553535461426,72,0.0019479009788483381,50.0,10771,-14.259807586669922,0.05922463536262512,0.00015
3800,44.00656644736843,3789,0,-4.215814590454102,76,0.0031546030659228563,50.0,11369,-14.987808227539062,0.057566676288843155,0.00015
4000,44.037962512499995,3989,0,-3.654789924621582,80,0.007015286944806576,50.0,11973,-15.72941780090332,0.05595342069864273,0.00015
4200,44.03672633333333,4189,0,-3.847193956375122,84,0.0031467347871512175,50.0,12570,-16.432050704956055,0.0543832890689373,0.00015
4400,44.046316579545454,4389,0,-3.860145092010498,88,0.006288161501288414,50.0,13166,-17.141036987304688,0.0528421625494957,0.00015
4600,44.06645744565217,4589,0,-3.7634754180908203,92,0.002990410663187504,50.0,13781,-17.843149185180664,0.051345083862543106,0.00015
4800,44.10161995833332,4789,0,-2.9414703845977783,96,0.003061573952436447,50.0,14377,-18.56005096435547,0.04990018904209137,0.00015
