step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0429359912872314, 3.274841976165771]",[0.         0.         0.         0.         0.02254902],[0.0013587  0.00225957 0.         0.         0.00029762],[5.54078e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00],"[0.02694988250732422, 0.03770345076918602, 0.02158813551068306, 0.010989380069077015, 0.02061055414378643]","[0.03055095672607422, 0.04130452498793602, 0.02518920972943306, 0.014590454287827015, 0.02421162836253643]","[0.032728470861911774, 0.03266148269176483, 0.0328688882291317, 0.027702221646904945, 0.02697407454252243]",[0.         0.         0.         0.         0.00024139],0.02721385,0.015743544,"[2.313237428665161, 2.6094007968902586, 2.36473913192749, 2.4200947761535643, 2.914999675750732]","[2.331611490249634, 2.562749099731445, 2.2982026100158692, 2.395394134521484, 3.0893552780151365]",0.7933482355725882,0.08056767164024704,0.2,0.2443627450980392,0.06975507388741782,0.1,0.04944592198581561,0.04921682296106849
2,0,1,-0.46042657,"[3.3297361373901366, 4.235863876342774]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.029876708984375, 0.029876708984375, 0.029876708984375, 0.029876708984375, 0.029876708984375]","[0.033477783203125, 0.033477783203125, 0.033477783203125, 0.033477783203125, 0.033477783203125]","[0.040166664868593216, 0.040166664868593216, 0.040166664868593216, 0.040166664868593216, 0.040166664868593216]",[0.0089863  0.0088267  0.0087448  0.00863521 0.00853455],0.027600512,0.015324222,"[7.440729141235352, 4.7927319526672365, 4.563973140716553, 3.666651916503906, 3.9020420074462887]","[7.4381410598754885, 4.641364097595215, 4.954226112365723, 3.737136077880859, 4.1387430191040036]",0.8285871275706993,0.14703724968373907,0.19075293599823376,0.25,0.0652628920796986,0.07553404980902778,0.05,0.05
3,0,1,-0.918053,"[4.284716987609864, 4.941845035552979]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02825927734375, 0.02825927734375, 0.02825927734375, 0.033447265625, 0.033447265625]","[0.0318603515625, 0.0318603515625, 0.0318603515625, 0.03704833984375, 0.03704833984375]","[0.025733333081007004, 0.025733333081007004, 0.025733333081007004, 0.025111110880970955, 0.025111110880970955]",[0.00841417 0.00836907 0.0083173  0.00827197 0.00825116],0.028100003,0.014720837,"[1.8771650314331056, 1.1875205278396606, 1.1348860025405885, 0.8499770045280457, 0.8637879848480224]","[1.7532020568847657, 1.125767993927002, 1.1329560279846191, 0.8823940038681031, 0.8326709985733032]",0.7158709537829955,0.03277632197160527,0.1966244643993592,0.25,0.07491348303703096,0.061556684375000004,0.05,0.05
4,0,1,-0.96694475,"[4.988847064971924, 5.716008949279785]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.033447265625, 0.033447265625, 0.0350189208984375, 0.0350189208984375, 0.0350189208984375]","[0.03704833984375, 0.03704833984375, 0.0386199951171875, 0.0386199951171875, 0.0386199951171875]","[0.025111110880970955, 0.025111110880970955, 0.023399999365210533, 0.023399999365210533, 0.023399999365210533]",[0.00820658 0.00817793 0.00814342 0.00810759 0.00808041],0.029001975,0.014314429,"[0.7834655165672302, 0.5097485005855561, 0.667940503358841, 0.6444930076599121, 0.7612709879875184]","[0.7579715132713318, 0.5340464979410171, 0.6659900009632111, 0.6872675001621247, 0.7438550114631652]",0.7288072847386466,0.011943201488440778,0.19144953513632015,0.25,0.07541454811388565,0.1,0.05,0.05
5,1,1,0.6265404,"[5.805117797851563, 6.390987777709961]",[0.        0.        0.        0.        0.0610687],[0.         0.         0.         0.         0.00406504],[0. 0. 0. 0. 0.],"[0.041595458984375, 0.028839111328125, 0.028839111328125, 0.028839111328125, 0.0266265869140625]","[0.045196533203125, 0.032440185546875, 0.032440185546875, 0.032440185546875, 0.0302276611328125]","[0.02195555530488491, 0.020755555480718613, 0.020755555480718613, 0.020755555480718613, 0.031300000846385956]",[0.00794049 0.00762427 0.00741139 0.00717285 0.00838037],0.029481277,0.013954531,"[3.499638557434082, 8.785884284973145, 7.874697685241699, 7.701934814453125, 9.171252059936524]","[3.326405906677246, 8.669279861450196, 7.574194717407226, 7.880650901794434, 7.668071174621582]",0.8377810337567425,0.2031887752479956,0.2,0.23473282442748092,0.07081096096134716,0.029861481249999988,0.05,0.049186991869918706
6,1,1,0.8255112,"[6.46071720123291, 6.735135078430176]",[0.02188889 0.12026144 0.         0.         0.02402235],[0.00196078 0.00720143 0.         0.00059172 0.00124282],[0.         0.         0.         0.         0.00063492],"[0.0438232421875, 0.04330749437212944, 0.0402679443359375, 0.05828552320599556, 0.05822448804974556]","[0.04742431640625, 0.04690856859087944, 0.0438690185546875, 0.06188659742474556, 0.06182556226849556]","[0.026355555281043053, 0.03378888964653015, 0.03742222115397453, 0.0321066677570343, 0.034253332763910294]",[0.00831401 0.01616262 0.02574429 0.02380498 0.02357168],0.03395462,0.015999194,"[7.609839630126953, 8.780892944335937, 9.147845458984374, 10.0, 10.0]","[7.797340774536133, 8.782633018493652, 9.239272308349609, 9.811928367614746, 10.0]",0.8568844079166039,0.23486250949190038,0.17295204162597658,0.20845683170847484,0.06688068707100207,0.08228089430555557,0.043650793650793655,0.047800650062900955
7,1,1,0.21327162,"[6.799192810058594, 7.926297950744629]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0366668701171875, 0.04334259033203125, 0.050018310546875, 0.041961669921875, 0.033905029296875]","[0.0402679443359375, 0.04694366455078125, 0.053619384765625, 0.045562744140625, 0.037506103515625]","[0.0347222238779068, 0.03316666558384895, 0.031611111015081406, 0.030300000682473183, 0.02898888848721981]",[0.02410024 0.02367367 0.02335335 0.02297395 0.02256526],0.034697186,0.015845545,"[10.0, 6.8923643112182615, 6.060532760620117, 7.32742977142334, 7.176283073425293]","[10.0, 6.9076381683349615, 5.949172019958496, 7.467178726196289, 6.753387832641602]",0.906579340283332,0.2048633768346317,0.2,0.25,0.06855339622647798,0.08316256722222222,0.05,0.05
8,1,1,0.45899308,"[8.001685905456542, 9.263031959533691]",[0.         0.         0.         0.         0.00471698],[0.         0.00543478 0.         0.         0.        ],[0.00239234 0.         0.         0.         0.        ],"[0.0276031494140625, 0.0276031494140625, 0.0276031494140625, 0.0276031494140625, 0.03680419921875]","[0.0312042236328125, 0.0312042236328125, 0.0312042236328125, 0.0312042236328125, 0.0404052734375]","[0.026444444432854652, 0.026444444432854652, 0.026444444432854652, 0.026444444432854652, 0.029100000858306885]",[0.02218201 0.02188934 0.02147908 0.02125106 0.02109667],0.034571398,0.015439444,"[5.407497406005859, 6.767758750915528, 8.435170364379882, 9.941275787353515, 4.575883865356445]","[5.442920875549317, 6.119321632385254, 8.311295509338379, 9.368171119689942, 4.777779960632325]",0.891675119467123,0.195505316170128,0.2,0.24882075471698112,0.0723594500778295,0.1,0.026076555023923448,0.04891304347826087
9,1,1,0.087249994,"[9.431360244750977, 10.0]",[0.         0.         0.         0.         0.06818182],[0.        0.        0.0013369 0.        0.       ],[0. 0. 0. 0. 0.],"[0.03680419921875, 0.0265655517578125, 0.0265655517578125, 0.0265655517578125, 0.0520782470703125]","[0.0404052734375, 0.0301666259765625, 0.0301666259765625, 0.0301666259765625, 0.0556793212890625]","[0.029100000858306885, 0.02370000071823597, 0.02370000071823597, 0.02370000071823597, 0.03495555371046066]",[0.02072399 0.02034683 0.01999871 0.01973874 0.02000082],0.03463988,0.015169525,"[7.311136817932129, 7.883501625061035, 7.518927764892578, 9.923963165283203, 5.238309097290039]","[6.9105987548828125, 7.964286041259766, 7.623486709594727, 9.233562850952149, 5.327364158630371]",0.901992804046655,0.20651126097956168,0.19438903225455315,0.23295454545454547,0.06840534503713924,0.1,0.05,0.04973262032085562
10,2,1,0.87014484,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00219298 0.        ],[0. 0. 0. 0. 0.],"[0.0520782470703125, 0.03607177734375, 0.0200653076171875, 0.0200653076171875, 0.0200653076171875]","[0.0556793212890625, 0.0396728515625, 0.0236663818359375, 0.0236663818359375, 0.0236663818359375]","[0.03495555371046066, 0.03173888847231865, 0.028522221371531487, 0.028522221371531487, 0.028522221371531487]",[0.01964316 0.0193509  0.0189667  0.0184719  0.01815071],0.034623478,0.015165435,"[7.633569526672363, 8.511979675292968, 9.303769493103028, 10.0, 10.0]","[7.288811111450196, 8.269522857666015, 9.115434646606445, 10.0, 10.0]",0.9367387656877038,0.23455010151679256,0.2,0.25,0.06840534503713924,0.084221915625,0.05,0.04956140350877193
