time/time_elapsed,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss
591,0,4,0.004999999888241291,43.69181825,200,50.0,-1.280727505683899,189,0.0003,0.0041540879756212234
1168,0,8,0.004999999888241291,44.42150125,400,50.0,-1.8790419101715088,389,0.0003,0.0019577161874622107
1763,0,12,0.004999999888241291,44.313370416666665,600,50.0,-2.524502992630005,589,0.0003,0.0041249701753258705
2355,0,16,0.004999999888241291,44.594393375,800,50.0,-3.2602944374084473,789,0.0003,0.002863418310880661
2944,0,20,0.004999999888241291,44.6607168,1000,50.0,-4.021430969238281,989,0.0003,0.005099248606711626
3535,0,24,0.004999999888241291,44.75721170833334,1200,50.0,-4.82030725479126,1189,0.0003,0.003278877818956971
4128,0,28,0.004999999888241291,44.81596328571429,1400,50.0,-5.598287582397461,1389,0.0003,0.0026994585059583187
4715,0,32,0.004999999888241291,44.8828204375,1600,50.0,-6.348381519317627,1589,0.0003,0.002558372216299176
5298,0,36,0.004999999888241291,44.92242680555555,1800,50.0,-7.11974573135376,1789,0.0003,0.003512510098516941
5892,0,40,0.004999999888241291,44.947775875000005,2000,50.0,-7.876722812652588,1989,0.0003,0.002915328135713935
6472,0,44,0.004999999888241291,44.991161022727276,2200,50.0,-8.641683578491211,2189,0.0003,0.004909001290798187
7056,0,48,0.004999999888241291,45.02346018750001,2400,50.0,-9.454920768737793,2389,0.0003,0.004324627574533224
7635,0,52,0.004999999888241291,45.0465339423077,2600,50.0,-10.21691608428955,2589,0.0003,0.004885868169367313
8223,0,56,0.004999999888241291,45.078686464285724,2800,50.0,-10.975358009338379,2789,0.0003,0.0026801270432770252
8811,0,60,0.004999999888241291,45.095287966666675,3000,50.0,-11.711917877197266,2989,0.0003,0.004732956178486347
9397,0,64,0.004999999888241291,45.093063703125,3200,50.0,-12.448159217834473,3189,0.0003,0.0032926255371421576
9978,0,68,0.004999999888241291,45.11184398529412,3400,50.0,-13.19865608215332,3389,0.0003,0.0036117183044552803
10561,0,72,0.004999999888241291,45.12217794444445,3600,50.0,-13.883010864257812,3589,0.0003,0.0031554780434817076
11150,0,76,0.004999999888241291,45.118188223684214,3800,50.0,-14.58384895324707,3789,0.0003,0.0030338598880916834
11733,0,80,0.004999999888241291,45.13519865,4000,50.0,-15.361468315124512,3989,0.0003,0.004816384054720402
12319,0,84,0.004999999888241291,45.14844038095238,4200,50.0,-16.061485290527344,4189,0.0003,0.004020958673208952
12903,0,88,0.004999999888241291,45.14291332954546,4400,50.0,-16.82521629333496,4389,0.0003,0.0029059937223792076
13486,0,92,0.004999999888241291,45.11628986956523,4600,50.0,-17.480432510375977,4589,0.0003,0.004202242009341717
14070,0,96,0.004999999888241291,45.104768229166666,4800,50.0,-18.221038818359375,4789,0.0003,0.00325053371489048
