step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.017623949050903, 2.0660250186920166]",[0. 0. 0. 0. 0.],[0.         0.         0.00069444 0.         0.        ],[5.7763402e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.022962570190429688, 0.0218505859375, 0.005543009378015995, 0.01978047750890255, 0.02199910394847393]","[0.03146171569824219, 0.0303497314453125, 0.014042154885828495, 0.02827962301671505, 0.03049824945628643]","[0.03255416825413704, 0.028673334047198296, 0.02388296276330948, 0.030873334035277367, 0.028037777170538902]",[0. 0. 0. 0. 0.],0.026985971,0.016037295,"[2.500931692123413, 2.454336929321289, 2.257133054733276, 2.463171625137329, 4.120655632019043]","[2.4025195121765135, 2.4075045585632324, 2.2472643852233887, 2.405017471313476, 4.067936134338379]",0.8073119803507588,0.08806459265443163,0.2,0.25,0.06996391059630655,0.1,0.04942236598890943,0.04986111111111111
2,0,1,-0.46042657,"[2.0872809886932373, 2.4429510593414303]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00900901],[0. 0. 0. 0. 0.],"[0.06475830078125, 0.06475830078125, 0.0412750244140625, 0.0412750244140625, 0.0412750244140625]","[0.0732574462890625, 0.0732574462890625, 0.049774169921875, 0.049774169921875, 0.049774169921875]","[0.026688888669013977, 0.026688888669013977, 0.03091111034154892, 0.03091111034154892, 0.03091111034154892]",[0.00933376 0.00922099 0.00910327 0.00902583 0.00892308],0.028972484,0.017591793,"[8.387109184265137, 5.073329925537109, 4.487936878204346, 2.5453849792480465, 2.6013239860534667]","[8.134214210510253, 4.108080863952637, 4.516291904449463, 2.4535369873046875, 2.601164054870605]",0.7932044295760763,0.14063888121934448,0.1526613164831091,0.25,0.07107865071535485,0.08062738296006947,0.05,0.048198198198198205
3,0,1,-0.918053,"[2.469795036315918, 2.841348934173584]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0245361328125, 0.0077972412109375, 0.0077972412109375, 0.010467529296875, 0.010467529296875]","[0.0330352783203125, 0.01629638671875, 0.01629638671875, 0.0189666748046875, 0.0189666748046875]","[0.02912222221493721, 0.0273333340883255, 0.0273333340883255, 0.02705555595457554, 0.02705555595457554]",[0.00878081 0.00873409 0.0086775  0.0086301  0.00862154],0.028269222,0.017242327,"[2.3904850482940674, 1.1310279846191407, 1.0139509916305542, 0.9996640086174011, 0.7998130083084107]","[2.3656374931335447, 1.0717689752578736, 1.0241499662399292, 1.0395809650421142, 0.7813580155372619]",0.7234904993011562,0.03606409065141143,0.2,0.25,0.07234337531641129,0.06508303333333335,0.05,0.05
4,0,1,-0.96694475,"[2.8703599929809567, 3.2650269508361816]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.010467529296875, 0.010467529296875, 0.005828857421875, 0.005828857421875, 0.02435302734375]","[0.0189666748046875, 0.0189666748046875, 0.0143280029296875, 0.0143280029296875, 0.0328521728515625]","[0.02705555595457554, 0.02705555595457554, 0.023977776989340782, 0.023977776989340782, 0.031688887625932693]",[0.00857439 0.00854115 0.00848574 0.00846551 0.00844988],0.027501686,0.016792422,"[0.8119664907455444, 0.6977159917354584, 1.041105532646179, 0.7231080174446106, 0.5759379982948303]","[0.8412744879722596, 0.6942360043525696, 1.034158968925476, 0.6105610072612763, 0.5599909961223603]",0.736575508299177,0.016029804345009564,0.2,0.25,0.0705457039541673,0.1,0.05,0.05
5,1,1,0.6265404,"[3.318990135192871, 3.663293075561523]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02435302734375, 0.00225830078125, 0.00225830078125, 0.00225830078125, 0.00225830078125]","[0.0328521728515625, 0.0107574462890625, 0.0107574462890625, 0.0107574462890625, 0.0107574462890625]","[0.031688887625932693, 0.027899999171495438, 0.027899999171495438, 0.027899999171495438, 0.027899999171495438]",[0.00838125 0.0081479  0.00783346 0.00758432 0.00739859],0.026496887,0.01661592,"[1.3553705215454102, 5.6593566894531255, 7.595439529418946, 9.924024963378907, 6.267601013183594]","[1.2918779850006104, 5.634858894348144, 7.526004791259766, 9.40721492767334, 6.145176124572754]",0.8415319555832416,0.17713616517074088,0.2,0.25,0.0705457039541673,0.043850086458333326,0.05,0.05
6,1,1,0.8255112,"[3.7132499694824217, 3.0931100845336914]",[0.         0.12       0.         0.         0.05338078],[0.002994   0.00959652 0.         0.00184837 0.0009058 ],[0.        0.        0.0007764 0.        0.       ],"[0.06484069675207138, 0.04811401292681694, 0.024166107177734375, 0.0163726806640625, 0.0258026123046875]","[0.07333984225988388, 0.05661315843462944, 0.032665252685546875, 0.024871826171875, 0.0343017578125]","[0.030362222343683243, 0.03446222096681595, 0.041252776980400085, 0.039411112666130066, 0.04053333401679993]",[0.00653598 0.01009717 0.02607715 0.0244891  0.02642797],0.029888988,0.018818395,"[8.677017211914062, 9.576572036743164, 7.257118988037109, 10.0, 9.366017913818359]","[9.471691513061524, 10.0, 6.818723297119141, 9.800545501708985, 9.62613754272461]",0.8272622340888208,0.2325366967234385,0.16358333349227908,0.20665480427046262,0.06464308962718728,0.07067722156249999,0.0422360248447205,0.04693106356823289
7,1,1,0.21327162,"[3.1198861122131345, 3.6189180374145504]",[0.11515152 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0.         0.         0.         0.00221239 0.        ],"[0.0174560546875, 0.0091094970703125, 0.0091094970703125, 0.0146942138671875, 0.0202789306640625]","[0.0259552001953125, 0.017608642578125, 0.017608642578125, 0.023193359375, 0.028778076171875]","[0.03770555555820465, 0.034877777099609375, 0.034877777099609375, 0.032527778297662735, 0.030177777633070946]",[0.02608563 0.02655111 0.02614036 0.02558197 0.02531459],0.029367154,0.018367372,"[8.769243431091308, 8.329503059387207, 7.603924751281738, 8.16784381866455, 7.3552640914917]","[8.794953727722168, 7.771665382385254, 7.077186965942383, 7.882361793518067, 7.3123939514160154]",0.8813507266700252,0.21555247105987085,0.2,0.2212121212121212,0.06671002820334296,0.1,0.027876106194690265,0.05
8,1,1,0.45899308,"[3.6581209182739256, 4.193577098846435]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00613497 0.        ],[0. 0. 0. 0. 0.],"[0.0097808837890625, 0.0097808837890625, 0.01334381103515625, 0.01690673828125, 0.01690673828125]","[0.018280029296875, 0.018280029296875, 0.02184295654296875, 0.0254058837890625, 0.0254058837890625]","[0.028744444251060486, 0.028744444251060486, 0.029838887974619865, 0.030933333560824394, 0.030933333560824394]",[0.02485396 0.02436123 0.02381747 0.0235644  0.0233942 ],0.028902883,0.017974852,"[6.002702903747559, 10.0, 7.198331832885742, 7.19585018157959, 8.337825202941895]","[5.76608943939209, 9.946723747253419, 7.383734130859375, 8.711185836791993, 8.268284034729003]",0.9296900308586494,0.20985373727596096,0.2,0.25,0.07106328744771906,0.1,0.05,0.04877300613496933
9,1,1,0.087249994,"[4.25142011642456, 4.9113719940185545]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.017242431640625, 0.024627685546875, 0.0267486572265625, 0.02886962890625, 0.0248260498046875]","[0.0257415771484375, 0.0331268310546875, 0.035247802734375, 0.0373687744140625, 0.0333251953125]","[0.02938888967037201, 0.03497777879238129, 0.0340999998152256, 0.033222220838069916, 0.03593333438038826]",[0.02395925 0.02361166 0.02324594 0.02294768 0.02269575],0.029137747,0.017497385,"[8.974529266357422, 7.261030006408691, 6.816205024719238, 6.1991527557373045, 7.321368980407715]","[9.173999786376953, 7.560531044006348, 6.795019149780273, 6.176983261108399, 7.385760879516602]",0.9061123868001882,0.2013512701867472,0.18696877615792412,0.25,0.0677923404555169,0.1,0.05,0.05
10,2,1,0.87014484,"[4.956177043914795, 5.71540699005127]",[0.         0.         0.         0.03181818 0.        ],[0.         0.00490196 0.         0.00469484 0.        ],[0. 0. 0. 0. 0.],"[0.02808380126953125, 0.031341552734375, 0.031341552734375, 0.032379150390625, 0.032379150390625]","[0.03658294677734375, 0.0398406982421875, 0.0398406982421875, 0.0408782958984375, 0.0408782958984375]","[0.0355222225189209, 0.03511111065745354, 0.03511111065745354, 0.031511109322309494, 0.031511109322309494]",[0.02230074 0.02186507 0.02145042 0.02142997 0.02124932],0.029638879,0.017208545,"[7.660950088500977, 10.0, 9.183109855651855, 10.0, 9.576422119140625]","[7.118514442443848, 10.0, 9.249542236328125, 10.0, 9.773158073425293]",0.9139612216696149,0.23792835816556884,0.1883751951617959,0.24204545454545454,0.06804864808980864,0.079482925,0.05,0.048080640706987025
