time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_len_mean
200,4,0,44.1694395,0.004999999888241291,0.0022653713822364807,-3.2340433597564697,0.00067214,189,589,50.0
400,8,0,44.651446750000005,0.004999999888241291,0.006542985327541828,-6.502204418182373,0.00064414,389,1179,50.0
600,12,0,44.84748666666667,0.004999999888241291,0.006404070649296045,-9.768550872802734,0.0006161399999999999,589,1773,50.0
800,16,0,44.976057,0.004999999888241291,0.00609948206692934,-13.221001625061035,0.00058814,789,2360,50.0
1000,20,0,45.03366575,0.004999999888241291,0.01727776601910591,-16.690584182739258,0.00056014,989,2952,50.0
1200,24,0,45.10591329166666,0.004999999888241291,0.010734478011727333,-20.075345993041992,0.00053214,1189,3545,50.0
1400,28,0,45.0936757142857,0.004999999888241291,0.011140584945678711,-23.434518814086914,0.0005041399999999999,1389,4135,50.0
1600,32,0,45.120490375,0.004999999888241291,0.014637863263487816,-26.895917892456055,0.00047614,1589,4723,50.0
1800,36,0,45.11368641666667,0.004999999888241291,0.04450276494026184,-30.193479537963867,0.00044814,1789,5312,50.0
2000,40,0,45.11896875000001,0.004999999888241291,0.016274766996502876,-33.634239196777344,0.00042014000000000005,1989,5906,50.0
2200,44,0,45.15521243181818,0.004999999888241291,0.02333245240151882,-37.03693389892578,0.00039214,2189,6493,50.0
2400,48,0,45.161953937499995,0.004999999888241291,0.0165634136646986,-40.43436813354492,0.00036414,2389,7079,50.0
2600,52,0,45.17321567307692,0.004999999888241291,0.03179628401994705,-43.743927001953125,0.00033613999999999996,2589,7665,50.0
2800,56,0,45.167856678571425,0.004999999888241291,0.015886232256889343,-46.98208999633789,0.00030814000000000004,2789,8250,50.0
3000,60,0,45.176346483333326,0.004999999888241291,0.017070718109607697,-50.4611930847168,0.00028014,2989,8842,50.0
3200,64,0,45.1880183125,0.004999999888241291,0.020247988402843475,-53.687255859375,0.00025214,3189,9429,50.0
3400,68,0,45.19741673529412,0.004999999888241291,0.019128499552607536,-57.03389358520508,0.00022414000000000003,3389,10009,50.0
3600,72,0,45.212418694444445,0.004999999888241291,0.015804164111614227,-60.27688217163086,0.00019614,3589,10588,50.0
3800,76,0,45.21863385526316,0.004999999888241291,0.01398496888577938,-63.51750946044922,0.00016813999999999997,3789,11172,50.0
4000,80,0,45.221898925,0.004999999888241291,0.020516907796263695,-66.83504486083984,0.00014014000000000002,3989,11758,50.0
4200,84,0,45.221006476190475,0.004999999888241291,0.01902080699801445,-70.11821746826172,0.00011214000000000001,4189,12338,50.0
4400,88,0,45.22569867045454,0.004999999888241291,0.029475465416908264,-73.33878326416016,8.413999999999998e-05,4389,12922,50.0
4600,92,0,45.23133217391305,0.004999999888241291,0.022677341476082802,-76.56110382080078,5.6140000000000035e-05,4589,13504,50.0
4800,96,0,45.237759395833336,0.004999999888241291,0.027122320607304573,-79.76129150390625,2.814000000000001e-05,4789,14089,50.0
