train/actor_loss,train/critic_loss,time/episodes,time/total_timesteps,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,time/fps
-3.482670783996582,0.0032031922601163387,4,200,0.00067214,189,45.02844775,585,50.0,0.10000000149011612,0
-6.879134654998779,0.010535098612308502,8,400,0.00064414,389,45.309763875,1161,50.0,0.10000000149011612,0
-10.46155834197998,0.0058578490279614925,12,600,0.0006161399999999999,589,45.35743358333334,1749,50.0,0.10000000149011612,0
-14.026318550109863,0.007034339476376772,16,800,0.00058814,789,45.3381008125,2320,50.0,0.10000000149011612,0
-17.71246337890625,0.011737794615328312,20,1000,0.00056014,989,45.366606000000004,2911,50.0,0.10000000149011612,0
-21.281156539916992,0.006602320354431868,24,1200,0.00053214,1189,45.418842291666664,3489,50.0,0.10000000149011612,0
-24.861827850341797,0.016072271391749382,28,1400,0.0005041399999999999,1389,45.14995378571428,4158,50.0,0.10000000149011612,0
-28.465681076049805,0.011168232187628746,32,1600,0.00047614,1589,45.001149749999996,4824,50.0,0.10000000149011612,0
-32.13677978515625,0.019413290545344353,36,1800,0.00044814,1789,44.90010477777778,5489,50.0,0.10000000149011612,0
-35.764041900634766,0.013155190274119377,40,2000,0.00042014000000000005,1989,44.807281575000005,6154,50.0,0.10000000149011612,0
-39.28704833984375,0.011719528585672379,44,2200,0.00039214,2189,44.726985613636366,6814,50.0,0.10000000149011612,0
-42.84754180908203,0.011818641796708107,48,2400,0.00036414,2389,44.65597297916667,7475,50.0,0.10000000149011612,0
-46.2758674621582,0.008917146362364292,52,2600,0.00033613999999999996,2589,44.60090390384616,8138,50.0,0.10000000149011612,0
-49.80826187133789,0.01271148957312107,56,2800,0.00030814000000000004,2789,44.55903258928572,8803,50.0,0.10000000149011612,0
-53.33417892456055,0.011137790977954865,60,3000,0.00028014,2989,44.50823760000001,9470,50.0,0.10000000149011612,0
-56.78050994873047,0.009026622399687767,64,3200,0.00025214,3189,44.450698640625,10132,50.0,0.10000000149011612,0
-60.241424560546875,0.00839866790920496,68,3400,0.00022414000000000003,3389,44.41183327941176,10796,50.0,0.10000000149011612,0
-63.682212829589844,0.009572559967637062,72,3600,0.00019614,3589,44.388475541666665,11460,50.0,0.10000000149011612,0
-67.11772918701172,0.00835520587861538,76,3800,0.00016813999999999997,3789,44.379145828947365,12118,50.0,0.10000000149011612,0
-70.5456314086914,0.009235832840204239,80,4000,0.00014014000000000002,3989,44.3686350125,12787,50.0,0.10000000149011612,0
-73.92874908447266,0.008931283839046955,84,4200,0.00011214000000000001,4189,44.3407905952381,13447,50.0,0.10000000149011612,0
-77.2447738647461,0.009962186217308044,88,4400,8.413999999999998e-05,4389,44.326803431818185,14109,50.0,0.10000000149011612,0
-80.619140625,0.011143773794174194,92,4600,5.6140000000000035e-05,4589,44.307839217391304,14775,50.0,0.10000000149011612,0
-83.956787109375,0.015150051563978195,96,4800,2.814000000000001e-05,4789,44.296080499999995,15436,50.0,0.10000000149011612,0
