step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.019953966140747, 2.8395110130310055]",[0. 0. 0. 0. 0.],[0.        0.0010101 0.        0.        0.       ],[7.4404765e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.03061523474752903, 0.03715311735868454, 0.0233295988291502, 0.0542471744120121, 0.03020695224404335]","[0.03938903659582138, 0.04592692106962204, 0.03210340067744255, 0.0630209818482399, 0.03898075595498085]","[0.03125555440783501, 0.025975555181503296, 0.02492142841219902, 0.026657937094569206, 0.027146825566887856]",[0. 0. 0. 0. 0.],0.043850157,0.020865526,"[2.241524600982666, 2.294231653213501, 2.3580194473266602, 2.4530361652374264, 3.282617664337158]","[2.185286617279053, 2.254503345489502, 2.31157488822937, 2.329400062561035, 3.2573742866516113]",0.8004911115637159,0.08061278079914463,0.19998296889047776,0.25,0.07084142969516129,0.1,0.049255952380952386,0.0497979797979798
2,0,1,-0.46042657,"[2.873806953430176, 3.6254600524902343]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0549774169921875, 0.0549774169921875, 0.0549774169921875, 0.0341644287109375, 0.0341644287109375]","[0.063751220703125, 0.063751220703125, 0.063751220703125, 0.042938232421875, 0.042938232421875]","[0.03171111270785332, 0.03171111270785332, 0.03171111270785332, 0.029188888147473335, 0.029188888147473335]",[0.00419168 0.00415124 0.00410063 0.00407175 0.00403974],0.044601835,0.02054231,"[10.0, 3.6499260902404784, 2.871135902404785, 3.042013072967529, 3.5136040687561034]","[10.0, 3.731188869476318, 2.941315937042236, 3.004382038116455, 3.4376770973205564]",0.8223566281500894,0.14054501283204934,0.18304609951002773,0.25,0.07053061852626621,0.07823489728174604,0.05,0.05
3,0,1,-0.918053,"[3.669248867034912, 4.229052925109864]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0341644287109375, 0.0341644287109375, 0.02972412109375, 0.02972412109375, 0.02972412109375]","[0.042938232421875, 0.042938232421875, 0.0384979248046875, 0.0384979248046875, 0.0384979248046875]","[0.029188888147473335, 0.029188888147473335, 0.026222221553325653, 0.026222221553325653, 0.026222221553325653]",[0.00395597 0.00393012 0.00390627 0.00389023 0.00387475],0.044236306,0.019596431,"[2.546751546859741, 0.9548034906387329, 1.0314975023269652, 0.9201279997825622, 0.8949199914932251]","[2.341855955123901, 0.9479160070419311, 1.089503526687622, 0.9002119898796082, 0.926199984550476]",0.7236100206181382,0.036166018833378215,0.2,0.25,0.07229520699309314,0.06514879479166667,0.05,0.05
4,0,1,-0.96694475,"[4.274536037445069, 4.851065063476563]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.04256439208984375, 0.0554046630859375, 0.0554046630859375, 0.0554046630859375, 0.0278167724609375]","[0.05133819580078125, 0.064178466796875, 0.064178466796875, 0.064178466796875, 0.036590576171875]","[0.025761110708117485, 0.025299999862909317, 0.025299999862909317, 0.025299999862909317, 0.033988889306783676]",[0.00385257 0.00383499 0.00382232 0.00380835 0.00379682],0.045578975,0.019391669,"[0.7253594994544983, 0.6579964995384217, 0.6799225032329559, 0.5400330007076264, 0.8297250032424928]","[0.7164784908294678, 0.6783710062503815, 0.653357994556427, 0.5619229912757874, 0.7966879844665528]",0.7104542689354537,0.012506678093372662,0.17892428459005155,0.25,0.06902330625202949,0.1,0.05,0.05
5,1,1,0.6265404,"[4.914192962646484, 5.722649955749512]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0278167724609375, 0.0278167724609375, 0.03670501708984375, 0.04559326171875, 0.046234130859375]","[0.036590576171875, 0.036590576171875, 0.04547882080078125, 0.0543670654296875, 0.0550079345703125]","[0.033988889306783676, 0.033988889306783676, 0.03325555473566055, 0.03252222388982773, 0.02867777831852436]",[0.00368612 0.00357637 0.00343288 0.00331749 0.00326192],0.045403127,0.018784545,"[4.878489398956299, 7.232922744750977, 8.465513229370117, 7.824851226806641, 7.39719524383545]","[4.168063640594482, 7.004535293579102, 9.005281829833985, 8.32670783996582, 7.442826843261719]",0.8498333505273057,0.19823907552527614,0.2,0.25,0.06902330625202949,0.03257096875,0.05,0.05
6,1,1,0.8255112,"[5.780636024475098, 6.653112983703614]",[0.         0.         0.04249292 0.         0.        ],[0.        0.0006812 0.        0.        0.0011655],[0.         0.         0.         0.         0.00106157],"[0.041835784912109375, 0.039581298828125, 0.0398712158203125, 0.0414276123046875, 0.042205810546875]","[0.050609588623046875, 0.0483551025390625, 0.04864501953125, 0.050201416015625, 0.0509796142578125]","[0.030863888561725616, 0.026088889688253403, 0.0285777784883976, 0.029762962833046913, 0.030355555936694145]",[0.00380095 0.00355472 0.00655078 0.00624808 0.00594934],0.046020634,0.01746397,"[9.078749465942384, 9.52608127593994, 9.693254280090333, 7.924707221984863, 8.632918548583984]","[8.975221061706543, 9.333766174316406, 9.932820892333984, 8.034037780761718, 9.259854507446288]",0.9070774181169969,0.23246248977812126,0.1939800903576763,0.23937677053824363,0.07111132478711502,0.08113179392361113,0.03938428874734608,0.04963065998488342
7,1,1,0.21327162,"[6.753192138671875, 7.790101814270019]",[0.         0.05504587 0.         0.         0.        ],[0.00150602 0.         0.         0.00617284 0.        ],[0. 0. 0. 0. 0.],"[0.07330322265625, 0.043487548828125, 0.013671875, 0.0013275146484375, 0.0013275146484375]","[0.0820770263671875, 0.0522613525390625, 0.0224456787109375, 0.010101318359375, 0.010101318359375]","[0.035633333027362823, 0.03681666776537895, 0.03799999877810478, 0.03166666626930237, 0.03166666626930237]",[0.0106681  0.01109234 0.01157612 0.01141869 0.01134605],0.045749813,0.018704593,"[8.8457763671875, 7.924533843994141, 6.80213623046875, 5.778364944458008, 6.072816848754883]","[9.575828742980956, 6.84150447845459, 6.916036987304688, 5.817536926269532, 6.053946113586426]",0.8783006188065643,0.1967144311380695,0.2,0.23623853211009174,0.06653359893863697,0.08034982934027778,0.05,0.04846422727948833
8,1,1,0.45899308,"[7.888440895080566, 9.128421974182128]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00416667],[0. 0. 0. 0. 0.],"[0.0037841796875, 0.00189208984375, 0.0, 0.0, 0.01007080078125]","[0.010101318359375, 0.008209228515625, 0.006317138671875, 0.006317138671875, 0.016387939453125]","[0.03166666626930237, 0.027166666463017464, 0.02266666665673256, 0.02266666665673256, 0.02028888836503029]",[0.01103908 0.01084828 0.01064604 0.01041278 0.01023626],0.043297824,0.020303583,"[6.444145011901855, 6.532024192810058, 8.740257263183594, 9.204580688476563, 8.396603775024413]","[6.442434692382813, 6.8004505157470705, 8.058158493041992, 9.160564994812011, 8.26393985748291]",0.9318244856126684,0.2120970218337612,0.2,0.25,0.0705607971122405,0.1,0.05,0.049166666666666664
9,1,1,0.087249994,"[9.213116264343261, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01007080078125, 0.0023956298828125, 0.0023956298828125, 0.00926971435546875, 0.016143798828125]","[0.016387939453125, 0.0087127685546875, 0.0087127685546875, 0.01558685302734375, 0.0224609375]","[0.02028888836503029, 0.022788889706134796, 0.022788889706134796, 0.021033333614468575, 0.019277777522802353]",[0.01001779 0.00986654 0.00971768 0.00955939 0.0094592 ],0.04144666,0.020986762,"[7.581042289733887, 6.411002349853516, 6.973365592956543, 5.821831321716309, 6.409032249450684]","[7.32600154876709, 7.053367233276368, 6.900958824157715, 5.67314510345459, 6.37513427734375]",0.9021000722622504,0.18747045057550013,0.2,0.25,0.07738240606175018,0.08724721562500001,0.05,0.05
10,2,1,0.87014484,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00324675 0.        ],[0. 0. 0. 0. 0.],"[0.016143798828125, 0.012420654296875, 0.008697509765625, 0.003662109375, 0.003662109375]","[0.0224609375, 0.01873779296875, 0.0150146484375, 0.009979248046875, 0.009979248046875]","[0.019277777522802353, 0.01843888871371746, 0.01759999990463257, 0.019588889554142952, 0.019588889554142952]",[0.00925451 0.00908398 0.00889252 0.00872631 0.00861619],0.04014478,0.021199767,"[8.366938972473145, 7.9634746551513675, 10.0, 10.0, 9.953498077392577]","[8.508553886413575, 7.379217720031739, 10.0, 10.0, 9.903141212463378]",0.9399562015993339,0.23745603813577576,0.2,0.25,0.08041542557124216,0.07273408854166667,0.05,0.04935064935064935
