step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0372840404510497, 2.1461040496826174]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00081169],[5.8630394e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.012934684753417969, 0.022611618041992188, 0.015901565551757812, 0.016580581665039062, 0.013245582580566406]","[0.01949596405029297, 0.029172897338867188, 0.022462844848632812, 0.023141860961914062, 0.019806861877441406]","[0.02608611062169075, 0.023427776992321014, 0.02197430469095707, 0.02645277790725231, 0.0273541659116745]",[0. 0. 0. 0. 0.],0.022816086,0.008208778,"[2.3250860691070554, 2.4004796028137205, 2.481938076019287, 2.406148862838745, 3.1115991592407224]","[2.3194675922393797, 2.3806129455566407, 2.4542126178741452, 2.3214202404022215, 2.9787278175354004]",0.8041375089761558,0.08123319342327379,0.2,0.25,0.07365295715518216,0.1,0.049413696060037524,0.04983766233766234
2,0,1,-0.46042657,"[2.1840939998626707, 3.058895969390869]",[0.         0.02752294 0.         0.         0.        ],[0.         0.00471698 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0256195068359375, 0.004608154296875, 0.004608154296875, 0.004608154296875, 0.004608154296875]","[0.0321807861328125, 0.01116943359375, 0.01116943359375, 0.01116943359375, 0.01116943359375]","[0.027266666293144226, 0.026000000536441803, 0.026000000536441803, 0.026000000536441803, 0.026000000536441803]",[0.00408795 0.00463912 0.00456137 0.00451444 0.00446151],0.02237818,0.008404969,"[6.74372501373291, 7.027639770507813, 4.72656307220459, 4.284109878540039, 3.811664009094238]","[6.9085382461547855, 6.970070266723633, 4.69750394821167, 4.497258949279785, 4.007133960723877]",0.8448730574545172,0.1578703302361641,0.2,0.24311926605504586,0.07371946220743064,0.07110739518229169,0.05,0.04905660377358491
3,0,1,-0.918053,"[3.086800956726074, 3.5863329887390134]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03009033203125, 0.055572509765625, 0.055572509765625, 0.05077362060546875, 0.0459747314453125]","[0.036651611328125, 0.0621337890625, 0.0621337890625, 0.05733489990234375, 0.0525360107421875]","[0.02637222222983837, 0.02674444392323494, 0.02674444392323494, 0.02699444442987442, 0.0272444449365139]",[0.00439967 0.00437504 0.00434762 0.0043227  0.00431164],0.025438188,0.013269783,"[1.5883534908294679, 1.0069130182266235, 1.1919004678726197, 1.1960500240325929, 0.8414740085601806]","[1.4472705125808716, 1.0372065305709839, 1.164964509010315, 1.1699989795684815, 0.8531930088996887]",0.6594008821350322,0.03207950829914134,0.14685376755734708,0.25,0.0737363791952104,0.056731227083333335,0.05,0.05
4,0,1,-0.96694475,"[3.624903869628906, 4.193406867980957]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0459747314453125, 0.02828216552734375, 0.010589599609375, 0.0054779052734375, 0.0054779052734375]","[0.0525360107421875, 0.03484344482421875, 0.01715087890625, 0.0120391845703125, 0.0120391845703125]","[0.0272444449365139, 0.024361111223697662, 0.021477777510881424, 0.02436666749417782, 0.02436666749417782]",[0.0042784  0.0042587  0.0042421  0.00422854 0.00421982],0.025728712,0.013759689,"[0.9132209897041321, 0.6887129962444305, 0.6616554975509643, 0.9136860132217407, 0.6063030004501343]","[0.9272480130195617, 0.7521329879760743, 0.6265254974365234, 0.901273000240326, 0.6339830040931702]",0.7392094441236406,0.015473064928430183,0.2,0.25,0.0737363791952104,0.1,0.05,0.05
5,1,1,0.6265404,"[4.23003396987915, 4.578092002868653]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00688934326171875, 0.00830078125, 0.00830078125, 0.023040771484375, 0.023040771484375]","[0.01345062255859375, 0.014862060546875, 0.014862060546875, 0.02960205078125, 0.02960205078125]","[0.024966666474938393, 0.025566667318344116, 0.025566667318344116, 0.02912222221493721, 0.02912222221493721]",[0.00415929 0.00402019 0.00389703 0.00374906 0.00361831],0.025220579,0.0134585565,"[3.0369110107421875, 7.172382354736328, 6.436733245849609, 10.0, 8.098937225341796]","[2.9863375663757323, 7.545458602905273, 6.412161064147949, 10.0, 8.739266777038575]",0.851774352619827,0.19393386272008226,0.2,0.25,0.07234337531641129,0.035497114583333336,0.05,0.05
6,1,1,0.8255112,"[4.349186992645263, 6.662045097351075]",[0.03692308 0.08783505 0.         0.00088028 0.00885559],[0.00071174 0.00408163 0.00079681 0.00105932 0.00180847],[0. 0. 0. 0. 0.],"[0.02235717698931694, 0.01774902269244194, 0.03377075120806694, 0.027889251708984375, 0.010074615478515625]","[0.02891845628619194, 0.02431030198931694, 0.04033203050494194, 0.034450531005859375, 0.016635894775390625]","[0.02351333387196064, 0.028066666796803474, 0.03420000150799751, 0.03500000014901161, 0.03588055446743965]",[0.00472982 0.010485   0.0180739  0.0168966  0.01643033],0.025907716,0.013521336,"[8.341716766357422, 8.663371276855468, 8.600752639770509, 10.0, 9.548618698120118]","[8.212657737731933, 8.819742774963379, 8.238236999511718, 9.859207916259766, 9.96462173461914]",0.8843743626406969,0.23351531422386848,0.1900354618812675,0.21637650100233197,0.06782513057956222,0.07831355041666667,0.05,0.048308404537000034
7,1,1,0.21327162,"[6.738879013061523, 7.75626220703125]",[0.         0.12053572 0.         0.         0.        ],[0.00230415 0.         0.         0.         0.        ],[0.         0.00292398 0.         0.         0.        ],"[0.0064697265625, 0.0066375732421875, 0.006805419921875, 0.006805419921875, 0.0142974853515625]","[0.013031005859375, 0.0131988525390625, 0.01336669921875, 0.01336669921875, 0.0208587646484375]","[0.0358777791261673, 0.033961109817028046, 0.03204444423317909, 0.03204444423317909, 0.02979999966919422]",[0.0157862  0.01687275 0.01794136 0.0176678  0.01740609],0.02516377,0.013413519,"[7.936483764648438, 8.58785572052002, 8.18941421508789, 6.046475982666016, 9.145422744750977]","[8.619828224182129, 8.334028625488282, 7.744660186767578, 5.760255241394043, 8.669524765014648]",0.8613971982729496,0.21433987928470682,0.2,0.21986607142857142,0.06782685730129692,0.08906498583333333,0.02076023391812866,0.04953917050691245
8,1,1,0.45899308,"[7.9002477645874025, 9.11538486480713]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0142974853515625, 0.0142974853515625, 0.0370025634765625, 0.03414154052734375, 0.031280517578125]","[0.0208587646484375, 0.0208587646484375, 0.0435638427734375, 0.04070281982421875, 0.037841796875]","[0.02979999966919422, 0.02979999966919422, 0.034466665238142014, 0.0315166674554348, 0.028566665947437286]",[0.01717267 0.01688206 0.01650781 0.01616435 0.01592969],0.025580456,0.01335591,"[5.265584945678711, 7.337074279785156, 9.957682609558105, 7.224955940246582, 8.029667854309082]","[5.474638748168945, 6.991518783569336, 10.0, 7.224606323242187, 8.682738113403321]",0.903395845926505,0.20627265862038124,0.17840683585719058,0.25,0.06871635144893316,0.1,0.05,0.05
9,1,1,0.087249994,"[9.223353004455566, 10.0]",[0. 0. 0. 0. 0.],[0.        0.        0.        0.        0.0075188],[0. 0. 0. 0. 0.],"[0.03533935546875, 0.03533935546875, 0.02999114990234375, 0.0246429443359375, 0.0246429443359375]","[0.041900634765625, 0.041900634765625, 0.03655242919921875, 0.0312042236328125, 0.0312042236328125]","[0.023277778178453445, 0.023277778178453445, 0.023738889023661613, 0.02419999986886978, 0.02419999986886978]",[0.01559869 0.01537729 0.01513591 0.01496131 0.01487624],0.026195908,0.013341623,"[8.35655918121338, 8.456736183166504, 5.992544555664063, 5.221010780334473, 8.93887119293213]","[7.6681718826293945, 8.235700988769532, 6.023076820373535, 5.483584022521973, 8.792168807983398]",0.9186178979880406,0.20291990021069806,0.19103450775146485,0.25,0.07616724942437403,0.1,0.05,0.04849624060150376
10,2,1,0.87014484,"[10.0, 10.0]",[0.         0.         0.         0.06959707 0.        ],[0.         0.00191571 0.00208333 0.00212766 0.        ],[0. 0. 0. 0. 0.],"[0.0563812255859375, 0.0563812255859375, 0.0563812255859375, 0.0355377197265625, 0.0355377197265625]","[0.0629425048828125, 0.0629425048828125, 0.0629425048828125, 0.0420989990234375, 0.0420989990234375]","[0.030222222208976746, 0.030222222208976746, 0.030222222208976746, 0.032511111348867416, 0.032511111348867416]",[0.01506625 0.01477378 0.01446668 0.01566168 0.01551872],0.027782824,0.01477941,"[8.31765956878662, 9.244141769409179, 10.0, 10.0, 6.966115188598633]","[8.133117866516113, 9.55618495941162, 10.0, 9.913387680053711, 6.689336967468262]",0.8854517825620547,0.2313021813266024,0.1685361873468704,0.2326007326007326,0.0699925935068616,0.084245428125,0.05,0.04877465965598761
