step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0160719871521, 4.489719867706299]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[6.073858e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.013174057006835938, 0.005461692810058594, 0.0103759765625, 0.00988667830824852, 0.01584879495203495]","[0.017507553100585938, 0.009795188903808594, 0.01470947265625, 0.01422017440199852, 0.02018229104578495]","[0.030850693583488464, 0.028893055394291878, 0.02583777718245983, 0.02578962966799736, 0.025269629433751106]",[0. 0. 0. 0. 0.],0.0152405575,0.00637985,"[2.4234916687011716, 2.445563745498657, 2.387238073348999, 2.355491876602173, 3.8828794479370115]","[2.43112530708313, 2.4198202610015866, 2.3551692962646484, 2.3560984134674072, 3.8133365631103513]",0.8066517109928891,0.08615982504669382,0.19997881084293515,0.25,0.07112046091472757,0.1,0.04939261418853256,0.05
2,0,1,-0.46042657,"[4.532422065734863, 5.241443061828614]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0348663330078125, 0.0348663330078125, 0.0348663330078125, 0.0348663330078125, 0.023773193359375]","[0.0391998291015625, 0.0391998291015625, 0.0391998291015625, 0.0391998291015625, 0.028106689453125]","[0.026955556124448776, 0.026955556124448776, 0.026955556124448776, 0.026955556124448776, 0.0270666666328907]",[0. 0. 0. 0. 0.],0.016566208,0.008153791,"[5.284132957458496, 4.898245048522949, 4.062489032745361, 3.5670451164245605, 3.9103009223937986]","[5.457577896118164, 5.268342971801758, 3.9668049812316895, 3.649827098846435, 3.8942199707031246]",0.8083644619295245,0.13353883986565443,0.16809423772300164,0.25,0.07387210941031278,0.08285927493055556,0.05,0.05
3,0,1,-0.918053,"[5.3190580368042, 6.151840019226074]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0211639404296875, 0.0185546875, 0.0185546875, 0.016693115234375, 0.016693115234375]","[0.0254974365234375, 0.02288818359375, 0.02288818359375, 0.021026611328125, 0.021026611328125]","[0.026961110532283783, 0.026855556294322014, 0.026855556294322014, 0.02056666649878025, 0.02056666649878025]",[0. 0. 0. 0. 0.],0.017144775,0.008023851,"[2.0966004848480226, 1.0391109704971313, 1.057786512374878, 0.8246919989585877, 0.8726399898529053]","[1.9912494659423827, 1.0526989698410034, 1.0714519739151, 0.849386990070343, 0.8896160125732422]",0.7235705754656316,0.032599589509746535,0.2,0.25,0.0739530338725516,0.06701795208333335,0.05,0.05
4,0,1,-0.96694475,"[6.202707862854004, 7.18047103881836]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.016693115234375, 0.016693115234375, 0.0038604736328125, 0.0038604736328125, 0.0101165771484375]","[0.021026611328125, 0.021026611328125, 0.0081939697265625, 0.0081939697265625, 0.0144500732421875]","[0.02056666649878025, 0.02056666649878025, 0.023366667330265045, 0.023366667330265045, 0.02151111140847206]",[0. 0. 0. 0. 0.],0.016912749,0.007899028,"[0.6812685072422028, 0.9392540097236634, 0.6897664964199066, 0.7641929864883423, 0.6940559923648835]","[0.7085910081863404, 0.9279805064201355, 0.7161394953727722, 0.748282516002655, 0.6712939977645874]",0.7422236477470355,0.015346508008401639,0.2,0.25,0.07687713973863385,0.1,0.05,0.05
5,1,1,0.6265404,"[7.257696914672851, 8.375939750671387]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0101165771484375, 0.0101165771484375, 0.01226043701171875, 0.014404296875, 0.014404296875]","[0.0144500732421875, 0.0144500732421875, 0.01659393310546875, 0.01873779296875, 0.01873779296875]","[0.02151111140847206, 0.02151111140847206, 0.02238333411514759, 0.02325555495917797, 0.02325555495917797]",[0. 0. 0. 0. 0.],0.01684884,0.007622489,"[0.9705234885215759, 4.920570468902588, 9.239142990112304, 10.0, 9.478358268737793]","[0.9950364828109741, 4.944433116912842, 9.273377990722656, 10.0, 9.469502830505371]",0.8542064885639661,0.19337139439769285,0.19811176763516722,0.25,0.07697344528110595,0.03574988125,0.05,0.05
6,1,1,0.8255112,"[8.468628883361816, 8.376962280273437]",[0.         0.03297683 0.01546392 0.00124611 0.0017192 ],[0.00134953 0.         0.00202922 0.00094787 0.00088496],[0. 0. 0. 0. 0.],"[0.0259552001953125, 0.016876220703125, 0.0285669956356287, 0.03982849046587944, 0.04494629055261612]","[0.0302886962890625, 0.021209716796875, 0.03290049359202385, 0.04416198655962944, 0.04927978664636612]","[0.02953333407640457, 0.02975555509328842, 0.029377777129411697, 0.03595777601003647, 0.03690888732671738]",[0.         0.00281815 0.00274917 0.00351327 0.00334649],0.020566136,0.012290601,"[8.822867012023925, 8.65043830871582, 9.629458618164062, 9.557785415649414, 9.965702056884766]","[9.009997367858887, 8.726264572143554, 9.557482719421387, 9.322358131408691, 10.0]",0.8904246456669581,0.23863831703462016,0.17352479722764758,0.23714848793825327,0.06719214186272508,0.07496321590277778,0.05,0.048957685700934304
7,1,1,0.21327162,"[8.473575019836426, 8.816862869262696]",[0.         0.         0.07608695 0.         0.        ],[0.         0.00333333 0.         0.         0.        ],[0.00247525 0.         0.         0.         0.        ],"[0.09490966796875, 0.09490966796875, 0.0942230224609375, 0.093536376953125, 0.093536376953125]","[0.0992431640625, 0.0992431640625, 0.0985565185546875, 0.097869873046875, 0.097869873046875]","[0.036855556070804596, 0.036855556070804596, 0.03492777794599533, 0.032999999821186066, 0.032999999821186066]",[0.00327789 0.0032175  0.00389208 0.00455086 0.00451375],0.024938837,0.021570617,"[8.514805793762207, 7.224387741088868, 7.17186336517334, 7.323004913330078, 6.415797996520996]","[8.341846084594726, 6.93434009552002, 6.818789100646973, 7.543661880493164, 6.177193260192872]",0.7538637551858139,0.20166133824003432,0.10020277614637967,0.23097826086956522,0.06722467052458173,0.07921585131944446,0.02524752475247525,0.04933333333333334
8,1,1,0.45899308,"[9.029048919677734, 10.0]",[0. 0. 0. 0. 0.],[0.        0.        0.        0.0014245 0.       ],[0. 0. 0. 0. 0.],"[0.09307861328125, 0.092620849609375, 0.09661865234375, 0.100616455078125, 0.100616455078125]","[0.097412109375, 0.096954345703125, 0.1009521484375, 0.104949951171875, 0.104949951171875]","[0.02957777865231037, 0.026155555620789528, 0.025188889354467392, 0.024222223088145256, 0.024222223088145256]",[0.00441943 0.00434116 0.00426284 0.00418171 0.0041212 ],0.029419348,0.027524663,"[7.449886131286621, 7.304353904724121, 7.7784992218017575, 7.4749750137329105, 10.0]","[7.179410743713379, 7.299156570434571, 7.945351791381836, 7.47003231048584, 10.0]",0.8981587296172083,0.21472711215786375,0.1617006402266653,0.25,0.07201587751757953,0.1,0.05,0.049715099715099714
9,1,1,0.087249994,"[10.0, 10.0]",[0.00246305 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.100982666015625, 0.101348876953125, 0.101348876953125, 0.101348876953125, 0.013641357421875]","[0.105316162109375, 0.105682373046875, 0.105682373046875, 0.105682373046875, 0.017974853515625]","[0.029066666960716248, 0.03391111269593239, 0.03391111269593239, 0.03391111269593239, 0.030811110511422157]",[0.00406773 0.00402255 0.00397488 0.00391981 0.0038807 ],0.033133183,0.03147353,"[6.143220329284668, 8.905479621887206, 6.1692665100097654, 7.295767974853516, 7.023297882080079]","[6.102831268310547, 8.373459815979004, 6.058787536621094, 7.3403266906738285, 6.419334793090821]",0.901142711242985,0.19717605956747425,0.1855088512349573,0.24938423645320196,0.06907356398735147,0.1,0.05,0.05
10,2,1,0.87014484,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0240478515625, 0.0240478515625, 0.0060882568359375, 0.0060882568359375, 0.0152740478515625]","[0.02838134765625, 0.02838134765625, 0.0104217529296875, 0.0104217529296875, 0.0196075439453125]","[0.03292222321033478, 0.03292222321033478, 0.026455555111169815, 0.026455555111169815, 0.030833333730697632]",[0.00380763 0.00372619 0.00365361 0.00358856 0.00353063],0.032407425,0.030844089,"[7.756873893737793, 9.627878761291504, 10.0, 9.207904052734374, 10.0]","[7.813320732116699, 9.321165084838867, 10.0, 9.385689735412598, 10.0]",0.9352098209476614,0.23852254518713,0.2,0.25,0.06971982680219797,0.07696744895833334,0.05,0.05
