step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.02337703704834, 2.481191062927246]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[7.092199e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.01960652694106102, 0.03891601413488388, 0.03513285145163536, 0.03419596329331398, 0.00972638837993145]","[0.02354329451918602, 0.04285278171300888, 0.03906961902976036, 0.03813273087143898, 0.01366315595805645]","[0.028552591800689697, 0.02895333245396614, 0.02455185167491436, 0.02740074135363102, 0.027872221544384956]",[0. 0. 0. 0. 0.],0.03169271,0.01973403,"[2.3211511611938476, 2.3714827060699464, 2.4958287715911864, 2.3398256301879883, 2.847178840637207]","[2.2759605884552, 2.3565706253051757, 2.5080888271331787, 2.2845430850982664, 2.8834142684936523]",0.800717536494468,0.07896097748439616,0.2,0.25,0.07246577886822776,0.1,0.04929078014184397,0.05
2,0,1,-0.46042657,"[2.5005520343780514, 3.0556529998779296]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0110626220703125, 0.0110626220703125, 0.0110626220703125, 0.0110626220703125, 0.0463104248046875]","[0.0149993896484375, 0.0149993896484375, 0.0149993896484375, 0.0149993896484375, 0.0502471923828125]","[0.03888889029622078, 0.03888889029622078, 0.03888889029622078, 0.03888889029622078, 0.030766665935516357]",[0.00548589 0.00542455 0.00531626 0.00526938 0.00520778],0.031082347,0.019567305,"[8.133161926269532, 6.054830741882324, 3.484443950653076, 4.477190017700195, 2.918038940429687]","[7.581193923950195, 5.922301864624024, 3.788992118835449, 4.3039299011230465, 3.0716089248657226]",0.8400643139333277,0.15049985864696203,0.2,0.25,0.0660065365760481,0.07355791871031747,0.05,0.05
3,0,1,-0.918053,"[3.0842409133911133, 3.586946105957031]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0463104248046875, 0.0463104248046875, 0.037200927734375, 0.037200927734375, 0.0193939208984375]","[0.0502471923828125, 0.0502471923828125, 0.0411376953125, 0.0411376953125, 0.0233306884765625]","[0.030766665935516357, 0.030766665935516357, 0.019966667518019676, 0.019966667518019676, 0.022677777335047722]",[0.00509675 0.00506147 0.00501819 0.00498754 0.00496957],0.03232245,0.019082904,"[2.323291063308716, 1.320071005821228, 1.553571033477783, 1.0296605110168457, 0.8476999878883362]","[2.2830055713653565, 1.224543523788452, 1.5508954763412475, 1.0200639963150024, 0.8601190090179444]",0.7017999074197756,0.04172735246242664,0.17638003609397196,0.25,0.07117871157171028,0.06251380729166667,0.05,0.05
4,0,1,-0.96694475,"[3.6244069099426266, 4.169662952423096]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0202484130859375, 0.0211029052734375, 0.0211029052734375, 0.0211029052734375, 0.0331878662109375]","[0.0241851806640625, 0.0250396728515625, 0.0250396728515625, 0.0250396728515625, 0.0371246337890625]","[0.023266667500138283, 0.023855555802583694, 0.023855555802583694, 0.023855555802583694, 0.02388888970017433]",[0.00493556 0.00490393 0.00488778 0.00487368 0.00486256],0.031823635,0.01838367,"[1.0416484832763673, 0.8173230051994325, 0.6309504985809327, 0.6399330019950866, 0.7052369952201843]","[1.0263590335845947, 0.8399500131607056, 0.6097325086593628, 0.6430989921092987, 0.7297890067100525]",0.7423358097127922,0.01590603575234376,0.2,0.25,0.07642977396044842,0.1,0.05,0.05
5,1,1,0.6265404,"[4.214506912231445, 2.725981044769287]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0331878662109375, 0.0331878662109375, 0.0359039306640625, 0.0386199951171875, 0.0386199951171875]","[0.0371246337890625, 0.0371246337890625, 0.0398406982421875, 0.0425567626953125, 0.0425567626953125]","[0.02388888970017433, 0.02388888970017433, 0.023544443771243095, 0.02319999970495701, 0.02319999970495701]",[0.00481547 0.00464579 0.0044747  0.0043405  0.00424426],0.032484945,0.017727965,"[1.118274974822998, 6.960374259948731, 9.033704376220703, 7.20489730834961, 9.161065101623535]","[1.2330085039138794, 6.345992469787598, 9.231398773193359, 7.035810279846191, 8.819971084594727]",0.8371003081157405,0.1886600602946149,0.18376719156901042,0.25,0.07642977396044842,0.03824328229166667,0.05,0.05
6,1,1,0.8255112,"[2.759542989730835, 3.639810085296631]",[0.         0.         0.02580645 0.         0.02923977],[0.         0.001      0.00112994 0.00090253 0.0030303 ],[0. 0. 0. 0. 0.],"[0.06099853664636612, 0.07123108208179474, 0.0685577392578125, 0.0464935302734375, 0.042018890380859375]","[0.06493530422449112, 0.07516784965991974, 0.0724945068359375, 0.0504302978515625, 0.045955657958984375]","[0.032424446195364, 0.03925555571913719, 0.04300222173333168, 0.04044722393155098, 0.04024999961256981]",[0.0038268  0.00360163 0.00421227 0.00515171 0.00540991],0.037964463,0.020874128,"[4.949444770812988, 7.646635246276856, 8.840987014770509, 10.0, 9.726728248596192]","[4.877178192138672, 7.828270721435547, 8.54573974609375, 10.0, 10.0]",0.8678813392535737,0.21907204426304014,0.16612784624099733,0.23623844557630636,0.06366697247835121,0.08398858541666666,0.05,0.048787445278211966
7,1,1,0.21327162,"[3.668212032318115, 3.8551939010620115]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02978515625, 0.0408935546875, 0.0384368896484375, 0.035980224609375, 0.035980224609375]","[0.033721923828125, 0.044830322265625, 0.0423736572265625, 0.0399169921875, 0.0399169921875]","[0.03970000147819519, 0.035144444555044174, 0.03621666505932808, 0.03728888928890228, 0.03728888928890228]",[0.00677534 0.00662045 0.00648527 0.00637557 0.00627919],0.038109884,0.020211132,"[10.0, 7.907296180725098, 9.517538261413574, 6.960493850708008, 9.001005172729492]","[9.929676628112793, 7.665459060668946, 9.145735740661621, 6.622315216064453, 6.721362113952637]",0.9427513346225282,0.22721871050175627,0.2,0.25,0.06553262412077183,0.1,0.05,0.05
8,1,1,0.45899308,"[3.8876699447631835, 4.508820915222168]",[0. 0. 0. 0. 0.],[0.         0.         0.00196078 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0290069580078125, 0.0290069580078125, 0.0290069580078125, 0.0627899169921875, 0.0627899169921875]","[0.0329437255859375, 0.0329437255859375, 0.0329437255859375, 0.0667266845703125, 0.0667266845703125]","[0.035011112689971924, 0.035011112689971924, 0.035011112689971924, 0.03511111065745354, 0.03511111065745354]",[0.0060912  0.00597714 0.00586277 0.00578809 0.00571051],0.038290825,0.019957945,"[9.982468795776366, 7.94863452911377, 8.517009353637695, 8.48674488067627, 10.0]","[10.0, 7.982743644714356, 8.370026016235352, 8.707600975036621, 10.0]",0.9402687451888174,0.23274184670993567,0.18961202687230605,0.25,0.06830702846932077,0.1,0.05,0.04960784313725491
9,1,1,0.087249994,"[4.559768867492676, 5.2566522598266605]",[0.         0.         0.04694836 0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0627899169921875, 0.0627899169921875, 0.0785980224609375, 0.0785980224609375, 0.0785980224609375]","[0.0667266845703125, 0.0667266845703125, 0.0825347900390625, 0.0825347900390625, 0.0825347900390625]","[0.03511111065745354, 0.03511111065745354, 0.04144444316625595, 0.04144444316625595, 0.04144444316625595]",[0.00552092 0.0054357  0.00622802 0.00615434 0.00609177],0.040465914,0.021327654,"[10.0, 8.012002182006835, 7.431880569458008, 5.25669059753418, 7.933975791931152]","[9.196224212646484, 8.026913833618163, 6.905377960205079, 5.323358726501465, 7.263984870910645]",0.8515108819744595,0.209466234268598,0.15237254353312701,0.23826291079812206,0.0645348371246123,0.08687435624999999,0.05,0.05
10,2,1,0.87014484,"[5.315640830993653, 5.864815902709961]",[0. 0. 0. 0. 0.],[0.         0.00176678 0.         0.00273973 0.00458716],[0. 0. 0. 0. 0.],"[0.03070068359375, 0.03070068359375, 0.02394866943359375, 0.0171966552734375, 0.0171966552734375]","[0.034637451171875, 0.034637451171875, 0.02788543701171875, 0.0211334228515625, 0.0211334228515625]","[0.03822222352027893, 0.03822222352027893, 0.03786666691303253, 0.03751111030578613, 0.03751111030578613]",[0.00597986 0.00584614 0.0057455  0.00564403 0.00555468],0.039812706,0.020965219,"[8.484607696533203, 10.0, 10.0, 9.779032897949218, 10.0]","[6.965885734558106, 10.0, 10.0, 9.70721893310547, 10.0]",0.9387387377209814,0.24421702008352505,0.2,0.25,0.06640105821772227,0.07993939270833333,0.05,0.04818126671140063
