step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0182449340820314, 2.6180749893188473]",[0. 0. 0. 0. 0.],[0.00096154 0.         0.         0.         0.00080321],[6.691649e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.02189922332763672, 0.02026653289794922, 0.011980184353888035, 0.01534322090446949, 0.07522989809513092]","[0.02682781219482422, 0.02519512176513672, 0.01690877228975296, 0.02027180977165699, 0.08015848696231842]","[0.028822917491197586, 0.02442847192287445, 0.02438444457948208, 0.028843704611063004, 0.026568148285150528]",[0. 0. 0. 0. 0.],0.03366822,0.027571345,"[2.3033694744110105, 2.3773974418640136, 2.311307382583618, 2.411567211151123, 3.337557029724121]","[2.2537902355194093, 2.3440876960754395, 2.274227523803711, 2.373171281814575, 3.3243628501892086]",0.802757614113027,0.08133629340974567,0.19989790994883616,0.25,0.07254552589926103,0.1,0.049330835117773024,0.049647049737411186
2,0,1,-0.46042657,"[2.639723062515259, 3.0140219688415524]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.05859375, 0.05859375, 0.060638427734375, 0.060638427734375, 0.060638427734375]","[0.0635223388671875, 0.0635223388671875, 0.0655670166015625, 0.0655670166015625, 0.0655670166015625]","[0.03146666660904884, 0.03146666660904884, 0.028044443577528, 0.028044443577528, 0.028044443577528]",[0. 0. 0. 0. 0.],0.0355634,0.027734457,"[6.238792800903321, 7.421298789978027, 4.570386981964112, 3.175644874572754, 3.549392032623291]","[5.922816848754883, 7.783004188537598, 4.2684589385986325, 2.8534310340881346, 3.589111042022705]",0.7997303985465677,0.14994952592106725,0.15453038223390658,0.25,0.07069698536555212,0.07455350502604167,0.05,0.05
3,0,1,-0.918053,"[3.0398798942565914, 3.5158190727233887]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.060638427734375, 0.042144775390625, 0.023651123046875, 0.023651123046875, 0.023651123046875]","[0.0655670166015625, 0.0470733642578125, 0.0285797119140625, 0.0285797119140625, 0.0285797119140625]","[0.028044443577528, 0.027433333918452263, 0.026822222396731377, 0.026822222396731377, 0.026822222396731377]",[0. 0. 0. 0. 0.],0.036092065,0.026939545,"[1.8182465553283693, 0.8121509909629823, 1.0741090059280396, 1.1081134796142578, 0.9078279972076416]","[1.7561400413513182, 0.8208830118179322, 1.0913820028305055, 1.0633675098419189, 0.9321950078010559]",0.7143186145072467,0.031257595080059764,0.2,0.25,0.07313407776052015,0.05992694166666667,0.05,0.05
4,0,1,-0.96694475,"[3.5539050102233887, 4.109374904632569]",[0. 0. 0. 0. 0.],[0.         0.02631579 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0035858154296875, 0.0035858154296875, 0.019622802734375, 0.019622802734375, 0.019622802734375]","[0.008514404296875, 0.008514404296875, 0.0245513916015625, 0.0245513916015625, 0.0245513916015625]","[0.0283555556088686, 0.0283555556088686, 0.026200000196695328, 0.026200000196695328, 0.026200000196695328]",[0. 0. 0. 0. 0.],0.03451153,0.026470834,"[0.8813385009765625, 0.7007299900054932, 0.6654800057411194, 0.7003129959106446, 0.8096070051193238]","[0.87150799036026, 0.7329760074615479, 0.6757335007190705, 0.7390159845352173, 0.7801670074462891]",0.7328936306240058,0.015253323762611334,0.2,0.25,0.07290346475613123,0.1,0.05,0.04473684210526316
5,1,1,0.6265404,"[4.167017936706543, 4.788374900817871]",[0. 0. 0. 0. 0.],[0.         0.         0.0035461  0.         0.00361011],[0. 0. 0. 0. 0.],"[0.02109527587890625, 0.0225677490234375, 0.0225677490234375, 0.0303802490234375, 0.0381927490234375]","[0.02602386474609375, 0.027496337890625, 0.027496337890625, 0.035308837890625, 0.043121337890625]","[0.024933332577347755, 0.023666666820645332, 0.023666666820645332, 0.026422223076224327, 0.029177777469158173]",[0. 0. 0. 0. 0.],0.034189012,0.025440801,"[2.449483060836792, 7.550875091552735, 8.007180786132812, 7.794594764709473, 10.0]","[2.4111400604248043, 7.532344245910645, 7.97639102935791, 7.495140075683594, 10.0]",0.8397612370706844,0.19825188016506645,0.18739708794487847,0.25,0.07230322922954535,0.03324028125,0.05,0.04856875848119416
6,1,1,0.8255112,"[4.830942058563233, 6.8600341796875]",[0.         0.0069869  0.         0.         0.15283613],[0.00172414 0.0008658  0.00297619 0.00349429 0.00232105],[0.         0.         0.         0.         0.00101215],"[0.04570923000574112, 0.052825927734375, 0.05144500732421875, 0.0416412353515625, 0.04913330078125]","[0.05063781887292862, 0.0577545166015625, 0.05637359619140625, 0.04656982421875, 0.0540618896484375]","[0.03035111166536808, 0.030168889090418816, 0.028077777475118637, 0.02984444424510002, 0.03970000147819519]",[0.         0.00012072 0.00058173 0.000543   0.01859113],0.037403047,0.024417968,"[9.086466789245605, 8.750032234191895, 8.36478977203369, 9.460479736328125, 9.836621856689453]","[9.215200805664063, 8.74481201171875, 8.902859497070313, 9.422935104370117, 9.907158088684081]",0.8486720543640724,0.234721899655715,0.17097157404972957,0.21004424149572493,0.06553262412077183,0.07979946552083333,0.03987854251012146,0.047723707011176286
7,1,1,0.21327162,"[6.925813102722168, 7.920051193237304]",[0. 0. 0. 0. 0.],[0.         0.         0.00247525 0.         0.        ],[0. 0. 0. 0. 0.],"[0.05694580078125, 0.05694580078125, 0.05694580078125, 0.0169219970703125, 0.0169219970703125]","[0.0618743896484375, 0.0618743896484375, 0.0618743896484375, 0.0218505859375, 0.0218505859375]","[0.029677778482437134, 0.029677778482437134, 0.029677778482437134, 0.031244443729519844, 0.031244443729519844]",[0.01989931 0.01952111 0.01917685 0.01881064 0.01856123],0.0381237,0.024252472,"[8.852199363708497, 7.281526947021485, 6.480615615844727, 5.464205169677735, 5.9935447692871096]","[9.284193229675292, 7.068828773498535, 6.17869758605957, 5.362947845458985, 6.277255821228027]",0.8876953725791543,0.1911461578337053,0.2,0.25,0.07084905185456607,0.07619521239583335,0.05,0.04950495049504951
8,1,1,0.45899308,"[8.025588035583496, 7.276247787475586]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0169219970703125, 0.0121917724609375, 0.0074615478515625, 0.0074615478515625, 0.0169677734375]","[0.0218505859375, 0.017120361328125, 0.01239013671875, 0.01239013671875, 0.0218963623046875]","[0.031244443729519844, 0.033444445580244064, 0.035644445568323135, 0.035644445568323135, 0.03646666556596756]",[0.01813803 0.01782113 0.01736419 0.01706554 0.01689578],0.03698097,0.024084888,"[7.7703962326049805, 6.465873908996582, 10.0, 7.33394718170166, 10.0]","[7.883770561218261, 6.393396186828613, 10.0, 7.137152862548828, 10.0]",0.9224234934224959,0.2205817464592622,0.2,0.25,0.06746284175490018,0.08437890520833335,0.05,0.05
9,1,1,0.087249994,"[7.369235038757324, 8.104337120056153]",[0. 0. 0. 0. 0.],[0.00209205 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0169677734375, 0.01026153564453125, 0.0035552978515625, 0.0035552978515625, 0.0035552978515625]","[0.0218963623046875, 0.01519012451171875, 0.00848388671875, 0.00848388671875, 0.00848388671875]","[0.03646666556596756, 0.03563888743519783, 0.0348111093044281, 0.0348111093044281, 0.0348111093044281]",[0.01652989 0.01626523 0.01603784 0.01581139 0.0156554 ],0.035769753,0.024068143,"[7.311676406860352, 7.276853179931641, 6.100207138061523, 10.0, 7.394473838806152]","[7.560132217407227, 7.393544006347656, 6.324835777282715, 8.174140930175781, 7.595527076721192]",0.9243668270452375,0.2073223953321784,0.2,0.25,0.06746284175490018,0.1,0.05,0.049581589958159
10,2,1,0.87014484,"[8.169463157653809, 6.409369850158692]",[0.         0.01724138 0.         0.         0.15088758],[0.         0.00446429 0.00383632 0.         0.00348432],[0. 0. 0. 0. 0.],"[0.022308349609375, 0.0357208251953125, 0.04913330078125, 0.04913330078125, 0.0413055419921875]","[0.0272369384765625, 0.0406494140625, 0.0540618896484375, 0.0540618896484375, 0.046234130859375]","[0.025011111050844193, 0.02867777831852436, 0.03234444558620453, 0.03234444558620453, 0.035733334720134735]",[0.01539299 0.01527802 0.01509013 0.0146788  0.01654389],0.036235157,0.023653124,"[5.575077819824219, 7.036561584472657, 4.154826545715332, 10.0, 10.0]","[5.490923118591309, 5.933142280578614, 4.480933094024659, 10.0, 10.0]",0.8396061787945672,0.20212669729865065,0.1639519296041349,0.20796776168128953,0.06791677489195744,0.1,0.05,0.047643015318534626
