train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,time/fps,time/total_timesteps
-1.3068379163742065,0.09470093995332718,0.008605169132351875,50.0,-3.520380973815918,4,42.56943475,617,0.0003,189,0,200
-1.8563803434371948,0.08942951261997223,0.0026439190842211246,50.0,-3.601966381072998,8,42.931158124999996,1236,0.0003,389,0,400
-2.490469455718994,0.08423072844743729,0.0027372860349714756,50.0,-3.7704925537109375,12,43.082213499999995,1862,0.0003,589,0,600
-3.0933310985565186,0.07931280881166458,0.0027144504711031914,50.0,-3.8187732696533203,16,43.107045312500006,2482,0.0003,789,0,800
-3.7638163566589355,0.07471652328968048,0.002954966388642788,50.0,-3.782090425491333,20,43.0855229,3099,0.0003,989,0,1000
-4.412339210510254,0.07044413685798645,0.002221283968538046,50.0,-4.017716407775879,24,43.15571995833334,3715,0.0003,1189,0,1200
-5.048036098480225,0.06647208333015442,0.0025119315832853317,50.0,-4.15403413772583,28,43.13889453571429,4331,0.0003,1389,0,1400
-5.654549598693848,0.06275136768817902,0.00228454964235425,50.0,-4.1066436767578125,32,43.176896437500005,4951,0.0003,1589,0,1600
-6.213185787200928,0.05925123021006584,0.00401350250467658,50.0,-4.02751350402832,36,43.23204661111111,5566,0.0003,1789,0,1800
-6.762311935424805,0.05597781389951706,0.0026915171183645725,50.0,-3.723802328109741,40,43.282104600000004,6187,0.0003,1989,0,2000
-7.236374378204346,0.05288325995206833,0.001697413856163621,50.0,-3.810908555984497,44,43.28907081818182,6814,0.0003,2189,0,2200
-7.78604793548584,0.049970585852861404,0.0026392037980258465,50.0,-4.244007587432861,48,43.31563595833334,7433,0.0003,2389,0,2400
-8.269266128540039,0.0472259558737278,0.0018441270804032683,50.0,-3.626282215118408,52,43.35775407692308,8050,0.0003,2589,0,2600
-8.710332870483398,0.044634073972702026,0.002251465804874897,50.0,-3.9971160888671875,56,43.39746725,8672,0.0003,2789,0,2800
-9.14675235748291,0.04218262434005737,0.0017096363008022308,50.0,-4.297062397003174,60,43.44423616666667,9293,0.0003,2989,0,3000
-9.50150203704834,0.03987913951277733,0.00268474780023098,50.0,-3.9655840396881104,64,43.4649205,9915,0.0003,3189,0,3200
-9.908394813537598,0.03770647943019867,0.0023757214657962322,50.0,-4.158483028411865,68,43.48591836764706,10531,0.0003,3389,0,3400
-10.316476821899414,0.03566623851656914,0.002142505720257759,50.0,-4.108198642730713,72,43.505638930555556,11151,0.0003,3589,0,3600
-10.70101261138916,0.03372037783265114,0.0020653028041124344,50.0,-4.1587395668029785,76,43.521998092105264,11776,0.0003,3789,0,3800
-10.973807334899902,0.03189247474074364,0.0033484059385955334,50.0,-4.163338661193848,80,43.5417612,12396,0.0003,3989,0,4000
-11.318673133850098,0.03017258457839489,0.0033482443541288376,50.0,-3.7364320755004883,84,43.55539673809524,13010,0.0003,4189,0,4200
-11.600269317626953,0.028555123135447502,0.002336181467399001,50.0,-4.079102516174316,88,43.64575994318182,13571,0.0003,4389,0,4400
-11.927762985229492,0.027035826817154884,0.0029103513807058334,50.0,-3.271688938140869,92,43.757108097826084,14112,0.0003,4589,0,4600
-12.231525421142578,0.025624489411711693,0.002821840113028884,50.0,-3.426727294921875,96,43.864808854166675,14642,0.0003,4789,0,4800
