train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss
189,200,-1.3284631967544556,0.0946887731552124,-3.53971266746521,0.0003,42.7287955,594,50.0,4,0,0.008211927488446236
389,400,-1.9207037687301636,0.0895041972398758,-3.5802059173583984,0.0003,43.45599875,1192,50.0,8,0,0.0026860602665692568
589,600,-2.6132078170776367,0.08437208086252213,-3.6577370166778564,0.0003,43.69176375,1791,50.0,12,0,0.0015649327542632818
789,800,-3.369215726852417,0.079500213265419,-3.663741111755371,0.0003,43.7745108125,2392,50.0,16,0,0.001577463699504733
989,1000,-4.046819686889648,0.0749170184135437,-3.652963161468506,0.0003,43.784540750000005,3000,50.0,20,0,0.0027605989016592503
1189,1200,-4.843390464782715,0.07064942270517349,-3.8821606636047363,0.0003,43.85881491666667,3600,50.0,24,0,0.0031465613283216953
1389,1400,-5.571813106536865,0.06670205295085907,-4.0107269287109375,0.0003,43.87860896428571,4196,50.0,28,0,0.0014884558040648699
1589,1600,-6.353565216064453,0.06301230192184448,-4.011103630065918,0.0003,43.976326093750004,4794,50.0,32,0,0.0020502423867583275
1789,1800,-7.0726399421691895,0.059556908905506134,-3.8013319969177246,0.0003,44.0143376388889,5398,50.0,36,0,0.0015859247650951147
1989,2000,-7.792108535766602,0.05633533373475075,-3.402193069458008,0.0003,44.08889005,5995,50.0,40,0,0.002061631064862013
2189,2200,-8.489855766296387,0.05325508490204811,-3.4385085105895996,0.0003,44.146749568181825,6596,50.0,44,0,0.002322100568562746
2389,2400,-9.200244903564453,0.05035662651062012,-4.030185699462891,0.0003,44.21783441666667,7190,50.0,48,0,0.0021453676745295525
2589,2600,-9.91339111328125,0.047626640647649765,-3.4906368255615234,0.0003,44.273769711538456,7788,50.0,52,0,0.002038604347035289
2789,2800,-10.58282470703125,0.045082494616508484,-3.719839096069336,0.0003,44.33037098214286,8387,50.0,56,0,0.001276151044294238
2989,3000,-11.271331787109375,0.04266979545354843,-3.9134349822998047,0.0003,44.37591166666666,8989,50.0,60,0,0.0018193777650594711
3189,3200,-11.905583381652832,0.04040585830807686,-3.571998119354248,0.0003,44.40364153125,9590,50.0,64,0,0.001269457396119833
3389,3400,-12.57019329071045,0.03827594965696335,-3.5645909309387207,0.0003,44.42757852941177,10198,50.0,68,0,0.00397142069414258
3589,3600,-13.177728652954102,0.03626181185245514,-3.5298337936401367,0.0003,44.44408893055556,10803,50.0,72,0,0.001520839286968112
3789,3800,-13.814933776855469,0.034356679767370224,-3.9131524562835693,0.0003,44.46295042105264,11409,50.0,76,0,0.0021842350251972675
3989,4000,-14.45003890991211,0.03255413472652435,-3.75791072845459,0.0003,44.4829955875,12016,50.0,80,0,0.0023451370652765036
4189,4200,-15.009439468383789,0.030851660296320915,-3.296431303024292,0.0003,44.50438801190476,12627,50.0,84,0,0.0023469021543860435
4389,4400,-15.618904113769531,0.029267728328704834,-3.592235565185547,0.0003,44.52618889772727,13230,50.0,88,0,0.0017957310192286968
4589,4600,-16.172771453857422,0.02774440497159958,-3.0594472885131836,0.0003,44.54118656521739,13834,50.0,92,0,0.0017928373999893665
4789,4800,-16.779775619506836,0.026303578168153763,-2.8606410026550293,0.0003,44.563208833333334,14441,50.0,96,0,0.001782019273377955
