step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.023689031600952, 1.9412390708923342]",[0. 0. 0. 0. 0.],[0.00105708 0.         0.         0.         0.        ],[0.00012679 0.         0.         0.         0.        ],"[0.03083246387541294, 0.02100164256989956, 0.004932750482112169, 0.020509200170636177, 0.02519378624856472]","[0.03978937491774559, 0.02995855174958706, 0.013889659196138382, 0.029466109350323677, 0.03415069729089737]","[0.029045455157756805, 0.02837979793548584, 0.025178788229823112, 0.030307071283459663, 0.026483332738280296]",[0. 0. 0. 0. 0.],0.029363845,0.017411124,"[2.4396859169006344, 2.2501565933227536, 2.437077522277832, 2.2162813663482663, 3.722134590148926]","[2.381776237487793, 2.2513105869293213, 2.4200910568237304, 2.137027883529663, 3.568126010894775]",0.8033993507365738,0.08342276920710011,0.19995648316662723,0.25,0.07149942407103274,0.1,0.04873209078229999,0.04978858350951374
2,0,1,-0.46042657,"[1.9689240455627441, 2.591591930389404]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0032196044921875, 0.0032196044921875, 0.0032196044921875, 0.0032196044921875, 0.0032196044921875]","[0.012176513671875, 0.012176513671875, 0.012176513671875, 0.012176513671875, 0.012176513671875]","[0.02468888834118843, 0.02468888834118843, 0.02468888834118843, 0.02468888834118843, 0.02468888834118843]",[0.01798801 0.01754158 0.01733881 0.01720622 0.016979  ],0.027907291,0.017331172,"[5.959286880493164, 5.74839973449707, 5.384030151367187, 3.288996887207031, 3.325500965118408]","[5.935428810119629, 5.446383857727051, 5.248334121704102, 3.2255099296569822, 3.309028911590576]",0.8473276820977942,0.1437357253738155,0.2,0.25,0.07576045471640289,0.07783150200757577,0.05,0.05
3,0,1,-0.918053,"[2.6158379554748534, 3.081072902679443]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0176849365234375, 0.0176849365234375, 0.022979736328125, 0.022979736328125, 0.014862060546875]","[0.026641845703125, 0.026641845703125, 0.0319366455078125, 0.0319366455078125, 0.0238189697265625]","[0.0273777786642313, 0.0273777786642313, 0.03046666644513607, 0.03046666644513607, 0.0272444449365139]",[0.01664217 0.0165118  0.01640244 0.01627401 0.01617541],0.028009752,0.016183302,"[2.6700620651245117, 0.9959265112876892, 1.1051485300064088, 1.030420970916748, 1.054999017715454]","[2.655045986175537, 0.9889230132102966, 1.096688485145569, 1.0292589664459229, 1.0785649776458741]",0.7102456270440382,0.04007282919663407,0.18388860365923715,0.25,0.07138764835483342,0.06489654583333333,0.05,0.05
4,0,1,-0.96694475,"[3.1154080390930172, 0.688565993309021]",[0. 0. 0. 0. 0.],[0.01923077 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.014862060546875, 0.02487945556640625, 0.0348968505859375, 0.0348968505859375, 0.016357421875]","[0.0238189697265625, 0.03383636474609375, 0.043853759765625, 0.043853759765625, 0.0253143310546875]","[0.0272444449365139, 0.027461111545562744, 0.027677778154611588, 0.027677778154611588, 0.02513333410024643]",[0.01605236 0.0159792  0.01589922 0.01582464 0.01580241],0.028642755,0.015745835,"[0.9017724990844727, 0.7068089842796326, 0.6397920072078704, 0.8420550107955933, 0.6498549938201904]","[0.8861075043678284, 0.6881945073604584, 0.6383874952793122, 0.7670820116996766, 0.6604110062122346]",0.7259842872941353,0.015108589725560872,0.19131341231496712,0.25,0.07340843909976116,0.1,0.05,0.046153846153846156
5,1,1,0.6265404,"[0.6976330041885377, 0.8037519931793213]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.025543212890625, 0.03472900390625, 0.03073883056640625, 0.0267486572265625, 0.0291290283203125]","[0.0345001220703125, 0.0436859130859375, 0.03969573974609375, 0.03570556640625, 0.0380859375]","[0.025866666808724403, 0.026599999517202377, 0.02881111018359661, 0.031022222712635994, 0.031477779150009155]",[0.01553696 0.01487596 0.01426195 0.01357212 0.01325348],0.029671881,0.015303919,"[2.110048007965088, 8.125830841064452, 8.935088348388671, 9.775520133972169, 8.874264144897461]","[2.0795555114746094, 8.003943252563475, 8.46649341583252, 9.240246772766113, 8.039056015014648]",0.8474531700512672,0.2062953478411307,0.19146939445944394,0.25,0.07068940275069252,0.028999025,0.05,0.05
6,1,1,0.8255112,"[0.7635639905929565, 1.1247119903564453]",[0.04427082 0.         0.0081448  0.02202643 0.00911458],[0.00272316 0.00073529 0.0007722  0.00093284 0.        ],[0. 0. 0. 0. 0.],"[0.01810302771627903, 0.0186309814453125, 0.0122833251953125, 0.01488494873046875, 0.01495361328125]","[0.02705993689596653, 0.027587890625, 0.021240234375, 0.02384185791015625, 0.0239105224609375]","[0.03433333337306976, 0.03745555505156517, 0.035535555332899094, 0.035297222435474396, 0.03506944328546524]",[0.01379072 0.01418849 0.01369744 0.01385717 0.01347417],0.028634813,0.013849109,"[6.212216186523437, 7.9582263946533205, 8.61151123046875, 10.0, 9.617542457580566]","[6.1561281204223635, 8.203485298156737, 8.353789138793944, 9.931524276733398, 9.58980197906494]",0.9185729119197084,0.22363420319658228,0.2,0.22911084306549978,0.06686056394230248,0.1,0.05,0.048967301715323874
7,1,1,0.21327162,"[1.1339239835739137, 1.2418580055236816]",[0.         0.         0.05894309 0.         0.        ],[0.00174825 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.025970458984375, 0.025970458984375, 0.022125244140625, 0.018280029296875, 0.018280029296875]","[0.0349273681640625, 0.0349273681640625, 0.0310821533203125, 0.0272369384765625, 0.0272369384765625]","[0.03480000048875809, 0.03480000048875809, 0.03485555574297905, 0.03491111099720001, 0.03491111099720001]",[0.01286154 0.01261078 0.01311404 0.01377045 0.01367512],0.028869892,0.013426555,"[9.002394485473634, 7.79573974609375, 8.134285736083983, 8.230206108093261, 5.714556121826172]","[8.966857719421387, 7.749906158447265, 7.848596572875977, 7.712937736511231, 5.598066139221191]",0.9062917737867613,0.21040390037262555,0.19253980439284754,0.23526422764227642,0.0684334917286621,0.1,0.05,0.04965034965034965
8,1,1,0.45899308,"[1.2580179929733277, 1.4665540218353272]",[0.         0.         0.01895735 0.         0.        ],[0.         0.         0.         0.00287356 0.        ],[0. 0. 0. 0. 0.],"[0.020538330078125, 0.020538330078125, 0.02294158935546875, 0.0253448486328125, 0.013580322265625]","[0.0294952392578125, 0.0294952392578125, 0.03189849853515625, 0.0343017578125, 0.0225372314453125]","[0.03287777677178383, 0.03287777677178383, 0.032938890159130096, 0.032999999821186066, 0.032366666942834854]",[0.01334593 0.01307911 0.01301788 0.01298619 0.01284852],0.02897461,0.012974067,"[7.166056060791016, 7.388282012939453, 7.885505485534668, 8.959623336791992, 5.904057121276856]","[7.037806701660156, 6.553198623657226, 7.614453887939453, 8.707744598388672, 6.055349731445313]",0.9186133613500513,0.20425891226282664,0.2,0.245260663507109,0.0696684982237938,0.1,0.05,0.049425287356321845
9,1,1,0.087249994,"[1.4798190116882326, 1.7057149410247803]",[0. 0. 0. 0. 0.],[0.         0.00247525 0.00268817 0.         0.        ],[0. 0. 0. 0. 0.],"[0.013580322265625, 0.023162841796875, 0.023162841796875, 0.023162841796875, 0.023162841796875]","[0.0225372314453125, 0.0321197509765625, 0.0321197509765625, 0.0321197509765625, 0.0321197509765625]","[0.032366666942834854, 0.03547777608036995, 0.03547777608036995, 0.03547777608036995, 0.03547777608036995]",[0.01252834 0.01231644 0.0120844  0.01191315 0.01181988],0.029042827,0.012575829,"[8.896121215820312, 5.220927810668946, 8.261065673828124, 7.071122741699219, 3.7418370246887207]","[8.927879142761231, 5.258867835998536, 7.904408264160156, 6.802798271179199, 3.853749084472656]",0.9032544016115267,0.187448468811031,0.1987621364308827,0.25,0.06807648028316567,0.1,0.05,0.04896731608644736
10,2,1,0.87014484,"[1.7195539951324461, 1.9936760425567628]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0052947998046875, 0.0052947998046875, 0.003814697265625, 0.0023345947265625, 0.0023345947265625]","[0.014251708984375, 0.014251708984375, 0.0127716064453125, 0.01129150390625, 0.01129150390625]","[0.034388888627290726, 0.034388888627290726, 0.0362333320081234, 0.03807777911424637, 0.03807777911424637]",[0.01152435 0.01121335 0.01098573 0.01076065 0.010676  ],0.028146986,0.012759298,"[7.614840126037597, 10.0, 9.328502464294434, 10.0, 10.0]","[7.546928596496582, 10.0, 9.304436683654785, 10.0, 10.0]",0.9275650261258959,0.2397284333577139,0.2,0.25,0.06648715005984852,0.07134944270833332,0.05,0.05
