step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.018090009689331, 2.4517710208892822]",[0.         0.         0.         0.         0.00536062],[0.         0.         0.00106838 0.         0.00046296],[8.6236636e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.02260061353445053, 0.02608196623623371, 0.006439208984375, 0.0154571533203125, 0.0034968059044331312]","[0.03277822583913803, 0.03625957667827606, 0.0166168212890625, 0.025634765625, 0.013674418441951275]","[0.028506837785243988, 0.026482906192541122, 0.02849743515253067, 0.02703418768942356, 0.024186111986637115]",[0.        0.        0.        0.        0.0003371],0.025169611,0.011714683,"[2.5963213443756104, 2.367346096038818, 2.354096126556396, 2.3355525493621827, 4.216462707519531]","[2.5718467235565186, 2.3637412071228026, 2.2978741645812986, 2.3276790142059327, 4.384066867828369]",0.8088102041180317,0.0885269618645155,0.2,0.2486598440545809,0.07279203233842145,0.1,0.04913763366678165,0.049693732193732194
2,0,1,-0.46042657,"[2.48750205039978, 3.3229100227355954]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0192413330078125, 0.0192413330078125, 0.0192413330078125, 0.0192413330078125, 0.0192413330078125]","[0.0294189453125, 0.0294189453125, 0.0294189453125, 0.0294189453125, 0.0294189453125]","[0.025066666305065155, 0.025066666305065155, 0.025066666305065155, 0.025066666305065155, 0.025066666305065155]",[0.00127892 0.00126335 0.00124294 0.00122768 0.0012156 ],0.025477534,0.011335915,"[4.891802024841309, 8.289001846313477, 4.73505802154541, 3.3254961013793944, 3.5543839454650876]","[4.6223388671875005, 6.914751815795898, 4.794197082519531, 3.5471558570861816, 3.446570014953613]",0.8454548153536984,0.1491633985591818,0.19360311076526793,0.25,0.07545072981397072,0.07723757621527778,0.05,0.05
3,0,1,-0.918053,"[3.3702988624572754, 3.798953056335449]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03277587890625, 0.03277587890625, 0.03277587890625, 0.002777099609375, 0.002777099609375]","[0.0429534912109375, 0.0429534912109375, 0.0429534912109375, 0.0129547119140625, 0.0129547119140625]","[0.017488889396190643, 0.017488889396190643, 0.017488889396190643, 0.02925555594265461, 0.02925555594265461]",[0.00119892 0.00119183 0.00118394 0.00117887 0.00117496],0.02651403,0.011914238,"[1.933035945892334, 0.9023865103721619, 0.8319824934005737, 1.1158790111541748, 1.0976640224456786]","[1.9069644451141357, 0.9200969934463501, 0.8246165037155151, 1.086809015274048, 1.0330079793930054]",0.7116082433401741,0.03252195154097102,0.1962449903612013,0.25,0.07224712227133515,0.06059417916666668,0.05,0.05
4,0,1,-0.96694475,"[3.8436539649963377, 4.459144115447998]",[0. 0. 0. 0. 0.],[0.         0.         0.02380952 0.         0.        ],[0. 0. 0. 0. 0.],"[0.002777099609375, 0.012969970703125, 0.023162841796875, 0.015625, 0.015625]","[0.0129547119140625, 0.0231475830078125, 0.0333404541015625, 0.0258026123046875, 0.0258026123046875]","[0.02925555594265461, 0.02743888832628727, 0.02562222257256508, 0.030700000002980232, 0.030700000002980232]",[0.00116711 0.00116205 0.00115692 0.00115177 0.00114895],0.026254343,0.011622534,"[0.8861605048179626, 0.7038285136222839, 0.552281504869461, 0.8068779826164245, 0.6326049923896789]","[0.8799404978752137, 0.6882420003414154, 0.5559354960918427, 0.7655934929847718, 0.6370090007781982]",0.7302325713441717,0.013769465245952775,0.2,0.25,0.07122501086012369,0.1,0.05,0.045238095238095244
5,1,1,0.6265404,"[4.514738941192627, 2.94915714263916]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0178680419921875, 0.002349853515625, 0.0, 0.0, 0.0213470458984375]","[0.0258026123046875, 0.010284423828125, 0.0079345703125, 0.0079345703125, 0.0292816162109375]","[0.030700000002980232, 0.024611111730337143, 0.028622223064303398, 0.028622223064303398, 0.025055555626749992]",[0.00113527 0.00110119 0.00105648 0.00101056 0.00099099],0.025169132,0.011862097,"[2.1035364627838136, 5.536098098754883, 9.45775318145752, 10.0, 8.296282005310058]","[2.0620574951171875, 5.750902557373047, 8.800559043884277, 10.0, 8.137361907958985]",0.851542521806812,0.19659233594668823,0.2,0.25,0.07122501086012369,0.033725174999999996,0.05,0.05
6,1,1,0.8255112,"[2.97903995513916, 3.6411001205444333]",[0.06008584 0.05095057 0.         0.06748072 0.01062753],[0.00334717 0.00748764 0.         0.00112108 0.        ],[0. 0. 0. 0. 0.],"[0.01619262620806694, 0.01643676683306694, 0.018890380859375, 0.0101318359375, 0.01507568359375]","[0.02412719652056694, 0.02437133714556694, 0.026824951171875, 0.01806640625, 0.02301025390625]","[0.030668888241052628, 0.036497779190540314, 0.03788888826966286, 0.03893333300948143, 0.041099999099969864]",[0.00418631 0.00879634 0.01009586 0.01585868 0.01571291],0.024847386,0.010800279,"[6.731702995300293, 9.280444145202637, 8.011903762817383, 10.0, 10.0]","[6.992098999023438, 9.983065032958985, 7.680636215209961, 10.0, 10.0]",0.8703315808584968,0.22950805957587384,0.19375120777194785,0.2027138356473016,0.06472961582290321,0.08202003895833333,0.05,0.04760882308213688
7,1,1,0.21327162,"[3.459044933319092, 3.762745094299316]",[0.         0.09281437 0.         0.         0.        ],[0.         0.         0.         0.         0.01104972],[0.         0.00259067 0.         0.         0.        ],"[0.0167236328125, 0.0240020751953125, 0.031280517578125, 0.031280517578125, 0.031280517578125]","[0.024658203125, 0.0319366455078125, 0.039215087890625, 0.039215087890625, 0.039215087890625]","[0.041822221130132675, 0.0411333329975605, 0.04044444486498833, 0.04044444486498833, 0.04044444486498833]",[0.01516633 0.0156846  0.01624828 0.01600613 0.01579329],0.025521707,0.010847975,"[9.805719947814941, 8.837808418273926, 6.453919410705566, 6.1267694473266605, 4.796634101867676]","[9.770759391784669, 8.742841911315917, 6.443243789672851, 6.255168724060058, 6.123934745788574]",0.829233674392094,0.19913599920183056,0.1837688488096703,0.22679640718562874,0.06432243157264093,0.083326668125,0.024093264248704668,0.04779005524861879
8,1,1,0.45899308,"[3.5746070861816404, 4.218148994445801]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0166473388671875, 0.0166473388671875, 0.0166473388671875, 0.0557861328125, 0.0557861328125]","[0.0245819091796875, 0.0245819091796875, 0.0245819091796875, 0.063720703125, 0.063720703125]","[0.034788887947797775, 0.034788887947797775, 0.034788887947797775, 0.03495555371046066, 0.03495555371046066]",[0.01677587 0.01645812 0.01610197 0.01588441 0.01574131],0.02604585,0.011492901,"[7.610157775878906, 8.346159362792969, 9.21587028503418, 7.839920234680176, 10.0]","[7.6535297393798825, 8.36925582885742, 8.914230346679688, 7.811403274536133, 8.774634170532227]",0.9172204817930703,0.22586544778747022,0.187514806676794,0.25,0.06840534503713924,0.08543488229166668,0.05,0.05
9,1,1,0.087249994,"[4.263186931610107, 4.9649220466613775]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03057861328125, 0.03057861328125, 0.03057861328125, 0.04107666015625, 0.05157470703125]","[0.03851318359375, 0.03851318359375, 0.03851318359375, 0.04901123046875, 0.05950927734375]","[0.03519999980926514, 0.03519999980926514, 0.03519999980926514, 0.035544443875551224, 0.03588888794183731]",[0.01545966 0.01522733 0.01496931 0.01476064 0.01460818],0.02711667,0.01207449,"[7.058284759521484, 6.345134735107422, 7.126775360107422, 7.059514427185059, 6.877129936218262]","[6.853732490539551, 6.047872734069824, 7.169052696228028, 7.168364334106445, 7.094470977783203]",0.8793804143990309,0.19278536218296125,0.18657774395412868,0.25,0.06781995097027423,0.08219735729166668,0.05,0.05
10,2,1,0.87014484,"[5.021796035766601, 5.750661087036133]",[0.         0.01107011 0.         0.         0.        ],[0.00138889 0.         0.         0.00561798 0.        ],[0. 0. 0. 0. 0.],"[0.05157470703125, 0.03926849365234375, 0.0269622802734375, 0.0269622802734375, 0.0269622802734375]","[0.05950927734375, 0.04720306396484375, 0.0348968505859375, 0.0348968505859375, 0.0348968505859375]","[0.03588888794183731, 0.03420000150799751, 0.032511111348867416, 0.032511111348867416, 0.032511111348867416]",[0.0142835  0.01411302 0.01399355 0.01382752 0.01369364],0.028011924,0.012649868,"[8.249820137023926, 9.404185104370118, 9.249034690856934, 10.0, 10.0]","[8.218431282043456, 9.447666931152344, 9.222841453552245, 10.0, 9.196379852294921]",0.922729546493232,0.23959014051174957,0.19539710596988077,0.24723247232472326,0.06781995097027423,0.07409124999999998,0.05,0.04859862671660425
