step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0473429679870607, 3.4228441238403318]",[0. 0. 0. 0. 0.],[8.5543201e-05 1.2987013e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00],[8.55432e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00],"[0.03007943369448185, 0.0182364322245121, 0.015291654504835606, 0.021742600947618484, 0.015911396592855453]","[0.0380902960896492, 0.0262472964823246, 0.02330251783132553, 0.029753465205430984, 0.023922260850667953]","[0.02527063526213169, 0.026626983657479286, 0.02913076989352703, 0.0250974353402853, 0.0240316241979599]",[0. 0. 0. 0. 0.],0.028379753,0.01481837,"[2.4505144596099853, 2.3077964782714844, 2.3254498481750487, 2.317881727218628, 3.0944350242614744]","[2.4258760452270507, 2.2749768257141114, 2.2742960453033447, 2.2788499355316163, 3.03820161819458]",0.8009517180000157,0.07974680368966444,0.2,0.25,0.0723371952031113,0.1,0.04914456800684346,0.049723151100396615
2,0,1,-0.46042657,"[3.481291103363037, 3.744926929473877]",[0.         0.40236688 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0227813720703125, 0.0359344482421875, 0.0359344482421875, 0.0359344482421875, 0.0359344482421875]","[0.030792236328125, 0.0439453125, 0.0439453125, 0.0439453125, 0.0439453125]","[0.03592222183942795, 0.03364444524049759, 0.03364444524049759, 0.03364444524049759, 0.03364444524049759]",[0.01231257 0.02774851 0.02733879 0.02716955 0.02677664],0.029278014,0.01473328,"[6.391586875915528, 7.9297792434692385, 5.002456092834473, 2.406858968734741, 3.062245941162109]","[6.755633163452148, 8.599431991577148, 4.812735080718994, 2.4282020568847655, 2.9859951019287108]",0.7216687427232473,0.1491495258828483,0.18093012831877733,0.14940828402366862,0.06779924086471115,0.07438156363324176,0.05,0.05
3,0,1,-0.918053,"[3.80828685760498, 4.354313945770263]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0740203857421875, 0.064239501953125, 0.07091522216796875, 0.0775909423828125, 0.0775909423828125]","[0.08203125, 0.0722503662109375, 0.07892608642578125, 0.085601806640625, 0.085601806640625]","[0.025733333081007004, 0.02352222241461277, 0.023394444957375526, 0.023266667500138283, 0.023266667500138283]",[0.02638912 0.02621256 0.02605123 0.02595269 0.02588184],0.03432045,0.020681422,"[2.151843547821045, 1.1731114864349366, 0.8931165099143982, 0.9346710085868836, 0.9332770109176636]","[2.1109679698944093, 1.1760215044021607, 0.9175835132598877, 1.008161997795105, 0.9444269895553589]",0.6572204622238006,0.03412817574031764,0.13715152740478517,0.25,0.07491348303703096,0.06102727604166667,0.05,0.05
4,0,1,-0.96694475,"[4.401822090148926, 5.064422130584717]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0788726806640625, 0.0801544189453125, 0.10321044921875, 0.10321044921875, 0.10321044921875]","[0.086883544921875, 0.088165283203125, 0.1112213134765625, 0.1112213134765625, 0.1112213134765625]","[0.023294445127248764, 0.023322222754359245, 0.022733332589268684, 0.022733332589268684, 0.022733332589268684]",[0.02566325 0.02554432 0.02544968 0.02535169 0.02527191],0.041031912,0.028265415,"[1.0028695344924927, 0.6928354978561402, 0.6557225048542024, 0.6102234959602356, 0.7206119894981384]","[1.0007314920425414, 0.730118489265442, 0.6301349997520447, 0.6042569935321808, 0.6553979933261871]",0.6903193170829602,0.014619314487611439,0.1487843888529231,0.25,0.07691561374242561,0.1,0.05,0.05
5,1,1,0.6265404,"[5.13388204574585, 1.453991985321045]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.02142857],[0. 0. 0. 0. 0.],"[0.0540008544921875, 0.0540008544921875, 0.0677947998046875, 0.07190704345703125, 0.076019287109375]","[0.06201171875, 0.06201171875, 0.0758056640625, 0.07991790771484375, 0.0840301513671875]","[0.020600000396370888, 0.020600000396370888, 0.023488888517022133, 0.026799999177455902, 0.03011111170053482]",[0.02467174 0.02381025 0.02294522 0.02214495 0.0215435 ],0.04383025,0.02846832,"[3.291560363769531, 7.834724617004395, 8.126110076904297, 6.382657623291016, 10.0]","[3.2579685211181637, 7.723216247558594, 8.10320873260498, 7.089077949523926, 10.0]",0.8483576238218217,0.19757437941411277,0.2,0.25,0.07163727015175647,0.03343168854166667,0.05,0.045714285714285714
6,1,1,0.8255112,"[1.4767720222473146, 2.55163402557373]",[0.         0.0342766  0.05107527 0.07172996 0.        ],[0.00166667 0.00179211 0.0107248  0.00061728 0.        ],[0. 0. 0. 0. 0.],"[0.0401204414665699, 0.0552927665412426, 0.08008575439453125, 0.0446675606071949, 0.02843017503619194]","[0.0481313057243824, 0.0633036270737648, 0.08809661865234375, 0.0526784248650074, 0.03644103929400444]","[0.032346297055482864, 0.04691111296415329, 0.04657222330570221, 0.04536851868033409, 0.04191777855157852]",[0.02228492 0.02229127 0.02319962 0.03529001 0.0331037 ],0.047171887,0.027417729,"[8.422120094299316, 6.971429252624512, 8.557411003112794, 8.659407615661621, 8.777869987487794]","[7.837202262878418, 6.386724281311035, 8.496515274047852, 8.453241729736328, 8.87134017944336]",0.8772659258935491,0.21990688918023582,0.2,0.21072954228802443,0.06157547079736117,0.088014196875,0.05,0.04703982675292778
7,1,1,0.21327162,"[2.592409038543701, 2.9627349853515623]",[0.         0.04069768 0.         0.         0.        ],[0.         0.         0.         0.00446429 0.        ],[0.         0.         0.         0.00446429 0.        ],"[0.0279541015625, 0.05096435546875, 0.05096435546875, 0.028717041015625, 0.028717041015625]","[0.0359649658203125, 0.0589752197265625, 0.0589752197265625, 0.0367279052734375, 0.0367279052734375]","[0.04547777771949768, 0.029988888651132584, 0.029988888651132584, 0.027888888493180275, 0.027888888493180275]",[0.03075277 0.03094928 0.03036676 0.02988169 0.02965974],0.04720086,0.02673553,"[9.499612808227539, 7.028461456298828, 8.369180870056152, 8.942948150634766, 9.638493728637695]","[9.570501518249511, 6.751072120666504, 8.243631744384766, 8.993148231506348, 8.564117240905762]",0.8841703661974075,0.22755159027333738,0.2,0.23982558139534885,0.06232890881443556,0.1,0.005357142857142861,0.049107142857142856
8,1,1,0.45899308,"[3.0003660202026365, 3.307792091369629]",[0.         0.         0.         0.         0.01342282],[0.        0.        0.0026455 0.        0.       ],[0. 0. 0. 0. 0.],"[0.028717041015625, 0.0961761474609375, 0.0961761474609375, 0.0961761474609375, 0.0470123291015625]","[0.0367279052734375, 0.10418701171875, 0.10418701171875, 0.10418701171875, 0.055023193359375]","[0.027888888493180275, 0.035955555737018585, 0.035955555737018585, 0.035955555737018585, 0.03533333167433739]",[0.02883898 0.02827878 0.02772418 0.02717051 0.02685988],0.04948415,0.0283224,"[8.320241355895996, 8.260359573364257, 8.954885482788086, 9.882442283630372, 9.089632797241212]","[8.10386390686035, 7.790806770324707, 9.08333225250244, 10.0, 8.213315773010253]",0.8940463708358314,0.23122995548222294,0.14892267651028104,0.24664429530201343,0.06777854407041449,0.1,0.05,0.04947089947089947
9,1,1,0.087249994,"[3.3364269256591794, 3.891598129272461]",[0.        0.        0.0351682 0.        0.       ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0470123291015625, 0.0470123291015625, 0.0697784423828125, 0.0697784423828125, 0.0697784423828125]","[0.055023193359375, 0.055023193359375, 0.077789306640625, 0.077789306640625, 0.077789306640625]","[0.03533333167433739, 0.03533333167433739, 0.03785555437207222, 0.03785555437207222, 0.03785555437207222]",[0.02643305 0.02612255 0.02649397 0.02605607 0.02572213],0.050553963,0.027943024,"[8.723788642883301, 5.917062759399414, 8.825262260437011, 8.85042610168457, 9.254519844055176]","[8.29104175567627, 5.887293815612793, 8.903580474853516, 8.622744178771972, 8.829843902587891]",0.9284128502657949,0.22058486657444512,0.2,0.24120795107033638,0.06662003262101322,0.1,0.05,0.05
10,2,1,0.87014484,"[3.9289130210876464, 4.292325878143311]",[0.         0.         0.14206642 0.         0.        ],[0.00510204 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0364532470703125, 0.0364532470703125, 0.03155517578125, 0.03155517578125, 0.03155517578125]","[0.044464111328125, 0.044464111328125, 0.0395660400390625, 0.0395660400390625, 0.0395660400390625]","[0.03872222080826759, 0.03872222080826759, 0.04376666620373726, 0.04376666620373726, 0.04376666620373726]",[0.02518325 0.02463183 0.02702978 0.02667946 0.02640879],0.05012967,0.027308524,"[7.928859710693359, 10.0, 10.0, 9.779006004333496, 10.0]","[7.884799385070801, 10.0, 10.0, 9.761572074890136, 10.0]",0.9062639350825176,0.2423373770764016,0.2,0.21448339483394835,0.06324858279376609,0.08721498854166668,0.05,0.0489795918367347
