step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0163819789886475, 4.101134872436523]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00028686],[6.485084e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.012454223819077015, 0.03162231296300888, 0.010623169131577015, 0.01035257987678051, 0.05013928934931755]","[0.02292175218462944, 0.04208984225988388, 0.02109069749712944, 0.02082010917365551, 0.06060681864619255]","[0.03194962814450264, 0.027771851047873497, 0.028790369629859924, 0.028920739889144897, 0.03038809448480606]",[0. 0. 0. 0. 0.],0.033139616,0.01987428,"[2.4729860782623287, 2.411819553375244, 2.5205995082855224, 2.4257627487182614, 4.224266147613525]","[2.3771798610687256, 2.3992746829986573, 2.4689340114593503, 2.4412969589233398, 4.049898242950439]",0.8091704836237139,0.08969029389061273,0.19981688530135186,0.25,0.07036918520888795,0.1,0.04935149156939041,0.04994262765347103
2,0,1,-0.46042657,"[4.166993045806885, 4.745794868469239]",[0.         0.09336713 0.         0.         0.        ],[0.        0.0027959 0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.03564453125, 0.027313232421875, 0.062652587890625, 0.062652587890625, 0.062652587890625]","[0.046112060546875, 0.03778076171875, 0.0731201171875, 0.0731201171875, 0.0731201171875]","[0.03444444388151169, 0.03607777878642082, 0.036400001496076584, 0.036400001496076584, 0.036400001496076584]",[0.         0.02519954 0.02467068 0.02442529 0.02426172],0.03488082,0.020737868,"[7.140158081054688, 5.167600917816162, 5.544261169433594, 6.045115280151367, 3.980319023132324]","[6.892907905578613, 5.226394081115723, 5.506306838989258, 5.325189781188965, 3.9449298858642576]",0.7886839559337868,0.1639066442408518,0.15997030229436268,0.22665821715251372,0.06750384638145616,0.071204125734127,0.05,0.04944082013047531
3,0,1,-0.918053,"[4.840596008300781, 5.563676071166992]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0.         0.         0.01666667 0.         0.        ],"[0.04339599609375, 0.024139404296875, 0.024139404296875, 0.0303497314453125, 0.0303497314453125]","[0.053863525390625, 0.03460693359375, 0.03460693359375, 0.0408172607421875, 0.0408172607421875]","[0.03130555525422096, 0.02621111087501049, 0.02621111087501049, 0.026177776977419853, 0.026177776977419853]",[0.02389841 0.02374565 0.02357971 0.02349065 0.02343584],0.035441082,0.02019459,"[1.573601984977722, 0.9133390069007874, 1.1311175346374511, 0.9868539929389953, 0.8239390134811402]","[1.5914004802703858, 0.9300014972686768, 1.1339129686355591, 0.9926219940185547, 0.8248949885368347]",0.6529832534291123,0.028944020698527397,0.2,0.25,0.07080715460558491,0.053232078125000006,0.0,0.05
4,0,1,-0.96694475,"[5.623513221740723, 6.478485870361328]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0303497314453125, 0.0303497314453125, 0.0026397705078125, 0.0026397705078125, 0.0026397705078125]","[0.0408172607421875, 0.0408172607421875, 0.0131072998046875, 0.0131072998046875, 0.0131072998046875]","[0.026177776977419853, 0.026177776977419853, 0.024533333256840706, 0.024533333256840706, 0.024533333256840706]",[0.02327421 0.0231717  0.02308579 0.02299809 0.02293483],0.03450187,0.019896971,"[0.7271110177040101, 0.7150104999542237, 0.6343194961547851, 0.6323210000991821, 0.793982994556427]","[0.7118600130081176, 0.6754860043525697, 0.6190439939498902, 0.6331969916820526, 0.8317709922790528]",0.7376610031231108,0.01309938182756256,0.2,0.25,0.07456162129554811,0.1,0.05,0.05
5,1,1,0.6265404,"[6.551689720153809, 7.537331008911133]",[0. 0. 0. 0. 0.],[0.        0.        0.        0.        0.0046729],[0. 0. 0. 0. 0.],"[0.0002593994140625, 0.0002593994140625, 0.0163421630859375, 0.0163421630859375, 0.0163421630859375]","[0.0107269287109375, 0.0107269287109375, 0.0268096923828125, 0.0268096923828125, 0.0268096923828125]","[0.028733333572745323, 0.028733333572745323, 0.022333333268761635, 0.022333333268761635, 0.022333333268761635]",[0.02228546 0.02149259 0.02068528 0.02014218 0.01975684],0.033291597,0.019697404,"[4.521645450592041, 7.496854972839356, 8.366262626647949, 7.999814796447754, 7.372966957092285]","[4.670775413513184, 7.262018775939942, 7.959267807006836, 7.849601936340332, 7.669685935974121]",0.8525652237249518,0.19807125672106785,0.2,0.25,0.07262604644313626,0.032802500000000005,0.05,0.04906542056074767
6,1,1,0.8255112,"[7.603750801086425, 9.70355396270752]",[0.         0.01344937 0.         0.         0.        ],[0.         0.00183824 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.00714111328125, 0.01335906982421875, 0.01757303811609745, 0.016571044921875, 0.01695760153234005]","[0.017608642578125, 0.02382659912109375, 0.02804056741297245, 0.02703857421875, 0.02742513082921505]","[0.025344444438815117, 0.028761111199855804, 0.031251851469278336, 0.030788889154791832, 0.028385184705257416]",[0.01813339 0.01748105 0.01715477 0.01634004 0.01555593],0.032029584,0.018623058,"[8.795805740356446, 9.420018577575684, 9.019862747192382, 9.744077491760255, 9.956959342956543]","[8.694447135925293, 9.713865661621094, 8.80039939880371, 9.778721618652344, 9.669114112854004]",0.9327392798485333,0.23970573093001923,0.1992095253684304,0.2466376582278481,0.07084397019355904,0.0767100421875,0.05,0.049632352941176475
7,1,1,0.21327162,"[9.785296821594239, 10.0]",[0. 0. 0. 0. 0.],[0.         0.00227273 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0135498046875, 0.00341796875, 0.00341796875, 0.001708984375, 0.0]","[0.01806640625, 0.0079345703125, 0.0079345703125, 0.0062255859375, 0.0045166015625]","[0.021449999883770943, 0.019322222098708153, 0.019322222098708153, 0.025455554947257042, 0.03158888965845108]",[0.01480058 0.01444502 0.01415265 0.01390121 0.01368288],0.03046476,0.018945003,"[7.8333742141723635, 8.147545433044433, 6.9111675262451175, 6.718022727966309, 5.774884223937988]","[8.491585159301758, 7.5545240402221685, 6.948260116577148, 6.713812446594239, 6.037538719177246]",0.8926500016243752,0.19655696859546629,0.2,0.25,0.07061368421262108,0.07593389427083333,0.05,0.04954545454545455
8,1,1,0.45899308,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.00191571 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.007598876953125, 0.01519775390625, 0.01519775390625, 0.01519775390625, 0.03472900390625]","[0.012115478515625, 0.01971435546875, 0.01971435546875, 0.01971435546875, 0.03924560546875]","[0.029188888147473335, 0.02678888849914074, 0.02678888849914074, 0.02678888849914074, 0.03229999914765358]",[0.01338015 0.01308851 0.01279944 0.01252879 0.01234632],0.029799866,0.01861319,"[6.805084228515625, 9.050211334228516, 7.55151252746582, 7.328263473510742, 10.0]","[6.885101318359375, 8.974746704101562, 7.710443496704102, 7.3653051376342775, 9.164972114562989]",0.9167582846923349,0.2174695554538982,0.19068423483869157,0.25,0.07013363095386385,0.08885400520833332,0.05,0.0496168582375479
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03472900390625, 0.022003173828125, 0.022003173828125, 0.022003173828125, 0.022003173828125]","[0.03924560546875, 0.026519775390625, 0.026519775390625, 0.026519775390625, 0.026519775390625]","[0.03229999914765358, 0.02997777797281742, 0.02997777797281742, 0.02997777797281742, 0.02997777797281742]",[0.01207185 0.0118886  0.01174142 0.01157269 0.01145773],0.029772371,0.018085815,"[8.504476928710938, 6.417979812622071, 5.958757591247559, 7.373287963867187, 6.170310211181641]","[8.225655937194825, 6.390488243103028, 6.023561477661133, 7.218267440795898, 6.172854804992676]",0.892988215717721,0.19261135378219185,0.19338960389833193,0.25,0.07013363095386385,0.08685362708333333,0.05,0.05
10,2,1,0.87014484,"[10.0, 10.0]",[0.         0.         0.02892562 0.         0.        ],[0.00170068 0.         0.00219298 0.         0.        ],[0. 0. 0. 0. 0.],"[0.013946533203125, 0.013946533203125, 0.029510498046875, 0.029510498046875, 0.029510498046875]","[0.018463134765625, 0.018463134765625, 0.034027099609375, 0.034027099609375, 0.034027099609375]","[0.02705555595457554, 0.02705555595457554, 0.030477777123451233, 0.030477777123451233, 0.030477777123451233]",[0.01116428 0.01092723 0.01131991 0.01116081 0.01110279],0.029591488,0.017720988,"[9.148122978210449, 10.0, 10.0, 9.035172080993652, 7.057924842834473]","[9.502159118652344, 10.0, 10.0, 8.641435813903808, 6.905494117736817]",0.924655802640741,0.2338202396816226,0.2,0.2427685950413223,0.07137988275511242,0.07746581770833333,0.05,0.04922126745435016
