step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.043879985809326, 2.959809017181396]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[5.514199e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.0265350341796875, 0.01685587503015995, 0.01587422750890255, 0.03379516676068306, 0.04980061948299408]","[0.0419769287109375, 0.0322977714240551, 0.0313161201775074, 0.04923706129193306, 0.06524251401424408]","[0.02890518493950367, 0.028600741177797318, 0.028628148138523102, 0.02565629594027996, 0.02800518460571766]",[0. 0. 0. 0. 0.],0.044014078,0.017251242,"[2.392120838165283, 2.3682908058166503, 2.4335341453552246, 2.401301860809326, 4.020008850097656]","[2.4125092029571533, 2.3188304424285886, 2.392978572845459, 2.3496455192565917, 3.9604532241821286]",0.8088726138127423,0.08692325929732225,0.2,0.25,0.07250077442167857,0.1,0.04944858009374139,0.05
2,0,1,-0.46042657,"[2.988879871368408, 3.7176110267639157]",[0.         0.29577464 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0512847900390625, 0.0134124755859375, 0.0134124755859375, 0.0134124755859375, 0.0134124755859375]","[0.0667266845703125, 0.0288543701171875, 0.0288543701171875, 0.0288543701171875, 0.0288543701171875]","[0.024988889694213867, 0.027522223070263863, 0.027522223070263863, 0.027522223070263863, 0.027522223070263863]",[0.00387191 0.00814601 0.00804317 0.00799272 0.00790712],0.04354,0.017225545,"[10.0, 7.6251678466796875, 3.542048931121826, 3.34722785949707, 2.342857027053833]","[10.0, 6.901864051818848, 3.3920540809631348, 2.979756927490234, 2.3929579734802244]",0.7811161849212217,0.15912174795638337,0.2,0.176056338028169,0.07352569379778029,0.0724124051388889,0.05,0.05
3,0,1,-0.918053,"[3.761643886566162, 4.404152965545655]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0107879638671875, 0.00539398193359375, 0.0, 0.0, 0.0]","[0.0234527587890625, 0.01805877685546875, 0.012664794921875, 0.012664794921875, 0.012664794921875]","[0.021922221407294273, 0.02612222172319889, 0.030322222039103508, 0.030322222039103508, 0.030322222039103508]",[0.00779407 0.00773943 0.00769122 0.0076543  0.00763728],0.041100934,0.018213045,"[2.3117974758148194, 1.5131620168685913, 0.9684484958648681, 0.9122550010681152, 0.8388710141181945]","[2.1052549362182615, 1.3847264766693115, 0.9639639854431152, 0.8880640149116517, 0.873714017868042]",0.7168531210539664,0.037682594094423635,0.2,0.25,0.07148879362620922,0.05768173333333333,0.05,0.05
4,0,1,-0.96694475,"[4.464899921417237, 5.128307056427002]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0027008056640625, 0.0027008056640625, 0.0027008056640625, 0.0029449462890625, 0.0031890869140625]","[0.0153656005859375, 0.0153656005859375, 0.0153656005859375, 0.0156097412109375, 0.0158538818359375]","[0.027844443917274475, 0.027844443917274475, 0.027844443917274475, 0.0273333340883255, 0.026822222396731377]",[0.00758813 0.00755909 0.00752885 0.00749242 0.00747257],0.03872319,0.018873833,"[1.018392014503479, 0.5890565037727356, 0.6613529980182649, 0.7099595069885254, 0.6497889935970307]","[0.9917920112609864, 0.6007330000400544, 0.67694850564003, 0.7173865079879761, 0.6407739996910096]",0.737448888498221,0.014165508377572756,0.2,0.25,0.07328338012064817,0.1,0.05,0.05
5,1,1,0.6265404,"[5.171905899047852, 3.514034080505371]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0027313232421875, 0.0, 0.0063934326171875, 0.0063934326171875, 0.0063934326171875]","[0.01312255859375, 0.0103912353515625, 0.01678466796875, 0.01678466796875, 0.01678466796875]","[0.0270222220569849, 0.027222221717238426, 0.030088888481259346, 0.030088888481259346, 0.030088888481259346]",[0.00738298 0.00710931 0.00683749 0.00658443 0.00647223],0.03686015,0.019283682,"[1.8795074939727785, 7.3091369628906255, 10.0, 9.218387985229493, 10.0]","[1.8673295497894289, 6.966724586486817, 9.765378379821778, 8.449263763427734, 10.0]",0.8577815526155925,0.2085837799912181,0.2,0.25,0.07165294449937427,0.027544828125,0.05,0.05
6,1,1,0.8255112,"[3.560311126708984, 5.254853820800782]",[0.00474308 0.         0.03985507 0.03713647 0.06265664],[0.00086207 0.00237515 0.00144928 0.00541078 0.00233313],[0. 0. 0. 0. 0.],"[0.06200561672449112, 0.069366455078125, 0.06382445991039276, 0.06440429389476776, 0.037761688232421875]","[0.07239685207605362, 0.0797576904296875, 0.07421569526195526, 0.07479552924633026, 0.048152923583984375]","[0.03190888836979866, 0.02590000070631504, 0.03779333457350731, 0.03934444487094879, 0.03292222321033478]",[0.00583478 0.0057361  0.00811997 0.01197278 0.01617482],0.043168653,0.022482062,"[9.615101432800293, 9.36531867980957, 8.848070335388183, 9.238736152648926, 10.0]","[9.241020393371581, 9.553083038330078, 8.79590015411377, 9.618288612365722, 9.742007827758789]",0.8308289121572683,0.2401530434711126,0.1315622770324234,0.21390218440097114,0.06573955957992109,0.08195792812500001,0.05,0.04751391954783998
7,1,1,0.21327162,"[5.324876213073731, 6.118412971496582]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0.         0.         0.00287356 0.         0.        ],"[0.028717041015625, 0.0330657958984375, 0.03741455078125, 0.03741455078125, 0.03741455078125]","[0.0391082763671875, 0.04345703125, 0.0478057861328125, 0.0478057861328125, 0.0478057861328125]","[0.030899999663233757, 0.03202222287654877, 0.03314444422721863, 0.03314444422721863, 0.03314444422721863]",[0.01662275 0.01631861 0.01604025 0.01585198 0.01573307],0.043248978,0.021841876,"[10.0, 7.651430892944336, 8.859671211242675, 6.112435150146484, 7.230625915527344]","[9.829291915893554, 7.552817726135254, 8.5712308883667, 6.060100746154785, 6.922686004638672]",0.8899548490331642,0.2141442944363895,0.2,0.25,0.06957340344734926,0.08497278333333334,0.021264367816091957,0.05
8,1,1,0.45899308,"[5.812491798400879, 6.438219261169434]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03171539306640625, 0.023681640625, 0.0, 0.007232666015625, 0.007232666015625]","[0.03977203369140625, 0.03173828125, 0.008056640625, 0.015289306640625, 0.015289306640625]","[0.03231111168861389, 0.031477779150009155, 0.032588887959718704, 0.03195555508136749, 0.03195555508136749]",[0.01537003 0.01509519 0.01483798 0.01458005 0.01440228],0.041987065,0.0219536,"[7.840743064880371, 8.453401947021485, 8.792608833312988, 9.09058895111084, 8.837348937988281]","[7.061952590942383, 8.629333686828613, 8.731855583190917, 9.0029541015625, 9.54835319519043]",0.9458156162820611,0.22587481712898233,0.2,0.25,0.06994079915307869,0.1,0.05,0.05
9,1,1,0.087249994,"[6.529033279418946, 5.810284233093262]",[0. 0. 0. 0. 0.],[0.         0.         0.00314465 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0289306640625, 0.050628662109375, 0.00836181640625, 0.02742767333984375, 0.0464935302734375]","[0.0369873046875, 0.058685302734375, 0.01641845703125, 0.03548431396484375, 0.0545501708984375]","[0.03349444270133972, 0.03503333404660225, 0.035055555403232574, 0.03389444574713707, 0.032733332365751266]",[0.0140773  0.0138693  0.01370547 0.01351826 0.01336644],0.04180524,0.021877563,"[7.796345138549805, 7.215336608886719, 6.438258743286133, 7.089423561096192, 5.776022911071777]","[8.172487831115722, 6.564096832275391, 6.568285942077637, 6.6114496231079105, 6.234737014770508]",0.874041410704724,0.19215771783276406,0.18229407033612652,0.25,0.0683421064784433,0.08187644687500001,0.05,0.04937106918238994
10,2,1,0.87014484,"[5.8587791442871096, 6.432803916931152]",[0. 0. 0. 0. 0.],[0.         0.         0.00459189 0.         0.003367  ],[0. 0. 0. 0. 0.],"[0.002593994140625, 0.00390625, 0.005218505859375, 0.005218505859375, 0.005218505859375]","[0.010650634765625, 0.011962890625, 0.013275146484375, 0.013275146484375, 0.013275146484375]","[0.030588889494538307, 0.03203333169221878, 0.0334777794778347, 0.0334777794778347, 0.0334777794778347]",[0.01315807 0.01292443 0.01269551 0.01250194 0.01235985],0.04035669,0.022268157,"[7.5740093231201175, 9.552843284606933, 10.0, 10.0, 10.0]","[6.880986595153809, 9.556854438781738, 10.0, 10.0, 10.0]",0.9314298983880909,0.2403571511473883,0.2,0.25,0.06935508017450347,0.07330944583333333,0.05,0.048408221232865783
