time/episodes,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/critic_loss,time/total_timesteps,train/ent_coef,time/time_elapsed,train/ent_coef_loss
4,0,-3.147141456604004,42.5928225,50.0,0.0003,189,0.021038241684436798,200,0.09529896080493927,610,-2.6452717781066895
8,0,-6.289935111999512,42.718760125,50.0,0.0003,389,0.010039383545517921,400,0.08963961154222488,1253,-3.6520888805389404
12,0,-9.476160049438477,42.72787108333333,50.0,0.0003,589,0.0060815028846263885,600,0.08403363078832626,1903,-3.845085620880127
16,0,-12.527196884155273,42.719175750000005,50.0,0.0003,789,0.00633876072242856,800,0.07906067371368408,2547,-3.6120657920837402
20,0,-15.443319320678711,42.75843215,50.0,0.0003,989,0.005032739602029324,1000,0.07446877658367157,3198,-3.723325729370117
24,0,-18.254165649414062,42.817593458333334,50.0,0.0003,1189,0.004920621402561665,1200,0.07012172043323517,3831,-3.923574447631836
28,0,-20.953325271606445,42.85968639285715,50.0,0.0003,1389,0.005228952970355749,1400,0.06606955826282501,4453,-4.079951763153076
32,0,-23.60371208190918,42.972186531249996,50.0,0.0003,1589,0.014137135818600655,1600,0.062300730496644974,5070,-3.880533218383789
36,0,-26.12384033203125,43.08635897222222,50.0,0.0003,1789,0.011505138128995895,1800,0.058740437030792236,5690,-4.069164276123047
40,0,-28.565269470214844,43.17452835,50.0,0.0003,1989,0.0070128352381289005,2000,0.055490147322416306,6308,-3.636484146118164
44,0,-30.87554168701172,43.23575320454545,50.0,0.0003,2189,0.004861166700720787,2200,0.0524623766541481,6924,-3.6597862243652344
48,0,-33.12583923339844,43.30253052083333,50.0,0.0003,2389,0.010576354339718819,2400,0.04964665323495865,7545,-3.9887771606445312
52,0,-35.22510528564453,43.3786850576923,50.0,0.0003,2589,0.0051160529255867004,2600,0.04695359990000725,8169,-3.7236533164978027
56,0,-37.32372283935547,43.43095175,50.0,0.0003,2789,0.00754639133810997,2800,0.04435858875513077,8793,-3.9365622997283936
60,0,-39.38206481933594,43.46837241666666,50.0,0.0003,2989,0.00505213113501668,3000,0.04190632700920105,9417,-4.1003522872924805
64,0,-41.23988342285156,43.493255859375,50.0,0.0003,3189,0.004507127217948437,3200,0.03968065232038498,10031,-3.676814556121826
68,0,-43.06793212890625,43.53112002941175,50.0,0.0003,3389,0.019657332450151443,3400,0.037594109773635864,10651,-4.056504249572754
72,0,-44.84153747558594,43.56003997222222,50.0,0.0003,3589,0.004310584627091885,3600,0.035566139966249466,11268,-3.710806369781494
76,0,-46.56894302368164,43.595985328947364,50.0,0.0003,3789,0.012257149443030357,3800,0.03363001346588135,11885,-4.057321548461914
80,0,-48.214439392089844,43.6218061,50.0,0.0003,3989,0.003990319557487965,4000,0.031837522983551025,12499,-3.7258641719818115
84,0,-49.7054328918457,43.64317532142858,50.0,0.0003,4189,0.004237031098455191,4200,0.030159831047058105,13116,-3.5113563537597656
88,0,-51.261077880859375,43.671635215909085,50.0,0.0003,4389,0.013981985859572887,4400,0.028575962409377098,13731,-3.837667942047119
92,0,-52.671260833740234,43.68398545652174,50.0,0.0003,4589,0.0075789280235767365,4600,0.027082767337560654,14344,-3.3316099643707275
96,0,-54.07571792602539,43.73086868749999,50.0,0.0003,4789,0.0047719418071210384,4800,0.02567243203520775,14928,-2.971693992614746
