step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0154510021209715, 2.074417972564697]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[6.456611e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.05768585205078125, 0.027011871337890625, 0.02071431465446949, 0.02860615961253643, 0.027587890625]","[0.07151031494140625, 0.040836334228515625, 0.03453877940773964, 0.04243062436580658, 0.041412353515625]","[0.024528471753001213, 0.03152777627110481, 0.027340739965438843, 0.024677777662873268, 0.026402221992611885]",[0. 0. 0. 0. 0.],0.04640614,0.019496452,"[2.280844497680664, 2.4468034267425534, 2.4470550537109372, 2.331743097305298, 3.115248394012451]","[2.271781063079834, 2.412094926834106, 2.345713472366333, 2.3123862743377686, 3.0598532676696775]",0.8005722753090915,0.08056263123554788,0.2,0.25,0.07065530523056832,0.1,0.04935433884297521,0.05
2,0,1,-0.46042657,"[2.0926980495452883, 2.4515570163726803]",[0.         0.         0.         0.32539684 0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0390625, 0.0390625, 0.0390625, 0.0237579345703125, 0.0237579345703125]","[0.052886962890625, 0.052886962890625, 0.052886962890625, 0.0375823974609375, 0.0375823974609375]","[0.031599998474121094, 0.031599998474121094, 0.031599998474121094, 0.032099999487400055, 0.032099999487400055]",[0.         0.         0.         0.0043469  0.00429499],0.04642803,0.018983394,"[7.652318954467773, 6.398464202880859, 7.161860084533692, 5.129123878479004, 4.149725914001465]","[7.996398162841797, 5.264908027648926, 6.59185676574707, 4.91417293548584, 4.112877941131591]",0.7766670329659873,0.17576513337431537,0.1992119902323901,0.16865079365079366,0.07026786250536299,0.062771253203125,0.05,0.05
3,0,1,-0.918053,"[2.4890089511871336, 2.900714015960693]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0149383544921875, 0.0149383544921875, 0.0145263671875, 0.0141143798828125, 0.0141143798828125]","[0.0287628173828125, 0.0287628173828125, 0.028350830078125, 0.0279388427734375, 0.0279388427734375]","[0.026822222396731377, 0.026822222396731377, 0.024344444274902344, 0.02186666615307331, 0.02186666615307331]",[0.00423576 0.00420773 0.00418753 0.00416879 0.00415358],0.044830322,0.01882858,"[1.4872249841690062, 1.0942285060882568, 1.016639494895935, 0.96632000207901, 1.033484983444214]","[1.4855655193328858, 1.0779279708862304, 1.003379511833191, 0.9539889931678772, 1.0315490007400512]",0.7024861120914245,0.030287870285882697,0.2,0.25,0.07405989805554171,0.04813834374999999,0.05,0.05
4,0,1,-0.96694475,"[2.9258249282836912, 3.3602898597717283]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.017181396484375, 0.017181396484375, 0.0012664794921875, 0.0012664794921875, 0.0012664794921875]","[0.031005859375, 0.031005859375, 0.0150909423828125, 0.0150909423828125, 0.0150909423828125]","[0.03125555440783501, 0.03125555440783501, 0.03064444474875927, 0.03064444474875927, 0.03064444474875927]",[0.00412642 0.00410987 0.00409305 0.00407717 0.00406625],0.04276977,0.019246582,"[0.9571799993515014, 0.5843420028686523, 0.7407485127449036, 0.6692175030708314, 0.4851350039243698]","[0.8768625020980835, 0.5903845012187958, 0.6931484937667847, 0.6662405014038086, 0.4755639970302582]",0.7333786366888818,0.01253720699372047,0.2,0.25,0.07084142969516129,0.1,0.05,0.05
5,1,1,0.6265404,"[3.3927719116210935, 2.3323490619659424]",[0.         0.         0.         0.02283105 0.        ],[0.         0.         0.0027027  0.         0.00512821],[0. 0. 0. 0. 0.],"[0.006439208984375, 0.0, 0.0, 0.0194854736328125, 0.0194854736328125]","[0.0195465087890625, 0.0131072998046875, 0.0131072998046875, 0.0325927734375, 0.0325927734375]","[0.0283111110329628, 0.03194444626569748, 0.03194444626569748, 0.02938888967037201, 0.02938888967037201]",[0.0039468  0.00383497 0.00368648 0.00402309 0.00395563],0.041036587,0.01961224,"[5.1453899383544925, 9.173965454101562, 8.081617736816407, 9.763183975219727, 9.544260787963868]","[5.256588745117187, 7.92186222076416, 8.111017608642578, 10.0, 9.448216247558594]",0.8544588732038669,0.22109303830151136,0.2,0.2442922374429224,0.07037268527561472,0.02026709374999999,0.05,0.048433818433818436
6,1,1,0.8255112,"[2.361972951889038, 3.9385769844055174]",[0.02506964 0.         0.02100271 0.         0.00703125],[0.00060606 0.00053937 0.         0.00206915 0.00078431],[0.         0.         0.         0.         0.00080321],"[0.028106689453125, 0.02703348733484745, 0.02566019631922245, 0.02863566018640995, 0.03930358961224556]","[0.04022216796875, 0.0391489677131176, 0.0377756766974926, 0.0407511405646801, 0.05141906812787056]","[0.027246296405792236, 0.03236296400427818, 0.03522777929902077, 0.04130370542407036, 0.03802666813135147]",[0.00490932 0.00700379 0.00800194 0.00766156 0.00747354],0.04114263,0.01781599,"[8.828922080993653, 8.29287338256836, 8.479865837097169, 9.749853324890136, 10.0]","[8.816923522949219, 8.157425117492675, 8.525978088378906, 9.527856826782227, 9.913232040405273]",0.9066793675221957,0.2342073392929894,0.17996554206399357,0.23672410052247284,0.06461429457891014,0.1,0.041967871485943775,0.049200219577886124
7,1,1,0.21327162,"[3.9775670051574705, 4.626945972442627]",[0. 0. 0. 0. 0.],[0.         0.00301205 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.05682373046875, 0.05682373046875, 0.0201263427734375, 0.0201263427734375, 0.0201263427734375]","[0.068939208984375, 0.068939208984375, 0.0322418212890625, 0.0322418212890625, 0.0322418212890625]","[0.038511112332344055, 0.038511112332344055, 0.03704444319009781, 0.03704444319009781, 0.03704444319009781]",[0.00818693 0.00806343 0.00797157 0.0078514  0.00775231],0.04160251,0.017931623,"[9.91903247833252, 6.865444946289062, 6.395686721801758, 6.202476692199707, 7.716028785705566]","[9.765751457214355, 6.625889778137207, 6.04734172821045, 6.02939624786377, 8.710998153686523]",0.8941649378264321,0.203447747678044,0.19228349356815733,0.25,0.06622953295489616,0.0828065732638889,0.05,0.04939759036144578
8,1,1,0.45899308,"[4.686075878143311, 5.112047863006592]",[0. 0. 0. 0. 0.],[0.         0.00247525 0.         0.         0.00558659],[0. 0. 0. 0. 0.],"[0.0660247802734375, 0.0448455810546875, 0.0236663818359375, 0.0236663818359375, 0.0236663818359375]","[0.0781402587890625, 0.0569610595703125, 0.0357818603515625, 0.0357818603515625, 0.0357818603515625]","[0.035011112689971924, 0.035838887095451355, 0.036666665226221085, 0.036666665226221085, 0.036666665226221085]",[0.00752801 0.00738018 0.00725041 0.00715823 0.0071024 ],0.04212872,0.018213656,"[8.749806213378907, 10.0, 8.92077865600586, 10.0, 7.626866149902344]","[8.359272575378418, 10.0, 8.09939556121826, 9.622445106506348, 7.289970970153809]",0.9279157075449969,0.23401766655165032,0.19525106592116015,0.25,0.06734013676289097,0.08291920625000002,0.05,0.04838763205929532
9,1,1,0.087249994,"[5.159081077575684, 5.38753719329834]",[0.         0.01153846 0.         0.         0.        ],[0.0045045 0.        0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.0345001220703125, 0.0334625244140625, 0.0324249267578125, 0.0623016357421875, 0.0623016357421875]","[0.0466156005859375, 0.0455780029296875, 0.0445404052734375, 0.0744171142578125, 0.0744171142578125]","[0.033622223883867264, 0.03451666608452797, 0.03541111201047897, 0.03893333300948143, 0.03893333300948143]",[0.00694227 0.00692445 0.00687803 0.00678158 0.006725  ],0.042854402,0.018236438,"[7.633312034606933, 5.696663284301758, 6.413963508605957, 7.159866523742676, 7.318042755126953]","[7.672295761108399, 5.673689842224121, 6.517769432067872, 6.611703109741211, 7.345954895019531]",0.8651361113864662,0.1917692914119941,0.18424611032744986,0.24711538461538463,0.06598039780753848,0.07692582812500001,0.05,0.0490990990990991
10,2,1,0.87014484,"[5.45093002319336, 6.324768829345703]",[0.         0.         0.         0.03869048 0.        ],[0.         0.         0.00143266 0.         0.        ],[0.     0.     0.0025 0.     0.    ],"[0.0551605224609375, 0.0480194091796875, 0.0480194091796875, 0.02801513671875, 0.02801513671875]","[0.0672760009765625, 0.0601348876953125, 0.0601348876953125, 0.040130615234375, 0.040130615234375]","[0.036338888108730316, 0.0337444432079792, 0.0337444432079792, 0.03987777605652809, 0.03987777605652809]",[0.00662316 0.00649656 0.00635586 0.00674098 0.00669609],0.04351627,0.01819916,"[6.584567451477051, 9.639156913757324, 10.0, 10.0, 10.0]","[5.851883506774903, 9.685566711425782, 10.0, 10.0, 10.0]",0.891243842325216,0.23724760176157492,0.19852968103745405,0.24032738095238096,0.06542962090009555,0.074996090625,0.025,0.0497134670487106
