step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.020886945724487, 2.7512829303741455]",[0. 0. 0. 0. 0.],[0.00093284 0.         0.         0.         0.        ],[5.14827e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00],"[0.015034675598144531, 0.03666496276855469, 0.028162002563476562, 0.022650718688964844, 0.010193824768066406]","[0.02736377716064453, 0.04899406433105469, 0.04049110412597656, 0.034979820251464844, 0.022522926330566406]","[0.02465902827680111, 0.024181945249438286, 0.020101388916373253, 0.019835416227579117, 0.02865833416581154]",[0. 0. 0. 0. 0.],0.034870338,0.020113995,"[2.398818206787109, 2.3611794471740724, 2.3181692600250243, 2.4636549949645996, 3.2322399139404294]","[2.3258888721466064, 2.2958850383758542, 2.2933179855346677, 2.444622468948364, 3.2456017494201657]",0.8035281358187385,0.08154863198725666,0.2,0.25,0.07268089801378286,0.1,0.049485172981878094,0.0498134328358209
2,0,1,-0.46042657,"[2.774032068252563, 3.303180122375488]",[0.         0.         0.20560747 0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0268402099609375, 0.0268402099609375, 0.0575408935546875, 0.0575408935546875, 0.0575408935546875]","[0.0391693115234375, 0.0391693115234375, 0.0698699951171875, 0.0698699951171875, 0.0698699951171875]","[0.03073333390057087, 0.03073333390057087, 0.027166666463017464, 0.027166666463017464, 0.027166666463017464]",[0.         0.         0.00260047 0.00258337 0.00255043],0.036241222,0.02044123,"[7.917451667785644, 4.049988079071045, 3.751664066314697, 3.4629430770874023, 3.1316609382629395]","[7.879922485351562, 4.1468829154968265, 3.7424241065979, 3.4897259712219237, 3.2446001052856444]",0.7531546968929375,0.13662260911140978,0.166606366357138,0.1985981308411215,0.0712018519113931,0.08012573867187502,0.05,0.05
3,0,1,-0.918053,"[3.33280086517334, 3.854008865356445]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.05263158 0.        ],[0. 0. 0. 0. 0.],"[0.0575408935546875, 0.05194854736328125, 0.046356201171875, 0.046356201171875, 0.007080078125]","[0.0698699951171875, 0.06427764892578125, 0.058685302734375, 0.058685302734375, 0.0194091796875]","[0.027166666463017464, 0.024327777326107025, 0.021488888189196587, 0.021488888189196587, 0.022188888862729073]",[0.00249732 0.00248167 0.00246362 0.00245262 0.00244553],0.038090482,0.020961987,"[2.3592425346374513, 1.051101517677307, 0.9762144923210144, 1.023127007484436, 0.8204499959945679]","[2.279976463317871, 1.030049467086792, 0.966491985321045, 0.9903049945831299, 0.8104550123214722]",0.7103694740698602,0.035250822613184934,0.19535673425552694,0.25,0.0737956746572886,0.06649255833333334,0.05,0.03947368421052632
4,0,1,-0.96694475,"[3.8852789878845213, 4.505006885528565]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.007080078125, 0.007080078125, 0.016693115234375, 0.016693115234375, 0.016693115234375]","[0.0194091796875, 0.0194091796875, 0.029022216796875, 0.029022216796875, 0.029022216796875]","[0.022188888862729073, 0.022188888862729073, 0.019255556166172028, 0.019255556166172028, 0.019255556166172028]",[0.00242973 0.00241905 0.00240832 0.00239743 0.00238819],0.036924787,0.020425387,"[0.8188939929008484, 0.6437489986419678, 0.7763000130653381, 0.6840394973754883, 0.7686149835586549]","[0.8122375011444092, 0.6449589967727661, 0.7549824953079224, 0.6780609965324402, 0.6526540040969848]",0.7426174349018385,0.01469809511741063,0.2,0.25,0.07791933978442775,0.1,0.05,0.05
5,1,1,0.6265404,"[4.543655872344971, 5.319324111938477]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0090179443359375, 0.0090179443359375, 0.0090179443359375, 0.0048828125, 0.0007476806640625]","[0.0213470458984375, 0.0213470458984375, 0.0213470458984375, 0.0172119140625, 0.0130767822265625]","[0.020666666328907013, 0.020666666328907013, 0.020666666328907013, 0.021549999713897705, 0.022433333098888397]",[0.00236668 0.00229363 0.00221224 0.0021137  0.00203874],0.035525322,0.020175125,"[1.177193021774292, 6.855287742614746, 8.11862564086914, 7.343596267700195, 10.0]","[1.160484504699707, 6.957719230651856, 7.995795059204101, 7.5206443786621096, 8.90649585723877]",0.8543382264529882,0.18872900011455843,0.2,0.25,0.07769902842176303,0.037910197916666666,0.05,0.05
6,1,1,0.8255112,"[5.381915283203125, 7.047521018981934]",[0.01013513 0.         0.         0.         0.        ],[0.         0.         0.         0.         0.00134409],[0. 0. 0. 0. 0.],"[0.006198883056640625, 0.0247955322265625, 0.0026702880859375, 0.0170745849609375, 0.012873332016170025]","[0.015476226806640625, 0.0340728759765625, 0.0119476318359375, 0.0263519287109375, 0.02215067483484745]","[0.026786111295223236, 0.03311111032962799, 0.02607777714729309, 0.02907777763903141, 0.028433334082365036]",[0.00202229 0.00241583 0.00226605 0.00214175 0.00205761],0.03361793,0.019656993,"[9.71226692199707, 9.689806747436524, 7.754007148742676, 9.175156784057616, 8.144942474365234]","[9.783439445495606, 8.87133617401123, 8.103271102905273, 9.092775917053222, 8.18322525024414]",0.9250331994256231,0.23111855723579608,0.2,0.24746621621621623,0.06959532199735632,0.07712192118055557,0.05,0.04973118279569893
7,1,1,0.21327162,"[7.1348388671875, 6.73380184173584]",[0.     0.0875 0.     0.     0.    ],[0.         0.         0.00318471 0.         0.        ],[0. 0. 0. 0. 0.],"[0.010772705078125, 0.0226593017578125, 0.0345458984375, 0.0345458984375, 0.0345458984375]","[0.020050048828125, 0.0319366455078125, 0.0438232421875, 0.0438232421875, 0.0438232421875]","[0.028111111372709274, 0.033755555748939514, 0.039400000125169754, 0.039400000125169754, 0.039400000125169754]",[0.00194478 0.00276166 0.00356124 0.00350898 0.00346814],0.033692732,0.019281268,"[10.0, 8.086910629272461, 7.0755613327026365, 5.320713996887207, 9.983832931518554]","[9.24121551513672, 7.977499961853027, 7.099152183532715, 6.2636150360107425, 7.403963851928711]",0.8934668910234637,0.2164623820593457,0.18380930803824164,0.228125,0.06570714360103551,0.1,0.05,0.04936305732484077
8,1,1,0.45899308,"[6.879953765869141, 7.943046951293946]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0482635498046875, 0.040985107421875, 0.040985107421875, 0.03316497802734375, 0.0253448486328125]","[0.0575408935546875, 0.050262451171875, 0.050262451171875, 0.04244232177734375, 0.0346221923828125]","[0.032955557107925415, 0.03207777813076973, 0.03207777813076973, 0.02949444390833378, 0.026911111548542976]",[0.00336767 0.00329195 0.00322447 0.00316041 0.00311132],0.03459344,0.01911238,"[7.221420860290528, 9.450410079956054, 8.739215278625489, 8.128883552551269, 8.849880790710449]","[7.26055908203125, 8.22746524810791, 8.49590187072754, 7.889010238647461, 8.924199867248536]",0.9267454975520023,0.22359876848291954,0.1834489108753853,0.25,0.0696978181936973,0.1,0.05,0.05
9,1,1,0.087249994,"[8.00872573852539, 5.944474792480469]",[0. 0. 0. 0. 0.],[0.         0.00280899 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0253448486328125, 0.0258026123046875, 0.0262603759765625, 0.0242767333984375, 0.0242767333984375]","[0.0346221923828125, 0.0350799560546875, 0.0355377197265625, 0.0335540771484375, 0.0335540771484375]","[0.026911111548542976, 0.02625555545091629, 0.025599999353289604, 0.027488889172673225, 0.027488889172673225]",[0.00303747 0.00298512 0.00293897 0.00290027 0.00286297],0.034592163,0.018553894,"[9.044559097290039, 6.8032680511474615, 6.392352485656739, 6.262740135192871, 6.27808780670166]","[8.87844123840332, 6.554114723205567, 6.113973808288574, 6.144811058044434, 6.43533992767334]",0.9012197361045148,0.19408231934049364,0.2,0.25,0.07355088743349684,0.08414832708333335,0.05,0.04943820224719101
10,2,1,0.87014484,"[5.993167114257813, 6.462417793273926]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0242767333984375, 0.03240966796875, 0.03240966796875, 0.03240966796875, 0.03240966796875]","[0.0335540771484375, 0.04168701171875, 0.04168701171875, 0.04168701171875, 0.04168701171875]","[0.027488889172673225, 0.025422222912311554, 0.025422222912311554, 0.025422222912311554, 0.025422222912311554]",[0.00280909 0.00275089 0.00268709 0.00264776 0.00261548],0.03483907,0.018145198,"[6.8860626220703125, 10.0, 7.019523620605469, 10.0, 9.061935234069825]","[7.1976320266723635, 9.864389228820801, 7.1602527618408205, 10.0, 8.60059700012207]",0.9239978783819521,0.22570372418234586,0.19179850322444264,0.25,0.07355088743349684,0.08294476354166667,0.05,0.05
