step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.023689031600952, 4.383137035369873]",[0. 0. 0. 0. 0.],[0.         0.00092593 0.00461988 0.         0.00095895],[6.65336e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00],"[0.02798258513212204, 0.004990641493350267, 0.01628214493393898, 0.03909708559513092, 0.0178974699229002]","[0.03204142302274704, 0.00904947891831398, 0.02034098282456398, 0.04315592348575592, 0.0219563078135252]","[0.032928887754678726, 0.036079999059438705, 0.028587406501173973, 0.029817037284374237, 0.020681746304035187]",[0. 0. 0. 0. 0.],0.025354128,0.020260606,"[2.345478582382202, 2.1587185859680176, 2.329090642929077, 2.2868220329284665, 3.6287281990051268]","[2.2560472965240477, 2.147635841369629, 2.2364638805389405, 2.212321138381958, 3.596597194671631]",0.7971207763479298,0.08138567002628785,0.2,0.25,0.06770139321890185,0.1,0.04933466400532269,0.0486990490974173
2,0,1,-0.46042657,"[4.451809883117676, 4.881966972351075]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0189971923828125, 0.0087127685546875, 0.0087127685546875, 0.0168304443359375, 0.0168304443359375]","[0.0230560302734375, 0.0127716064453125, 0.0127716064453125, 0.0208892822265625, 0.0208892822265625]","[0.019772222265601158, 0.02288888953626156, 0.02288888953626156, 0.023511111736297607, 0.023511111736297607]",[0. 0. 0. 0. 0.],0.024530984,0.01939922,"[7.016865158081055, 3.747654628753662, 3.6258219718933105, 3.3528944015502926, 3.6498860359191894]","[6.802675247192383, 3.7353219032287597, 3.6176139831542966, 3.3286895751953125, 3.646865940093994]",0.8405501171650316,0.13180650331629604,0.2,0.25,0.07675253896778307,0.08199107488095239,0.05,0.05
3,0,1,-0.918053,"[4.930295944213867, 5.715512847900391]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.02173913 0.        ],[0. 0. 0. 0. 0.],"[0.0168304443359375, 0.01404571533203125, 0.011260986328125, 0.011260986328125, 0.011260986328125]","[0.0208892822265625, 0.01810455322265625, 0.01531982421875, 0.01531982421875, 0.01531982421875]","[0.023511111736297607, 0.02363888919353485, 0.023766666650772095, 0.023766666650772095, 0.023766666650772095]",[0. 0. 0. 0. 0.],0.023811506,0.018573182,"[2.2156489372253416, 0.98611398935318, 0.9179765105247497, 1.038303518295288, 0.8860790014266968]","[2.221100044250488, 0.987141489982605, 0.9203750133514405, 1.0383015155792237, 0.9036399960517884]",0.7240096536947529,0.03380085099077334,0.2,0.25,0.07653371212426929,0.06802291666666667,0.05,0.045652173913043485
4,0,1,-0.96694475,"[5.800148773193359, 6.6333009719848635]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.03333334 0.        ],[0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0005035400390625, 0.0005035400390625]","[0.0030059814453125, 0.0030059814453125, 0.0030059814453125, 0.003509521484375, 0.003509521484375]","[0.02271111123263836, 0.02271111123263836, 0.02271111123263836, 0.023711111396551132, 0.023711111396551132]",[0. 0. 0. 0. 0.],0.021972505,0.018676177,"[0.8858680009841919, 0.6307634949684143, 0.5852589964866638, 0.6422349989414216, 0.6720900058746337]","[0.8428554892539979, 0.6343834936618805, 0.5860104978084564, 0.6432324945926666, 0.6716140031814575]",0.7322778876760546,0.012363445103054977,0.2,0.25,0.07658110923966628,0.1,0.05,0.043333333333333335
5,0,1,0.6265404,"[6.69999885559082, 7.716856193542481]",[0. 0. 0. 0. 0.],[0.         0.00534759 0.00257732 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0174102783203125, 0.0110015869140625, 0.00339508056640625, 0.002197265625, 0.002197265625]","[0.020416259765625, 0.014007568359375, 0.00640106201171875, 0.0052032470703125, 0.0052032470703125]","[0.019333332777023315, 0.018227778375148773, 0.017144445329904556, 0.01716666668653488, 0.01716666668653488]",[0. 0. 0. 0. 0.],0.021058932,0.018261299,"[2.737685489654541, 8.079273986816405, 8.489556694030762, 9.369724082946778, 7.989813232421875]","[2.761398935317993, 8.07398338317871, 8.475232696533203, 8.75133113861084, 7.992621040344238]",0.8599161493690283,0.20172601416980734,0.1983674482865767,0.25,0.08067816433841409,0.03072950520833334,0.05,0.048415017365896686
6,0,1,0.8255112,"[7.778868865966797, 9.009943008422852]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00738007],[0. 0. 0. 0. 0.],"[0.00048828125, 0.0005035400390625, 0.0005035400390625, 0.00032806396484375, 0.000152587890625]","[0.0034942626953125, 0.003509521484375, 0.003509521484375, 0.00333404541015625, 0.0031585693359375]","[0.01926666684448719, 0.01581111177802086, 0.01581111177802086, 0.016144445165991783, 0.016477778553962708]",[0. 0. 0. 0. 0.],0.01972551,0.018165546,"[8.687907409667968, 9.707277297973633, 9.770592880249023, 9.735858917236328, 9.883182144165039]","[8.70643196105957, 9.446956825256347, 9.786282157897949, 9.502412033081054, 9.437362098693848]",0.9487056638834394,0.2425984799145118,0.2,0.25,0.08074729456240848,0.07683590416666666,0.05,0.0485239852398524
7,0,1,0.21327162,"[9.08234691619873, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.000152587890625, 0.00274658203125, 0.005340576171875, 0.005340576171875, 0.005340576171875]","[0.0031585693359375, 0.0057525634765625, 0.0083465576171875, 0.0083465576171875, 0.0083465576171875]","[0.016477778553962708, 0.018211111426353455, 0.0199444442987442, 0.0199444442987442, 0.0199444442987442]",[0. 0. 0. 0. 0.],0.018803835,0.017844817,"[8.77290096282959, 7.096422767639161, 6.496649932861328, 7.165016937255859, 7.105595207214356]","[8.792363929748536, 7.110767364501953, 6.509339714050293, 7.120691108703613, 6.831897735595703]",0.9084384560244334,0.20160830850996864,0.2,0.25,0.08005563293113122,0.07677451458333334,0.05,0.05
8,0,1,0.45899308,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.014007568359375, 0.0186309814453125, 0.01229095458984375, 0.005950927734375, 0.005950927734375]","[0.0170135498046875, 0.021636962890625, 0.01529693603515625, 0.0089569091796875, 0.0089569091796875]","[0.01852777786552906, 0.017455555498600006, 0.019288888201117516, 0.021122222766280174, 0.021122222766280174]",[0. 0. 0. 0. 0.],0.018622791,0.017388228,"[7.216922760009766, 7.602800369262695, 7.649890518188476, 7.692005920410156, 7.735384750366211]","[7.204065322875977, 7.617302322387696, 7.552388000488281, 7.681140899658203, 7.694714736938477]",0.9300449613052714,0.20659417412587583,0.194543176538804,0.25,0.0789076106405915,0.1,0.05,0.05
9,0,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.00675676 0.0037037  0.00367647 0.        ],[0. 0. 0. 0. 0.],"[0.004913330078125, 0.004913330078125, 0.0090789794921875, 0.00812530517578125, 0.007171630859375]","[0.0079193115234375, 0.0079193115234375, 0.0120849609375, 0.01113128662109375, 0.0101776123046875]","[0.0203000009059906, 0.0203000009059906, 0.021666666492819786, 0.021861111745238304, 0.022055555135011673]",[0. 0. 0. 0. 0.],0.018075772,0.016979787,"[7.706098747253418, 7.255521392822266, 6.255509757995606, 5.796029472351075, 6.6166320800781255]","[7.62819881439209, 7.248414039611816, 6.269270706176758, 5.929259300231934, 6.634836769104004]",0.9145096835896009,0.18929662858867422,0.2,0.25,0.07804044121066588,0.1,0.05,0.04717261379026085
10,1,1,0.87014484,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.00242718 0.         0.         0.00442478],[0. 0. 0. 0. 0.],"[0.00518798828125, 0.00545501708984375, 0.0057220458984375, 0.0057220458984375, 0.0057220458984375]","[0.0081939697265625, 0.00846099853515625, 0.00872802734375, 0.00872802734375, 0.00872802734375]","[0.020911110565066338, 0.021016666665673256, 0.021122222766280174, 0.021122222766280174, 0.021122222766280174]",[0. 0. 0. 0. 0.],0.017519072,0.016627101,"[8.03000316619873, 9.143108749389649, 9.761401557922364, 10.0, 10.0]","[8.069341087341309, 9.184287452697754, 9.754020690917969, 9.91393585205078, 10.0]",0.9395171918602305,0.23969814469838857,0.2,0.25,0.0789076106405915,0.07228182916666667,0.05,0.04862960735458373
