step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0286789417266844, 2.566481018066406]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00193903],[7.930214e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.013187115080654621, 0.028517503291368484, 0.029205322265625, 0.019074758514761925, 0.008190155029296875]","[0.019031230360269547, 0.034361619502305984, 0.0350494384765625, 0.024918874725699425, 0.014034271240234375]","[0.03607606887817383, 0.029914529994130135, 0.025576923042535782, 0.02820555493235588, 0.028062036260962486]",[0. 0. 0. 0. 0.],0.025669644,0.014319259,"[2.4132321834564205, 2.3321483612060545, 2.30780348777771, 2.402823495864868, 3.250907802581787]","[2.3435027599334717, 2.2936025142669676, 2.29154257774353, 2.382651853561401, 3.33574686050415]",0.7976375910550576,0.08111459124670613,0.2,0.25,0.06770382785773624,0.1,0.04920697858842189,0.049612193362193364
2,0,1,-0.46042657,"[2.587502956390381, 3.0162089347839354]",[0.         0.         0.         0.42331287 0.        ],[0.         0.02777778 0.01075269 0.         0.        ],[0. 0. 0. 0. 0.],"[0.129669189453125, 0.129669189453125, 0.129669189453125, 0.1388092041015625, 0.1388092041015625]","[0.1355133056640625, 0.1355133056640625, 0.1355133056640625, 0.1446533203125, 0.1446533203125]","[0.03804444521665573, 0.03804444521665573, 0.03804444521665573, 0.03571110963821411, 0.03571110963821411]",[0.02096413 0.02054945 0.02034156 0.02736212 0.02700137],0.03401521,0.032695707,"[6.957439994812012, 6.2257568359375, 7.655083847045899, 3.531776142120361, 3.083515930175781]","[6.640938186645508, 8.827313041687011, 8.553055953979491, 3.3496580123901367, 3.0974419593811033]",0.5679128458642065,0.16192959161969817,0.033732722931138354,0.1441717791411043,0.06650704883445209,0.06927779652777777,0.05,0.04229390681003584
3,0,1,-0.918053,"[3.075986003875732, 3.5594968795776367]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.1388092041015625, 0.1388092041015625, 0.0084228515625, 0.0084228515625, 0.0084228515625]","[0.1446533203125, 0.1446533203125, 0.0142669677734375, 0.0142669677734375, 0.0142669677734375]","[0.03571110963821411, 0.03571110963821411, 0.030611110851168633, 0.030611110851168633, 0.030611110851168633]",[0.02659467 0.02643812 0.02629696 0.02614913 0.02613312],0.038798884,0.0399797,"[1.4048014879226685, 0.9728209972381592, 0.8933000087738037, 1.0792330265045167, 1.2068769931793213]","[1.333828020095825, 1.0068180322647096, 0.8886685132980346, 1.0644659996032715, 1.150653028488159]",0.7022765059904074,0.029963667954222516,0.2,0.25,0.06793063074451815,0.05438220729166665,0.05,0.05
4,0,1,-0.96694475,"[3.6144310951232907, 4.171330070495605]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.024169921875, 0.024169921875, 0.024169921875, 0.02198028564453125, 0.0197906494140625]","[0.0300140380859375, 0.0300140380859375, 0.0300140380859375, 0.02782440185546875, 0.025634765625]","[0.032777778804302216, 0.032777778804302216, 0.032777778804302216, 0.03392777591943741, 0.0350777767598629]",[0.02591619 0.02585341 0.02573131 0.02562568 0.0255438 ],0.03776568,0.03792759,"[1.1489834785461426, 0.8046070098876954, 0.6783435046672821, 0.6896930038928986, 0.6897919952869416]","[1.125091004371643, 0.6759180009365082, 0.6659420073032379, 0.7039419889450074, 0.7114499926567077]",0.7357104837250794,0.017382413112331914,0.2,0.25,0.06832807061274747,0.1,0.05,0.05
5,1,1,0.6265404,"[4.217490100860596, 4.576852035522461]",[0. 0. 0. 0. 0.],[0.         0.         0.00395257 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0197906494140625, 0.06231689453125, 0.1048431396484375, 0.1048431396484375, 0.1048431396484375]","[0.025634765625, 0.0681610107421875, 0.110687255859375, 0.110687255859375, 0.110687255859375]","[0.0350777767598629, 0.0318722240626812, 0.02866666577756405, 0.02866666577756405, 0.02866666577756405]",[0.02509885 0.0244361  0.02340242 0.02257098 0.02231131],0.041294876,0.039911676,"[2.6607744693756104, 6.288095092773438, 7.615257835388183, 10.0, 9.543464851379394]","[2.718601036071777, 5.425177955627442, 7.292853736877442, 10.0, 8.367919158935546]",0.7717467268521433,0.19948576641075338,0.12159043178763441,0.25,0.06832807061274747,0.033132971874999986,0.05,0.049209486166007906
6,1,1,0.8255112,"[4.625364112854004, 4.5320638656616214]",[0.         0.1381733  0.         0.05588429 0.05791855],[0.         0.01314525 0.00198452 0.00833859 0.00472547],[0.         0.00066138 0.         0.         0.00063694],"[0.0856526717543602, 0.1237742081284523, 0.073974609375, 0.04437255859375, 0.04041748121380806]","[0.0914967879652977, 0.1296183317899704, 0.0798187255859375, 0.0502166748046875, 0.04626159742474556]","[0.03468518704175949, 0.034998148679733276, 0.04628888890147209, 0.04472222179174423, 0.03996666520833969]",[0.03010501 0.03447444 0.06674081 0.07043559 0.07067353],0.050644547,0.043510042,"[7.819482231140137, 9.536606407165527, 8.717889785766602, 9.93961410522461, 9.368074417114258]","[8.542690467834472, 9.721846771240234, 8.447279357910157, 9.985921478271484, 9.744118690490723]",0.8365469505724534,0.234313061398155,0.191270149105885,0.1870059648006388,0.0619007145007212,0.08067901166666669,0.03701681663465103,0.0443612324657357
7,1,1,0.21327162,"[4.5727049827575685, 5.002210903167724]",[0.         0.06991526 0.         0.         0.        ],[0.         0.00246305 0.         0.0042735  0.        ],[0.         0.         0.         0.00271739 0.        ],"[0.0662689208984375, 0.052032470703125, 0.052032470703125, 0.052032470703125, 0.052032470703125]","[0.072113037109375, 0.0578765869140625, 0.0578765869140625, 0.0578765869140625, 0.0578765869140625]","[0.0421999990940094, 0.04098888859152794, 0.04098888859152794, 0.04098888859152794, 0.04098888859152794]",[0.07078519 0.070802   0.06953762 0.06859494 0.06760424],0.051358756,0.04209968,"[9.532011032104492, 8.64860954284668, 7.763065147399902, 7.138363075256348, 9.547427940368653]","[10.0, 8.895424270629883, 7.332853126525879, 6.8935132980346685, 10.0]",0.8925854165658825,0.22447417175067477,0.2,0.23252118644067796,0.06411128311014729,0.1,0.022826086956521743,0.04865268830786072
8,1,1,0.45899308,"[5.071988105773926, 5.554800033569336]",[0. 0. 0. 0. 0.],[0.        0.0019305 0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.112335205078125, 0.112335205078125, 0.08365631103515625, 0.0549774169921875, 0.0549774169921875]","[0.1181793212890625, 0.1181793212890625, 0.08950042724609375, 0.060821533203125, 0.060821533203125]","[0.03947777673602104, 0.03947777673602104, 0.041377779096364975, 0.04327777773141861, 0.04327777773141861]",[0.06659041 0.06523867 0.06411553 0.06338506 0.06308017],0.053966604,0.042733107,"[6.759344482421875, 9.62401294708252, 9.152578163146973, 7.684460830688477, 5.8276317596435545]","[6.360679244995118, 9.657350158691406, 8.822793769836426, 8.817891120910645, 5.88155574798584]",0.8776480831669671,0.21106204064158576,0.15345653835818066,0.25,0.063515604553301,0.1,0.05,0.049613899613899615
9,1,1,0.087249994,"[5.602456092834473, 6.200322914123535]",[0.         0.         0.09417041 0.         0.        ],[0.         0.00526316 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0549774169921875, 0.0549774169921875, 0.017913818359375, 0.017913818359375, 0.017913818359375]","[0.060821533203125, 0.060821533203125, 0.0237579345703125, 0.0237579345703125, 0.0237579345703125]","[0.04327777773141861, 0.04327777773141861, 0.04066666588187218, 0.04066666588187218, 0.04066666588187218]",[0.06208191 0.06139812 0.06202516 0.06118788 0.06091471],0.05313131,0.04179082,"[6.54373722076416, 6.23216552734375, 7.045453643798829, 7.280870056152344, 4.023721027374267]","[5.787233543395996, 6.586483764648437, 6.855047416687012, 7.25726432800293, 3.739070129394531]",0.8509764647990918,0.17856042917993253,0.2,0.226457399103139,0.063515604553301,0.08349566354166665,0.05,0.048947368421052635
10,2,1,0.87014484,"[6.275694847106934, 6.355076789855957]",[0.         0.         0.         0.         0.55500823],[0.         0.00688073 0.01279511 0.01970443 0.00738007],[0. 0. 0. 0. 0.],"[0.0241546630859375, 0.076324462890625, 0.076324462890625, 0.076324462890625, 0.0195159912109375]","[0.029998779296875, 0.0821685791015625, 0.0821685791015625, 0.0821685791015625, 0.025360107421875]","[0.037788890302181244, 0.037566665560007095, 0.037566665560007095, 0.037566665560007095, 0.046655554324388504]",[0.05976499 0.05838656 0.05715891 0.05630243 0.06718504],0.0535874,0.041176822,"[8.189538955688477, 8.628622436523438, 7.954190063476562, 10.0, 7.985013008117676]","[7.0825708389282225, 10.0, 10.0, 10.0, 10.0]",0.7391302059887666,0.2249400438197803,0.17481768681452825,0.11124794745484401,0.061708718717935,0.07576788020833332,0.05,0.04064792897334555
