train/n_updates,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,time/total_timesteps,train/ent_coef,time/fps,train/critic_loss,train/ent_coef_loss
189,4,50.0,670,38.9496705,0.0003,-1.1716523170471191,200,0.09464947879314423,0,0.00971292145550251,-3.7088394165039062
389,8,50.0,1332,39.560697250000004,0.0003,-1.7145118713378906,400,0.08926208317279816,0,0.008175978437066078,-3.872199773788452
589,12,50.0,1992,39.98839391666667,0.0003,-2.3913846015930176,600,0.08398992568254471,0,0.00873144343495369,-4.02642822265625
789,16,50.0,2650,39.949523437500005,0.0003,-3.0719785690307617,800,0.07900930196046829,0,0.0034168576821684837,-4.074400424957275
989,20,50.0,3319,39.93686910000001,0.0003,-3.774062156677246,1000,0.07433805614709854,0,0.0034667360596358776,-4.190752983093262
1189,24,50.0,3994,39.998383875,0.0003,-4.517199516296387,1200,0.06997431814670563,0,0.006714826449751854,-4.321686744689941
1389,28,50.0,4659,39.97845417857143,0.0003,-5.276312351226807,1400,0.0659259706735611,0,0.004345964640378952,-4.457841873168945
1589,32,50.0,5324,40.063852781250006,0.0003,-6.0191192626953125,1600,0.06214357167482376,0,0.004890718962997198,-4.486828804016113
1789,36,50.0,5990,40.10066033333334,0.0003,-6.708495616912842,1800,0.05860449746251106,0,0.004157899878919125,-4.5096001625061035
1989,40,50.0,6661,40.121463649999995,0.0003,-7.4719977378845215,2000,0.05528067797422409,0,0.0042112707160413265,-4.218112468719482
2189,44,50.0,7323,40.17687159090909,0.0003,-8.187874794006348,2200,0.05214885249733925,0,0.004682776518166065,-4.366883754730225
2389,48,50.0,7982,40.18292670833333,0.0003,-8.95219612121582,2400,0.04921184107661247,0,0.004249554127454758,-4.724015235900879
2589,52,50.0,8654,40.20716926923077,0.0003,-9.667722702026367,2600,0.04644815996289253,0,0.0066636698320508,-4.493159294128418
2789,56,50.0,9297,40.257382125,0.0003,-10.302765846252441,2800,0.04384826496243477,0,0.0039808787405490875,-4.577541828155518
2989,60,50.0,9961,40.28258713333333,0.0003,-11.081398010253906,3000,0.04139743000268936,0,0.005067713558673859,-4.846123695373535
3189,64,50.0,10624,40.323534375,0.0003,-11.71800422668457,3200,0.0390893779695034,0,0.005087297409772873,-4.661755084991455
3389,68,50.0,11279,40.341570397058824,0.0003,-12.418035507202148,3400,0.03691345080733299,0,0.004611549898982048,-4.818340301513672
3589,72,50.0,11931,40.37914926388889,0.0003,-13.07731819152832,3600,0.03486773744225502,0,0.004021087661385536,-4.715252876281738
3789,76,50.0,12589,40.40720375,0.0003,-13.78153133392334,3800,0.03293133154511452,0,0.00663903309032321,-4.804317951202393
3989,80,50.0,13246,40.4321312,0.0003,-14.389641761779785,4000,0.03111361712217331,0,0.008368324488401413,-4.924099922180176
4189,84,50.0,13902,40.460884261904766,0.0003,-15.102188110351562,4200,0.029397351667284966,0,0.007096747402101755,-4.815683364868164
4389,88,50.0,14560,40.4571918409091,0.0003,-15.743637084960938,4400,0.027785208076238632,0,0.0056366343051195145,-4.85523796081543
