step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.029460000991821, 9.146766853332519]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[4.7514968e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.017798030748963356, 0.057464599609375, 0.010082244873046875, 0.021150588989257812, 0.010903358459472656]","[0.025137508288025856, 0.0648040771484375, 0.017421722412109375, 0.028490066528320312, 0.018242835998535156]","[0.03466993570327759, 0.03169861063361168, 0.032499998807907104, 0.025411110371351242, 0.02067708410322666]",[0. 0. 0. 0. 0.],0.030749097,0.020850332,"[2.6099555492401123, 2.2545190811157227, 2.4537173748016357, 2.4754638671875, 4.683522129058838]","[2.2990819454193114, 2.226060342788696, 2.3903634548187256, 2.464938449859619, 4.672067451477051]",0.8103894702809347,0.09231302371817227,0.19996492757083892,0.25,0.06858666866407011,0.1,0.04952485032785328,0.05
2,0,1,-0.46042657,"[9.313698959350585, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0015106201171875, 0.0015106201171875, 0.00106048583984375, 0.0006103515625, 0.0006103515625]","[0.00885009765625, 0.00885009765625, 0.00839996337890625, 0.0079498291015625, 0.0079498291015625]","[0.01944444514811039, 0.01944444514811039, 0.020972222089767456, 0.02250000089406967, 0.02250000089406967]",[0. 0. 0. 0. 0.],0.028750302,0.020883659,"[4.802831935882568, 3.288671875, 3.3038564682006832, 3.247264862060547, 3.332026958465576]","[4.8371504783630375, 3.3950538635253906, 3.237069606781006, 3.271078014373779, 3.358522033691406]",0.8407031515730728,0.11306383134807066,0.2,0.25,0.07763932022500211,0.1,0.05,0.05
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0006103515625, 0.0006256103515625, 0.00213623046875, 0.003631591796875, 0.003631591796875]","[0.0079498291015625, 0.007965087890625, 0.0094757080078125, 0.0109710693359375, 0.0109710693359375]","[0.02250000089406967, 0.022927777841687202, 0.022216666489839554, 0.021077778190374374, 0.021077778190374374]",[0. 0. 0. 0. 0.],0.026963994,0.02068416,"[2.6979520320892334, 1.0950855255126952, 0.9273834824562073, 1.0089660167694092, 0.9708969950675964]","[2.6051634788513183, 1.0392119646072389, 0.9339784979820251, 1.0088500022888183, 0.970619010925293]",0.7426502201379627,0.038878565047376634,0.2,0.25,0.0772599227989193,0.07651173229166666,0.05,0.05
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00567626953125, 0.0017547607421875, 0.0017547607421875, 0.0017547607421875, 0.0]","[0.007049560546875, 0.0031280517578125, 0.0031280517578125, 0.0031280517578125, 0.001373291015625]","[0.02117222175002098, 0.021266667172312737, 0.021266667172312737, 0.021266667172312737, 0.023866666480898857]",[0. 0. 0. 0. 0.],0.025016,0.020826267,"[0.8510010004043579, 0.7850744843482971, 0.7670810103416443, 0.6704555034637452, 0.7023510098457337]","[0.8483760118484498, 0.7855915069580078, 0.7501155018806458, 0.6702440023422241, 0.7023409962654115]",0.7418576306928012,0.015408993003008695,0.2,0.25,0.07644863768979242,0.1,0.05,0.05
5,0,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0, 0.00537109375, 0.00537109375, 0.00396728515625, 0.00396728515625]","[0.001373291015625, 0.006744384765625, 0.006744384765625, 0.005340576171875, 0.005340576171875]","[0.023866666480898857, 0.029022222384810448, 0.029022222384810448, 0.02253333292901516, 0.02253333292901516]",[0. 0. 0. 0. 0.],0.023469465,0.020708727,"[2.7981260299682615, 8.447692489624023, 8.062478637695312, 8.710221099853516, 8.783802032470703]","[2.803938484191894, 8.712628936767578, 8.166448211669922, 8.713673782348632, 8.48882827758789]",0.8558804869970229,0.20226961190112563,0.2,0.25,0.07241578551256374,0.031195089583333335,0.05,0.05
6,0,1,0.8255112,"[10.0, 10.0]",[0.         0.01528384 0.         0.01068376 0.        ],[0.00235849 0.00225225 0.00459792 0.         0.        ],[0. 0. 0. 0. 0.],"[0.00396728515625, 0.01050567626953125, 0.0170440673828125, 0.01056671142578125, 0.00408935546875]","[0.005340576171875, 0.01187896728515625, 0.0184173583984375, 0.01194000244140625, 0.005462646484375]","[0.02253333292901516, 0.023983333259820938, 0.025433333590626717, 0.024605555459856987, 0.023777777329087257]",[0.         0.00030012 0.00058392 0.00076197 0.00093823],0.022584595,0.020275194,"[9.645198249816895, 8.861236763000488, 9.24154109954834, 8.870406341552734, 10.0]","[9.767478942871094, 8.765858840942382, 9.238639450073242, 8.663743209838866, 10.0]",0.9349812472548492,0.23861120440211206,0.2,0.24350809913036986,0.07515380646188771,0.07954986979166666,0.05,0.04815826746881283
7,0,1,0.21327162,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00408935546875, 0.00408935546875, 0.004425048828125, 0.0099334716796875, 0.01544189453125]","[0.005462646484375, 0.005462646484375, 0.00579833984375, 0.0113067626953125, 0.016815185546875]","[0.023777777329087257, 0.023777777329087257, 0.02445555478334427, 0.024577777832746506, 0.024700000882148743]",[0.00090628 0.00088051 0.00085938 0.00083945 0.0008244 ],0.02161157,0.019952018,"[9.411953353881836, 7.340002250671387, 7.357647323608399, 7.564920997619629, 6.821816062927247]","[9.333982467651367, 7.287357139587402, 7.351360511779785, 7.540688133239747, 7.185936737060547]",0.9177609097953108,0.2089305429762751,0.2,0.25,0.07575128869403572,0.08307907812499998,0.05,0.05
8,0,1,0.45899308,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01544189453125, 0.00787353515625, 0.00030517578125, 0.00030517578125, 0.00030517578125]","[0.016815185546875, 0.009246826171875, 0.001678466796875, 0.001678466796875, 0.001678466796875]","[0.024700000882148743, 0.022655555978417397, 0.02061111107468605, 0.02061111107468605, 0.02061111107468605]",[0.00080148 0.00077958 0.00076093 0.00074613 0.00073363],0.020808367,0.019735428,"[7.892773056030274, 8.845351219177246, 8.521363258361816, 9.353863143920899, 9.25439510345459]","[7.968045997619629, 8.636229324340821, 8.489299774169922, 9.270650863647461, 9.190023803710938]",0.9435097350742853,0.22894887554691615,0.2,0.25,0.07575128869403572,0.08880957083333334,0.05,0.05
9,0,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[1.52587890625e-05, 1.52587890625e-05, 0.000274658203125, 0.0005340576171875, 0.0007171630859375]","[0.0013885498046875, 0.0013885498046875, 0.00164794921875, 0.0019073486328125, 0.0020904541015625]","[0.018977778032422066, 0.018977778032422066, 0.020988889038562775, 0.023000000044703484, 0.0213222224265337]",[0.00071542 0.00069915 0.00068688 0.00067504 0.00066663],0.01966585,0.019669086,"[7.574817276000977, 8.500312423706054, 6.286993598937989, 6.894452285766602, 7.118537902832031]","[7.663056373596191, 8.354819107055663, 6.296678733825684, 6.974159240722656, 7.092705726623535]",0.9121482646848061,0.20056142422845552,0.2,0.25,0.07719649149801724,0.08439034895833335,0.05,0.05
10,1,1,0.87014484,"[10.0, 10.0]",[0.    0.    0.    0.024 0.   ],[0.         0.         0.         0.00417553 0.        ],[0. 0. 0. 0. 0.],"[0.0007171630859375, 0.0021514892578125, 0.0035858154296875, 0.00279998779296875, 0.00201416015625]","[0.0020904541015625, 0.0035247802734375, 0.0049591064453125, 0.00417327880859375, 0.003387451171875]","[0.0213222224265337, 0.021016666665673256, 0.020711110904812813, 0.02056666649878025, 0.02042222209274769]",[0.00065184 0.00063602 0.0006209  0.00090689 0.00118859],0.018765163,0.019463079,"[7.257017707824708, 10.0, 9.487215423583985, 10.0, 10.0]","[7.441916465759277, 10.0, 9.534310150146485, 10.0, 10.0]",0.93932585299754,0.23904447738178614,0.2,0.244,0.07871881373398351,0.07839766770833334,0.05,0.04916489417343701
