step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[2.0321170330047607, 2.802493953704834]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[5.7656827e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.016981124877929688, 0.029672622680664062, 0.007883071899414062, 0.011387125588953495, 0.01785888709127903]","[0.04081535339355469, 0.05350685119628906, 0.03171730041503906, 0.03522135317325592, 0.04169311374425888]","[0.027577778324484825, 0.02420416660606861, 0.029618054628372192, 0.02788296341896057, 0.03701333329081535]",[0. 0. 0. 0. 0.],0.040645503,0.017717639,"[2.224420118331909, 2.1620764255523683, 2.372852277755737, 2.2488908767700195, 4.158474922180176]","[2.2399098396301267, 2.156590127944946, 2.302105617523193, 2.2201437473297116, 4.064546966552735]",0.8006237512393122,0.08407178636203255,0.2,0.25,0.06712853314296222,0.1,0.04942343173431735,0.05
2,0,1,-0.46042657,"[2.8267539978027343, 3.2592748641967773]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0004119873046875, 0.0063018798828125, 0.0063018798828125, 0.0063018798828125, 0.0]","[0.023834228515625, 0.02972412109375, 0.02972412109375, 0.02972412109375, 0.0234222412109375]","[0.04067777842283249, 0.03706666827201843, 0.03706666827201843, 0.03706666827201843, 0.028233332559466362]",[0. 0. 0. 0. 0.],0.03941931,0.01732531,"[8.032922554016112, 5.032075119018555, 3.3303555488586425, 3.1830801010131835, 3.645641994476318]","[7.29146785736084, 4.621740913391114, 3.3268470764160156, 3.1812599182128904, 3.6444540977478024]",0.8353127479587292,0.14129572757804265,0.2,0.25,0.06496985425221427,0.07904716612847223,0.05,0.05
3,0,1,-0.918053,"[3.298132991790771, 3.8197918891906735]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0182647705078125, 0.0207061767578125, 0.0207061767578125, 0.0207061767578125, 0.0]","[0.0234222412109375, 0.0258636474609375, 0.0258636474609375, 0.0258636474609375, 0.005157470703125]","[0.028233332559466362, 0.02675555646419525, 0.02675555646419525, 0.02675555646419525, 0.017622223123908043]",[0. 0. 0. 0. 0.],0.03786573,0.017281946,"[2.4295320034027097, 1.0177244663238525, 1.0946769714355469, 0.9272349953651429, 0.8490729928016663]","[2.3443045616149902, 1.0180135011672973, 1.0939929723739623, 0.9273255109786988, 0.8497950077056885]",0.7237080246054504,0.03593468319782243,0.2,0.25,0.0729938278659612,0.06477951354166667,0.05,0.05
4,0,1,-0.96694475,"[3.85256290435791, 4.4595160484313965]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0, 0.0, 2.288818359375e-05, 4.57763671875e-05, 4.57763671875e-05]","[0.005157470703125, 0.005157470703125, 0.00518035888671875, 0.0052032470703125, 0.0052032470703125]","[0.017622223123908043, 0.017622223123908043, 0.019894445315003395, 0.022166667506098747, 0.022166667506098747]",[0. 0. 0. 0. 0.],0.035036966,0.018901959,"[0.8137160062789917, 0.6493169963359833, 0.6463470041751862, 0.592832499742508, 0.5506490051746369]","[0.8132465124130249, 0.6498924911022186, 0.6460884928703308, 0.593659496307373, 0.5495920002460479]",0.738907657015676,0.010968179826041556,0.2,0.25,0.07793947718963429,0.1,0.05,0.05
5,0,1,0.6265404,"[4.508170890808105, 5.162084865570068]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0001068115234375, 0.0001678466796875, 0.0001678466796875, 0.000823974609375, 0.000823974609375]","[0.0052642822265625, 0.0053253173828125, 0.0053253173828125, 0.0059814453125, 0.0059814453125]","[0.02276666648685932, 0.023366667330265045, 0.023366667330265045, 0.024944445118308067, 0.024944445118308067]",[0. 0. 0. 0. 0.],0.032686893,0.01981554,"[3.039285945892334, 7.867239570617675, 8.491811180114746, 8.090037727355957, 8.71200008392334]","[2.9849551200866697, 7.8073772430419925, 8.481635093688965, 8.045952224731446, 8.690106964111328]",0.8567692054717251,0.19985935198291466,0.2,0.25,0.07555050557214367,0.03135934791666667,0.05,0.05
6,0,1,0.8255112,"[5.20597095489502, 6.059165191650391]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.000823974609375, 0.0030975341796875, 0.0030975341796875, 0.0030975341796875, 0.0030975341796875]","[0.0059814453125, 0.0082550048828125, 0.0082550048828125, 0.0082550048828125, 0.0082550048828125]","[0.024944445118308067, 0.02347777783870697, 0.02347777783870697, 0.02347777783870697, 0.02347777783870697]",[0. 0. 0. 0. 0.],0.030847268,0.020155542,"[9.403765678405762, 9.916165733337403, 10.0, 9.834133911132813, 9.746853828430176]","[9.344945907592773, 9.888752555847168, 10.0, 9.832950592041016, 9.731337928771973]",0.9454460969232205,0.24635505905941,0.2,0.25,0.07555050557214367,0.07354053229166667,0.05,0.05
7,0,1,0.21327162,"[6.108326148986817, 7.076106071472168]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0004730224609375, 0.0004730224609375, 0.00023651123046875, 0.0, 0.0]","[0.001861572265625, 0.001861572265625, 0.00162506103515625, 0.0013885498046875, 0.0013885498046875]","[0.020055554807186127, 0.020055554807186127, 0.021533332765102386, 0.023011110723018646, 0.023011110723018646]",[0. 0. 0. 0. 0.],0.028841441,0.020805728,"[9.457856178283691, 7.752215576171875, 7.207044219970704, 6.688461494445801, 6.715283012390137]","[9.444047164916991, 7.729032135009765, 7.025082588195801, 6.678002738952637, 6.70798511505127]",0.9103990685359515,0.20629577525397633,0.2,0.25,0.07718674849030843,0.07691654479166668,0.05,0.05
8,0,1,0.45899308,"[7.140658760070801, 8.287293815612793]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.004730224609375, 0.004730224609375, 0.004730224609375, 0.0004425048828125, 0.0004425048828125]","[0.0061187744140625, 0.0061187744140625, 0.0061187744140625, 0.0018310546875, 0.0018310546875]","[0.018611110746860504, 0.018611110746860504, 0.018611110746860504, 0.01693333312869072, 0.01693333312869072]",[0. 0. 0. 0. 0.],0.027288819,0.020985737,"[7.775908279418945, 7.77211971282959, 8.22178382873535, 7.749446105957031, 7.061308860778809]","[7.605037117004395, 7.780373191833496, 8.134975814819336, 7.723830795288086, 7.113455009460449]",0.940697924736528,0.2092571392792948,0.2,0.25,0.08144078545723327,0.1,0.05,0.05
9,0,1,0.087249994,"[8.410012817382812, 9.569325065612793]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.014801025390625, 0.014801025390625, 0.013153076171875, 0.013153076171875, 0.013153076171875]","[0.0161895751953125, 0.0161895751953125, 0.0145416259765625, 0.0145416259765625, 0.0145416259765625]","[0.02593333274126053, 0.02593333274126053, 0.018744444474577904, 0.018744444474577904, 0.018744444474577904]",[0. 0. 0. 0. 0.],0.02664432,0.02058887,"[7.412921714782715, 6.881784820556641, 6.400304412841797, 6.467239189147949, 6.309403991699219]","[7.162060928344727, 6.6736242294311525, 6.397688293457032, 6.472276878356934, 6.315394973754883]",0.8976676318165444,0.18863202412687355,0.19492463807801944,0.25,0.07475453836165136,0.08935643125,0.05,0.05
10,1,1,0.87014484,"[9.643997192382812, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0176239013671875, 0.0176239013671875, 0.0176239013671875, 0.0133209228515625, 0.0133209228515625]","[0.019012451171875, 0.019012451171875, 0.019012451171875, 0.01470947265625, 0.01470947265625]","[0.016466666013002396, 0.016466666013002396, 0.016466666013002396, 0.020999999716877937, 0.020999999716877937]",[0. 0. 0. 0. 0.],0.026124602,0.020106692,"[7.0576427459716795, 9.507399368286134, 9.858997344970703, 10.0, 9.326922035217285]","[7.058457565307617, 9.514419746398925, 9.893156242370605, 9.765127754211425, 9.280243873596191]",0.9390462156414223,0.23560428427149194,0.2,0.25,0.07902382303659697,0.07441810833333333,0.05,0.05
11,1,1,0.50319004,"[10.0, 6.281466102600098]",[0.         0.         0.         0.05889571 0.01803922],[0.         0.         0.0010101  0.00321941 0.00106667],[0.         0.         0.         0.         0.00053333],"[0.03880004957318306, 0.0389556884765625, 0.012969970703125, 0.01784057542681694, 0.02802124060690403]","[0.04018859937787056, 0.04034423828125, 0.0143585205078125, 0.01922912523150444, 0.02940979041159153]","[0.022477777674794197, 0.024877777323126793, 0.015133333392441273, 0.02443999983370304, 0.02949555590748787]",[0.         0.         0.         0.00318419 0.00438204],0.026479198,0.019151818,"[9.513447570800782, 10.0, 9.463525581359864, 9.675778007507324, 8.325270462036132]","[9.458278465270997, 9.952884101867676, 9.415281867980957, 9.7884090423584, 8.07365493774414]",0.9237675489558669,0.23984736823767497,0.1874717762706044,0.23076626969806327,0.07207470282660859,0.1,0.04466666666666667,0.04894076525624913
12,1,1,-0.6134226,"[6.286223983764649, 6.650840187072754]",[0.         0.08058608 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02984619140625, 0.0500895194709301, 0.060211181640625, 0.0442047119140625, 0.0281982421875]","[0.0312347412109375, 0.0514780692756176, 0.0615997314453125, 0.04559326171875, 0.0295867919921875]","[0.030322222039103508, 0.03562592715024948, 0.03827777877449989, 0.03311111032962799, 0.027944443747401237]",[0.00457822 0.00503861 0.00528339 0.00524574 0.00522078],0.027530473,0.019375354,"[6.98227481842041, 6.148069763183594, 2.790154504776001, 2.787488031387329, 2.5494829654693603]","[7.092342948913575, 5.834596633911133, 2.798545455932617, 2.738752508163452, 2.582679557800293]",0.7503494378969221,0.13108892282797632,0.17662351313325547,0.22985347985347984,0.06636800465165484,0.04641551743055557,0.05,0.05
