step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.065929794311524, 0.4]",[0.         0.         0.         0.         0.22054921],[0.00162715 0.00113379 0.         0.01624603 0.08779562],[2.3494033e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.6130877e-04],"[0.0201390590518713, 0.007762908935546875, 0.0033888383768498898, 0.024426547810435295, 0.29035672545433044]","[0.03266652300953865, 0.020290374755859375, 0.015916304662823677, 0.036954011768102646, 0.30288419127464294]","[0.0335925929248333, 0.03163055703043938, 0.02754141390323639, 0.03748383745551109, 0.03688686713576317]",[0.         0.         0.         0.         0.04745556],0.0798032,0.10973061,"[6.966447067260742, 6.595853614807129, 6.320708465576172, 6.4230340957641605, 5.720739364624023]","[6.997239112854004, 6.333902931213379, 6.325760459899903, 7.838086891174316, 10.0]",0.6337272249824314,0.07299056851949627,0.1990304590982684,0.194862698014668,0.06684349934999874,0.1,0.0,0.0,
2,0,1,-0.46042657,"[0.4, 0.4062979999929667]",[0.        0.        0.4118388 0.        0.       ],[0.03629032 0.04142897 0.0547235  0.04929578 0.0212766 ],[0. 0. 0. 0. 0.],"[0.303192138671875, 0.303192138671875, 0.28167724609375, 0.28167724609375, 0.28167724609375]","[0.3157196044921875, 0.3157196044921875, 0.2942047119140625, 0.2942047119140625, 0.2942047119140625]","[0.03733333200216293, 0.03733333200216293, 0.04445555433630943, 0.04445555433630943, 0.04445555433630943]",[0.09966954 0.09748628 0.13216248 0.13037874 0.12852475],0.107515074,0.1266678,"[6.833184051513672, 6.796002197265625, 6.7859954833984375, 5.820448875427246, 6.776607894897461]","[10.0, 10.0, 10.0, 10.0, 10.0]",0.4345923490031189,0.0746764621823186,0.0,0.14704030226700252,0.06287558455379773,0.1,0.05,0.0,
3,0,1,-0.918053,"[0.4, 0.4410000011324883]",[0.         0.         0.36458334 0.         0.        ],[0.16666667 0.09421898 0.09370629 0.04708995 0.04      ],[0.         0.         0.00769231 0.01428571 0.        ],"[0.299591064453125, 0.299591064453125, 0.2797698974609375, 0.2797698974609375, 0.2797698974609375]","[0.3121185302734375, 0.3121185302734375, 0.29229736328125, 0.29229736328125, 0.29229736328125]","[0.04022222384810448, 0.04022222384810448, 0.03526666760444641, 0.03526666760444641, 0.03526666760444641]",[0.14896509 0.14689629 0.15392926 0.15304288 0.15271619],0.13106,0.13456926,"[5.465076065063477, 5.870921325683594, 6.062533187866211, 4.5477748870849615, 1.1509399890899659]","[10.0, 10.0, 10.0, 7.342866706848144, 0.9869579911231995]",0.4776907381912563,0.056259958879452066,0.11800192755621837,0.15885416666666669,0.06523092050558588,0.07934376458333334,0.0,0.0,
4,0,1,-0.96694475,"[0.4630499988794327, 0.5772720038890838]",[0. 0. 0. 0. 0.],[0.01724138 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.2333221435546875, 0.2333221435546875, 0.1421966552734375, 0.149017333984375, 0.1558380126953125]","[0.245849609375, 0.245849609375, 0.15472412109375, 0.1615447998046875, 0.168365478515625]","[0.033177778124809265, 0.033177778124809265, 0.034211110323667526, 0.03364444524049759, 0.033077776432037354]",[0.15388857 0.15351689 0.15318476 0.15289168 0.15267467],0.1383463,0.1295414,"[0.9020395040512085, 0.9530914902687073, 0.7156690001487732, 0.7414914846420289, 0.4970760017633438]","[0.8533849835395813, 0.9140894889831543, 0.614788007736206, 0.7542320132255554, 0.4967429965734482]",0.6677316675309736,0.006275966053275134,0.2,0.25,0.06888015995470985,0.059816920833333335,0.05,0.032758620689655175,
5,1,1,0.6265404,"[0.5872189939022064, 0.5521750032901764]",[0.         0.         0.         0.         0.19614148],[0.00217391 0.         0.00636943 0.00746269 0.004     ],[0. 0. 0. 0. 0.],"[0.1538238525390625, 0.1518096923828125, 0.1518096923828125, 0.1518096923828125, 0.1553955078125]","[0.166351318359375, 0.164337158203125, 0.164337158203125, 0.164337158203125, 0.1679229736328125]","[0.03191666677594185, 0.030755555257201195, 0.030755555257201195, 0.030755555257201195, 0.03475555405020714]",[0.14963387 0.14757559 0.14636315 0.14433894 0.14515719],0.14018404,0.12528612,"[6.590350723266602, 8.300210762023925, 6.736030006408692, 7.867339134216309, 9.342047119140625]","[6.644864082336426, 8.797564125061035, 7.25224609375, 8.520012855529785, 8.149821090698241]",0.6606166674125111,0.08409796534788126,0.2,0.20096463022508038,0.06853220341011748,0.027027894791666663,0.05,0.029993973637765205,
6,1,1,0.8255112,"[0.5245659977197648, 0.5709100008010864]",[0.123175   0.         0.05451714 0.         0.        ],[0.00766471 0.00152207 0.00096899 0.         0.        ],[0.00016308 0.         0.         0.         0.        ],"[0.06573486328125, 0.0312652587890625, 0.0363413505256176, 0.0464935302734375, 0.0419769287109375]","[0.0782623291015625, 0.043792724609375, 0.0488688163459301, 0.05902099609375, 0.05450439453125]","[0.03844444453716278, 0.03332222253084183, 0.03370000049471855, 0.034455556422472, 0.034155555069446564]",[0.1617568  0.16828986 0.16413619 0.16001195 0.15646629],0.12888566,0.12047236,"[6.959767150878906, 9.812367820739746, 9.983621788024902, 9.957167625427246, 8.75587272644043]","[8.099233627319336, 9.850514984130859, 9.755356216430664, 9.692402267456055, 8.721370506286622]",0.7254112914477104,0.09384732466861913,0.2,0.2055769677961183,0.0662690382915373,0.08618162569444446,0.033692106979778216,0.039844228017213046,
7,1,1,0.21327162,"[0.5776719927787781, 0.6685710012912751]",[0.         0.04255319 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0419769287109375, 0.03265380859375, 0.0233306884765625, 0.0233306884765625, 0.0233306884765625]","[0.05450439453125, 0.0451812744140625, 0.035858154296875, 0.035858154296875, 0.035858154296875]","[0.034155555069446564, 0.03290555626153946, 0.031655553728342056, 0.031655553728342056, 0.031655553728342056]",[0.15179853 0.15009843 0.14815506 0.14689246 0.14579114],0.122684926,0.118188284,"[8.872640800476074, 7.787512588500976, 7.358988571166992, 6.887764930725098, 7.183841896057129]","[8.813774108886719, 7.582409858703613, 7.231997489929199, 6.939029884338379, 7.740634155273438]",0.7758473851507386,0.08294073301696707,0.2,0.2393617021276596,0.06891588472833396,0.08462906527777779,0.05,0.05,
8,1,1,0.45899308,"[0.6739950001239776, 0.7802339911460876]",[0.         0.         0.00769231 0.         0.        ],[0.00268817 0.         0.00710867 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0225677490234375, 0.0225677490234375, 0.03582763671875, 0.03582763671875, 0.03582763671875]","[0.03509521484375, 0.03509521484375, 0.0483551025390625, 0.0483551025390625, 0.0483551025390625]","[0.029111111536622047, 0.029111111536622047, 0.03033333271741867, 0.03033333271741867, 0.03033333271741867]",[0.1427642  0.14096409 0.13916011 0.1377344  0.13686667],0.117242254,0.11594561,"[8.707699966430663, 8.245331764221191, 8.141303253173827, 9.044648933410645, 8.093480110168457]","[8.555395126342773, 8.30557689666748, 7.903310775756836, 8.977145957946778, 7.854718017578125]",0.7989700298687388,0.08920894952094076,0.2,0.24807692307692308,0.07148100048505675,0.1,0.05,0.040203156785818074,
9,1,1,0.087249994,"[0.7889890074729919, 0.9168059945106506]",[0.         0.         0.00310559 0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0340576171875, 0.0340576171875, 0.00555419921875, 0.00555419921875, 0.00555419921875]","[0.0465850830078125, 0.0465850830078125, 0.0180816650390625, 0.0180816650390625, 0.0180816650390625]","[0.03253333270549774, 0.03253333270549774, 0.03171111270785332, 0.03171111270785332, 0.03171111270785332]",[0.13432051 0.1331124  0.1318027  0.13089836 0.13033175],0.11189366,0.114170425,"[7.531485366821289, 4.976764392852783, 7.787494850158692, 6.780228233337403, 6.619962882995606]","[7.382011222839355, 5.203652954101563, 7.6261800765991214, 6.933037185668946, 6.521797180175781]",0.7772465915027496,0.07582963634947132,0.2,0.24922360248447206,0.06997778600213947,0.08221556666666667,0.05,0.05,
10,2,1,0.87014484,"[0.9275219917297364, 1.0718279838562013]",[0.        0.        0.        0.        0.0562249],[0.         0.         0.         0.00393701 0.        ],[0. 0. 0. 0. 0.],"[0.0132598876953125, 0.0132598876953125, 0.0132598876953125, 0.0132598876953125, 0.0370330810546875]","[0.025787353515625, 0.025787353515625, 0.025787353515625, 0.025787353515625, 0.049560546875]","[0.03240000084042549, 0.03240000084042549, 0.03240000084042549, 0.03240000084042549, 0.036488890647888184]",[0.12718682 0.12572542 0.12403007 0.1226474  0.12215926],0.106967166,0.11247846,"[9.28086986541748, 8.797404479980468, 9.822404861450195, 10.0, 10.0]","[9.16430435180664, 8.702646255493164, 9.925123596191407, 10.0, 10.0]",0.7670591687705541,0.09719643214445813,0.2,0.2359437751004016,0.06744918502471013,0.07040678437500002,0.05,0.046062992125984255,
