step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.0645301818847654, 9.655018997192382]",[0. 0. 0. 0. 0.],[0.00136319 0.00079745 0.00135175 0.         0.00082645],[2.7112763e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.0028631037566810846, 0.0054751308634877205, 0.011826948262751102, 0.02260284498333931, 0.0462188720703125]","[0.01647394336760044, 0.019085971638560295, 0.025437789037823677, 0.03621368482708931, 0.0598297119140625]","[0.022939393296837807, 0.024539394304156303, 0.023471716791391373, 0.023082222789525986, 0.022038888186216354]",[0. 0. 0. 0. 0.],0.030781295,0.015765207,"[7.327451515197754, 6.406646728515625, 6.621494102478027, 6.988645744323731, 6.80085391998291]","[7.139788436889648, 6.271637916564941, 6.5644727706909185, 6.8498529434204105, 6.792205047607422]",0.9099706407556754,0.19145010260643383,0.1996865381466586,0.25,0.07588411814642149,0.1,0.04728872380229374,0.04566115805386774,
2,0,1,-0.46042657,"[9.734854125976563, 3.091359996795654]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0427398681640625, 0.0427398681640625, 0.0286102294921875, 0.0286102294921875, 0.0286102294921875]","[0.0563507080078125, 0.0563507080078125, 0.0422210693359375, 0.0422210693359375, 0.0422210693359375]","[0.021577777341008186, 0.021577777341008186, 0.0201666671782732, 0.0201666671782732, 0.0201666671782732]",[0. 0. 0. 0. 0.],0.033353496,0.016080456,"[6.192679405212402, 2.8990800857543944, 3.4295114517211913, 3.7508303642272947, 3.7984910011291504]","[6.025323867797852, 2.828789901733398, 3.455996513366699, 3.532717418670654, 3.7686579704284666]",0.8001547525020705,0.12472106061374452,0.17627558151647843,0.25,0.07847998347790804,0.0706781268939394,0.05,0.05,
3,0,1,-0.918053,"[3.118360900878906, 3.652674102783203]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0497283935546875, 0.0497283935546875, 0.04180145263671875, 0.03387451171875, 0.03387451171875]","[0.0633392333984375, 0.0633392333984375, 0.05541229248046875, 0.0474853515625, 0.0474853515625]","[0.022688888013362885, 0.022688888013362885, 0.025905555114150047, 0.02912222221493721, 0.02912222221493721]",[0. 0. 0. 0. 0.],0.036100987,0.01715412,"[1.1094374895095824, 1.0956244707107543, 0.9635030031204224, 0.7418319821357727, 0.994513988494873]","[1.1574259996414185, 1.068798017501831, 0.9714075088500976, 0.7273960113525391, 0.9831409931182862]",0.698285604630751,0.024732419509186983,0.1828049795968192,0.25,0.07234337531641129,0.06840483020833332,0.05,0.05,
4,0,1,-0.96694475,"[3.682592964172363, 4.2382330894470215]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.022705078125, 0.022705078125, 0.0357513427734375, 0.0357513427734375, 0.0247650146484375]","[0.03631591796875, 0.03631591796875, 0.0493621826171875, 0.0493621826171875, 0.0383758544921875]","[0.025255555287003517, 0.025255555287003517, 0.021711111068725586, 0.021711111068725586, 0.017033332958817482]",[0. 0. 0. 0. 0.],0.03648614,0.016492471,"[0.6709914982318879, 0.6364759922027587, 0.6752159953117371, 0.8197420001029969, 0.40158999995328487]","[0.6638514935970307, 0.5190340042114258, 0.658597993850708, 0.7860009908676148, 0.406631999835372]",0.7358467752700716,0.01054945168826999,0.2,0.25,0.07529732358180147,0.1,0.05,0.05,
5,1,1,0.6265404,"[4.290744018554688, 4.619581985473633]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00249377],[0. 0. 0. 0. 0.],"[0.0299530029296875, 0.0351409912109375, 0.0351409912109375, 0.0351409912109375, 0.0247650146484375]","[0.0435638427734375, 0.0487518310546875, 0.0487518310546875, 0.0487518310546875, 0.0383758544921875]","[0.018594443798065186, 0.02015555463731289, 0.02015555463731289, 0.02015555463731289, 0.03172222152352333]",[0. 0. 0. 0. 0.],0.037261236,0.01605535,"[3.7566059112548826, 7.759734344482422, 9.412094116210938, 8.422790718078613, 10.0]","[3.74606761932373, 7.775060844421387, 9.393689727783203, 7.851016998291016, 10.0]",0.8470668746224373,0.21222577685633387,0.19211847214471728,0.25,0.07052307870742114,0.024693312499999998,0.05,0.04750623441396509,
6,1,1,0.8255112,"[4.667468929290772, 4.33794002532959]",[0.20041864 0.         0.         0.         0.1079235 ],[0.00664567 0.         0.         0.00271003 0.0053822 ],[0.         0.         0.         0.002574   0.00181159],"[0.0089111328125, 0.00604248046875, 0.024932861328125, 0.027313232421875, 0.03073628805577755]","[0.02252197265625, 0.0196533203125, 0.038543701171875, 0.040924072265625, 0.0443471260368824]","[0.04314814880490303, 0.04187777638435364, 0.03204444423317909, 0.025162963196635246, 0.027051851153373718]",[0.03849116 0.04342651 0.04214664 0.04070329 0.04045317],0.0366456,0.015566647,"[9.189056205749512, 9.51722011566162, 9.162587738037109, 9.49525203704834, 9.663547706604003]","[9.02778205871582, 9.362633323669433, 9.169751167297363, 9.486966514587403, 10.0]",0.7957882436153522,0.24001752093311557,0.2,0.1729144684355457,0.06358673420405792,0.08400741979166668,0.0,0.035262100250966225,
7,1,1,0.21327162,"[4.554837036132812, 6.033139038085937]",[0. 0. 0. 0. 0.],[0.        0.        0.0025641 0.        0.       ],[0. 0. 0. 0. 0.],"[0.0147857666015625, 0.0143280029296875, 0.019744873046875, 0.0251617431640625, 0.0251617431640625]","[0.0283966064453125, 0.0279388427734375, 0.033355712890625, 0.0387725830078125, 0.0387725830078125]","[0.025894444435834885, 0.02378888800740242, 0.02665555477142334, 0.02952222153544426, 0.02952222153544426]",[0.04097659 0.04036844 0.03983411 0.03948819 0.03917204],0.036306933,0.015086964,"[8.024504852294921, 6.460182762145997, 7.699431991577148, 7.261593055725098, 7.449040985107422]","[7.627169418334961, 6.342389297485352, 7.626890182495117, 6.171038055419922, 7.813569068908691]",0.9010189549113405,0.20263767690395587,0.2,0.25,0.07205561077982041,0.07888976979166668,0.05,0.047435897435897434,
8,1,1,0.45899308,"[6.086771774291992, 6.750855255126953]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0, 0.0, 0.00128936767578125, 0.0025787353515625, 0.0025787353515625]","[0.0036773681640625, 0.0036773681640625, 0.00496673583984375, 0.006256103515625, 0.006256103515625]","[0.02879999950528145, 0.02879999950528145, 0.027233334258198738, 0.02566666714847088, 0.02566666714847088]",[0.03810061 0.03759558 0.03714176 0.03661787 0.0364105 ],0.03410432,0.01663669,"[9.03232192993164, 8.846721076965332, 7.727650833129883, 10.0, 5.849686813354492]","[9.179817390441894, 7.94676456451416, 8.026729011535645, 10.0, 5.948281097412109]",0.9427371873728566,0.2201598057744608,0.2,0.25,0.07257738159839582,0.1,0.05,0.05,
9,1,1,0.087249994,"[6.822410011291504, 7.894820976257324]",[0. 0. 0. 0. 0.],[0.         0.00961538 0.00413223 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0239715576171875, 0.0239715576171875, 0.012664794921875, 0.012664794921875, 0.012664794921875]","[0.02764892578125, 0.02764892578125, 0.0163421630859375, 0.0163421630859375, 0.0163421630859375]","[0.029244445264339447, 0.029244445264339447, 0.02871111035346985, 0.02871111035346985, 0.02871111035346985]",[0.03557035 0.0352438  0.03488332 0.03476362 0.03458621],0.033455897,0.01641958,"[7.335960769653321, 5.230261039733887, 8.04256477355957, 10.0, 6.499579048156739]","[7.23942928314209, 5.423440742492676, 8.06212272644043, 9.748205947875977, 6.5209760665893555]",0.9023910964068341,0.20348620043107554,0.1903973813916816,0.25,0.07225513060442025,0.1,0.05,0.03625238397965671,
10,2,1,0.87014484,"[7.988946914672852, 6.824282836914063]",[0. 0. 0. 0. 0.],[0.00174825 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.03679656982421875, 0.0609283447265625, 0.0609283447265625, 0.0609283447265625, 0.0609283447265625]","[0.04047393798828125, 0.064605712890625, 0.064605712890625, 0.064605712890625, 0.064605712890625]","[0.027427777647972107, 0.026144444942474365, 0.026144444942474365, 0.026144444942474365, 0.026144444942474365]",[0.03378889 0.03318654 0.03272978 0.03241444 0.03211039],0.03500155,0.017467773,"[9.245500755310058, 9.778723335266113, 10.0, 10.0, 10.0]","[8.949519920349122, 9.592919921875, 10.0, 10.0, 10.0]",0.8924874257879442,0.24676663856646824,0.1486966059758113,0.25,0.07359713820224954,0.07517529479166668,0.05,0.04825174825174825,
