train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,time/time_elapsed,train/std,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,train/actor_loss
0.0007,0.3860671267611906,200,50.0,0.9398577064275742,-0.10151535668410361,604,0.3676398992538452,128,38.553276749999995,4,0,-2.2677008686587214
0.0007,0.12102641601813957,400,50.0,0.8208219176158309,-0.32443764340132475,1253,0.36766666173934937,320,38.834247749999996,8,0,-5.86169995367527
0.0007,0.26430098863784224,600,50.0,0.7176480609923601,-0.5399315181421116,1894,0.36761531233787537,512,38.97202408333333,12,0,-9.720372900366783
0.0007,0.2770530958659947,800,50.0,0.6273784125223756,-0.7782605811953545,2546,0.36761608719825745,704,39.2103775625,16,0,-12.646930262446404
0.0007,0.30852472060360014,1000,50.0,0.5491114901378751,-1.0051465202122927,3186,0.36762869358062744,896,39.6684417,20,0,-15.430051058530807
0.0007,0.30996787920594215,1200,50.0,0.4803943131119013,-1.226335123181343,3796,0.36759093403816223,1088,39.210140208333335,24,0,-18.08171397447586
0.0007,0.4308067890815437,1400,50.0,0.4204902411438525,-1.4260199032723904,4428,0.3675658702850342,1280,39.496855249999996,28,0,-20.26397877931595
0.0007,0.49254676094278693,1600,50.0,0.36754477862268686,-1.680549663491547,5042,0.3675846755504608,1472,39.58711871875,32,0,-22.2737355530262
0.0007,0.46719138277694583,1800,50.0,0.3069209340028465,-2.0029159146361053,5700,0.36761274933815,1728,39.48584622222222,36,0,-24.516522645950317
0.0007,0.3381318290485069,2000,50.0,0.2682225280441344,-2.1814285032451153,6314,0.3675570785999298,1920,40.011698375,40,0,-26.074397325515747
0.0007,0.27880956046283245,2200,50.0,0.2351670500356704,-2.3804462663829327,6939,0.3675262928009033,2112,40.458794363636365,44,0,-27.37344118952751
0.0007,0.2913252650760114,2400,50.0,0.20629801996983588,-2.7138205897063017,7563,0.3675292134284973,2304,40.482870291666664,48,0,-28.454637795686722
0.0007,0.24640368414111435,2600,50.0,0.180559738073498,-2.7898696810007095,8182,0.36749690771102905,2496,40.43507223076923,52,0,-29.45901757478714
0.0007,0.18071536242496222,2800,50.0,0.15822378592565656,-2.987307734787464,8786,0.3675163686275482,2688,40.593449875,56,0,-30.452665150165558
0.0007,0.2019270530436188,3000,50.0,0.1390018411912024,-3.2152674682438374,9408,0.3675236999988556,2880,40.606750283333334,60,0,-31.23597028851509
0.0007,0.21916141966357827,3200,50.0,0.12216567352879792,-3.2937625236809254,10048,0.36755165457725525,3072,40.693334734375,64,0,-31.993351995944977
