train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/critic_loss,train/std,train/ent_coef,train/ent_coef_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/episodes
0.0007,128,38.2034595,0.13185686024371535,0.367682546377182,0.9351600371301174,-0.10785962984664366,0,621,50.0,-3.2951012775301933,200,4
0.0007,320,39.40320925,0.09301836954546161,0.3675673305988312,0.8171278471127152,-0.3253986840136349,0,1364,50.0,-7.318250730633736,400,8
0.0007,512,39.920589166666666,0.20040485973004252,0.3674207627773285,0.7146245744079351,-0.5571393151767552,0,2097,50.0,-10.956650167703629,600,12
0.0007,704,39.72234068750001,0.23730171646457165,0.36738020181655884,0.6233489066362381,-0.7921551698818803,0,2850,50.0,-14.279370591044426,800,16
0.0007,896,39.628395700000006,0.170346159953624,0.3672356605529785,0.54510563518852,-1.0141795314848423,0,3603,50.0,-17.190619349479675,1000,20
0.0007,1088,39.25708579166667,0.281966368900612,0.36719605326652527,0.47634768346324563,-1.2381843654438853,0,4346,50.0,-19.63170337677002,1200,24
0.0007,1280,39.15920328571429,0.24852369935251772,0.3670958876609802,0.4166641943156719,-1.4782241638749838,0,5094,50.0,-21.75519174337387,1400,28
0.0007,1472,39.2048379375,0.22071046940982342,0.3670167028903961,0.3643875443376601,-1.6398475151509047,0,5856,50.0,-23.461475670337677,1600,32
0.0007,1728,39.60900275000001,0.20000468438956887,0.36693820357322693,0.30595483537763357,-1.911651473492384,0,6715,50.0,-25.57764208316803,1800,36
0.0007,1920,39.7402906,0.17184012616053224,0.3667662739753723,0.2680593398399651,-2.189945474267006,0,7467,50.0,-26.88711577653885,2000,40
0.0007,2112,39.80415486363636,0.15440994245000184,0.366980642080307,0.2349522178992629,-2.3547152541577816,0,8209,50.0,-28.02016916871071,2200,44
0.0007,2304,39.832866083333336,0.1569256760412827,0.36673909425735474,0.20598628371953964,-2.4797627571970224,0,8960,50.0,-28.974019944667816,2400,48
0.0007,2496,39.95750140384616,0.13993180613033473,0.36661702394485474,0.18122364324517548,-2.6918667182326317,0,9679,50.0,-29.840657979249954,2600,52
0.0007,2688,40.070126964285706,0.16859634779393673,0.36640721559524536,0.15948451636359096,-2.8070156425237656,0,10429,50.0,-30.61659014225006,2800,56
0.0007,2880,40.16615875,0.12121931853471324,0.366153746843338,0.1404807863291353,-3.0803865455091,0,11184,50.0,-31.315049588680267,3000,60
0.0007,3072,40.068644203125,0.14870579401031137,0.3660852015018463,0.12382961448747665,-3.092289552092552,0,11947,50.0,-31.894136786460876,3200,64
0.0007,3328,40.070341176470585,0.1422900555189699,0.36534106731414795,0.1046478891512379,-3.2130544558167458,0,12797,50.0,-32.538595139980316,3400,68
0.0007,3520,40.25830104166667,0.1933544590137899,0.3653976023197174,0.09315174189396203,-3.1935830265283585,0,13504,50.0,-32.89772891998291,3600,72
0.0007,3712,40.43691361842106,0.15215370140504092,0.36498600244522095,0.08275204873643816,-3.24510801397264,0,14226,50.0,-33.375529170036316,3800,76
0.0007,3904,40.291011075,0.1826916568679735,0.3647731840610504,0.0741482877638191,-3.4136495031416416,0,14941,50.0,-33.761469662189484,4000,80
0.0007,4096,40.297282857142854,0.18790490995161235,0.3641851842403412,0.06634507817216218,-3.287683939561248,0,15660,50.0,-34.18229502439499,4200,84
0.0007,4288,40.308359159090905,0.15613291785120964,0.3642255365848541,0.05969704984454438,-3.0974882896989584,0,16380,50.0,-34.568865060806274,4400,88
0.0007,4480,40.37282018478261,0.1772587460000068,0.36392152309417725,0.05356223334092647,-2.856701487675309,0,17107,50.0,-34.91217511892319,4600,92
0.0007,4672,40.518951625,0.15024560946039855,0.3634965717792511,0.048105899593792856,-3.2354831639677286,0,17831,50.0,-35.276171922683716,4800,96
