time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/std,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed
4,0,200,50.0,128,-2.7265573274344206,0.3677730858325958,0.93503946531564,0.0007,-0.10763404238969088,0.1966156812850386,42.887675,620
8,0,400,50.0,320,-6.447041220963001,0.36766180396080017,0.8169484846293926,0.0007,-0.33268053631763905,0.10101973882410675,40.690991,1295
12,0,600,50.0,512,-9.811808183789253,0.36760377883911133,0.7142046904191375,0.0007,-0.5494971249718219,0.27866655035177246,41.713834999999996,1940
16,0,800,50.0,704,-12.907835006713867,0.36757245659828186,0.6247320482507348,0.0007,-0.788863368332386,0.13403981272131205,41.712856625,2572
20,0,1000,50.0,896,-15.636941134929657,0.36750176548957825,0.5454088412225246,0.0007,-1.0136826215311885,0.16250374936498702,41.8962748,3198
24,0,1200,50.0,1088,-17.972129076719284,0.3674606382846832,0.47602535551413894,0.0007,-1.2303337091580033,0.1940118180355057,41.705357541666665,3830
28,0,1400,50.0,1280,-20.049589037895203,0.36741676926612854,0.41605654917657375,0.0007,-1.4598885755985975,0.24052373634185642,41.406861,4458
32,0,1600,50.0,1472,-21.835552781820297,0.36747443675994873,0.364260742906481,0.0007,-1.6742806416004896,0.1858190015773289,41.71906071875,5080
36,0,1800,50.0,1728,-23.91044369339943,0.3674386143684387,0.30520322173833847,0.0007,-1.9963693702593446,0.174369408050552,41.43232169444445,5777
40,0,2000,50.0,1920,-25.231936663389206,0.3674260079860687,0.26738208485767245,0.0007,-2.200003784149885,0.18768237030599266,41.434596875,6405
44,0,2200,50.0,2112,-26.456019937992096,0.3673762083053589,0.23435815633274615,0.0007,-2.4429427050054073,0.17369202588452026,41.888096113636365,6998
48,0,2400,50.0,2304,-27.37053272128105,0.3673994541168213,0.2057383346837014,0.0007,-2.491277562454343,0.15647170518059283,42.04511477083333,7600
52,0,2600,50.0,2496,-28.290358781814575,0.36730048060417175,0.18059395090676844,0.0007,-2.672158394008875,0.13530162879033014,42.23107411538461,8206
56,0,2800,50.0,2688,-29.044930070638657,0.36720073223114014,0.15890897088684142,0.0007,-2.863709758967161,0.14553137146867812,42.398001660714286,8827
60,0,3000,50.0,2880,-29.815462291240692,0.3667924106121063,0.13969589909538627,0.0007,-3.1195933930575848,0.12283628422301263,42.597954933333334,9448
64,0,3200,50.0,3072,-30.522171199321747,0.3665386140346527,0.12319815147202462,0.0007,-3.1702156960964203,0.11963733431184664,42.456702421875,10057
68,0,3400,50.0,3328,-31.39249297976494,0.36622634530067444,0.10450045636389405,0.0007,-3.174206245690584,0.12557561113499105,42.48233508823529,10722
