step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.0780799865722654, 6.789499092102051]",[0.03143882 0.06900296 0.00402299 0.04178404 0.00583333],[0.00516541 0.0219315  0.00227443 0.00183209 0.00188305],[2.5951782e-05 5.0787203e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.03364146873354912, 0.14160433411598206, 0.14543303847312927, 0.04999084398150444, 0.02604827843606472]","[0.05683482810854912, 0.16479769349098206, 0.16862639784812927, 0.07318420708179474, 0.04924163967370987]","[0.04121414199471474, 0.04273131489753723, 0.03257555514574051, 0.03493555635213852, 0.034682221710681915]",[0.03184916 0.03172337 0.02636221 0.02853153 0.02643893],0.10285539,0.06240209,"[6.809499931335449, 7.6073202133178714, 8.010563659667968, 7.736078834533691, 7.6385900497436525]","[6.988619995117188, 7.862698554992676, 7.65877513885498, 7.4344480514526365, 7.3794958114624025]",0.7079987654076764,0.20622201290609674,0.2,0.12104683787175875,0.06381640530222951,0.1,0.0,0.01691350932759142,
2,0,1,-0.46042657,"[6.900652122497559, 3.4351390838623046]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02500152587890625, 0.0305023193359375, 0.0305023193359375, 0.02410888671875, 0.0177154541015625]","[0.04819488525390625, 0.0536956787109375, 0.0536956787109375, 0.04730224609375, 0.0409088134765625]","[0.035216666758060455, 0.03562222048640251, 0.03562222048640251, 0.03574444353580475, 0.035866666585206985]",[0.02440949 0.02408661 0.02375967 0.02345726 0.02321822],0.09500272,0.060668644,"[5.387155532836914, 3.3757754325866696, 4.06242151260376, 3.757003593444824, 4.120435905456543]","[5.198233604431152, 3.6352304458618163, 3.9195011138916014, 3.9055029869079587, 3.53776798248291]",0.8103434343134932,0.12813312791045375,0.2,0.25,0.06783376511516048,0.0643765412878788,0.05,0.05,
3,0,1,-0.918053,"[3.475825977325439, 4.0839461326599125]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.03448276 0.        ],[0. 0. 0. 0. 0.],"[0.0045013427734375, 0.00787353515625, 0.00787353515625, 0.00787353515625, 0.00787353515625]","[0.0276947021484375, 0.03106689453125, 0.03106689453125, 0.03106689453125, 0.03106689453125]","[0.03538889065384865, 0.035055555403232574, 0.035055555403232574, 0.035055555403232574, 0.035055555403232574]",[0.02284146 0.02275839 0.0226418  0.02257143 0.02252477],0.08749213,0.060698472,"[1.0723360300064086, 1.0493005037307739, 1.128372025489807, 1.0920660018920898, 1.0297369718551637]","[1.1664940118789673, 0.9983190059661865, 1.0995505094528197, 1.0860379695892335, 1.0205759763717652]",0.680198857759764,0.028488941496032563,0.2,0.25,0.06813221759275435,0.06806045729166667,0.05,0.015517241379310343,
4,0,1,-0.96694475,"[4.159118938446045, 4.757275867462158]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.043212890625, 0.043212890625, 0.0621490478515625, 0.09356689453125, 0.09356689453125]","[0.06640625, 0.06640625, 0.0853424072265625, 0.11676025390625, 0.11676025390625]","[0.029244445264339447, 0.029244445264339447, 0.02881111018359661, 0.0364111103117466, 0.0364111103117466]",[0.02241214 0.02233928 0.02227161 0.02220661 0.02218945],0.08710113,0.057851825,"[0.8538179993629456, 0.7190074920654297, 0.7489575028419495, 0.9789720177650452, 0.5794320046901703]","[0.907079017162323, 0.6990774989128112, 0.7157080173492432, 0.7920120000839234, 0.7198320031166077]",0.6722218504208852,0.01628444454795456,0.13844039718826098,0.25,0.0674970086846696,0.1,0.05,0.05,
5,1,1,0.6265404,"[4.8173298835754395, 1.9034289360046386]",[0. 0. 0. 0. 0.],[0.00297619 0.00223214 0.         0.00485437 0.0037037 ],[0. 0. 0. 0. 0.],"[0.0397796630859375, 0.0397796630859375, 0.0397796630859375, 0.0397796630859375, 0.0397796630859375]","[0.0629730224609375, 0.0629730224609375, 0.0629730224609375, 0.0629730224609375, 0.0629730224609375]","[0.03720000013709068, 0.03720000013709068, 0.03720000013709068, 0.03720000013709068, 0.03720000013709068]",[0.02141136 0.02085785 0.02039236 0.02012482 0.01978462],0.08509046,0.055788904,"[7.6793567657470705, 7.832772254943848, 7.843067932128906, 8.790488815307617, 8.526609802246094]","[8.494296264648437, 8.036018180847167, 8.00396499633789, 9.018873977661134, 9.008462715148926]",0.8438325708192861,0.21723404991830325,0.2,0.25,0.06701515499505872,0.023349771874999994,0.05,0.036233594030924125,
6,1,1,0.8255112,"[1.8082570075988769, 0.4523310020565987]",[0.07579462 0.12695035 0.19777164 0.         0.06978417],[0.01748081 0.01711709 0.03128513 0.00169492 0.00481663],[0.00024913 0.         0.0007874  0.         0.        ],"[0.210052490234375, 0.08431396633386612, 0.04505310207605362, 0.071685791015625, 0.084442138671875]","[0.233245849609375, 0.10750732570886612, 0.06824646145105362, 0.094879150390625, 0.107635498046875]","[0.06165555492043495, 0.0411333329975605, 0.041760001331567764, 0.03854444622993469, 0.03529111295938492]",[0.08768936 0.10478222 0.11471455 0.11587763 0.11302782],0.094894685,0.06640115,"[9.580051040649414, 9.859314918518066, 9.325056076049805, 9.008025550842286, 9.719921875]","[10.0, 9.929975318908692, 9.868224716186523, 9.31961498260498, 10.0]",0.0,0.24160474219462424,0.12696608109907673,0.000882043376513757,0.05454428284338458,0.08579151680555558,0.0,0.0,gcc 
7,1,1,0.21327162,"[0.47494699954986574, 0.583746999502182]",[0. 0. 0. 0. 0.],[0.        0.0025641 0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.0546417236328125, 0.0546417236328125, 0.0546417236328125, 0.066314697265625, 0.066314697265625]","[0.0778350830078125, 0.0778350830078125, 0.0778350830078125, 0.089508056640625, 0.089508056640625]","[0.03603333234786987, 0.03603333234786987, 0.03603333234786987, 0.03615555539727211, 0.03615555539727211]",[0.11141359 0.11027465 0.10896023 0.10815395 0.10742182],0.09393595,0.06422274,"[9.310759544372559, 7.492601203918457, 5.910033226013184, 7.375052070617676, 6.5145158767700195]","[9.156740379333495, 7.06745719909668, 5.771298217773437, 7.593839073181153, 6.351859855651855]",0.8938782024241394,0.20147392802124153,0.2,0.25,0.0676546414114448,0.07731373555555557,0.05,0.047435897435897434,
8,1,1,0.45899308,"[0.5909339964389801, 0.683500999212265]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0298919677734375, 0.0200042724609375, 0.0101165771484375, 0.0173492431640625, 0.0173492431640625]","[0.0530853271484375, 0.0431976318359375, 0.0333099365234375, 0.0405426025390625, 0.0405426025390625]","[0.029911112040281296, 0.02923888899385929, 0.028566665947437286, 0.026644444093108177, 0.026644444093108177]",[0.10558724 0.10432646 0.10297337 0.10186476 0.10131446],0.09067233,0.063439175,"[8.93827838897705, 8.77161922454834, 8.879853439331054, 6.877195167541504, 7.197598266601562]","[8.561791801452637, 8.615105247497558, 8.755491638183594, 6.902753829956055, 6.921201133728028]",0.9389836049439865,0.21720495226200864,0.2,0.25,0.0717786526819777,0.1,0.05,0.05,
9,1,1,0.087249994,"[0.6917559981346131, 0.7009389877319336]",[0.         0.12953368 0.         0.         0.24309392],[0.         0.01248951 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0173492431640625, 0.02281951904296875, 0.028289794921875, 0.028289794921875, 0.0083465576171875]","[0.0405426025390625, 0.04601287841796875, 0.051483154296875, 0.051483154296875, 0.0315399169921875]","[0.026644444093108177, 0.030433332547545433, 0.03422222286462784, 0.03422222286462784, 0.03811110928654671]",[0.09984103 0.09935883 0.09931066 0.09838197 0.09910282],0.087938905,0.062489893,"[7.298722839355469, 8.500418853759765, 7.671543312072754, 6.960813140869141, 7.458298110961914]","[6.117820739746094, 9.626723480224609, 6.377989006042481, 7.025388717651367, 8.51809024810791]",0.6767674226538418,0.20656594212693558,0.2,0.016223727922974794,0.06646726309344189,0.1,0.05,0.03751048951048951,
10,2,1,0.87014484,"[0.7128530025482178, 0.8148040175437927]",[0.15441176 0.         0.         0.         0.6732673 ],[0.0070922  0.00467381 0.00307482 0.00442478 0.03030303],[0. 0. 0. 0. 0.],"[0.006988525390625, 0.0056304931640625, 0.0056304931640625, 0.0056304931640625, 0.07196044921875]","[0.030181884765625, 0.0288238525390625, 0.0288238525390625, 0.0288238525390625, 0.09515380859375]","[0.03390555456280708, 0.02969999983906746, 0.02969999983906746, 0.02969999983906746, 0.03188888728618622]",[0.09802306 0.09777935 0.09609859 0.09519108 0.09820898],0.08509472,0.0620268,"[7.942878150939942, 9.79173526763916, 10.0, 7.337187004089356, 9.544055938720703]","[8.419075393676758, 10.0, 10.0, 8.085404014587402, 10.0]",0.0,0.23161399540481953,0.2,0.0,0.0690771569511757,0.08598737604166667,0.05,0.00043136763064652306,plr 
