step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[5.894735908508301, 8.043451118469237]",[0.00052549 0.         0.00055772 0.         0.        ],[4.8049202e-05 1.5612203e-03 1.3595273e-03 4.2283299e-04 5.3763442e-04],[2.40246e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00],"[0.01900690235197544, 0.030162464827299118, 0.03317815437912941, 0.07513844221830368, 0.02929382398724556]","[0.02646845020353794, 0.03762401267886162, 0.04063970223069191, 0.08259999006986618, 0.03675537183880806]","[0.02686767652630806, 0.0295050498098135, 0.02605353482067585, 0.024635354056954384, 0.028548888862133026]",[0.00482911 0.00345418 0.00279846 0.0022998  0.00197013],0.044966802,0.027380604,"[7.274041938781738, 7.1057594299316404, 7.100825881958008, 6.587912559509277, 6.507130432128906]","[7.117015838623047, 7.041468811035156, 6.889534187316895, 6.450126838684082, 6.595063972473144]",0.9078895444608166,0.19323540263830868,0.2,0.24891796278639064,0.07206790340482798,0.1,0.04759753988083798,0.046070735750451314,
2,0,1,-0.46042657,"[6.7968748092651365, 9.42819709777832]",[0.         0.29927006 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01544189453125, 0.0, 0.0, 0.0, 0.0]","[0.016265869140625, 0.000823974609375, 0.000823974609375, 0.000823974609375, 0.000823974609375]","[0.03607777878642082, 0.030844444409012794, 0.030844444409012794, 0.030844444409012794, 0.030844444409012794]",[0.00178568 0.00799406 0.00789311 0.00781018 0.00775881],0.03976908,0.029001579,"[3.781645584106445, 4.013247108459472, 3.0360710144042966, 3.4180290222167966, 3.826700973510742]","[3.415922451019287, 3.9532548904418943, 2.990032863616943, 3.4601478576660156, 3.7293520927429196]",0.5872587710810812,0.11363844985483021,0.2,0.04029250359635568,0.06770276929656181,0.06562504833333334,0.05,0.05,
3,0,1,-0.918053,"[9.522265815734864, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0284881591796875, 0.0412750244140625, 0.0412750244140625, 0.0412750244140625, 0.0412750244140625]","[0.0293121337890625, 0.0420989990234375, 0.0420989990234375, 0.0420989990234375, 0.0420989990234375]","[0.029244445264339447, 0.03055555559694767, 0.03055555559694767, 0.03055555559694767, 0.03055555559694767]",[0.00764694 0.00762556 0.00758397 0.00756048 0.00754744],0.039670017,0.027444817,"[1.1401615142822266, 0.8904335141181946, 1.1884570121765137, 0.8712620139122009, 1.0324480056762695]","[1.0933310031890868, 0.8725690007209778, 1.1298365116119384, 0.899888014793396, 0.9860869884490967]",0.6852674327039706,0.0264922007746371,0.16443492344447547,0.25,0.07132558244319125,0.07301472604166667,0.05,0.05,
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0499267578125, 0.0499267578125, 0.04632568359375, 0.042724609375, 0.042724609375]","[0.050750732421875, 0.050750732421875, 0.047149658203125, 0.043548583984375, 0.043548583984375]","[0.028244445100426674, 0.028244445100426674, 0.02871111035346985, 0.029177777469158173, 0.029177777469158173]",[0.00750376 0.00748317 0.00746561 0.00745209 0.00743679],0.040529497,0.026147189,"[0.8198230028152467, 0.7489930152893067, 0.7013909935951232, 0.5830380022525787, 0.6850960016250611]","[0.7844065070152283, 0.7464555025100708, 0.6893819928169251, 0.572027999162674, 0.6812749981880188]",0.7247866151033708,0.013401499386696032,0.18908188648712942,0.25,0.07230322922954535,0.1,0.05,0.05,
5,1,1,0.6265404,"[6.210428047180176, 6.2298217773437505]",[0. 0. 0. 0. 0.],[0.00210084 0.00584795 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0405120849609375, 0.038299560546875, 0.038299560546875, 0.0235748291015625, 0.0235748291015625]","[0.0413360595703125, 0.03912353515625, 0.03912353515625, 0.0243988037109375, 0.0243988037109375]","[0.02910555526614189, 0.02903333306312561, 0.02903333306312561, 0.0281777773052454, 0.0281777773052454]",[0.00727902 0.00710195 0.00695042 0.00683995 0.00672948],0.040119305,0.025169965,"[5.1983815193176275, 8.426842498779298, 7.715359878540039, 8.880524063110352, 8.843712997436523]","[5.500740432739258, 8.907378768920898, 6.776983833312989, 8.174650764465332, 8.610568809509278]",0.8515197727782555,0.21112663581958457,0.2,0.25,0.07235543051117957,0.025986500000000003,0.05,0.04205120644749128,
6,1,1,0.8255112,"[6.320614051818848, 9.915972900390624]",[0.         0.11164122 0.         0.00537634 0.        ],[0.         0.00304921 0.00120773 0.         0.00117786],[0. 0. 0. 0. 0.],"[0.009490966796875, 0.0198974609375, 0.051116943359375, 0.037353515625, 0.011479695327579975]","[0.01031494140625, 0.020721435546875, 0.05194091796875, 0.038177490234375, 0.012303669936954975]","[0.03358888998627663, 0.03406111150979996, 0.03547777608036995, 0.03310370445251465, 0.030985185876488686]",[0.0085619  0.00954866 0.0131085  0.0127508  0.01248412],0.037800908,0.024868287,"[9.134119987487793, 8.05823802947998, 8.774107742309571, 8.47740879058838, 9.62240161895752]","[8.900213050842286, 8.319109535217285, 9.009189987182618, 8.673923873901368, 10.0]",0.8285564365042558,0.22965890716532003,0.2,0.14667554516613382,0.06807648028316567,0.08958030190972222,0.05,0.04456520197991401,
7,1,1,0.21327162,"[9.42017421722412, 10.0]",[0.         0.08012821 0.         0.         0.        ],[0.         0.         0.00292398 0.00361011 0.008     ],[0. 0. 0. 0. 0.],"[0.0147857666015625, 0.01601409912109375, 0.017242431640625, 0.017242431640625, 0.017242431640625]","[0.0156097412109375, 0.01683807373046875, 0.01806640625, 0.01806640625, 0.01806640625]","[0.03624444454908371, 0.03414444625377655, 0.03204444423317909, 0.03204444423317909, 0.03204444423317909]",[0.01198467 0.01232476 0.01269216 0.01251267 0.012452  ],0.036312208,0.024545794,"[9.222125625610351, 7.466105842590332, 6.111874961853028, 7.5976362228393555, 8.3459321975708]","[8.756561660766602, 7.290309715270996, 5.769158744812012, 8.243073272705077, 7.1691591262817385]",0.8281576014503086,0.20988838987875444,0.2,0.1762923241288626,0.06759972565273902,0.08891124670138888,0.05,0.035465915088563775,
8,1,1,0.45899308,"[8.793103218078613, 10.0]",[0.         0.         0.04575163 0.         0.        ],[0.         0.00247525 0.00328947 0.         0.        ],[0.00192308 0.         0.         0.         0.        ],"[0.0214080810546875, 0.0214080810546875, 0.0229644775390625, 0.0229644775390625, 0.03582763671875]","[0.0222320556640625, 0.0222320556640625, 0.0237884521484375, 0.0237884521484375, 0.036651611328125]","[0.02952222153544426, 0.02952222153544426, 0.030300000682473183, 0.030300000682473183, 0.03672222048044205]",[0.01245016 0.01225408 0.01262525 0.01248908 0.01244738],0.035526052,0.023916375,"[7.228100204467774, 9.179866600036622, 7.7757875442504885, 8.163448715209961, 7.702155113220215]","[7.138456916809083, 9.613439178466797, 7.5744167327880865, 7.6320640563964846, 7.4101762771606445]",0.8292525769303545,0.2148849420683283,0.19648464427274817,0.20634157802554573,0.06730613377269538,0.1,0.0,0.044235278791037,
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00680272],[0. 0. 0. 0. 0.],"[0.03582763671875, 0.0649566650390625, 0.0649566650390625, 0.0649566650390625, 0.0108642578125]","[0.036651611328125, 0.0657806396484375, 0.0657806396484375, 0.0657806396484375, 0.011688232421875]","[0.03672222048044205, 0.03484444320201874, 0.03484444320201874, 0.03484444320201874, 0.028955556452274323]",[0.01210162 0.011983   0.0118718  0.01181455 0.01175503],0.03631519,0.023941204,"[5.514199829101563, 7.029217910766602, 5.049666118621826, 6.2927350997924805, 5.541290855407715]","[5.6123512268066404, 7.204473304748535, 5.018153953552246, 5.192882919311524, 6.244835281372071]",0.8295696055520105,0.171004283939179,0.17019159226190478,0.25,0.06730613377269538,0.07787031666666666,0.05,0.043197278911564635,
10,2,1,0.87014484,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00847458],[0. 0. 0. 0. 0.],"[0.050689697265625, 0.050689697265625, 0.050689697265625, 0.050689697265625, 0.0163726806640625]","[0.051513671875, 0.051513671875, 0.051513671875, 0.051513671875, 0.0171966552734375]","[0.029555555433034897, 0.029555555433034897, 0.029555555433034897, 0.029555555433034897, 0.030944444239139557]",[0.01152259 0.01138276 0.01119248 0.01105204 0.01101018],0.036966465,0.023523007,"[8.414333534240722, 9.26662540435791, 9.641725540161133, 10.0, 10.0]","[8.7969181060791, 9.144408798217773, 9.632087326049804, 10.0, 10.0]",0.9163249312848206,0.24102634555913025,0.2,0.25,0.07105560887187679,0.062717553125,0.05,0.041525423728813564,
