step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.0519411087036135, 6.964201164245606]",[0.00035499 0.         0.         0.         0.02055865],[0.00046881 0.         0.00046382 0.00089756 0.00043668],[3.2398108e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.006217263173311949, 0.022319447249174118, 0.021055741235613823, 0.015251853503286839, 0.02347717247903347]","[0.014670631848275661, 0.030772816389799118, 0.029509110376238823, 0.023705221712589264, 0.03193054348230362]","[0.03359999880194664, 0.022727273404598236, 0.025040404871106148, 0.027129292488098145, 0.09666889160871506]",[0.0030428  0.00202629 0.00154194 0.00122883 0.00525176],0.02601002,0.009064952,"[6.909511566162109, 6.466709327697754, 6.1534421920776365, 7.413957405090332, 9.239065742492675]","[6.824710845947266, 6.392002296447754, 6.149170684814453, 7.449575996398926, 9.254141044616699]",0.8648722479475178,0.1997881727700265,0.19994617706196077,0.22952374068764464,0.04112083937796365,0.1,0.04676018920495043,0.04773312884497189,
2,0,1,-0.46042657,"[7.036934089660645, 8.21039924621582]",[0. 0. 0. 0. 0.],[0.         0.00434783 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0032806396484375, 0.00699615478515625, 0.010711669921875, 0.0196075439453125, 0.0196075439453125]","[0.0117340087890625, 0.01544952392578125, 0.0191650390625, 0.0280609130859375, 0.0280609130859375]","[0.024633333086967468, 0.023605555295944214, 0.02257777750492096, 0.021044444292783737, 0.021044444292783737]",[0.00493313 0.00485465 0.00477701 0.00471663 0.00464157],0.025054194,0.0091061,"[5.207155418395996, 4.707968425750733, 4.01004991531372, 4.0385431289672855, 5.296360969543457]","[4.995149612426758, 4.265468597412109, 4.114968490600586, 3.908168029785156, 5.520236015319824]",0.8360151660741069,0.1414787553758046,0.2,0.25,0.0758063369178346,0.07307789986742423,0.05,0.045652173913043485,
3,0,1,-0.918053,"[8.286575126647948, 9.529547119140625]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0096282958984375, 0.0096282958984375, 0.0171051025390625, 0.0171051025390625, 0.0171051025390625]","[0.0180816650390625, 0.0180816650390625, 0.0255584716796875, 0.0255584716796875, 0.0255584716796875]","[0.016055556014180183, 0.016055556014180183, 0.023222222924232483, 0.023222222924232483, 0.023222222924232483]",[0.00457983 0.0045616  0.00454382 0.00453564 0.00452391],0.024671914,0.008785899,"[1.2892454862594604, 1.224538016319275, 1.4194130182266234, 0.9885959982872009, 1.1946750164031983]","[1.2336450099945069, 1.2050289869308473, 1.3859409809112548, 1.0358170032501222, 1.16072998046875]",0.7246307559118804,0.034365782519255296,0.1989784130151721,0.25,0.07700241558578623,0.06428414479166666,0.05,0.05,
4,0,1,-0.96694475,"[9.620924186706542, 0.924839997291565]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0023345947265625, 0.0023345947265625, 0.0023345947265625, 0.02081298828125, 0.02081298828125]","[0.0107879638671875, 0.0107879638671875, 0.0107879638671875, 0.029266357421875, 0.029266357421875]","[0.023188889026641846, 0.023188889026641846, 0.023188889026641846, 0.01814444363117218, 0.01814444363117218]",[0.00448654 0.00447698 0.00446429 0.00445293 0.00444727],0.023709385,0.009155024,"[1.0285334825515746, 0.6595059931278229, 0.689526492357254, 0.9210330128669739, 0.8813430070877075]","[1.0566975355148316, 0.6127009987831116, 0.6953970074653626, 0.9660620093345642, 0.8588750004768372]",0.745816768327355,0.01878534589662453,0.2,0.25,0.07703142243073038,0.1,0.05,0.05,
5,1,1,0.6265404,"[0.932200014591217, 1.027157974243164]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00927734375, 0.00927734375, 0.00927734375, 0.038848876953125, 0.038848876953125]","[0.017730712890625, 0.017730712890625, 0.017730712890625, 0.04730224609375, 0.04730224609375]","[0.018888888880610466, 0.018888888880610466, 0.018888888880610466, 0.022233333438634872, 0.022233333438634872]",[0.00432086 0.00418781 0.0040881  0.00399695 0.0039548 ],0.023842486,0.009567052,"[6.367868423461914, 10.0, 7.609684562683105, 10.0, 7.896641731262207]","[6.44255599975586, 10.0, 7.776580047607422, 10.0, 8.007375907897949]",0.0,0.22170497692752422,0.18576157513786765,0.25,0.07787911996928393,0.021470306250000005,0.05,0.05,gcc 
6,1,1,0.8255112,"[1.0451789855957032, 1.4843289852142334]",[0.         0.08650519 0.         0.04012346 0.        ],[0.00087032 0.         0.0009058  0.00116959 0.00216597],[0. 0. 0. 0. 0.],"[0.10052490234375, 0.0995381698012352, 0.0952860489487648, 0.0939839705824852, 0.093902587890625]","[0.108978271484375, 0.1079915389418602, 0.1037394180893898, 0.1024373397231102, 0.10235595703125]","[0.033799998462200165, 0.03242222219705582, 0.026444444432854652, 0.023011110723018646, 0.022099999710917473]",[0.02782829 0.02790233 0.02909152 0.02902979 0.02850885],0.03603119,0.03034794,"[8.927028274536132, 10.0, 9.478092765808105, 10.0, 10.0]","[9.229240417480469, 10.0, 9.501208686828614, 10.0, 10.0]",0.7244513219384382,0.2446932631169693,0.08992416381835941,0.13940616716522475,0.06914550275891698,0.08639390347222224,0.05,0.044888321606745524,
7,1,1,0.21327162,"[1.4987920284271241, 1.7374539852142332]",[0.04983389 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.10079193115234375, 0.1076812744140625, 0.1015472412109375, 0.1015472412109375, 0.1015472412109375]","[0.10924530029296875, 0.1161346435546875, 0.1100006103515625, 0.1100006103515625, 0.1100006103515625]","[0.022322222590446472, 0.022544443607330322, 0.02272222191095352, 0.02272222191095352, 0.02272222191095352]",[0.02777294 0.02783067 0.02743329 0.02710393 0.02685179],0.04161001,0.035260014,"[9.200683975219727, 8.69936923980713, 9.464296913146972, 8.396274185180664, 10.0]","[9.646748924255371, 8.629066467285156, 9.427979660034179, 8.262820053100585, 10.0]",0.8750199188964519,0.23563797763546185,0.15929097776059753,0.202649529254644,0.07744143424574851,0.1,0.05,0.05,
8,1,1,0.45899308,"[1.7607409954071045, 1.9342909336090086]",[0.         0.         0.04145078 0.         0.        ],[0.         0.00274725 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.032745361328125, 0.032745361328125, 0.011199951171875, 0.011199951171875, 0.011199951171875]","[0.04119873046875, 0.04119873046875, 0.0196533203125, 0.0196533203125, 0.0196533203125]","[0.023755555972456932, 0.023755555972456932, 0.02630000002682209, 0.02630000002682209, 0.02630000002682209]",[0.02621728 0.02585617 0.025878   0.02573013 0.02556526],0.041022923,0.034348637,"[9.53230686187744, 8.996491050720214, 8.914008903503419, 8.472372245788574, 8.872268867492675]","[9.441646766662597, 9.07883243560791, 7.819330024719238, 8.29166316986084, 7.856071281433105]",0.9142071481443788,0.23222130183265552,0.2,0.21026738972858333,0.07446570933039258,0.1,0.05,0.04725274725274725,
9,1,1,0.087249994,"[1.955394983291626, 2.2678099632263184]",[0. 0. 0. 0. 0.],[0.         0.         0.00632911 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0135498046875, 0.013763427734375, 0.01397705078125, 0.01397705078125, 0.01397705078125]","[0.022003173828125, 0.022216796875, 0.022430419921875, 0.022430419921875, 0.022430419921875]","[0.032866667956113815, 0.026916665956377983, 0.0209666658192873, 0.0209666658192873, 0.0209666658192873]",[0.02498799 0.02477739 0.02453679 0.0243563  0.02424281],0.039803233,0.033533264,"[7.126121902465821, 6.47419605255127, 6.288590621948242, 7.064438819885254, 7.599684143066407]","[7.328173065185547, 6.432931518554688, 6.560839271545411, 7.262398719787598, 6.961643981933594]",0.8852475811323391,0.19314185269062642,0.2,0.25,0.06975654340742998,0.07867829895833335,0.05,0.04367088607594937,
10,2,1,0.87014484,"[2.286386013031006, 2.6415040493011475]",[0.         0.         0.02631579 0.         0.        ],[0.         0.00306748 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0263214111328125, 0.0263214111328125, 0.028564453125, 0.028564453125, 0.028564453125]","[0.0347747802734375, 0.0347747802734375, 0.037017822265625, 0.037017822265625, 0.037017822265625]","[0.01979999989271164, 0.01979999989271164, 0.029244445264339447, 0.029244445264339447, 0.029244445264339447]",[0.02375073 0.02335495 0.02339028 0.02316351 0.0229669 ],0.039564643,0.032507863,"[7.471362686157227, 8.47114143371582, 10.0, 9.382540893554687, 10.0]","[7.469504737854004, 8.492945861816406, 9.935857582092286, 9.366841888427734, 10.0]",0.893140836106044,0.23411449461960648,0.18790365903432135,0.22437673130193908,0.07225513060442025,0.07755830520833334,0.05,0.04693251533742332,
