step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.050078010559083, 5.604586982727051]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00118228],[2.2719012e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.0131467180326581, 0.00745391845703125, 0.00802889745682478, 0.00396867236122489, 0.006856745108962059]","[0.037911731749773026, 0.03221893310546875, 0.032793913036584854, 0.028733687475323677, 0.03162175789475441]","[0.025425925850868225, 0.024610185995697975, 0.02624545432627201, 0.02399393916130066, 0.021497979760169983]",[0. 0. 0. 0. 0.],0.032740545,0.0060841558,"[6.877149391174316, 6.20704288482666, 6.329390525817871, 6.329142189025879, 6.897172546386719]","[6.799654006958008, 6.067047882080078, 6.2531122207641605, 6.1446388244628904, 6.9654090881347654]",0.906161306123043,0.1851070161392114,0.2,0.25,0.07450846842933556,0.1,0.047728098873137045,0.048817722681359046,
2,0,1,-0.46042657,"[5.324357223510742, 3.1058130264282227]",[0.        0.        0.3306773 0.        0.0745614],[0.01598174 0.15397023 0.03982843 0.14750831 0.04761905],[0. 0. 0. 0. 0.],"[0.0498199462890625, 0.0498199462890625, 0.099395751953125, 0.099395751953125, 0.055511474609375]","[0.0745849609375, 0.0745849609375, 0.1241607666015625, 0.1241607666015625, 0.0802764892578125]","[0.03235555440187454, 0.03235555440187454, 0.0415777787566185, 0.0415777787566185, 0.040183331817388535]",[0.         0.         0.01214442 0.01202161 0.01248788],0.042115625,0.025923721,"[6.1363166809082035, 6.164559555053711, 6.021254348754883, 5.979202461242676, 5.640832138061524]","[6.285353088378907, 8.67607421875, 8.04033317565918, 6.731563377380371, 4.552218914031982]",0.6468528682032504,0.17331938251420853,0.11038343376942968,0.14869032641364366,0.06445972550596844,0.1,0.05,0.0,
3,0,1,-0.918053,"[3.1586029052734372, 3.620386028289795]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0.         0.         0.         0.03030303 0.        ],"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0039215087890625, 0.0039215087890625, 0.0039215087890625, 0.0039215087890625, 0.0039215087890625]","[0.02253333292901516, 0.02253333292901516, 0.02253333292901516, 0.02253333292901516, 0.02253333292901516]",[0.01291189 0.01286695 0.0128331  0.01280347 0.01277665],0.038502667,0.027081512,"[0.9616575002670288, 0.9305110096931457, 0.8757489919662476, 1.065831995010376, 0.8817880034446717]","[0.9620764970779419, 0.9205919861793518, 0.8613489985466003, 1.0661999940872193, 0.9424870014190674]",0.6482465994984656,0.023192547621794398,0.2,0.25,0.07760952583500445,0.04744452604166667,0.0,0.05,
4,0,1,-0.96694475,"[3.654538059234619, 4.261007976531983]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0289154052734375, 0.00030517578125, 0.0, 0.0, 0.0]","[0.03216552734375, 0.0035552978515625, 0.0032501220703125, 0.0032501220703125, 0.0032501220703125]","[0.014122222550213337, 0.019466666504740715, 0.023277778178453445, 0.023277778178453445, 0.023277778178453445]",[0.01271099 0.01267752 0.01264817 0.01262766 0.01260765],0.035776094,0.027309546,"[0.5897339940071106, 0.6966419994831086, 0.43712399899959564, 0.5821249961853028, 0.6557650089263916]","[0.5719905018806457, 0.6731540024280549, 0.4452590003609658, 0.5790600001811981, 0.6707970023155212]",0.7354132598594844,0.008459107882742435,0.2,0.25,0.07695415197674187,0.1,0.05,0.05,
5,1,1,0.6265404,"[4.318118858337402, 5.000728034973145]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.011383056640625, 0.011383056640625, 0.0301666259765625, 0.0489501953125, 0.0489501953125]","[0.0146331787109375, 0.0146331787109375, 0.033416748046875, 0.0522003173828125, 0.0522003173828125]","[0.02665555477142334, 0.02665555477142334, 0.02694999985396862, 0.0272444449365139, 0.0272444449365139]",[0.01234188 0.01203226 0.0117621  0.01155303 0.01141894],0.03514896,0.026701126,"[6.156388473510742, 7.965183258056641, 8.05266876220703, 9.607661056518555, 8.059135818481446]","[5.861096000671387, 7.72908763885498, 7.909033966064453, 9.089481735229493, 8.056604957580566]",0.8375417885278489,0.21409441223519918,0.17654359605577258,0.25,0.0737363791952104,0.02316740104166667,0.05,0.05,
6,1,1,0.8255112,"[5.06151704788208, 6.182759094238281]",[0.         0.00743494 0.         0.         0.        ],[0.00154321 0.00236967 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.04010009765625, 0.03997802734375, 0.03985595703125, 0.03985595703125, 0.0516510009765625]","[0.0433502197265625, 0.0432281494140625, 0.0431060791015625, 0.0431060791015625, 0.054901123046875]","[0.025800000876188278, 0.02751111052930355, 0.029222222045063972, 0.029222222045063972, 0.022922221571207047]",[0.01238901 0.0121421  0.01196606 0.01165545 0.01139146],0.03625881,0.025447873,"[9.080784797668457, 9.220126914978028, 9.560026168823242, 9.105189323425293, 8.804816246032715]","[9.132685470581055, 9.464726638793945, 9.353879737854005, 9.232882499694824, 8.563447761535645]",0.9230581870551642,0.2356739605649228,0.18323865833849012,0.24814126394052044,0.07227115420921944,0.087646028125,0.05,0.0460871218770113,
7,1,1,0.21327162,"[6.265628051757813, 7.260009765625]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.054595947265625, 0.054595947265625, 0.054595947265625, 0.01702880859375, 0.01702880859375]","[0.0578460693359375, 0.0578460693359375, 0.0578460693359375, 0.0202789306640625, 0.0202789306640625]","[0.024488888680934906, 0.024488888680934906, 0.024488888680934906, 0.025800000876188278, 0.025800000876188278]",[0.0109853  0.0108138  0.01067436 0.01060103 0.01052299],0.036962297,0.025128251,"[9.14940528869629, 7.64471206665039, 7.63618106842041, 7.242702865600586, 6.133741188049316]","[9.240817260742187, 7.621631050109864, 7.0954992294311525, 7.169204902648926, 6.5853221893310545]",0.9142993706573288,0.20624040940444757,0.19979065789116757,0.25,0.07486038982004693,0.08340791354166668,0.05,0.05,
8,1,1,0.45899308,"[7.37262191772461, 8.47523899078369]",[0. 0. 0. 0. 0.],[0.         0.00227273 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0229339599609375, 0.0229339599609375, 0.009674072265625, 0.009674072265625, 0.009674072265625]","[0.02618408203125, 0.02618408203125, 0.0129241943359375, 0.0129241943359375, 0.0129241943359375]","[0.024077778682112694, 0.024077778682112694, 0.020500000566244125, 0.020500000566244125, 0.020500000566244125]",[0.01020466 0.01006241 0.00992073 0.00980929 0.00971967],0.035761736,0.024705706,"[9.649746704101563, 6.567785263061523, 6.820585823059083, 10.0, 8.126381874084473]","[9.540237045288086, 6.7105457305908205, 7.152543449401856, 9.065254020690919, 8.299457168579101]",0.9430719776716627,0.21907466725180016,0.2,0.25,0.07627003769258976,0.1,0.05,0.04772727272727273,
9,1,1,0.087249994,"[8.55189781188965, 9.95268898010254]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.021331787109375, 0.013824462890625, 0.013824462890625, 0.013824462890625, 0.013824462890625]","[0.0245819091796875, 0.0170745849609375, 0.0170745849609375, 0.0170745849609375, 0.0170745849609375]","[0.025699999183416367, 0.022155554965138435, 0.022155554965138435, 0.022155554965138435, 0.022155554965138435]",[0.00946365 0.00933984 0.00924573 0.00916673 0.0091037 ],0.034677196,0.02426376,"[7.424828720092774, 8.103597259521484, 6.171347618103027, 7.044919204711914, 6.939077949523926]","[7.18387508392334, 7.764278793334961, 5.879500389099121, 6.714413833618164, 6.8110511779785154]",0.9112940033095429,0.19777211689849278,0.2,0.25,0.07494007182771667,0.08858181458333335,0.05,0.05,
10,2,1,0.87014484,"[10.0, 6.270466041564942]",[0. 0. 0. 0. 0.],[0.        0.0015625 0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.03497314453125, 0.019989013671875, 0.019989013671875, 0.019989013671875, 0.019989013671875]","[0.0382232666015625, 0.0232391357421875, 0.0232391357421875, 0.0232391357421875, 0.0232391357421875]","[0.020600000396370888, 0.023977776989340782, 0.023977776989340782, 0.023977776989340782, 0.023977776989340782]",[0.00886844 0.00872233 0.00861655 0.00853886 0.00847026],0.03429477,0.023713084,"[9.944805717468261, 9.140632247924804, 10.0, 8.840041160583496, 9.69197483062744]","[9.73438377380371, 9.127295875549317, 9.968866920471191, 8.491696739196778, 9.110383796691895]",0.9383298822098354,0.24203026080045714,0.19636949146066915,0.25,0.0763544695320424,0.07513816041666667,0.05,0.0484375,
