step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.070133209228516, 5.621733093261719]",[0. 0. 0. 0. 0.],[4.1213319e-05 1.1261262e-03 0.0000000e+00 0.0000000e+00 8.6333422e-04],[2.060666e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.029827117919921875, 0.05396270751953125, 0.032960254698991776, 0.0484619140625, 0.056926727294921875]","[0.049175262451171875, 0.07331085205078125, 0.052308399230241776, 0.06781005859375, 0.07627487182617188]","[0.031833332031965256, 0.03784351795911789, 0.03711574152112007, 0.035644445568323135, 0.028672222048044205]",[0. 0. 0. 0. 0.],0.06377589,0.018923236,"[6.438024711608887, 7.495260238647461, 6.239921760559082, 6.670235633850098, 7.795734024047851]","[6.422222709655762, 7.158507537841797, 5.94435977935791, 6.291625595092774, 7.756465339660645]",0.9060335467973237,0.19349764091490665,0.2,0.25,0.06662724553260939,0.1,0.04793933399274646,0.047969326357061276,
2,0,1,-0.46042657,"[5.669527053833008, 6.595138931274414]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.039154052734375, 0.0076904296875, 0.0076904296875, 0.0076904296875, 0.0076904296875]","[0.058502197265625, 0.02703857421875, 0.02703857421875, 0.02703857421875, 0.02703857421875]","[0.032188888639211655, 0.037077777087688446, 0.037077777087688446, 0.037077777087688446, 0.037077777087688446]",[0. 0. 0. 0. 0.],0.06037925,0.02059919,"[4.214214515686035, 3.721433925628662, 3.3785961151123045, 4.529464912414551, 3.6735129356384277]","[4.170016574859619, 3.6688740730285643, 3.339146614074707, 4.899271869659424, 3.3744278907775875]",0.8072810173899017,0.12169574133520593,0.2,0.25,0.06708934654080671,0.0684959295138889,0.05,0.05,
3,0,1,-0.918053,"[6.683020973205567, 7.821510124206543]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.028076171875, 0.005218505859375, 0.005218505859375, 0.005218505859375, 0.005218505859375]","[0.04742431640625, 0.024566650390625, 0.024566650390625, 0.024566650390625, 0.024566650390625]","[0.03653888776898384, 0.03323333337903023, 0.03323333337903023, 0.03323333337903023, 0.03323333337903023]",[0. 0. 0. 0. 0.],0.057211023,0.0221143,"[1.0898314714431763, 0.9544364929199218, 1.0179255247116088, 1.145307993888855, 1.0977969884872436]","[1.0823755025863648, 0.944064998626709, 0.9303530097007752, 1.105748987197876, 1.1258739948272705]",0.7157675393760614,0.027957236064827716,0.2,0.25,0.0674184783112336,0.070391825,0.05,0.05,
4,0,1,-0.96694475,"[7.8989402770996096, 9.092861747741699]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0, 0.0032196044921875, 0.006439208984375, 0.006439208984375, 0.006439208984375]","[0.0128173828125, 0.0160369873046875, 0.019256591796875, 0.019256591796875, 0.019256591796875]","[0.030077777802944183, 0.0284444447606802, 0.026811111718416214, 0.026811111718416214, 0.026811111718416214]",[0. 0. 0. 0. 0.],0.053777304,0.024013838,"[0.4530780017375946, 0.5582269966602326, 0.49977199733257294, 0.5045540004968644, 0.4018829999957234]","[0.45610600113868716, 0.5338089972734451, 0.5657729983329773, 0.4318060010671616, 0.4304690003395081]",0.7253696306292855,0.003708845705061741,0.2,0.25,0.07166078492422363,0.1,0.05,0.05,
5,1,1,0.6265404,"[9.194192886352539, 10.0]",[0. 0. 0. 0. 0.],[0.         0.01149425 0.         0.00263158 0.        ],[0. 0. 0. 0. 0.],"[0.037841796875, 0.037841796875, 0.0460052490234375, 0.054168701171875, 0.054168701171875]","[0.0506591796875, 0.0506591796875, 0.0588226318359375, 0.066986083984375, 0.066986083984375]","[0.025377778336405754, 0.025377778336405754, 0.027611110359430313, 0.02984444424510002, 0.02984444424510002]",[0. 0. 0. 0. 0.],0.054182135,0.022982642,"[2.883965015411377, 9.056371116638184, 9.620979118347169, 9.708622550964355, 7.831235885620117]","[2.9344689369201657, 8.779132270812989, 9.066883087158203, 9.781215858459472, 7.986849784851074]",0.7987241792092341,0.21126641468274357,0.15618194911790934,0.25,0.07182593785451274,0.02357570937500001,0.05,0.03587416817906836,
6,1,1,0.8255112,"[7.317072868347168, 8.194675064086914]",[0.04567308 0.06588448 0.07956989 0.         0.03130755],[0.         0.01543818 0.00078864 0.         0.0058685 ],[0. 0. 0. 0. 0.],"[0.07079696655273438, 0.07278060913085938, 0.0705413818359375, 0.055389404296875, 0.02250162698328495]","[0.08361434936523438, 0.08559799194335938, 0.0833587646484375, 0.068206787109375, 0.0353190116584301]","[0.030736111104488373, 0.03666944429278374, 0.03871666640043259, 0.04010000079870224, 0.04019629582762718]",[0.00506345 0.00737291 0.0093286  0.01329602 0.0133622 ],0.05742185,0.023752555,"[7.749057006835938, 8.778922843933106, 8.752526473999023, 9.711577987670898, 7.580753898620606]","[7.64925708770752, 9.344706153869629, 8.980159759521484, 9.621495819091797, 7.835731124877929]",0.842513818205519,0.2242675724063933,0.18070448454435883,0.19439125085623538,0.06524583691337323,0.1,0.05,0.027904673485158127,
7,1,1,0.21327162,"[8.60440788269043, 10.0]",[0.         0.08024691 0.         0.         0.        ],[0.         0.         0.         0.         0.00446429],[0. 0. 0. 0. 0.],"[0.0060577392578125, 0.0138092041015625, 0.0138092041015625, 0.0138092041015625, 0.0171356201171875]","[0.0188751220703125, 0.0266265869140625, 0.0266265869140625, 0.0266265869140625, 0.0299530029296875]","[0.0402444452047348, 0.040788888931274414, 0.040788888931274414, 0.040788888931274414, 0.03581111133098602]",[0.01299696 0.01377379 0.01363549 0.01350925 0.01340389],0.055249255,0.024345325,"[9.929862022399902, 6.7659093856811525, 6.7332702636718755, 5.31345386505127, 7.678361129760742]","[10.0, 7.13476448059082, 6.759040069580078, 5.438018798828125, 7.851955986022949]",0.8783087177280255,0.20074488683937797,0.2,0.22993827160493827,0.06490647416466172,0.08718337083333333,0.05,0.04553571428571429,
8,1,1,0.45899308,"[8.989360809326172, 8.057059860229492]",[0.        0.1870229 0.        0.        0.       ],[0.         0.         0.         0.00512821 0.        ],[0. 0. 0. 0. 0.],"[0.0171356201171875, 0.0095977783203125, 0.0020599365234375, 0.0020599365234375, 0.0020599365234375]","[0.0299530029296875, 0.0224151611328125, 0.0148773193359375, 0.0148773193359375, 0.0148773193359375]","[0.03581111133098602, 0.03710555657744408, 0.03840000182390213, 0.03840000182390213, 0.03840000182390213]",[0.01311247 0.01373365 0.01435565 0.01426365 0.0141793 ],0.053365313,0.024963904,"[6.874143028259278, 9.583742904663087, 7.634947967529297, 8.287847137451172, 8.410781860351562]","[6.2087915420532225, 9.207708358764648, 7.304994201660157, 8.502445030212403, 7.144696807861329]",0.8820923943636556,0.2176809237754059,0.2,0.2032442748091603,0.06629540090729456,0.1,0.05,0.04487179487179488,
9,1,1,0.087249994,"[8.178256797790526, 9.441242790222168]",[0.        0.        0.0882353 0.        0.       ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0010528564453125, 0.0010528564453125, 0.0077667236328125, 0.0144805908203125, 0.0144805908203125]","[0.0138702392578125, 0.0138702392578125, 0.0205841064453125, 0.0272979736328125, 0.0272979736328125]","[0.04057777673006058, 0.04057777673006058, 0.03945000097155571, 0.038322221487760544, 0.038322221487760544]",[0.0143142  0.01418021 0.01455934 0.0149538  0.01489104],0.05130802,0.025596384,"[7.085574340820313, 6.510989379882813, 8.599030303955079, 7.839286804199219, 4.576361083984375]","[8.080895042419433, 6.722891616821289, 7.751362419128418, 7.134345054626465, 5.678728103637695]",0.8734750380177692,0.19338232638512493,0.2,0.22794117647058823,0.065026994537056,0.08712454062500002,0.05,0.05,
10,2,1,0.87014484,"[9.51931095123291, 10.0]",[0.         0.         0.         0.         0.10671937],[0.         0.         0.0031981  0.         0.01327434],[0. 0. 0. 0. 0.],"[0.0144805908203125, 0.050567626953125, 0.050567626953125, 0.050567626953125, 0.0077667236328125]","[0.0272979736328125, 0.063385009765625, 0.063385009765625, 0.063385009765625, 0.0205841064453125]","[0.038322221487760544, 0.03970000147819519, 0.03970000147819519, 0.03970000147819519, 0.03627777844667435]",[0.01464444 0.01447539 0.01422024 0.01407292 0.01475649],0.05117873,0.025261624,"[6.837870979309082, 8.98548641204834, 10.0, 10.0, 9.396233177185058]","[7.162994766235352, 8.982269477844238, 10.0, 10.0, 9.807992744445801]",0.858786216870755,0.2337442563580681,0.1747623389875385,0.22332015810276679,0.06553262412077183,0.077899275,0.05,0.03352756430160948,
