step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.061262893676758, 2.879765033721924]",[0.         0.         0.06716011 0.         0.04365079],[0.         0.00606209 0.00368288 0.         0.00241658],[3.6350419e-05 0.0000000e+00 3.5273368e-04 0.0000000e+00 0.0000000e+00],"[0.02888641320168972, 0.02275543287396431, 0.1517605185508728, 0.1345486044883728, 0.1424645334482193]","[0.07013092190027237, 0.06399993598461151, 0.1930050253868103, 0.1757931113243103, 0.1837090402841568]","[0.0353633351624012, 0.03929110988974571, 0.03420000150799751, 0.034213580191135406, 0.03894814848899841]",[0.         0.         0.03015254 0.02674582 0.03309561],0.13433772,0.06550176,"[5.390978431701661, 7.104463958740235, 8.635603332519532, 6.534750747680664, 7.013019943237305]","[4.9871313095092775, 7.097796630859375, 8.595152473449707, 6.3040052413940435, 7.145992851257325]",0.8291642742962725,0.1936611899867949,0.1985050600020316,0.22229727535170174,0.06577070780100114,0.1,0.011091589590317325,0.03783845156442577,
2,0,1,-0.46042657,"[2.937063884735107, 3.383339977264404]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.159515380859375, 0.0797576904296875, 0.0, 0.0, 0.0]","[0.170684814453125, 0.0909271240234375, 0.01116943359375, 0.01116943359375, 0.01116943359375]","[0.035288888961076736, 0.0322277769446373, 0.02916666679084301, 0.02916666679084301, 0.02916666679084301]",[0.03275879 0.0322233  0.03176819 0.03146585 0.03121827],0.12512317,0.07094148,"[5.3975341796875, 3.1497400283813475, 4.2668149948120115, 3.5788250923156735, 3.4556180000305172]","[5.394585609436035, 3.2555784225463866, 4.212848949432373, 3.7499279975891113, 3.5773510932922363]",0.810810044516331,0.12351143199096469,0.2,0.25,0.0681950388216625,0.06910357370370372,0.05,0.05,
3,0,1,-0.918053,"[3.427896118164062, 3.9746690750122067]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0142822265625, 0.0142822265625, 0.0142822265625, 0.0048370361328125, 0.0048370361328125]","[0.02545166015625, 0.02545166015625, 0.02545166015625, 0.0160064697265625, 0.0160064697265625]","[0.028744444251060486, 0.028744444251060486, 0.028744444251060486, 0.031166667118668556, 0.031166667118668556]",[0.03077826 0.0306606  0.03053374 0.03045308 0.03037287],0.11216663,0.074497424,"[0.9835235118865967, 0.870376992225647, 1.0106189727783204, 0.5277389973402024, 1.1077600002288819]","[1.0231494665145875, 0.8559504985809326, 0.9934684991836548, 0.5110639989376068, 1.0747329950332642]",0.7103548516031738,0.021428458518567336,0.2,0.25,0.07090246287627308,0.06802393020833333,0.05,0.05,
4,0,1,-0.96694475,"[4.0248431205749515, 4.662525939941406]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0001983642578125, 0.0, 0.0, 0.03826904296875, 0.03826904296875]","[0.0039825439453125, 0.0037841796875, 0.0037841796875, 0.04205322265625, 0.04205322265625]","[0.02850000001490116, 0.02727777697145939, 0.02727777697145939, 0.029988888651132584, 0.029988888651132584]",[0.03019766 0.03010528 0.03001221 0.02994644 0.02987854],0.10103811,0.07701061,"[0.6724435031414032, 0.590355497598648, 0.588837492465973, 0.4781789988279343, 0.7885380029678345]","[0.6623754918575286, 0.5861644923686982, 0.6300274968147278, 0.4716670021414757, 0.8181380033493042]",0.7315370104157112,0.009813423829642466,0.2,0.25,0.07172358658606869,0.1,0.05,0.05,
5,1,1,0.6265404,"[4.717751121520997, 1.230952000617981]",[0.         0.         0.         0.29268292 0.        ],[0.         0.0212766  0.         0.00689655 0.        ],[0. 0. 0. 0. 0.],"[0.0340118408203125, 0.0340118408203125, 0.0340118408203125, 0.0398406982421875, 0.0398406982421875]","[0.0377960205078125, 0.0377960205078125, 0.0377960205078125, 0.0436248779296875, 0.0436248779296875]","[0.03305555507540703, 0.03305555507540703, 0.03305555507540703, 0.03728888928890228, 0.03728888928890228]",[0.02884131 0.02827468 0.0277027  0.03171904 0.03089888],0.095511995,0.07555635,"[7.59564208984375, 6.836693382263184, 6.472561264038086, 5.187172031402588, 10.0]","[6.23498764038086, 9.073446273803711, 6.350199890136719, 5.847412872314453, 10.0]",0.7463453880547334,0.19942320466317295,0.2,0.17682926829268292,0.06696130215102969,0.03130476041666667,0.05,0.021826852531181218,
6,1,1,0.8255112,"[1.2426590204238892, 0.4410000011324883]",[0.1211196  0.17469077 0.         0.31022975 0.        ],[0.00687566 0.0237576  0.03365934 0.02281042 0.01664373],[0.         0.00109005 0.         0.00093023 0.        ],"[0.05503082275390625, 0.06796874850988388, 0.048614501953125, 0.03337707370519638, 0.0294952392578125]","[0.05881500244140625, 0.07175292819738388, 0.052398681640625, 0.03716125339269638, 0.0332794189453125]","[0.059477776288986206, 0.07301999628543854, 0.07109999656677246, 0.07772000133991241, 0.062111109495162964]",[0.07222094 0.09134412 0.10665102 0.14338103 0.15374714],0.08438257,0.0689384,"[4.085355472564697, 5.763913917541504, 6.619786071777344, 7.8348390579223635, 9.632889556884766]","[6.129924011230469, 9.832070541381835, 10.0, 10.0, 10.0]",0.6370256406997091,0.19058180490182072,0.2,0.0984899691797258,0.04795386661816269,0.1,0.0,0.0,
7,1,1,0.21327162,"[0.4, 0.5326379984617233]",[0.         0.04140127 0.         0.         0.        ],[0.         0.00602324 0.00282486 0.         0.00411523],[0. 0. 0. 0. 0.],"[0.0286865234375, 0.03121185302734375, 0.0337371826171875, 0.0433807373046875, 0.0433807373046875]","[0.032470703125, 0.03499603271484375, 0.0375213623046875, 0.0471649169921875, 0.0471649169921875]","[0.04327777773141861, 0.041927777230739594, 0.04057777673006058, 0.0337444432079792, 0.0337444432079792]",[0.15820056 0.1565976  0.15509948 0.1531108  0.15193823],0.08107226,0.067511626,"[3.9466965675354, 7.237102127075196, 8.317127990722655, 10.0, 9.598073768615723]","[4.061404132843018, 6.356197738647461, 6.924550247192383, 10.0, 9.711123085021972]",0.8907054028274967,0.2112580614843183,0.2,0.23964968152866242,0.063515604553301,0.08924538298611112,0.05,0.03703667227510381,
8,1,1,0.45899308,"[0.5425249963998795, 0.6301219999790192]",[0.         0.00607287 0.         0.         0.        ],[0.         0.00204918 0.         0.         0.00314465],[0. 0. 0. 0. 0.],"[0.0433807373046875, 0.03545379638671875, 0.02752685546875, 0.02752685546875, 0.02752685546875]","[0.0471649169921875, 0.03923797607421875, 0.03131103515625, 0.03131103515625, 0.03131103515625]","[0.0337444432079792, 0.0327611118555069, 0.03177777677774429, 0.03177777677774429, 0.03177777677774429]",[0.14896752 0.14760312 0.14580527 0.14452201 0.14315814],0.078151196,0.066161536,"[8.647851943969727, 7.858124923706055, 9.839188194274902, 9.696796226501466, 8.797413063049316]","[9.001741027832031, 8.385397720336913, 9.355661010742187, 9.614350128173829, 8.947035980224609]",0.9329151609858097,0.23240479036708056,0.2,0.24848178137651822,0.06918153511646341,0.08804088854166668,0.05,0.044806165584080834,
9,1,1,0.087249994,"[0.6428080081939698, 0.735873007774353]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.046600341796875, 0.046600341796875, 0.04656982421875, 0.04656982421875, 0.04656982421875]","[0.050384521484375, 0.050384521484375, 0.05035400390625, 0.05035400390625, 0.05035400390625]","[0.02714444510638714, 0.02714444510638714, 0.026155555620789528, 0.026155555620789528, 0.026155555620789528]",[0.14067477 0.13937081 0.13823202 0.13736546 0.13678509],0.07641482,0.064412646,"[7.392856788635254, 6.865182304382325, 6.354648208618165, 6.613847732543945, 6.338830757141113]","[7.683989334106445, 6.40838851928711, 6.116204261779785, 6.93034725189209, 6.3404741287231445]",0.8880765032043226,0.18902608288435885,0.1987252950668335,0.25,0.0738126408781302,0.07651248437500002,0.05,0.05,
10,2,1,0.87014484,"[0.7435009956359864, 0.8596349954605103]",[0. 0. 0. 0. 0.],[0.         0.         0.00704225 0.00611621 0.        ],[0. 0. 0. 0. 0.],"[0.0402679443359375, 0.0402679443359375, 0.0586395263671875, 0.0586395263671875, 0.0586395263671875]","[0.0440521240234375, 0.0440521240234375, 0.0624237060546875, 0.0624237060546875, 0.0624237060546875]","[0.023733332753181458, 0.023733332753181458, 0.030277777463197708, 0.030277777463197708, 0.030277777463197708]",[0.1339207  0.13212214 0.13077612 0.12950335 0.12874644],0.07505148,0.0627665,"[10.0, 10.0, 8.894220352172852, 6.826267242431641, 10.0]","[9.509720802307129, 10.0, 8.713594245910645, 6.680307006835938, 10.0]",0.9185363410120303,0.23549798371861913,0.2,0.25,0.07151998751560823,0.07467683125,0.05,0.036841538527802906,
