step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[5.490230751037598, 7.20665397644043]",[0.00181457 0.         0.         0.         0.        ],[0.00035884 0.         0.00058072 0.         0.        ],[1.2776287e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.0337371826171875, 0.015057372860610485, 0.0059716361574828625, 0.004664829932153225, 0.0157601498067379]","[0.0417633056640625, 0.02308349683880806, 0.013997758738696575, 0.012690952979028225, 0.0237862728536129]","[0.03106444515287876, 0.02403407357633114, 0.027724603191018105, 0.03154841437935829, 0.02804761938750744]",[0.02254635 0.01611209 0.01275274 0.01070345 0.00920059],0.023324331,0.014354945,"[7.0677490234375, 6.93510971069336, 6.593709564208985, 6.5515741348266605, 6.622178459167481]","[7.0832826614379885, 6.868812942504883, 6.57636775970459, 6.594820785522461, 6.572903060913086]",0.7369589880558773,0.018988575330818738,0.2,0.24954635843897588,0.07064124478223732,0.1,0.04872237127890636,0.04906043822493916,
2,0,1,-0.46042657,"[7.286965179443359, 8.681977081298829]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00952381],[0. 0. 0. 0. 0.],"[0.0229034423828125, 0.0229034423828125, 0.0233154296875, 0.0224609375, 0.0216064453125]","[0.0309295654296875, 0.0309295654296875, 0.031341552734375, 0.030487060546875, 0.029632568359375]","[0.029711110517382622, 0.029711110517382622, 0.032366666942834854, 0.029677778482437134, 0.026988888159394264]",[0.00835985 0.00828541 0.00820183 0.00810617 0.00805029],0.024152592,0.0137368785,"[5.669818878173828, 3.594809055328369, 3.4522894859313964, 3.8161935806274414, 2.5841700077056884]","[5.4536285400390625, 3.5805866241455075, 3.571326923370361, 3.9188645362854, 2.539035940170288]",0.6811312244430604,0.011948620959137684,0.189144558914965,0.25,0.07008902096776726,0.06947283312500001,0.05,0.04047619047619048,
3,0,1,-0.918053,"[8.759831809997559, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0216064453125, 0.02158355712890625, 0.0215606689453125, 0.0215606689453125, 0.0215606689453125]","[0.029632568359375, 0.02960968017578125, 0.0295867919921875, 0.0295867919921875, 0.0295867919921875]","[0.026988888159394264, 0.026200000196695328, 0.025411110371351242, 0.025411110371351242, 0.025411110371351242]",[0.00796704 0.00794342 0.00791693 0.00790129 0.00788252],0.024642602,0.013197387,"[1.0649789810180663, 1.0330965280532838, 1.084267497062683, 0.9560050129890442, 0.9321710109710694]","[1.0790035009384156, 1.0266454935073852, 1.0462714672088622, 0.9582720160484314, 0.9433560013771057]",0.695859333386561,0.0026071314138654336,0.198584575867385,0.25,0.07393171360531046,0.0707359125,0.05,0.05,
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0210723876953125, 0.024383544921875, 0.0276947021484375, 0.0276947021484375, 0.005889892578125]","[0.0290985107421875, 0.03240966796875, 0.0357208251953125, 0.0357208251953125, 0.013916015625]","[0.030766665935516357, 0.02957777865231037, 0.028388889506459236, 0.028388889506459236, 0.03166666626930237]",[0.0078444  0.00783073 0.00781543 0.00779998 0.0077929 ],0.025126664,0.012900901,"[0.7828609824180603, 0.6473765075206757, 0.5900934994220733, 0.6370439946651458, 0.6586899936199189]","[0.7667259931564332, 0.6708944916725159, 0.6170500040054321, 0.6254179954528809, 0.6547799944877625]",0.7198157951996996,0.0011508947631195035,0.1981041033243396,0.25,0.0705607971122405,0.1,0.05,0.05,
5,1,1,0.6265404,"[7.173562812805176, 7.385316276550293]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0135650634765625, 0.01773834228515625, 0.02191162109375, 0.0712890625, 0.0712890625]","[0.0215911865234375, 0.02576446533203125, 0.029937744140625, 0.079315185546875, 0.079315185546875]","[0.0331222228705883, 0.028955556452274323, 0.024788888171315193, 0.03184444457292557, 0.03184444457292557]",[0.00763702 0.00749892 0.00736657 0.00723202 0.00712508],0.026195271,0.014476205,"[6.044354248046875, 8.431939125061035, 9.495787620544434, 6.165106010437012, 10.0]","[5.881559181213379, 8.399077415466309, 9.420019149780273, 6.285222053527832, 10.0]",0.63609276738785,0.021521748397428125,0.1716936747233073,0.25,0.06958801405878122,0.023289330208333337,0.05,0.05,
6,1,1,0.8255112,"[7.488335990905762, 10.0]",[0.         0.         0.05349794 0.         0.        ],[0.         0.00011913 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.02276611328125, 0.01788330078125, 0.027862548828125, 0.027862548828125, 0.02277374267578125]","[0.030792236328125, 0.025909423828125, 0.035888671875, 0.035888671875, 0.03079986572265625]","[0.025833332911133766, 0.022077778354287148, 0.02705555595457554, 0.02705555595457554, 0.025572221726179123]",[0.00671167 0.00583885 0.00768721 0.00751958 0.00739847],0.026793657,0.013835979,"[8.486881065368653, 8.721660614013672, 9.574769020080566, 9.303537750244141, 9.163666343688964]","[8.423965454101562, 8.910905838012695, 8.991404151916504, 9.514538764953613, 9.780424499511719]",0.7231195190709231,0.02338528842757583,0.2,0.2366255144032922,0.07388061596778704,0.08934723298611112,0.05,0.04988086728615678,
7,1,1,0.21327162,"[6.861885261535645, 7.2094371795654295]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0176849365234375, 0.0176849365234375, 0.0589141845703125, 0.0589141845703125, 0.0589141845703125]","[0.0257110595703125, 0.0257110595703125, 0.0669403076171875, 0.0669403076171875, 0.0669403076171875]","[0.024088889360427856, 0.024088889360427856, 0.03204444423317909, 0.03204444423317909, 0.03204444423317909]",[0.00715114 0.00707241 0.0069859  0.00693933 0.00689103],0.028033786,0.015130956,"[9.25666790008545, 6.082025337219238, 6.899110603332519, 7.698609161376953, 5.614886093139648]","[9.029975891113281, 5.980525970458984, 7.234775543212891, 6.614318084716797, 5.465192794799805]",0.6900217192525301,0.019723407323474166,0.1701997545030382,0.25,0.07030525673157322,0.07979330069444446,0.05,0.05,
8,1,1,0.45899308,"[7.428534889221192, 8.5224458694458]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0205841064453125, 0.0140533447265625, 0.02205657958984375, 0.030059814453125, 0.030059814453125]","[0.0286102294921875, 0.0220794677734375, 0.03008270263671875, 0.0380859375, 0.0380859375]","[0.03892777860164642, 0.03701110929250717, 0.033327776938676834, 0.029644444584846497, 0.029644444584846497]",[0.00675167 0.00665308 0.00657049 0.00652067 0.00647334],0.028134132,0.014797461,"[8.434840774536132, 7.569669723510742, 7.970287322998047, 8.790179824829101, 8.693185997009277]","[8.378336715698241, 8.000415611267089, 7.891165733337402, 8.565385246276856, 7.299110794067383]",0.7256943373097631,0.022016642004586667,0.2,0.25,0.06598366405517621,0.08769403125000003,0.05,0.05,
9,1,1,0.087249994,"[8.628701972961426, 9.956653785705566]",[0.         0.         0.13861386 0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0229034423828125, 0.0229034423828125, 0.02083587646484375, 0.018768310546875, 0.018768310546875]","[0.0309295654296875, 0.0309295654296875, 0.02886199951171875, 0.02679443359375, 0.02679443359375]","[0.031833332031965256, 0.031833332031965256, 0.029961111024022102, 0.0280888881534338, 0.0280888881534338]",[0.00635049 0.0062738  0.00709661 0.00791179 0.00788061],0.02820426,0.0143853035,"[8.38196964263916, 6.620508766174317, 6.07268123626709, 5.8930662155151365, 5.748134231567383]","[9.417654228210449, 6.499531555175781, 5.855158805847168, 6.0746667861938475, 5.374335861206055]",0.6861255428992579,0.01854331463319435,0.2,0.21534653465346534,0.07044778632093134,0.08178790729166668,0.05,0.05,
10,2,1,0.87014484,"[10.0, 10.0]",[0.         0.01428571 0.         0.         0.        ],[0.         0.         0.         0.         0.00609756],[0. 0. 0. 0. 0.],"[0.018768310546875, 0.0311737060546875, 0.033782958984375, 0.0363922119140625, 0.0363922119140625]","[0.02679443359375, 0.0391998291015625, 0.04180908203125, 0.0444183349609375, 0.0444183349609375]","[0.0280888881534338, 0.03238888829946518, 0.029605556279420853, 0.026822222396731377, 0.026822222396731377]",[0.007705   0.00787841 0.00777534 0.00769477 0.00765817],0.028729655,0.014259269,"[10.0, 9.858284378051758, 9.703095626831054, 9.18825912475586, 9.518714141845702]","[10.0, 9.867853355407714, 9.582029151916505, 9.367022132873535, 9.092140769958496]",0.6866633020949157,0.024423289759092602,0.18423482259114585,0.24642857142857144,0.07007416575004875,0.06760001354166668,0.05,0.04390243902439025,
