step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.0668642044067385, 7.9520162582397464]",[0. 0. 0. 0. 0.],[2.2675737e-05 0.0000000e+00 0.0000000e+00 3.3602151e-04 0.0000000e+00],[2.2675737e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.01668548583984375, 0.015078227035701275, 0.00979487132281065, 0.0078646345064044, 0.0074282558634877205]","[0.03189849853515625, 0.0302912387996912, 0.025007883086800575, 0.023077646270394325, 0.022641269490122795]","[0.027417592704296112, 0.021751852706074715, 0.027522223070263863, 0.02944999933242798, 0.02638181857764721]",[0. 0. 0. 0. 0.],0.026650121,0.007865764,"[7.217235183715821, 6.74244441986084, 6.725568962097168, 7.262591552734375, 7.023170852661133]","[7.082499313354492, 6.738396644592285, 6.557579421997071, 7.38082103729248, 7.066331100463867]",0.8584484999336496,0.01948634453454082,0.1,0.3,0.14421469727607458,0.1,0.09546485260770976,0.09928260551532442,
2,0,1,-0.46042657,"[8.018386268615723, 9.29881019592285]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0225982666015625, 0.0225982666015625, 0.021026611328125, 0.021026611328125, 0.021026611328125]","[0.037811279296875, 0.037811279296875, 0.0362396240234375, 0.0362396240234375, 0.0362396240234375]","[0.032288890331983566, 0.032288890331983566, 0.028911111876368523, 0.028911111876368523, 0.028911111876368523]",[0. 0. 0. 0. 0.],0.027762443,0.008111764,"[3.6274730682373044, 3.8245569229125973, 4.43027811050415, 3.4722471237182617, 3.5641079902648922]","[3.506236934661865, 3.745578098297119, 4.339032077789307, 3.4920431137084957, 3.6287590980529782]",0.8112589640585819,0.01183816171920344,0.09258104960123699,0.3,0.14028214486251017,0.06655760787563132,0.1,0.1,
3,0,1,-0.918053,"[9.396649169921876, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.013641357421875, 0.013641357421875, 0.010833740234375, 0.010833740234375, 0.010833740234375]","[0.0288543701171875, 0.0288543701171875, 0.0260467529296875, 0.0260467529296875, 0.0260467529296875]","[0.023366667330265045, 0.023366667330265045, 0.02428888902068138, 0.02428888902068138, 0.02428888902068138]",[0. 0. 0. 0. 0.],0.027728725,0.007675255,"[1.4667899847030639, 0.9627539873123169, 1.0252204895019532, 1.0446230173110962, 0.8740240097045898]","[1.464503026008606, 0.981448483467102, 1.0253079652786254, 0.9453739881515503, 0.8576940059661865]",0.8268164416352209,0.0028501717989972714,0.1,0.3,0.15218554379455707,0.07178072604166667,0.1,0.1,
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.014190673828125, 0.01860809326171875, 0.0230255126953125, 0.0230255126953125, 0.0230255126953125]","[0.0294036865234375, 0.03382110595703125, 0.038238525390625, 0.038238525390625, 0.038238525390625]","[0.0199444442987442, 0.02036111056804657, 0.020777778699994087, 0.020777778699994087, 0.020777778699994087]",[0. 0. 0. 0. 0.],0.028430846,0.0077140816,"[0.7684849858283997, 0.7319435000419616, 0.6280659973621369, 0.8640720129013062, 0.6924749910831451]","[0.7364845156669617, 0.7289854884147644, 0.6604564964771271, 0.8798940062522889, 0.7358990073204041]",0.8539394020376213,0.0014642766863623537,0.0940015560243188,0.3,0.15847356932694018,0.1,0.1,0.1,
5,1,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0317840576171875, 0.0317840576171875, 0.02191162109375, 0.0120391845703125, 0.0120391845703125]","[0.0469970703125, 0.0469970703125, 0.0371246337890625, 0.027252197265625, 0.027252197265625]","[0.019633334130048752, 0.019633334130048752, 0.023105556145310402, 0.026577778160572052, 0.026577778160572052]",[0. 0. 0. 0. 0.],0.029423015,0.008510564,"[6.1089063644409185, 8.619174766540528, 9.667292213439941, 10.0, 8.199621200561523]","[5.711074256896973, 8.490192985534668, 9.677582168579102, 10.0, 8.253002738952636]",0.7871768663989234,0.022434841153631396,0.09730631510416668,0.3,0.14849811222445877,0.01893759791666666,0.1,0.1,
6,1,1,0.8255112,"[9.38461513519287, 10.0]",[0.         0.0248062  0.00446927 0.         0.        ],[0.00144928 0.         0.00018875 0.         0.        ],[0. 0. 0. 0. 0.],"[0.058746337890625, 0.034576416015625, 0.0074971518479287624, 0.0, 0.00392913818359375]","[0.0661468505859375, 0.0419769287109375, 0.014897664077579975, 0.0074005126953125, 0.01132965087890625]","[0.026055555790662766, 0.027159258723258972, 0.025392591953277588, 0.02423333376646042, 0.021105555817484856]",[0.         0.00057007 0.00215307 0.00275351 0.00269766],0.02965627,0.011878784,"[9.092955589294434, 9.174168586730957, 9.303778076171875, 10.0, 9.882545280456544]","[9.252617835998535, 9.020507049560546, 9.439230346679688, 10.0, 9.891084289550781]",0.8495694052338763,0.024147219233993867,0.1,0.2912173574119787,0.1476026576868494,0.08987822256944446,0.1,0.09672394833160997,
7,1,1,0.21327162,"[6.2122447967529295, 6.113711738586426]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0078582763671875, 0.0093536376953125, 0.0108489990234375, 0.0108489990234375, 0.0108489990234375]","[0.0152587890625, 0.016754150390625, 0.01824951171875, 0.01824951171875, 0.01824951171875]","[0.017977777868509293, 0.019494444131851196, 0.0210111103951931, 0.0210111103951931, 0.0210111103951931]",[0.00260144 0.00256743 0.00253403 0.00251286 0.00249367],0.028753333,0.011898899,"[6.994812965393066, 7.458888626098633, 6.689640235900879, 6.978926277160645, 7.007497024536133]","[6.710168075561524, 7.396042251586914, 6.454429817199707, 6.509617805480957, 6.795139884948731]",0.8519035477854635,0.019551423310878207,0.1,0.3,0.15802646336347415,0.07432566111111112,0.1,0.1,
8,1,1,0.45899308,"[6.163789939880371, 7.143110084533691]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0125274658203125, 0.003662109375, 0.00893402099609375, 0.0142059326171875, 0.0142059326171875]","[0.019927978515625, 0.0110626220703125, 0.01633453369140625, 0.0216064453125, 0.0216064453125]","[0.024788888171315193, 0.024788888171315193, 0.023755555972456932, 0.02272222191095352, 0.02272222191095352]",[0.0024347  0.00239937 0.002361   0.00233594 0.00231289],0.027978849,0.011969676,"[9.503131866455078, 7.92409839630127, 7.872492980957031, 8.360450744628906, 7.9987688064575195]","[9.523885154724121, 7.600249481201172, 7.790509223937988, 9.0396089553833, 7.4207048416137695]",0.8598447266027529,0.022091012069632106,0.1,0.3,0.15135616974145416,0.08639754479166667,0.1,0.1,
9,1,1,0.087249994,"[7.206056022644043, 8.390914916992188]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03076171875, 0.03076171875, 0.03076171875, 0.03076171875, 0.02069091796875]","[0.0381622314453125, 0.0381622314453125, 0.0381622314453125, 0.0381622314453125, 0.0280914306640625]","[0.020944444462656975, 0.020944444462656975, 0.020944444462656975, 0.020944444462656975, 0.023733332753181458]",[0.00226481 0.00223824 0.00221673 0.00219977 0.00218818],0.028541025,0.011817273,"[7.741665267944336, 6.230767059326172, 6.1305591583251955, 6.619621849060059, 6.538403129577637]","[7.877032852172851, 6.248004150390625, 5.944817543029785, 6.41486988067627, 6.5877992630004885]",0.843481002870691,0.018774402286665784,0.08907800509235052,0.3,0.15312427778334148,0.08250431770833333,0.1,0.1,
10,2,1,0.87014484,"[8.521723747253418, 9.848357200622559]",[0. 0. 0. 0. 0.],[0.        0.        0.0026738 0.        0.       ],[0. 0. 0. 0. 0.],"[0.02204132080078125, 0.0233917236328125, 0.0233917236328125, 0.0233917236328125, 0.020721435546875]","[0.02944183349609375, 0.030792236328125, 0.030792236328125, 0.030792236328125, 0.0281219482421875]","[0.02329999953508377, 0.022866666316986084, 0.022866666316986084, 0.022866666316986084, 0.02947777695953846]",[0.00214201 0.00210135 0.00207137 0.00204381 0.00202288],0.028634643,0.011471346,"[8.531957054138184, 9.766949081420899, 9.940863227844238, 10.0, 10.0]","[8.295635986328124, 9.274595642089844, 9.921127319335938, 10.0, 10.0]",0.8320352048217436,0.02441365759585344,0.1,0.3,0.1441748762254445,0.06879426458333333,0.1,0.09465240641711231,
