step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.056134223937988, 9.480185890197754]",[0. 0. 0. 0. 0.],[1.5884361e-05 0.0000000e+00 4.5207958e-04 6.0024008e-04 0.0000000e+00],[1.5884361e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.0044708251953125, 0.00798645056784153, 0.01804569736123085, 0.014354160986840725, 0.0346287302672863]","[0.0240020751953125, 0.02751770056784153, 0.03757694736123085, 0.0338854119181633, 0.0541599802672863]","[0.0320303700864315, 0.0345948152244091, 0.027769841253757477, 0.02808571420609951, 0.03253968432545662]",[0. 0. 0. 0. 0.],0.035159852,0.013431463,"[6.9057373046875, 6.799969863891602, 6.400103569030762, 6.655037307739258, 6.467508697509766]","[6.915541458129883, 6.709141540527344, 6.348151397705078, 6.531354713439941, 6.344835472106934]",0.7368883677686177,0.018760605562364085,0.19986571478465248,0.25,0.06863453184483624,0.1,0.04984115638154238,0.049786359195222445,
2,0,1,-0.46042657,"[9.610948944091797, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02789306640625, 0.02789306640625, 0.02789306640625, 0.050811767578125, 0.050811767578125]","[0.04742431640625, 0.04742431640625, 0.04742431640625, 0.070343017578125, 0.070343017578125]","[0.02535555511713028, 0.02535555511713028, 0.02535555511713028, 0.028344444930553436, 0.028344444930553436]",[0. 0. 0. 0. 0.],0.036826797,0.014230196,"[3.816037082672119, 3.2974700927734375, 4.141477012634278, 3.699160861968994, 3.485897922515869]","[3.7334945678710936, 3.4019789695739746, 3.813412094116211, 3.7032140731811523, 3.5110860824584957]",0.6726267671134624,0.011569959994368231,0.16895412672708524,0.25,0.07291166712811994,0.06919101326388888,0.05,0.05,
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03896331787109375, 0.0271148681640625, 0.0271148681640625, 0.0271148681640625, 0.0271148681640625]","[0.05849456787109375, 0.0466461181640625, 0.0466461181640625, 0.0466461181640625, 0.0466461181640625]","[0.027605555951595306, 0.026866666972637177, 0.026866666972637177, 0.026866666972637177, 0.026866666972637177]",[0. 0. 0. 0. 0.],0.038002104,0.014253644,"[1.9756269931793211, 1.009449028968811, 0.9763115167617797, 0.8975319981575012, 0.8916579961776734]","[1.9898489952087401, 1.0021070003509522, 0.991203498840332, 0.8938709974288941, 0.9075500130653381]",0.7001759710488704,0.0031495431571972043,0.2,0.25,0.07346281435000648,0.07356361354166667,0.05,0.05,
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.019927978515625, 0.00994873046875, 0.00994873046875, 0.00994873046875, 0.024688720703125]","[0.039459228515625, 0.02947998046875, 0.02947998046875, 0.02947998046875, 0.044219970703125]","[0.02396666631102562, 0.021244443953037262, 0.021244443953037262, 0.021244443953037262, 0.027922222390770912]",[0. 0. 0. 0. 0.],0.0376497,0.013791575,"[0.7188605070114136, 0.7692239880561829, 0.667765998840332, 0.9114349961280823, 0.5983030080795289]","[0.7316729903221131, 0.7735669851303101, 0.6277599930763245, 0.8088069915771485, 0.6052400052547455]",0.7246730716077597,0.0014478524451239034,0.2,0.25,0.07322521916263573,0.1,0.05,0.05,
5,1,1,0.6265404,"[8.750000190734863, 10.0]",[0.         0.         0.         0.         0.05904059],[0.         0.00224215 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.024688720703125, 0.01598358154296875, 0.0072784423828125, 0.0072784423828125, 0.012420654296875]","[0.044219970703125, 0.03551483154296875, 0.0268096923828125, 0.0268096923828125, 0.031951904296875]","[0.027922222390770912, 0.02557777799665928, 0.023233333602547646, 0.023233333602547646, 0.024488888680934906]",[0.         0.         0.         0.         0.00085938],0.037364773,0.0134717785,"[5.322706985473633, 7.029184150695801, 7.876540184020996, 7.282785797119141, 6.663825798034668]","[5.246929359436035, 7.299053573608399, 8.169874572753907, 6.7208150863647464, 6.497361755371094]",0.6636127478230628,0.01915747029684322,0.2,0.235239852398524,0.07322521916263573,0.03643863645833334,0.05,0.049551569506726456,
6,1,1,0.8255112,"[6.863603019714356, 9.344311904907226]",[0.         0.02017877 0.14418605 0.         0.        ],[0.         0.00070562 0.         0.         0.        ],[0.         0.00014112 0.         0.         0.        ],"[0.0217742919921875, 0.0403900146484375, 0.006195068359375, 0.006195068359375, 0.00643157958984375]","[0.0413055419921875, 0.0599212646484375, 0.025726318359375, 0.025726318359375, 0.02596282958984375]","[0.025155555456876755, 0.034522220492362976, 0.022344443947076797, 0.022344443947076797, 0.028772221878170967]",[0.00081207 0.00695476 0.00938869 0.00923523 0.00901786],0.037255805,0.01342886,"[10.0, 8.581566619873048, 9.265062713623047, 9.651118278503418, 10.0]","[9.874212265014648, 8.648694229125976, 9.48936061859131, 9.74988250732422, 10.0]",0.6705404051631663,0.024162305579625825,0.19809643929464776,0.20890879714782434,0.06868085427587642,0.072244365625,0.04858876658199266,0.04985887665819927,
7,1,1,0.21327162,"[9.416504096984863, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00640106201171875, 0.006134033203125, 0.005645751953125, 0.005645751953125, 0.005645751953125]","[0.02593231201171875, 0.025665283203125, 0.025177001953125, 0.025177001953125, 0.025177001953125]","[0.03343888744711876, 0.03167777881026268, 0.032688889652490616, 0.032688889652490616, 0.032688889652490616]",[0.00873488 0.00862212 0.00855248 0.00850187 0.00844211],0.036577586,0.013319163,"[7.22492790222168, 6.227454566955567, 5.528540992736817, 6.979555130004883, 8.029849815368651]","[6.99762077331543, 6.158442687988281, 5.641240119934082, 6.853500747680664, 7.851086807250977]",0.710320543149499,0.019080528389271923,0.2,0.25,0.0693804710102269,0.07185954375,0.05,0.05,
8,1,1,0.45899308,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[7.62939453125e-05, 7.62939453125e-05, 3.814697265625e-05, 0.0, 0.0]","[0.0184783935546875, 0.0184783935546875, 0.01844024658203125, 0.018402099609375, 0.018402099609375]","[0.03101111203432083, 0.03101111203432083, 0.026599999517202377, 0.022188888862729073, 0.022188888862729073]",[0.00827331 0.00813815 0.0080414  0.0079429  0.00789455],0.035453383,0.013620358,"[6.141975212097168, 8.661226081848145, 7.893782997131348, 8.844582176208496, 7.34533920288086]","[5.861329460144043, 8.398537826538085, 8.078404235839843, 8.729039192199707, 7.542563247680664]",0.7318525192999378,0.021044140215149644,0.2,0.25,0.0710095801264548,0.08979879895833334,0.05,0.05,
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0078582763671875, 0.015716552734375, 0.0038909912109375, 0.0038909912109375, 0.0093536376953125]","[0.0262603759765625, 0.03411865234375, 0.0222930908203125, 0.0222930908203125, 0.0277557373046875]","[0.023961111903190613, 0.025733333081007004, 0.0273777786642313, 0.0273777786642313, 0.02701111137866974]",[0.00773021 0.00764943 0.00757998 0.00751481 0.00748631],0.034955323,0.013446912,"[7.189884376525879, 6.215878295898437, 6.178374290466309, 6.366615867614747, 6.54285888671875]","[7.075692939758301, 6.149798393249512, 6.123159980773926, 6.234613990783692, 6.289261817932129]",0.7248654934617093,0.018448188321575635,0.19610162442618045,0.25,0.0736350400889531,0.08668064062500001,0.05,0.05,
10,2,1,0.87014484,"[8.982034873962402, 10.0]",[0. 0. 0. 0. 0.],[0.00396825 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.01737213134765625, 0.025390625, 0.025390625, 0.025390625, 0.025390625]","[0.03577423095703125, 0.043792724609375, 0.043792724609375, 0.043792724609375, 0.043792724609375]","[0.031127776950597763, 0.035244446247816086, 0.035244446247816086, 0.035244446247816086, 0.035244446247816086]",[0.00732073 0.00721182 0.00711504 0.00701874 0.00698225],0.035332303,0.013222287,"[8.405944442749023, 8.696305084228516, 10.0, 10.0, 10.0]","[8.724464416503906, 8.889278221130372, 10.0, 10.0, 10.0]",0.6919487862163158,0.02402729513143238,0.18092680306270206,0.25,0.06822299923249871,0.06956533958333333,0.05,0.04920634920634921,
