step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[10.0, 0.7198509931564332]",[0.03366445 0.04801922 0.03892608 0.06428163 0.06679293],[0.00487512 0.00248872 0.00339344 0.00630268 0.00186552],[0.00024656 0.         0.00033467 0.00018896 0.00018811],"[0.02468363381922245, 0.010869343765079975, 0.00347137451171875, 0.01700592041015625, 0.0194574985653162]","[0.0503946952521801, 0.0365804024040699, 0.02918243408203125, 0.04271697998046875, 0.04516855999827385]","[0.03431851789355278, 0.028224073350429535, 0.032119445502758026, 0.03708333149552345, 0.0314592607319355]",[0.1376779  0.11729702 0.10256527 0.09712154 0.09603932],0.040808614,0.0091441525,"[10.0, 10.0, 9.945013427734375, 10.0, 8.696542549133301]","[10.0, 10.0, 9.890600204467773, 10.0, 8.601398086547851]",0.6343368270492828,0.04909742266721054,0.2,0.18707892207257087,0.06708597056978083,0.1,0.0,0.031074511739720603,
2,0,1,-0.46042657,"[0.7558429837226868, 1.1167200088500977]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0.    0.004 0.    0.    0.   ],"[0.015625, 0.0078125, 0.0, 0.0, 0.0]","[0.027679443359375, 0.019866943359375, 0.012054443359375, 0.012054443359375, 0.012054443359375]","[0.029711110517382622, 0.02957777865231037, 0.029444444924592972, 0.029444444924592972, 0.029444444924592972]",[0.09536776 0.09488557 0.0944341  0.0941585  0.09389002],0.03811511,0.011615614,"[5.639989280700684, 3.11728343963623, 3.6481705665588375, 2.245156955718994, 3.228104019165039]","[5.595257186889649, 3.1627465248107907, 3.551574420928955, 2.4199840545654294, 3.0569378852844236]",0.6303348637430468,0.022503390272361454,0.2,0.25,0.07192074708179641,0.035910726388888904,0.0,0.05,
3,0,1,-0.918053,"[1.1725560188293458, 1.7323949813842772]",[0. 0. 0. 0. 0.],[0.         0.         0.01612903 0.         0.        ],[0. 0. 0. 0. 0.],"[0.030242919921875, 0.0, 0.0, 0.0, 0.0]","[0.0396575927734375, 0.0094146728515625, 0.0094146728515625, 0.0094146728515625, 0.0094146728515625]","[0.03420000150799751, 0.03572222217917442, 0.03572222217917442, 0.03572222217917442, 0.03572222217917442]",[0.0933698  0.09325244 0.09309237 0.09299176 0.09289004],0.035889875,0.013448466,"[1.7383785247802734, 0.9644535064697266, 1.0513160228729248, 1.1238719940185546, 0.8541749835014343]","[1.5790724754333496, 0.9347409963607788, 1.07362699508667, 1.1692009687423706, 0.8512140035629272]",0.6827595117984744,0.006270070111457239,0.2,0.25,0.06792370207008158,0.074694771875,0.05,0.03387096774193549,
4,0,1,-0.96694475,"[1.8190140247344972, 2.1315059661865234]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0433197021484375, 0.0433197021484375, 0.031219482421875, 0.0191192626953125, 0.0191192626953125]","[0.052734375, 0.052734375, 0.0406341552734375, 0.028533935546875, 0.028533935546875]","[0.03444444388151169, 0.03444444388151169, 0.029927777126431465, 0.025411110371351242, 0.025411110371351242]",[0.0926753  0.09255435 0.09246287 0.092398   0.09236362],0.036629815,0.013487418,"[0.7355870127677917, 0.7207590103149415, 0.6551199913024903, 0.7974710106849671, 0.5460879981517792]","[0.7249415040016174, 0.705891489982605, 0.6364009976387024, 0.7503659844398498, 0.5343670040369034]",0.6940962499258863,0.0025387578699098794,0.17282693045479913,0.25,0.06873056160117715,0.1,0.05,0.05,
5,1,1,0.6265404,"[2.1580810070037844, 2.5189219474792477]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00457763671875, 0.00457763671875, 0.034576416015625, 0.034576416015625, 0.034576416015625]","[0.0139923095703125, 0.0139923095703125, 0.0439910888671875, 0.0439910888671875, 0.0439910888671875]","[0.025433333590626717, 0.025433333590626717, 0.024488888680934906, 0.024488888680934906, 0.024488888680934906]",[0.09144439 0.09064154 0.08971059 0.0887587  0.08817422],0.03596563,0.013794483,"[5.578802299499512, 7.668296051025391, 8.020827293395996, 7.931287002563477, 8.683460807800293]","[5.408007240295411, 6.8140558242797855, 7.780832672119141, 7.571690177917481, 8.0828857421875]",0.6947371460876597,0.04130760837577177,0.2,0.25,0.07515380646188771,0.028275731250000005,0.05,0.05,
6,1,1,0.8255112,"[2.3929749965667724, 2.2815109729766845]",[0.         0.         0.00291878 0.         0.05656934],[0.         0.         0.00063824 0.         0.00333333],[0.         0.         0.         0.         0.00205761],"[0.0209808349609375, 0.011962890625, 0.0251312255859375, 0.0251312255859375, 0.0313720703125]","[0.0303955078125, 0.0213775634765625, 0.0345458984375, 0.0345458984375, 0.0407867431640625]","[0.03558889031410217, 0.028111111372709274, 0.03592222183942795, 0.03592222183942795, 0.03664444386959076]",[0.08604664 0.08500227 0.07721027 0.07637407 0.07627773],0.035558607,0.013242569,"[8.528795623779297, 7.9385826110839846, 7.867438697814942, 9.843122673034667, 9.418366050720214]","[7.977215576171875, 7.913343238830566, 7.83946475982666, 9.941689491271973, 9.32920570373535]",0.6822017030678296,0.045594961541208096,0.2,0.23512796880210457,0.06735374787547922,0.08809660173611111,0.0,0.04602842311292656,
7,1,1,0.21327162,"[2.3051610469818113, 2.66421799659729]",[0.         0.03686636 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0313720703125, 0.023040771484375, 0.01470947265625, 0.0482177734375, 0.0482177734375]","[0.0407867431640625, 0.0324554443359375, 0.0241241455078125, 0.0576324462890625, 0.0576324462890625]","[0.03664444386959076, 0.037216667085886, 0.037788890302181244, 0.04242222383618355, 0.04242222383618355]",[0.07489184 0.07450195 0.07412403 0.07380462 0.07354942],0.035788596,0.013256152,"[9.68740119934082, 6.783778762817383, 7.467860221862793, 5.001190948486328, 3.5738961219787595]","[9.270195388793946, 7.163674545288086, 7.30761775970459, 4.818316078186036, 3.492653942108154]",0.7050323754027449,0.03691392835302594,0.1864352526965442,0.24078341013824886,0.06398765643714799,0.07691212777777778,0.05,0.05,
8,1,1,0.45899308,"[2.7088769912719726, 3.11495885848999]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0482177734375, 0.0163116455078125, 0.0163116455078125, 0.0163116455078125, 0.0154571533203125]","[0.0576324462890625, 0.025726318359375, 0.025726318359375, 0.025726318359375, 0.024871826171875]","[0.04242222383618355, 0.04084444418549538, 0.04084444418549538, 0.04084444418549538, 0.038688890635967255]",[0.07243381 0.07185695 0.07114296 0.07069494 0.07047582],0.035641197,0.01331035,"[9.315736007690429, 7.980168724060059, 8.339885711669922, 9.578302955627441, 7.101840972900391]","[8.890042686462403, 7.761108779907227, 8.234049606323241, 9.137874794006347, 6.897185134887695]",0.7382328857811294,0.04466566163564803,0.2,0.25,0.06398765643714799,0.07957956770833334,0.05,0.05,
9,1,1,0.087249994,"[3.143375968933105, 3.657690906524658]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.04046630859375, 0.04046630859375, 0.04046630859375, 0.04046630859375, 0.019683837890625]","[0.0498809814453125, 0.0498809814453125, 0.0498809814453125, 0.0498809814453125, 0.0290985107421875]","[0.03638888895511627, 0.03638888895511627, 0.03638888895511627, 0.03638888895511627, 0.03991110995411873]",[0.06946849 0.0690162  0.06865335 0.06827359 0.06811702],0.03637455,0.013303421,"[6.84326171875, 7.912407684326172, 4.940595626831055, 7.848471832275391, 6.308818054199219]","[6.9456274032592775, 7.351555633544922, 4.865543556213379, 7.780056190490723, 6.148710060119629]",0.7173643800471038,0.03804680576113706,0.18153718963382753,0.25,0.06541034194380574,0.08237004270833334,0.05,0.05,
10,2,1,0.87014484,"[3.7001599311828612, 4.072076034545899]",[0.01347305 0.         0.         0.         0.        ],[0.00153846 0.         0.         0.         0.00444444],[0. 0. 0. 0. 0.],"[0.02642059326171875, 0.0331573486328125, 0.0331573486328125, 0.0331573486328125, 0.0331573486328125]","[0.03583526611328125, 0.042572021484375, 0.042572021484375, 0.042572021484375, 0.042572021484375]","[0.03977222368121147, 0.039633333683013916, 0.039633333683013916, 0.039633333683013916, 0.039633333683013916]",[0.06720521 0.06671837 0.06622463 0.06591566 0.06562128],0.03659775,0.013030764,"[8.782441329956054, 9.605815124511718, 10.0, 9.211618232727051, 10.0]","[9.348334503173827, 9.535112380981445, 10.0, 9.477296257019043, 10.0]",0.7258955065976934,0.0483941007373925,0.2,0.24663173652694612,0.06549074198292741,0.07136183333333333,0.05,0.04401709401709402,
