time/time_elapsed,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/critic_loss
650,200,0.10000000149011612,0.00067214,189,-2.8372509479522705,0,50.0,4,36.32265125000001,0.003094365820288658
1300,400,0.10000000149011612,0.00064414,389,-5.6045660972595215,0,50.0,8,36.12443875,0.005755900405347347
1947,600,0.10000000149011612,0.0006161399999999999,589,-8.641960144042969,0,50.0,12,36.055233416666674,0.004980070982128382
2599,800,0.10000000149011612,0.00058814,789,-11.641338348388672,0,50.0,16,36.0502223125,0.022631008177995682
3256,1000,0.10000000149011612,0.00056014,989,-14.614642143249512,0,50.0,20,36.0466646,0.007058384828269482
3905,1200,0.10000000149011612,0.00053214,1189,-17.679317474365234,0,50.0,24,36.029507708333334,0.012632525525987148
4616,1400,0.10000000149011612,0.0005041399999999999,1389,-20.782062530517578,0,50.0,28,35.86849421428571,0.012656854465603828
5301,1600,0.10000000149011612,0.00047614,1589,-23.688766479492188,0,50.0,32,35.7745043125,0.020255256444215775
5967,1800,0.10000000149011612,0.00044814,1789,-26.775470733642578,0,50.0,36,35.74145158333333,0.006652279756963253
6646,2000,0.10000000149011612,0.00042014000000000005,1989,-29.78946876525879,0,50.0,40,35.691462200000004,0.016403499990701675
7360,2200,0.10000000149011612,0.00039214,2189,-32.72709655761719,0,50.0,44,35.54774720454545,0.02612258866429329
8046,2400,0.10000000149011612,0.00036414,2389,-35.61282730102539,0,50.0,48,35.5030485,0.04306580498814583
8751,2600,0.10000000149011612,0.00033613999999999996,2589,-38.81268310546875,0,50.0,52,35.46786192307692,0.01214165985584259
9416,2800,0.10000000149011612,0.00030814000000000004,2789,-41.7916145324707,0,50.0,56,35.451541410714285,0.005580144934356213
10085,3000,0.10000000149011612,0.00028014,2989,-44.769447326660156,0,50.0,60,35.43152821666667,0.014397461898624897
10748,3200,0.10000000149011612,0.00025214,3189,-47.66412353515625,0,50.0,64,35.421614875,0.0075155217200517654
11436,3400,0.10000000149011612,0.00022414000000000003,3389,-50.565738677978516,0,50.0,68,35.39269242647059,0.009310351684689522
12104,3600,0.10000000149011612,0.00019614,3589,-53.50484848022461,0,50.0,72,35.39114101388889,0.009356006979942322
12790,3800,0.10000000149011612,0.00016813999999999997,3789,-56.33861541748047,0,50.0,76,35.37635330263158,0.009080672636628151
13462,4000,0.10000000149011612,0.00014014000000000002,3989,-59.21895217895508,0,50.0,80,35.3684620375,0.008703585714101791
14124,4200,0.10000000149011612,0.00011214000000000001,4189,-62.06926727294922,0,50.0,84,35.3802313452381,0.008623799309134483
14790,4400,0.10000000149011612,8.413999999999998e-05,4389,-64.86344146728516,0,50.0,88,35.38586113636364,0.00788512360304594
15447,4600,0.10000000149011612,5.6140000000000035e-05,4589,-67.70817565917969,0,50.0,92,35.414493434782614,0.012683862820267677
16103,4800,0.10000000149011612,2.814000000000001e-05,4789,-70.53239440917969,0,50.0,96,35.43946509375,0.011921047233045101
