step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.055202102661133, 7.4370567321777346]",[0.0002721  0.00151515],[1.2483771e-05 4.7980496e-04],[6.2418853e-06 0.0000000e+00],"[0.0390441007912159, 0.012377189472317696]","[0.0463225431740284, 0.019655631855130196]","[0.028414051979780197, 0.02742558903992176]",[0.0061545  0.00375689],0.033188093,0.02133567,"[7.031287574768067, 6.736835670471192]","[6.9637702941894535, 6.687595176696777]",0.7574706350945695,0.038518539294810104,0.2,0.24888296648271666,0.0728603225608102,0.1,0.04843952861280336,0.04876927814342922,
2,0,1,-0.46042657,"[7.510103225708008, 8.755733108520507]",[0. 0.],[0. 0.],[0. 0.],"[0.01903533935546875, 0.035396575927734375]","[0.02631378173828125, 0.042675018310546875]","[0.02638888917863369, 0.0273777786642313]",[0.00313828 0.00307149],0.033327434,0.020504586,"[4.781627750396729, 3.6750887870788573]","[4.642031288146973, 3.618139553070068]",0.7199777401649534,0.026095073023398446,0.19791120376178928,0.25,0.0736350400889531,0.07233642329081252,0.05,0.05,
3,0,1,-0.918053,"[8.843773078918456, 10.0]",[0. 0.],[0. 0.],[0. 0.],"[0.01995849609375, 0.0190582275390625]","[0.0272369384765625, 0.026336669921875]","[0.02938888967037201, 0.0270222220569849]",[0.00299886 0.00297981],0.03269701,0.019587224,"[1.758081245422363, 0.9544922471046448]","[1.7011056900024415, 0.9483950138092041]",0.700133677823938,0.007899887381211784,0.2,0.25,0.07215120190105943,0.07008258854166667,0.05,0.05,
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0.],[0. 0.],[0. 0.],"[0.0098724365234375, 0.01395416259765625]","[0.01715087890625, 0.02123260498046875]","[0.02898888848721981, 0.027033332735300064]",[0.0029546  0.00294046],0.031509735,0.019122092,"[0.8007312536239624, 0.6905782580375672]","[0.7695510029792786, 0.6755635023117066]",0.7254414430164265,0.0030014784945523424,0.2,0.25,0.07243996452187416,0.1,0.05,0.05,
5,1,1,0.6265404,"[10.0, 10.0]",[0. 0.],[0. 0.],[0. 0.],"[0.053131103515625, 0.022006988525390625]","[0.0604095458984375, 0.029285430908203125]","[0.020055554807186127, 0.02429722249507904]",[0.00285257 0.00271434],0.032587532,0.019290391,"[7.0207727432250975, 8.935157012939452]","[6.8678590774536135, 9.16727294921875]",0.6618194671186254,0.0428559548406786,0.16821427586102727,0.25,0.07608580152108609,0.024663434895833326,0.05,0.05,
6,1,1,0.8255112,"[7.236841773986817, 10.0]",[0.00460705 0.02425665],[0.00091741 0.00096339],[0.00050201 0.        ],"[0.03237152099609375, 0.041900634765625]","[0.03964996337890625, 0.0491790771484375]","[0.029044443741440773, 0.025166666135191917]",[0.00410302 0.00585369],0.033866126,0.018676633,"[9.200118064880371, 9.312091636657716]","[9.312418937683105, 9.306038856506348]",0.6789915398917126,0.04748886324935837,0.19515877113685953,0.23196018932020307,0.0723996779406874,0.08668604079861111,0.0,0.04529799744599318,
7,1,1,0.21327162,"[9.493669891357422, 10.0]",[0.02442748 0.        ],[0. 0.],[0. 0.],"[0.0191650390625, 0.000591278076171875]","[0.0252838134765625, 0.006710052490234375]","[0.02478666603565216, 0.02447500079870224]",[0.00664789 0.00668321],0.032603327,0.01927959,"[7.385837554931641, 6.6530609130859375]","[7.231768608093262, 6.6411333084106445]",0.7261904536561833,0.03907621364923117,0.2,0.23473282442748092,0.07567991228085996,0.0767015032986111,0.05,0.05,
8,1,1,0.45899308,"[10.0, 10.0]",[0. 0.],[0. 0.],[0. 0.],"[0.0029296875, 0.007656097412109375]","[0.00555419921875, 0.010280609130859375]","[0.02207222208380699, 0.02035277709364891]",[0.00642399 0.00626069],0.031060457,0.019631753,"[8.934524154663086, 7.526667976379395]","[8.519551658630371, 7.471030235290527]",0.759215504586129,0.043806349270011556,0.2,0.25,0.07802526703486733,0.08738388828124999,0.05,0.05,
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0.],[0. 0.],[0. 0.],"[0.007518768310546875, 0.008392333984375]","[0.010143280029296875, 0.011016845703125]","[0.024550000205636024, 0.026455555111169815]",[0.00603264 0.00593075],0.029995276,0.01965413,"[6.681167030334473, 6.548799514770508]","[6.499420547485352, 6.378125762939454]",0.7449062239682738,0.03739136705674327,0.2,0.25,0.0743441581268082,0.08317069878472222,0.05,0.05,
10,2,1,0.87014484,"[8.488372230529786, 10.0]",[0.        0.0650134],[0.00175993 0.0009058 ],[0. 0.],"[0.0011444091796875, 0.03325653076171875]","[0.0037689208984375, 0.03588104248046875]","[0.02930000051856041, 0.030024999752640724]",[0.00572724 0.00773537],0.029426308,0.019853827,"[9.806697273254395, 9.954423332214356]","[9.873249816894532, 10.0]",0.6855448843978199,0.04960521511310185,0.1955557443045236,0.2093666219839142,0.0716980566038302,0.06598357118055555,0.05,0.043335675211894485,
