train/n_updates,train/ent_coef,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss
189,0.10000000149011612,4,985,35.3368235,0.00067214,50.0,0,200,0.003459514584392309,-2.6747260093688965
389,0.10000000149011612,8,2003,35.119122375,0.00064414,50.0,0,400,0.00957125797867775,-5.504634380340576
589,0.10000000149011612,12,3011,35.04031975,0.0006161399999999999,50.0,0,600,0.013743269257247448,-8.303485870361328
789,0.10000000149011612,16,4058,34.79402825,0.00058814,50.0,0,800,0.010560375638306141,-11.237852096557617
989,0.10000000149011612,20,5082,34.80227875,0.00056014,50.0,0,1000,0.011178710497915745,-14.2111234664917
1189,0.10000000149011612,24,6129,34.807932125,0.00053214,50.0,0,1200,0.04266805946826935,-17.101207733154297
1389,0.10000000149011612,28,7151,34.84089175,0.0005041399999999999,50.0,0,1400,0.014546291902661324,-20.10369110107422
1589,0.10000000149011612,32,8134,34.96089290625,0.00047614,50.0,0,1600,0.025170449167490005,-22.90300178527832
1789,0.10000000149011612,36,9188,35.04672116666667,0.00044814,50.0,0,1800,0.019771229475736618,-25.84122085571289
1989,0.10000000149011612,40,10151,35.102642450000005,0.00042014000000000005,50.0,0,2000,0.01741727441549301,-28.775543212890625
2189,0.10000000149011612,44,11168,35.188238613636365,0.00039214,50.0,0,2200,0.01664244756102562,-31.631181716918945
2389,0.10000000149011612,48,12133,35.25483970833333,0.00036414,50.0,0,2400,0.01726069301366806,-34.416770935058594
2589,0.10000000149011612,52,13095,35.30481513461538,0.00033613999999999996,50.0,0,2600,0.02782287634909153,-37.31645584106445
2789,0.10000000149011612,56,14066,35.354159857142854,0.00030814000000000004,50.0,0,2800,0.05854105204343796,-40.110374450683594
2989,0.10000000149011612,60,15037,35.38004298333333,0.00028014,50.0,0,3000,0.03694072365760803,-42.906097412109375
3189,0.10000000149011612,64,16003,35.40857296875,0.00025214,50.0,0,3200,0.0187392421066761,-45.7718505859375
3389,0.10000000149011612,68,16967,35.43742277941177,0.00022414000000000003,50.0,0,3400,0.032263848930597305,-48.59437942504883
3589,0.10000000149011612,72,17899,35.49567519444444,0.00019614,50.0,0,3600,0.018930312246084213,-51.44249725341797
3789,0.10000000149011612,76,18806,35.54729805263158,0.00016813999999999997,50.0,0,3800,0.033977922052145004,-54.22246170043945
3989,0.10000000149011612,80,19716,35.588222525,0.00014014000000000002,50.0,0,4000,0.01622394472360611,-56.97828674316406
4189,0.10000000149011612,84,20625,35.61590146428571,0.00011214000000000001,50.0,0,4200,0.034873031079769135,-59.747955322265625
4389,0.10000000149011612,88,21532,35.66292522727272,8.413999999999998e-05,50.0,0,4400,0.03923329710960388,-62.50788879394531
4589,0.10000000149011612,92,22434,35.68780752173913,5.6140000000000035e-05,50.0,0,4600,0.025098862126469612,-65.30874633789062
4789,0.10000000149011612,96,23408,35.71879991666666,2.814000000000001e-05,50.0,0,4800,0.03905348479747772,-67.95121765136719
