step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.114206123352051, 10.0]",[0.00108267 0.00463822 0.         0.         0.        ],[2.783112e-05 2.334267e-04 0.000000e+00 6.053269e-04 0.000000e+00],[1.391556e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00],"[0.012693132273852825, 0.01361737959086895, 0.010141645558178425, 0.02300589345395565, 0.0162386205047369]","[0.0350320003926754, 0.0359562449157238, 0.03248051181435585, 0.0453447625041008, 0.03857748955488205]","[0.024646032601594925, 0.030212698504328728, 0.032206349074840546, 0.030803969129920006, 0.026888888329267502]",[0.01254364 0.00927156 0.00775437 0.00642274 0.00547101],0.0374782,0.008894234,"[7.1739301681518555, 6.811563873291016, 6.795359039306641, 6.597512435913086, 6.51345500946045]","[7.004390525817871, 6.741211891174316, 6.643909072875977, 6.470414352416992, 6.45189437866211]",0.7545868450756466,0.03807879699460376,0.2,0.24856977867544144,0.07019641014485054,0.1,0.04860844396203835,0.04913341529871251,
2,0,1,-0.46042657,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.019317626953125, 0.0357818603515625, 0.0357818603515625, 0.0357818603515625, 0.0357818603515625]","[0.041656494140625, 0.0581207275390625, 0.0581207275390625, 0.0581207275390625, 0.0581207275390625]","[0.02746666595339775, 0.027588889002799988, 0.027588889002799988, 0.027588889002799988, 0.027588889002799988]",[0.00498624 0.00491059 0.00486565 0.00483064 0.00480357],0.039173223,0.010067092,"[3.993734359741211, 4.86238956451416, 3.5309435844421384, 3.618982982635498, 3.637333011627197]","[3.812314033508301, 4.981920528411865, 3.4593911170959473, 3.8005269050598143, 3.404405117034912]",0.6930918668423734,0.024477740564283,0.174822992457575,0.25,0.073475378314563,0.07031575550595237,0.05,0.05,
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01097869873046875, 0.0006561279296875, 0.0052642822265625, 0.0098724365234375, 0.0098724365234375]","[0.03331756591796875, 0.0229949951171875, 0.0276031494140625, 0.0322113037109375, 0.0322113037109375]","[0.024222223088145256, 0.021744444966316223, 0.02432222291827202, 0.026900000870227814, 0.026900000870227814]",[0.00475894 0.00474215 0.00472349 0.00470878 0.00470298],0.03822983,0.0102530625,"[1.5635045051574705, 1.0627549648284913, 1.0652785301208496, 1.060829997062683, 0.7946909904479981]","[1.5421245098114014, 0.9958680033683777, 1.033499002456665, 1.0499510288238525, 0.8417100071907044]",0.7006095533575154,0.005976896065848683,0.2,0.25,0.074,0.07063265729166666,0.05,0.05,
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0070037841796875, 0.0041351318359375, 0.0368499755859375, 0.0368499755859375, 0.0635223388671875]","[0.0293426513671875, 0.0264739990234375, 0.0591888427734375, 0.0591888427734375, 0.0858612060546875]","[0.02824999950826168, 0.029600000008940697, 0.03172222152352333, 0.03172222152352333, 0.029777778312563896]",[0.00468201 0.00467121 0.00465813 0.00464962 0.00464576],0.03896624,0.011772311,"[0.7942545056343079, 0.8209964871406555, 0.8096189856529237, 0.5839929938316345, 0.6986460030078888]","[0.7832290172576905, 0.765823483467102, 0.7849630117416382, 0.5846870064735412, 0.6897929966449738]",0.694623664893667,0.0029664653262473986,0.17113412085999835,0.25,0.07052307870742114,0.1,0.05,0.05,
5,1,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0635223388671875, 0.04923248291015625, 0.034942626953125, 0.018707275390625, 0.018707275390625]","[0.0858612060546875, 0.07157135009765625, 0.057281494140625, 0.041046142578125, 0.041046142578125]","[0.029777778312563896, 0.028527777642011642, 0.02727777697145939, 0.02952222153544426, 0.02952222153544426]",[0.00456925 0.00449064 0.00440125 0.00433526 0.00426245],0.04092497,0.014089449,"[6.162461280822754, 7.490470314025879, 9.625307273864745, 9.428841972351075, 9.190716743469238]","[6.178010368347168, 7.3463949203491214, 8.900534057617188, 9.471071815490722, 9.20389919281006]",0.6701002894908055,0.044358396369379355,0.183431692684398,0.25,0.07187330252036135,0.020436897916666676,0.05,0.05,
6,1,1,0.8255112,"[8.319816207885742, 9.757913970947266]",[0.         0.         0.         0.00955813 0.        ],[0.00116144 0.         0.         0.00095847 0.        ],[0. 0. 0. 0. 0.],"[0.00799560546875, 0.02557373046875, 0.02725982666015625, 0.00927734375, 0.00927734375]","[0.03033447265625, 0.04791259765625, 0.04959869384765625, 0.0316162109375, 0.0316162109375]","[0.0333000011742115, 0.03402222320437431, 0.033755555748939514, 0.03280000016093254, 0.03280000016093254]",[0.00416228 0.00402257 0.00392679 0.00581263 0.00571589],0.040655706,0.013645171,"[8.140992546081543, 8.680709075927734, 9.154702186584473, 9.524374389648438, 8.73763198852539]","[7.8666582107543945, 8.556941795349122, 8.902488136291504, 9.653405380249023, 8.881845283508301]",0.7605469340966818,0.046054581631422925,0.2,0.24761046693826386,0.06900179216649956,0.1,0.05,0.04788009336049545,
7,1,1,0.21327162,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0174102783203125, 0.0174102783203125, 0.0094757080078125, 0.0094757080078125, 0.0094757080078125]","[0.0397491455078125, 0.0397491455078125, 0.0318145751953125, 0.0318145751953125, 0.0318145751953125]","[0.031922221183776855, 0.031922221183776855, 0.02727777697145939, 0.02727777697145939, 0.02727777697145939]",[0.00743442 0.00734099 0.00726926 0.00723024 0.00719817],0.040406536,0.013316246,"[9.768966102600098, 6.819399642944336, 6.2818237304687505, 6.637871170043946, 6.717713737487793]","[9.547641944885253, 6.493360328674316, 5.9758607864379885, 6.734213256835938, 6.4540447235107425]",0.743687004082273,0.03999230550162318,0.2,0.25,0.07038769024731627,0.08330700833333332,0.05,0.05,
8,1,1,0.45899308,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00537634],[0. 0. 0. 0. 0.],"[0.0341949462890625, 0.02392578125, 0.0136566162109375, 0.0136566162109375, 0.0136566162109375]","[0.0565338134765625, 0.0462646484375, 0.0359954833984375, 0.0359954833984375, 0.0359954833984375]","[0.02383333258330822, 0.027188889682292938, 0.030544444918632507, 0.030544444918632507, 0.030544444918632507]",[0.00704963 0.00696102 0.00686719 0.00679455 0.00675146],0.040610615,0.0131562445,"[7.712105751037598, 7.837578773498535, 8.594903564453125, 6.637348175048828, 8.681451225280762]","[7.863957405090332, 7.1137285232543945, 8.556463432312011, 6.569838905334473, 8.87126579284668]",0.7505462088381439,0.04253098164267312,0.19205823794815893,0.25,0.07133333333333335,0.1,0.05,0.044623655913978495,
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.017974853515625, 0.017974853515625, 0.0089874267578125, 0.0, 0.0]","[0.029022216796875, 0.029022216796875, 0.0200347900390625, 0.01104736328125, 0.01104736328125]","[0.036844443529844284, 0.036844443529844284, 0.03443888947367668, 0.03203333169221878, 0.03203333169221878]",[0.00660818 0.00653794 0.00647583 0.00642961 0.0064001 ],0.039540313,0.013633542,"[6.462128829956055, 6.451777076721192, 5.457970428466797, 7.0030927658081055, 6.593795967102051]","[6.581150817871094, 6.800522041320801, 5.558946228027344, 7.156915092468262, 6.608086204528809]",0.7380628676834118,0.03644521108159692,0.2,0.25,0.06723145139348133,0.08438620520833334,0.05,0.05,
10,2,1,0.87014484,"[9.233870124816894, 9.695563125610352]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00338983],[0. 0. 0. 0. 0.],"[0.0345306396484375, 0.0070037841796875, 0.0070037841796875, 0.0070037841796875, 0.0070037841796875]","[0.0455780029296875, 0.0180511474609375, 0.0180511474609375, 0.0180511474609375, 0.0180511474609375]","[0.03538889065384865, 0.0281777773052454, 0.0281777773052454, 0.0281777773052454, 0.0281777773052454]",[0.00625293 0.00615718 0.00608423 0.00602226 0.00596871],0.038734384,0.013949193,"[8.964792633056641, 9.93075180053711, 8.991889381408692, 10.0, 10.0]","[8.656974601745606, 9.742430114746094, 9.001580810546875, 10.0, 10.0]",0.7301677400496622,0.04858924567371569,0.2,0.25,0.06813221759275435,0.06683610729166667,0.05,0.046610169491525424,
