train/actor_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/episodes,train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/ent_coef,time/fps
-2.875765562057495,200,608,36.288478,189,4,0.0015605397056788206,0.00067214,50.0,0.10000000149011612,0
-5.676608085632324,400,1221,36.23950275,389,8,0.002958503318950534,0.00064414,50.0,0.10000000149011612,0
-8.67404556274414,600,1887,36.241686583333326,589,12,0.0017540918197482824,0.0006161399999999999,50.0,0.10000000149011612,0
-11.634614944458008,800,2498,36.26459025,789,16,0.004420907702296972,0.00058814,50.0,0.10000000149011612,0
-14.6865873336792,1000,3108,36.296496499999996,989,20,0.005824907682836056,0.00056014,50.0,0.10000000149011612,0
-17.73319435119629,1200,3722,36.304104708333334,1189,24,0.0030999155715107918,0.00053214,50.0,0.10000000149011612,0
-20.755937576293945,1400,4335,36.32345314285714,1389,28,0.005728085990995169,0.0005041399999999999,50.0,0.10000000149011612,0
-23.815509796142578,1600,4953,36.34300571875,1589,32,0.005241335369646549,0.00047614,50.0,0.10000000149011612,0
-26.81049156188965,1800,5681,36.345235305555555,1789,36,0.0042123571038246155,0.00044814,50.0,0.10000000149011612,0
-29.801239013671875,2000,6320,36.334253425,1989,40,0.006217906251549721,0.00042014000000000005,50.0,0.10000000149011612,0
-32.80082702636719,2200,6936,36.320847931818186,2189,44,0.011011388152837753,0.00039214,50.0,0.10000000149011612,0
-35.776145935058594,2400,7551,36.31668314583333,2389,48,0.0030588945373892784,0.00036414,50.0,0.10000000149011612,0
-38.7467041015625,2600,8161,36.309725538461535,2589,52,0.004513154737651348,0.00033613999999999996,50.0,0.10000000149011612,0
-41.740718841552734,2800,8782,36.30170519642857,2789,56,0.006597049068659544,0.00030814000000000004,50.0,0.10000000149011612,0
-44.69398880004883,3000,9395,36.302402216666664,2989,60,0.004397072363644838,0.00028014,50.0,0.10000000149011612,0
-47.654815673828125,3200,10011,36.299940734375,3189,64,0.005505349487066269,0.00025214,50.0,0.10000000149011612,0
-50.6099853515625,3400,10622,36.299419,3389,68,0.005903611890971661,0.00022414000000000003,50.0,0.10000000149011612,0
-53.52960205078125,3600,11233,36.29132448611111,3589,72,0.00834599882364273,0.00019614,50.0,0.10000000149011612,0
-56.47233581542969,3800,11845,36.30068957894737,3789,76,0.006323008798062801,0.00016813999999999997,50.0,0.10000000149011612,0
-59.39769744873047,4000,12462,36.299259625000005,3989,80,0.01037477795034647,0.00014014000000000002,50.0,0.10000000149011612,0
-62.269325256347656,4200,13076,36.29365516666667,4189,84,0.005729624070227146,0.00011214000000000001,50.0,0.10000000149011612,0
-65.19256591796875,4400,13687,36.28457335227273,4389,88,0.0099815484136343,8.413999999999998e-05,50.0,0.10000000149011612,0
-68.00961303710938,4600,14294,36.28939707608696,4589,92,0.008608424104750156,5.6140000000000035e-05,50.0,0.10000000149011612,0
-70.86576843261719,4800,14922,36.28973185416667,4789,96,0.008900286629796028,2.814000000000001e-05,50.0,0.10000000149011612,0
