step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[4.376548099517822, 6.676501274108887]",[0.00131593 0.02267857 0.01203008 0.         0.        ],[0.00045793 0.00125987 0.00039032 0.00032468 0.00039463],[0. 0. 0. 0. 0.],"[0.015604292042553425, 0.04424503818154335, 0.02556937001645565, 0.06711796671152115, 0.049652099609375]","[0.04262760654091835, 0.07126835733652115, 0.0525926873087883, 0.09414128214120865, 0.0766754150390625]","[0.030228571966290474, 0.03540237993001938, 0.03265634924173355, 0.03138253837823868, 0.02638571336865425]",[0.01540242 0.015961   0.01446969 0.01353904 0.01153242],0.067461066,0.022564119,"[7.263628387451172, 6.690204429626465, 7.519625282287598, 7.10250415802002, 7.329655647277832]","[6.899794960021973, 6.557517623901368, 7.461468696594238, 7.017290306091309, 7.218803596496582]",0.7482862382404625,0.039734116263325896,0.2,0.2409938563477596,0.06812375119159662,0.1,0.05,0.049434514437780394,
2,0,1,-0.46042657,"[6.744672012329102, 7.84279727935791]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.01220703125]","[0.0111846923828125, 0.0111846923828125, 0.0111846923828125, 0.0111846923828125, 0.0233917236328125]","[0.022388888522982597, 0.022388888522982597, 0.022388888522982597, 0.022388888522982597, 0.023977776989340782]",[0.01048637 0.01037611 0.01028581 0.01021987 0.01015702],0.061845634,0.02710178,"[4.819257068634033, 4.292220592498779, 3.9141249656677246, 2.9841079711914062, 3.642070865631103]","[4.52124662399292, 4.4117778778076175, 3.676539039611816, 3.1443000793457028, 3.7654061317443848]",0.7169792634899872,0.02448695244008746,0.2,0.25,0.0763544695320424,0.06613784151785716,0.05,0.05,
3,0,1,-0.918053,"[7.935080718994141, 9.180978965759277]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0054931640625, 0.0054931640625, 0.013427734375, 0.013427734375, 0.005096435546875]","[0.0166778564453125, 0.0166778564453125, 0.0246124267578125, 0.0246124267578125, 0.0162811279296875]","[0.024966666474938393, 0.024966666474938393, 0.021566666662693024, 0.021566666662693024, 0.027788888663053513]",[0.01003935 0.01000217 0.00997655 0.00995373 0.00992809],0.057916153,0.028602969,"[1.1558075189590453, 0.9782075166702271, 0.9026089906692505, 1.1031330108642579, 1.0665039777755738]","[1.1484029769897461, 0.9797169923782348, 0.883075499534607, 1.1167459726333617, 1.0649759769439697]",0.6986628525458266,0.005432685619149842,0.2,0.25,0.07332500130167659,0.069905165625,0.05,0.05,
4,0,1,-0.96694475,"[9.335593223571777, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.005096435546875, 0.0112762451171875, 0.0174560546875, 0.0174560546875, 0.0174560546875]","[0.0162811279296875, 0.0224609375, 0.0286407470703125, 0.0286407470703125, 0.0286407470703125]","[0.027788888663053513, 0.029677778482437134, 0.031566668301820755, 0.031566668301820755, 0.031566668301820755]",[0.00988539 0.00986246 0.00983886 0.0098211  0.0098086 ],0.055030175,0.029001452,"[0.6675914943218231, 0.7226154923439025, 0.7345659852027893, 0.6469319939613343, 0.6695990025997163]","[0.6600025057792664, 0.7386140108108521, 0.7111745119094849, 0.6449449956417084, 0.6595800042152404]",0.723144221675632,0.0025154093715127695,0.2,0.25,0.07062881230411909,0.1,0.05,0.05,
5,1,1,0.6265404,"[8.750000190734863, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.028167724609375, 0.0165863037109375, 0.0165863037109375, 0.0165863037109375, 0.0165863037109375]","[0.0393524169921875, 0.02777099609375, 0.02777099609375, 0.02777099609375, 0.02777099609375]","[0.023633332923054695, 0.021977778524160385, 0.021977778524160385, 0.021977778524160385, 0.021977778524160385]",[0.00961801 0.0094272  0.00929041 0.00918069 0.00906996],0.05337026,0.028665109,"[5.8919263839721685, 9.638541793823242, 9.17203483581543, 8.811861801147462, 9.739625167846679]","[5.666337585449219, 9.740690612792969, 8.32476577758789, 8.83244800567627, 8.545636749267578]",0.6890527244588094,0.045348194517991935,0.2,0.25,0.07664762681581734,0.017056903125,0.05,0.05,
6,1,1,0.8255112,"[9.4047607421875, 7.985174942016601]",[0.         0.00677101 0.125      0.         0.        ],[0.         0.00067981 0.         0.         0.00205761],[0.         0.         0.         0.         0.00251256],"[0.016448974609375, 0.01719156838953495, 0.0122222900390625, 0.0122222900390625, 0.0122222900390625]","[0.0276336669921875, 0.02837626077234745, 0.023406982421875, 0.023406982421875, 0.023406982421875]","[0.028422221541404724, 0.03041481412947178, 0.02532222308218479, 0.02532222308218479, 0.02532222308218479]",[0.00887948 0.00961989 0.01350971 0.01329713 0.01306156],0.05043246,0.02841913,"[9.851722908020019, 8.696337127685547, 9.951700782775879, 10.0, 10.0]","[9.774813461303712, 8.887201118469239, 10.0, 9.908827781677246, 10.0]",0.7008816277105584,0.04900226562129073,0.2,0.21705724830724832,0.07142391572323821,0.0890713107638889,0.02487437185929648,0.04945251543559573,
7,1,1,0.21327162,"[8.384432983398437, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0130462646484375, 0.024658203125, 0.024658203125, 0.024658203125, 0.024658203125]","[0.02423095703125, 0.0358428955078125, 0.0358428955078125, 0.0358428955078125, 0.0358428955078125]","[0.03246666491031647, 0.02872222289443016, 0.02872222289443016, 0.02872222289443016, 0.02872222289443016]",[0.01587614 0.01568651 0.01553038 0.01546703 0.01535265],0.04938787,0.027924074,"[7.722355079650879, 7.833550453186035, 6.8275758743286135, 7.113113975524903, 7.739558982849121]","[7.738731002807617, 7.511842155456543, 7.053624153137207, 7.653861045837402, 7.767469978332519]",0.7370142181971988,0.04079848777368621,0.1996593475341797,0.25,0.07002223045877719,0.07653415243055556,0.05,0.05,
8,1,1,0.45899308,"[9.200000190734864, 10.0]",[0.         0.         0.01632653 0.         0.        ],[0.        0.        0.0021097 0.        0.       ],[0. 0. 0. 0. 0.],"[0.0188140869140625, 0.0188140869140625, 0.0194549560546875, 0.0200958251953125, 0.0200958251953125]","[0.029998779296875, 0.029998779296875, 0.0306396484375, 0.031280517578125, 0.031280517578125]","[0.03015555627644062, 0.03015555627644062, 0.030977778136730194, 0.03180000185966492, 0.03180000185966492]",[0.01497123 0.01480522 0.01472601 0.01474985 0.01461392],0.04820609,0.027422478,"[8.300995826721191, 7.381283950805664, 8.130580711364745, 8.782570075988769, 5.08914794921875]","[8.402246284484864, 7.540114212036133, 8.189659690856933, 8.983476257324218, 5.418971252441406]",0.7571189427405906,0.04115216244238864,0.2,0.24591836734693878,0.0704703538795332,0.1,0.05,0.04957805907172996,
9,1,1,0.087249994,"[7.27832374572754, 7.8279869079589846]",[0.05217391 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01531982421875, 0.0105438232421875, 0.0105438232421875, 0.0105438232421875, 0.0105438232421875]","[0.0265045166015625, 0.021728515625, 0.021728515625, 0.021728515625, 0.021728515625]","[0.03252222388982773, 0.03324444591999054, 0.03324444591999054, 0.03324444591999054, 0.03324444591999054]",[0.01449035 0.01451095 0.01436317 0.01426382 0.01418219],0.04671882,0.027271524,"[7.777294731140136, 6.800993537902833, 7.97338981628418, 6.681421089172363, 5.5758708953857425]","[7.7442584991455075, 6.598375892639161, 7.76732063293457, 6.628171157836914, 5.595411109924316]",0.7453037503813584,0.038839486311639235,0.2,0.23695652173913043,0.06950774233058861,0.1,0.05,0.05,
10,2,1,0.87014484,"[7.89879093170166, 8.709481239318848]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0348358154296875, 0.0348358154296875, 0.0300445556640625, 0.0252532958984375, 0.0252532958984375]","[0.0460205078125, 0.0460205078125, 0.041229248046875, 0.03643798828125, 0.03643798828125]","[0.027622222900390625, 0.027622222900390625, 0.024372221902012825, 0.021122222766280174, 0.021122222766280174]",[0.01390187 0.01371214 0.01352098 0.01337361 0.01327936],0.04648039,0.026543915,"[8.523567390441894, 9.774587440490723, 10.0, 9.986691093444824, 10.0]","[8.512427139282227, 9.728006553649902, 10.0, 10.0, 10.0]",0.7283132465165087,0.04885769168017831,0.18408003913031684,0.25,0.0734502563310135,0.07192525937499998,0.05,0.05,
