rollout/ep_len_mean,train/critic_loss,train/ent_coef,time/episodes,time/fps,time/time_elapsed,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate
50.0,0.0024975824635475874,0.10000000149011612,4,0,596,189,-2.8449935913085938,36.597115,200,0.00067214
50.0,0.0029790461994707584,0.10000000149011612,8,0,1198,389,-5.681997776031494,36.53457425,400,0.00064414
50.0,0.002454380039125681,0.10000000149011612,12,0,1816,589,-8.701567649841309,36.54075316666667,600,0.0006161399999999999
50.0,0.008985445834696293,0.10000000149011612,16,0,2420,789,-11.700608253479004,36.554328062500005,800,0.00058814
50.0,0.0028011398389935493,0.10000000149011612,20,0,3023,989,-14.770763397216797,36.56058995000001,1000,0.00056014
50.0,0.00408579409122467,0.10000000149011612,24,0,3622,1189,-17.796411514282227,36.540248375,1200,0.00053214
50.0,0.012548189610242844,0.10000000149011612,28,0,4224,1389,-20.89252471923828,36.551987392857136,1400,0.0005041399999999999
50.0,0.002751642605289817,0.10000000149011612,32,0,4826,1589,-23.896305084228516,36.56410084375,1600,0.00047614
50.0,0.004880289547145367,0.10000000149011612,36,0,5430,1789,-26.932823181152344,36.547295999999996,1800,0.00044814
50.0,0.004474988207221031,0.10000000149011612,40,0,6046,1989,-29.965805053710938,36.5425745,2000,0.00042014000000000005
50.0,0.0037443514447659254,0.10000000149011612,44,0,6671,2189,-33.0441780090332,36.541684659090905,2200,0.00039214
50.0,0.007195265032351017,0.10000000149011612,48,0,7270,2389,-36.04450225830078,36.53980914583333,2400,0.00036414
50.0,0.009924743324518204,0.10000000149011612,52,0,7874,2589,-39.05406951904297,36.53144730769231,2600,0.00033613999999999996
50.0,0.005178514868021011,0.10000000149011612,56,0,8533,2789,-42.06838607788086,36.53238553571428,2800,0.00030814000000000004
50.0,0.008828306570649147,0.10000000149011612,60,0,9140,2989,-45.06117630004883,36.541847216666675,3000,0.00028014
50.0,0.00759856216609478,0.10000000149011612,64,0,9736,3189,-48.00593566894531,36.528113937499995,3200,0.00025214
50.0,0.005206683650612831,0.10000000149011612,68,0,10338,3389,-50.961273193359375,36.52652744117647,3400,0.00022414000000000003
50.0,0.006710308603942394,0.10000000149011612,72,0,10936,3589,-53.93012619018555,36.522278444444446,3600,0.00019614
50.0,0.005519331432878971,0.10000000149011612,76,0,11543,3789,-56.83730697631836,36.53038884210527,3800,0.00016813999999999997
50.0,0.005779482889920473,0.10000000149011612,80,0,12150,3989,-59.737640380859375,36.533573825000005,4000,0.00014014000000000002
50.0,0.006416225805878639,0.10000000149011612,84,0,12755,4189,-62.63089370727539,36.51897123809524,4200,0.00011214000000000001
50.0,0.008039407432079315,0.10000000149011612,88,0,13368,4389,-65.52082061767578,36.50770030681818,4400,8.413999999999998e-05
50.0,0.008344934321939945,0.10000000149011612,92,0,13981,4589,-68.39277648925781,36.49675801086956,4600,5.6140000000000035e-05
50.0,0.010026736184954643,0.10000000149011612,96,0,14588,4789,-71.23506927490234,36.49364660416666,4800,2.814000000000001e-05
