step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.089316940307618, 6.402348899841309]",[0.00031447 0.         0.         0.         0.01009317],[0.00088093 0.         0.00037453 0.         0.00090154],[2.3826542e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.02000223845243454, 0.00994059257209301, 0.01748148538172245, 0.02770487405359745, 0.0139617919921875]","[0.03941141813993454, 0.02934977225959301, 0.0368906669318676, 0.0471140556037426, 0.0333709716796875]","[0.029091851785779, 0.02787703648209572, 0.02969111129641533, 0.02703259326517582, 0.030341269448399544]",[5.2757583e-05 1.5179462e-04 1.0965718e-04 8.6094420e-05 7.2399835e-04],0.03727949,0.012540378,"[7.295652961730958, 7.3551879882812505, 7.0645286560058596, 7.426256942749023, 6.607344627380371]","[7.164337730407715, 7.154047203063965, 7.0219371795654295, 7.059335327148438, 6.517712783813477]",0.7974184661526188,0.07921460361320527,0.2,0.2473980917223329,0.07147543525922273,0.1,0.04976173457231356,0.04956860098554438
2,0,1,-0.46042657,"[6.560969734191895, 7.0984947204589846]",[0.         0.02536918 0.         0.         0.        ],[0.       0.000777 0.       0.       0.      ],[0. 0. 0. 0. 0.],"[6.103515625e-05, 0.03265380859375, 0.03265380859375, 0.03265380859375, 0.03265380859375]","[0.01947021484375, 0.05206298828125, 0.05206298828125, 0.05206298828125, 0.05206298828125]","[0.031022222712635994, 0.027744444087147713, 0.027744444087147713, 0.027744444087147713, 0.027744444087147713]",[0.00092635 0.00456235 0.0045368  0.00447736 0.00444103],0.03780259,0.012732436,"[3.3611241340637203, 6.426202964782715, 3.809152030944824, 6.215278053283692, 7.933749771118164]","[3.553004932403564, 6.809737968444824, 3.8116580009460446, 6.020774841308594, 7.283748817443848]",0.7509595157368663,0.06531715816799048,0.18781201970225145,0.24365770541461568,0.07100191577209128,0.08332611683531747,0.05,0.04984459984459985
3,0,1,-0.918053,"[7.180915069580078, 8.276487159729003]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02407073974609375, 0.0175323486328125, 0.020965576171875, 0.020965576171875, 0.020965576171875]","[0.04347991943359375, 0.0369415283203125, 0.040374755859375, 0.040374755859375, 0.040374755859375]","[0.02459999918937683, 0.02508888952434063, 0.02343333326280117, 0.02343333326280117, 0.02343333326280117]",[0.0043979  0.00437661 0.00435871 0.00435063 0.00434479],0.038031567,0.012214759,"[2.320156955718994, 1.4772734880447387, 1.3201300144195556, 0.9120240092277527, 1.0115930080413817]","[2.3019485473632812, 1.422035503387451, 1.2848614692687987, 0.9030789852142334, 0.9753350138664245]",0.6988891795177201,0.016590567006304412,0.2,0.25,0.0754326323030823,0.05686598020833333,0.05,0.05
4,0,1,-0.96694475,"[8.355847930908203, 9.63883991241455]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.04248046875, 0.04248046875, 0.04248046875, 0.03216552734375, 0.0218505859375]","[0.0618896484375, 0.0618896484375, 0.0618896484375, 0.05157470703125, 0.041259765625]","[0.02759999968111515, 0.02759999968111515, 0.02759999968111515, 0.029216665774583817, 0.030833333730697632]",[0.00432762 0.00431954 0.00431104 0.00429937 0.00429116],0.039838474,0.013178383,"[1.092869019508362, 0.6963720083236695, 0.6530034959316253, 0.8366250038146973, 0.8333880066871644]","[1.0508410215377808, 0.7099080085754395, 0.6235050082206726, 0.8202240109443665, 0.8391469955444336]",0.7050989713642349,0.007289130646877003,0.1766773541768392,0.25,0.07113248654051872,0.1,0.05,0.05
5,1,1,0.6265404,"[9.72826976776123, 7.321434783935547]",[0. 0. 0. 0. 0.],[0.        0.0027027 0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.0218505859375, 0.035247802734375, 0.04864501953125, 0.04864501953125, 0.0333404541015625]","[0.041259765625, 0.054656982421875, 0.06805419921875, 0.06805419921875, 0.0527496337890625]","[0.030833333730697632, 0.027550000697374344, 0.024266665801405907, 0.024266665801405907, 0.029899999499320984]",[0.004249   0.00416601 0.00408983 0.00400562 0.00392861],0.041345652,0.0140024405,"[3.1512755393981933, 10.0, 9.281063270568847, 7.54473934173584, 10.0]","[3.0067214965820312, 9.210030364990235, 8.221882247924805, 7.523627853393555, 10.0]",0.7226590203528275,0.08584437547822117,0.19094107491629467,0.25,0.07113248654051872,0.025281623958333332,0.05,0.04945945945945946
6,1,1,0.8255112,"[7.395622253417969, 8.488415145874024]",[0.05948718 0.02594937 0.11057401 0.         0.02777778],[0.00399762 0.0016554  0.00497998 0.00289959 0.        ],[0.         0.         0.00092593 0.         0.        ],"[0.02825012244284153, 0.07183837890625, 0.07399292290210724, 0.060333251953125, 0.06370925903320312]","[0.04765930026769638, 0.09124755859375, 0.09340210258960724, 0.079742431640625, 0.08311843872070312]","[0.034068889915943146, 0.03479555621743202, 0.035502221435308456, 0.037388887256383896, 0.03275555372238159]",[0.00572805 0.00941949 0.01254463 0.01629207 0.0164793 ],0.048080325,0.021254113,"[7.628416252136231, 9.347086524963379, 8.908309745788575, 9.625817680358887, 8.522821235656739]","[7.773814010620117, 9.22872486114502, 9.431755638122558, 9.647396087646484, 8.525135803222657]",0.703247360448846,0.09181523158303623,0.1624441695213318,0.19405291437988673,0.06690082243384958,0.1,0.040740740740740744,0.047293481790000896
7,1,1,0.21327162,"[8.582348823547363, 9.83783779144287]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0.         0.         0.00144509 0.         0.        ],"[0.0, 0.0, 0.01336669921875, 0.01336669921875, 0.01336669921875]","[0.0108795166015625, 0.0108795166015625, 0.0242462158203125, 0.0242462158203125, 0.0242462158203125]","[0.026411110535264015, 0.026411110535264015, 0.030855555087327957, 0.030855555087327957, 0.030855555087327957]",[0.01620034 0.01606089 0.01581528 0.01568083 0.01561906],0.046285182,0.021894125,"[9.43196506500244, 6.369472312927246, 8.698439979553223, 5.289635276794434, 5.195933055877686]","[9.522470664978027, 6.023932266235351, 8.68281307220459, 5.8769941329956055, 5.25222225189209]",0.7657873724397494,0.07796907464668493,0.2,0.25,0.07111709463675404,0.08115207020833333,0.03554913294797688,0.05
8,1,1,0.45899308,"[9.977372741699218, 10.0]",[0.         0.         0.         0.02970297 0.        ],[0.00169492 0.01030928 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.00981903076171875, 0.0062713623046875, 0.0062713623046875, 0.00707244873046875, 0.00787353515625]","[0.02069854736328125, 0.01715087890625, 0.01715087890625, 0.01795196533203125, 0.0187530517578125]","[0.03384999930858612, 0.036844443529844284, 0.036844443529844284, 0.032838888466358185, 0.028833333402872086]",[0.01532527 0.01515292 0.01497236 0.01494145 0.0149774 ],0.04454788,0.02226005,"[8.126932334899902, 6.611135482788086, 6.667779731750488, 9.468725776672363, 9.708541870117188]","[7.7370504379272464, 6.337832260131836, 7.023157119750977, 9.69132194519043, 8.691552925109864]",0.7825026968774718,0.0867596392791985,0.2,0.24257425742574257,0.06723145139348133,0.0883381875,0.05,0.04759916127904945
9,1,1,0.087249994,"[10.0, 10.0]",[0.         0.06976745 0.         0.         0.        ],[0.00403226 0.         0.0026455  0.00990099 0.        ],[0. 0. 0. 0. 0.],"[0.00787353515625, 0.0120849609375, 0.01629638671875, 0.01629638671875, 0.01629638671875]","[0.0187530517578125, 0.0229644775390625, 0.0271759033203125, 0.0271759033203125, 0.0271759033203125]","[0.028833333402872086, 0.03073333390057087, 0.03263333439826965, 0.03263333439826965, 0.03263333439826965]",[0.01465948 0.01491698 0.01513395 0.01495262 0.01486626],0.043368552,0.02213324,"[8.4151180267334, 5.725302696228027, 8.237627601623535, 7.08177719116211, 6.548594093322754]","[8.540372467041015, 5.631023406982422, 7.987494659423828, 7.149646949768067, 5.088204097747803]",0.7787879627032288,0.07963433092054213,0.2,0.23255813953488372,0.06991124240960865,0.1,0.05,0.04668424983819427
10,2,1,0.87014484,"[10.0, 10.0]",[0.         0.         0.         0.03768116 0.        ],[0.         0.         0.00227273 0.         0.00431034],[0. 0. 0. 0. 0.],"[0.003936767578125, 0.003936767578125, 0.003936767578125, 0.02557373046875, 0.02557373046875]","[0.0148162841796875, 0.0148162841796875, 0.0148162841796875, 0.0364532470703125, 0.0364532470703125]","[0.03637777641415596, 0.03637777641415596, 0.03637777641415596, 0.02459999918937683, 0.02459999918937683]",[0.01563077 0.01541663 0.01521518 0.01537485 0.01527264],0.042225685,0.022252342,"[7.492997169494629, 10.0, 9.563687133789063, 9.833031845092773, 10.0]","[7.517484664916992, 10.0, 9.595010757446289, 8.070773887634276, 10.0]",0.7799290156167802,0.09581776254879472,0.2,0.24057971014492754,0.06751752609312045,0.07733063125,0.05,0.04868338557993731
