step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.051008987426758, 5.073339080810547]",[0.01166939 0.023677   0.02566591 0.02745112 0.        ],[0.00109196 0.00246914 0.00130468 0.00221663 0.00123153],[2.4931438e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.6260506e-04],"[0.05496317520737648, 0.07011719048023224, 0.0500858835875988, 0.06415993720293045, 0.0693424791097641]","[0.06063944473862648, 0.07579346001148224, 0.0557621531188488, 0.06983620673418045, 0.0750187486410141]","[0.031380001455545425, 0.03709407523274422, 0.041558731347322464, 0.04105079546570778, 0.038034919649362564]",[0.01680092 0.01701683 0.01817981 0.02080604 0.0206721 ],0.0674324,0.020295523,"[6.271910858154297, 6.433129501342774, 6.325527000427246, 7.537153625488282, 6.799261474609375]","[6.219183921813965, 6.1661525726318365, 6.477355194091797, 6.833026695251465, 6.668516159057617]",0.7305634625043955,0.07527645881643899,0.2,0.2278841457618276,0.06447044601533525,0.1,0.02124635194391893,0.041686059966874744,
2,0,1,-0.46042657,"[5.179463863372803, 6.0543512344360355]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0644683837890625, 0.070281982421875, 0.0760955810546875, 0.0760955810546875, 0.0760955810546875]","[0.0701446533203125, 0.075958251953125, 0.0817718505859375, 0.0817718505859375, 0.0817718505859375]","[0.02701111137866974, 0.02934444509446621, 0.03167777881026268, 0.03167777881026268, 0.03167777881026268]",[0.01878232 0.01858279 0.01842568 0.0182754  0.01816405],0.06843033,0.01956652,"[5.032922554016113, 3.4443930625915526, 3.4203804969787597, 3.1153820037841795, 3.845422077178955]","[5.234091949462891, 3.2653465270996094, 3.633839416503906, 3.0037091255187987, 3.5541839599609375]",0.7217452985933486,0.04721842474307217,0.1841996292840867,0.25,0.07055324956618964,0.069773995,0.05,0.05,
3,0,1,-0.918053,"[6.195760726928711, 3.046298027038574]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02960205078125, 0.02960205078125, 0.02813720703125, 0.02667236328125, 0.02667236328125]","[0.0352783203125, 0.0352783203125, 0.0338134765625, 0.0323486328125, 0.0323486328125]","[0.032377779483795166, 0.032377779483795166, 0.030355555936694145, 0.028333334252238274, 0.028333334252238274]",[0.01797703 0.01789811 0.01781891 0.01775781 0.01772195],0.064946204,0.021266196,"[1.9143059730529783, 1.1500025033950805, 1.19015953540802, 0.9535959959030151, 0.9971840023994446]","[2.051106071472168, 1.0185530185699463, 1.1816939830780029, 0.9762334823608398, 0.9887070059776306]",0.7077435754326202,0.014022924662376033,0.2,0.25,0.07008159243691084,0.07363905833333333,0.05,0.05,
4,0,1,-0.96694475,"[3.071723079681396, 3.5611330986022947]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.013397216796875, 0.013397216796875, 0.0455474853515625, 0.0455474853515625, 0.0455474853515625]","[0.019073486328125, 0.019073486328125, 0.0512237548828125, 0.0512237548828125, 0.0512237548828125]","[0.02647777833044529, 0.02647777833044529, 0.029988888651132584, 0.029988888651132584, 0.029988888651132584]",[0.01762263 0.01758145 0.01754776 0.01753218 0.01751178],0.062606014,0.022524696,"[0.8054695010185242, 0.6827754974365234, 0.693598997592926, 0.6022480010986329, 0.702987015247345]","[0.7934725165367127, 0.6538370013237, 0.7017720103263856, 0.5839510083198547, 0.707752013206482]",0.7269101075465713,0.005186520960502486,0.2,0.25,0.07172358658606869,0.1,0.05,0.05,
5,1,1,0.6265404,"[3.59555606842041, 4.160095119476319]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0305023193359375, 0.0154571533203125, 0.0243377685546875, 0.0243377685546875, 0.0243377685546875]","[0.0361785888671875, 0.0211334228515625, 0.0300140380859375, 0.0300140380859375, 0.0300140380859375]","[0.029377777129411697, 0.02876666747033596, 0.02921111136674881, 0.02921111136674881, 0.02921111136674881]",[0.01734081 0.01708499 0.01672466 0.01650648 0.01634849],0.06004671,0.023526575,"[2.647579002380371, 6.380379676818848, 6.939698791503907, 7.281134986877442, 7.668455123901367]","[2.5401265621185303, 5.758892250061035, 7.240844345092774, 6.810317039489746, 7.948700904846191]",0.7360707502866425,0.07105775201873708,0.2,0.25,0.0721591826429052,0.04285381562499999,0.05,0.05,
6,1,1,0.8255112,"[4.216826915740967, 0.8523450016975402]",[0.         0.2816429  0.09866667 0.         0.13293651],[0.         0.00956019 0.01405836 0.11252955 0.01303297],[0.0000000e+00 8.2815735e-05 0.0000000e+00 1.4005603e-03 0.0000000e+00],"[0.085052490234375, 0.0878702774643898, 0.0778910294175148, 0.074249267578125, 0.0768280029296875]","[0.090728759765625, 0.0935465469956398, 0.0835672989487648, 0.079925537109375, 0.0825042724609375]","[0.03381111100316048, 0.04639999940991402, 0.0439518503844738, 0.04315555468201637, 0.043255556374788284]",[0.01716377 0.06619555 0.0728184  0.07249156 0.07463932],0.063325,0.02372059,"[8.296065139770507, 10.0, 10.0, 9.416934394836426, 10.0]","[7.7096761703491214, 10.0, 10.0, 9.399198913574219, 10.0]",0.47753328222501656,0.09694192185564347,0.13205159932625393,0.12168847875257474,0.061842431943322174,0.06500885034722224,0.0,0.0,
7,1,1,0.21327162,"[0.861909008026123, 0.4862019956111908]",[0.       0.359447 0.       0.       0.      ],[0.02112676 0.03066304 0.02147997 0.         0.        ],[0.         0.         0.00199203 0.         0.        ],"[0.0670318603515625, 0.1268768310546875, 0.1867218017578125, 0.1867218017578125, 0.1867218017578125]","[0.0727081298828125, 0.1325531005859375, 0.1923980712890625, 0.1923980712890625, 0.1923980712890625]","[0.041955556720495224, 0.046816665679216385, 0.051677778363227844, 0.051677778363227844, 0.051677778363227844]",[0.07664701 0.08020724 0.08396368 0.0831305  0.08272521],0.06862827,0.03401585,"[7.018911933898926, 7.868488121032715, 10.0, 6.820792961120605, 5.696000099182129]","[9.032678985595703, 10.0, 10.0, 6.592475891113281, 5.79952220916748]",0.4653259087796498,0.08186262798734995,0.08563198379957147,0.16013824884792627,0.059169728005913184,0.07852332013888891,0.0,0.0,
8,1,1,0.45899308,"[0.4934750020503998, 0.5820879995822906]",[0.         0.         0.03235294 0.         0.        ],[0.         0.01086957 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0652923583984375, 0.0652923583984375, 0.0529327392578125, 0.0529327392578125, 0.0529327392578125]","[0.0709686279296875, 0.0709686279296875, 0.0586090087890625, 0.0586090087890625, 0.0586090087890625]","[0.04032222181558609, 0.04032222181558609, 0.04098888859152794, 0.04098888859152794, 0.04098888859152794]",[0.0838949  0.0830053  0.08250073 0.08183421 0.08139161],0.06840074,0.033039298,"[9.510874366760254, 9.61427574157715, 7.474547576904297, 9.35455780029297, 7.16193904876709]","[9.418146324157714, 9.65286636352539, 7.3784023284912115, 9.61558494567871, 8.623834228515625]",0.7744319051501135,0.09049703125731806,0.2,0.24191176470588235,0.06479267752930429,0.08809999687499999,0.05,0.0391304347826087,
9,1,1,0.087249994,"[0.5894810080528259, 0.6720780074596405]",[0.         0.13316584 0.         0.         0.10619469],[0.         0.         0.00483092 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0550994873046875, 0.0213775634765625, 0.0213775634765625, 0.0213775634765625, 0.0247039794921875]","[0.0607757568359375, 0.0270538330078125, 0.0270538330078125, 0.0270538330078125, 0.0303802490234375]","[0.031922221183776855, 0.03689999878406525, 0.03689999878406525, 0.03689999878406525, 0.03775555640459061]",[0.08009701 0.08083342 0.08009276 0.0795837  0.07966779],0.06658252,0.033134848,"[9.179721260070801, 5.855111885070801, 6.305982780456543, 6.881050109863281, 7.746423149108887]","[9.271027946472168, 5.287438583374024, 6.878634262084961, 6.81495475769043, 7.073551750183106]",0.716687008172991,0.07956952406579038,0.2,0.19015987014719615,0.06668000266773387,0.08510852916666667,0.05,0.04516908212560387,
10,2,1,0.87014484,"[0.6850809991359711, 0.7912379860877992]",[0.        0.0862069 0.        0.        0.       ],[0.         0.00189394 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.03723907470703125, 0.03885650634765625, 0.0279388427734375, 0.0279388427734375, 0.0279388427734375]","[0.04291534423828125, 0.04453277587890625, 0.0336151123046875, 0.0336151123046875, 0.0336151123046875]","[0.036322221159935, 0.03280000016093254, 0.030711110681295395, 0.030711110681295395, 0.030711110681295395]",[0.07834877 0.07784572 0.07761002 0.07713631 0.07656287],0.06531362,0.0329309,"[7.293626213073731, 10.0, 7.189629173278809, 8.762232780456543, 10.0]","[7.229817962646485, 9.946172142028809, 7.523032760620118, 8.458702278137206, 10.0]",0.7696293542351494,0.0906840994550543,0.2,0.22844827586206895,0.06755175060363212,0.08483916770833334,0.05,0.04810606060606061,
